	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
79	MMP23B	0.15670589	0.31856364	1.0188668	44.55244	1
109	PANK4	0.047480244	0.020623082	-1.1648247	17.109375	1
172	RNF207	0.04634169	0.18070923	1.9404485	44.55244	1
204	PER3	0.10077396	0.048392277	-1.0430112	26.658344	1
288	NPPB	0.02625141	0.12777796	2.240483	35.45846	1
336	PDPN	0.2260528	0.11056653	-1.0251236	44.55244	1
350	EFHD2	0.2090232	0.09096416	-1.191405	44.55244	1
354	CASP9	0.106307685	0.051332235	-1.0359817	28.512817	1
484	RAP1GAP	0.017210212	0.007791627	-1.0505456	5.509333	1
576	AUNIP	0.007424103	0.017794672	1.1577287	6.5686736	1
581	EXTL1	0.014552839	0.031607773	1.0680379	9.098829	1
627	BX293535.1	0.01579353	0.0064342055	-1.175655	6.215177	1
681	MATN1-AS1	0.015432006	0.0069018034	-1.0562546	5.213852	1
683	LAPTM5	0.011858159	0.0023233793	-1.9519612	7.2767463	1
737	KIAA1522	0.021745354	0.009593441	-1.1024005	7.225139	1
783	CLSPN	0.04875575	0.114680484	1.2172103	24.568247	1
854	HEYL	0.0014461909	0.011419222	2.3439658	9.44305	1
938	TIE1	0.0070916656	0.001348484	-1.784707	5.3989453	1
955	ARTN	0.22422853	0.11009039	-1.0196556	44.55244	1
963	SLC6A9	0.020091226	0.008079534	-1.2159528	7.9219317	1
964	AL139220.2	0.024784882	0.011404111	-1.0557071	7.4837956	1
973	KIF2C	0.03321049	0.07263785	1.1060089	14.347159	1
1034	STIL	0.008878847	0.018872488	1.008358	5.5658727	1
1121	GLIS1	0.05394936	0.009725807	-2.3570163	39.5806	1
1209	KANK4	0.0048568686	0.021825626	1.962453	12.559596	1
1244	LEPR	0.07601596	0.035518076	-1.0765468	22.176128	1
1269	DEPDC1	0.071148984	0.1456568	1.0233929	21.371628	1
1288	CTH	0.0343419	0.009436791	-1.7597014	20.195583	1
1353	IFI44L	0.021514675	0.0031522643	-2.4388955	20.6141	1
1355	ADGRL4	0.021483803	0.008289235	-1.2752545	5.458401	1
1433	GBP2	0.10164754	0.032101613	-1.6327257	44.55244	1
1581	VAV3	0.017807694	0.006660689	-1.2957768	7.5095873	1
1919	MTMR11	0.017060751	0.006747655	-1.2210263	7.2494664	1
1927	CA14	0.0719291	0.031814605	-1.1521566	23.506021	1
2061	S100A8	0.005047092	0.014091392	1.3194124	5.7246766	1
2075	S100A1	0.019661658	0.006094939	-1.5420938	11.841032	1
2088	CRTC2	0.02751845	0.0092289075	-1.4792435	14.525742	1
2107	SHE	0.011131285	0.0036001825	-1.3989693	6.5270824	1
2133	EFNA3	0.078444086	0.03190638	-1.2715726	28.460613	1
2193	IQGAP3	0.008983067	0.022285938	1.2219039	8.43965	1
2461	PRRX1	0.0016391702	0.0076602018	1.7143162	5.135662	1
2477	DNM3OS	0.0050328597	0.014780499	1.387229	6.6051135	1
2621	NIBAN1	0.025282409	0.011763933	-1.0420246	7.3455753	1
2693	ASPM	0.09374942	0.19583388	1.0547897	25.273657	1
2713	NR5A2	0.0035479767	0.00019771571	-1.9249394	5.264762	1
2721	DDX59-AS1	0.010384103	0.0027563	-1.5996364	7.5299087	1
2798	REN	-3.8882717e-08	0.009201845	3.3508143	5.4170713	1
2898	HSD11B1-AS1	0.019018587	0.008554268	-1.0671228	6.160629	1
2931	DTL	0.023272771	0.062483903	1.3870519	20.683517	1
2992	C1orf143	0.046524975	0.019919457	-1.1838404	16.995039	1
3059	CNIH3	0.014456602	0.005340243	-1.2856131	6.8921604	1
3079	LEFTY2	0.027650893	0.2015929	2.8219316	44.55244	1
3086	MIXL1	0.017868167	0.050287165	1.4426435	18.817398	1
3091	ITPKB	0.065780066	0.022549314	-1.5037324	28.42441	1
3146	ACTA1	0.016533904	0.04614307	1.4268984	8.155116	1
3208	COA6-AS1	0.026108857	0.009246436	-1.403642	10.39253	1
3470	COLEC11	0.034244236	0.013823673	-1.2494843	10.752463	1
3584	LRATD1	0.031645358	0.012445812	-1.2797209	11.848021	1
3606	FAM49A	0.02627525	0.008579846	-1.509518	14.031559	1
3765	FOSL2	0.032741114	0.014782356	-1.0961949	10.260595	1
3781	ALK	0.051618844	0.011979271	-2.01937	37.63057	1
4227	MTHFD2	0.28522998	0.09920609	-1.5142045	44.55244	1
4485	ADRA2B	0.02278819	0.008996862	-1.2506983	9.075453	1
4758	DPP10	0.009439441	0.0030842908	-1.353887	5.7570777	1
4962	AC009951.6	0.018617809	0.008721289	-1.0129443	5.4092064	1
4983	LYPD6B	0.036843896	0.015114518	-1.2316996	13.3178835	1
5011	FMNL2	0.052173577	0.023283422	-1.1307377	16.651192	1
5119	DHRS9	0.0015828946	0.0089071	1.939474	5.6445217	1
5260	ITGA4	0.004311501	0.024438538	2.259824	14.314899	1
5334	STAT4	0.0017610354	0.013770889	2.4194753	13.090353	1
5377	RFTN2	0.045082092	0.018982427	-1.2054744	15.655617	1
5429	FZD7	0.038013875	0.017007757	-1.1153687	11.764842	1
5516	ACADL	0.044019036	0.09643394	1.1138893	24.545427	1
5558	LINC01963	0.0053683906	0.014469175	1.2803954	6.1048474	1
5729	PID1	0.02435337	0.052867178	1.0872289	13.684483	1
5819	ARL4C	0.07545701	0.035868317	-1.0522673	19.751055	1
5841	COL6A3	0.0130409505	0.039044987	1.511981	12.014657	1
5850	AC012076.1	0.009543897	0.020130724	1.002934	5.3821096	1
5973	LRRN1	0.086241044	0.040799346	-1.0615268	22.109644	1
5980	AC018816.1	0.0024184338	0.017998302	2.4744632	15.100217	1
5982	BHLHE40	0.14569253	0.042340573	-1.7590053	44.55244	1
6114	COLQ	0.01844577	0.03797084	1.0029386	9.876495	1
6198	GADL1	0.008398544	0.0019380905	-1.6775584	6.3686476	1
6300	LYZL4	0.017951315	0.005267755	-1.5962772	11.991982	1
6310	HHATL	0.10426428	0.03917217	-1.3897479	41.135963	1
6407	CDC25A	0.016648255	0.037031088	1.1076535	10.728678	1
6507	CYB561D2-1	0.020465486	0.0057432395	-1.670505	12.6140175	1
6648	CADPS	0.078147575	0.16785948	1.093206	42.01462	1
6690	TAFA4	0.080107436	0.021141568	-1.8730768	44.55244	1
6764	CADM2	0.068429984	0.012432183	-2.3698652	44.55244	1
6827	FILIP1L	0.0049615763	0.024093224	2.0735319	13.5049305	1
6852	ZPLD1	0.018995428	0.0032518376	-2.2335117	18.00356	1
7029	SEMA5B	0.0041093966	0.016370645	1.7654264	8.995007	1
7071	KLF15	0.0138742	0.0053171576	-1.2354646	5.688778	1
7183	AMOTL2	0.03094546	0.064420156	1.0341244	15.25375	1
7197	SLC35G2	0.04397382	0.016379979	-1.371659	19.65384	1
7320	TM4SF18	0.019206995	0.0021231305	-2.69379	11.242599	1
7321	TM4SF1	0.053682126	0.014259419	-1.8413692	13.357278	1
7519	SLC2A2	0.0032962644	0.010781472	1.455365	5.2430744	1
7729	FGF12	0.00267846	0.017501617	2.3304775	13.577208	1
7858	AC107464.3	0.034452498	0.016398363	-1.0269357	9.955886	1
7880	SPON2	0.0015372195	0.011391658	2.288049	5.802061	1
7937	TMEM128	0.14080192	0.061634544	-1.1788467	44.55244	1
8052	LINC01182	0.0038985722	0.023660017	2.3317406	17.83095	1
8073	PROM1	0.009710008	0.030046208	1.5354574	12.663375	1
8080	LDB2	0.071627654	0.033918235	-1.0565385	16.164932	1
8091	NCAPG	0.04520323	0.09647971	1.0771083	17.985506	1
8171	ARAP2	0.008982557	0.01913324	1.012098	5.3403106	1
8357	HOPX	0.019110546	0.13733079	2.7820983	44.55244	1
8427	SULT1E1	0.0004067591	0.031220855	4.5175476	21.23923	1
8457	ADAMTS3	0.1816718	0.084316336	-1.09836	44.55244	1
8462	ALB	0.034769945	0.11390411	1.6836107	44.55244	1
8484	AREG	0.17509486	0.08676721	-1.0045989	21.049715	1
8519	SHROOM3	0.013524884	0.040705875	1.5217239	18.47732	1
8681	MTTP	0.018156826	0.0073342845	-1.2007284	6.886813	1
8759	COL25A1	0.028074648	0.009848319	-1.4222902	12.561013	1
8800	ARSJ	0.00015384227	0.0087602865	3.0804775	10.443113	1
8841	QRFPR	0.010135702	0.0023860298	-1.717526	7.7558727	1
8889	LINC02615	0.0052843587	0.014846051	1.3342859	6.1853614	1
8931	PCDH18	0.010025265	0.022371132	1.0839143	6.022139	1
8940	SLC7A11	0.039303266	0.005842402	-2.558322	33.105003	1
9091	SFRP2	0.00010700198	0.006140662	2.6894	5.4681196	1
9211	GALNTL6	0.012712873	0.0020773504	-2.15577	12.151676	1
9324	ANKRD37	0.32182896	0.12880681	-1.3144038	44.55244	1
9332	AC108472.1	0.0049457327	0.01384923	1.3204615	6.038244	1
9441	IRX1	0.12949309	0.047364723	-1.4319465	41.590546	1
9565	MYO10	0.04013639	0.015105734	-1.3528407	14.767978	1
9674	RAI14	0.07320039	0.18566535	1.3309554	44.55244	1
9809	ITGA2	0.053155765	0.024291147	-1.0984824	13.19669	1
9826	ESM1	0.02818505	0.010441346	-1.3509727	5.338814	1
9997	FOXD1	0.016562829	0.0050596353	-1.5352223	8.414174	1
10013	ENC1	0.034248386	0.073587984	1.0813862	16.830416	1
10041	S100Z	0.009070041	0.0023874445	-1.5718004	6.9312716	1
10144	MEF2C-AS1	0.027062481	0.0124416305	-1.0619344	8.534176	1
10157	LUCAT1	0.18765272	0.090393685	-1.0455666	43.32199	1
10164	ARRDC3	0.43850413	0.2093564	-1.063041	44.55244	1
10167	AC114316.1	0.0064785527	0.017776635	1.3281075	7.3110356	1
10175	NR2F1-AS1	0.0014776861	0.011281051	2.3093686	8.973804	1
10176	NR2F1	0.0014539523	0.023015492	3.2907863	16.371902	1
10280	TSLP	0.024963995	0.009981453	-1.2414434	10.145037	1
10311	TRIM36	0.0064117257	0.019352619	1.4573331	8.753445	1
10330	AC034236.2	0.023049707	0.010779737	-1.0297121	6.7536335	1
10526	TGFBI	0.0021118433	0.011071439	1.9557564	7.430546	1
10552	CDC25C	0.01116894	0.02412111	1.0456967	7.030739	1
10575	ECSCR	0.02058485	0.006573581	-1.5109714	6.6662145	1
10709	SPRY4-AS1	0.06266345	0.026235264	-1.2249897	23.192255	1
10748	DPYSL3	0.08258217	0.21432444	1.365245	44.55244	1
10755	C5orf46	0.00033102452	0.035738144	4.7866697	36.349365	1
10774	ABLIM3	0.024798281	0.0070612803	-1.678194	15.197311	1
10795	PDGFRB	0.00481319	0.049701776	3.1246343	30.08976	1
10806	SYNPO	0.0123439245	0.03979435	1.6121862	17.842056	1
10841	GRIA1	0.04502482	0.013698158	-1.6467767	22.528252	1
10876	ADAM19	0.032625657	0.0796997	1.2630011	26.278057	1
10893	EBF1	0.0026902575	0.014170947	2.0395176	9.159901	1
11011	STC2	0.3496369	0.114077136	-1.6073767	44.55244	1
11030	LINC01411	0.05616428	0.019793186	-1.459003	23.084066	1
11032	MSX2	0.5509234	0.24573085	-1.16153	44.55244	1
11040	HRH2	0.031617455	0.09148286	1.503542	32.814205	1
11063	SNCB	0.020750545	0.009554581	-1.0431823	6.4792576	1
11214	FOXC1	0.004471281	0.015941018	1.6305699	7.910798	1
11261	AL159166.1	0.00731901	0.0020293943	-1.4573826	5.5416775	1
11541	HIST1H2BN	0.05605883	0.026602779	-1.0476366	14.553888	1
11666	TCF19	0.012705524	0.026725342	1.0164477	6.9309974	1
11750	GPSM3	0.08121474	0.03199463	-1.317166	31.611546	1
11757	HLA-DRB1	0.014879301	0.006549438	-1.0727062	5.1356254	1
11832	DEF6	0.011924172	0.0039592115	-1.3818891	6.1887374	1
11930	FRS3	0.024771105	0.008114788	-1.4994735	13.297235	1
11992	GTPBP2	0.06756815	0.032217007	-1.0456166	18.976288	1
12025	CLIC5	0.03005815	0.06278119	1.0381593	14.43623	1
12119	COL21A1	0.030968992	0.08545736	1.4353156	27.520721	1
12161	COL19A1	0.009179608	0.034003478	1.7818161	17.244759	1
12162	COL9A1	0.058483735	0.12663706	1.1014801	31.562048	1
12204	COL12A1	0.0009271009	0.0064504	1.9508859	5.201548	1
12379	PRDM1	0.011944578	0.00080604723	-2.8414404	11.341497	1
12531	TRDN-AS1	0.12821667	0.29322177	1.1871117	44.55244	1
12582	CCN2	0.035506893	0.10127676	1.4862378	32.66138	1
12603	EYA4	0.016490277	0.038353387	1.1699346	11.364694	1
12648	SLC35D3	0.11826117	0.054467034	-1.1044221	31.49336	1
12764	LRP11	0.059637144	0.028721651	-1.0286875	16.413193	1
12771	ULBP1	0.0059099244	0.0006560795	-2.060898	7.055023	1
12798	MYCT1	0.018289153	0.0022649686	-2.5626488	11.703308	1
13065	ELFN1	0.017784819	0.0078048874	-1.0931908	6.2056465	1
13100	RBAKDN	0.015780043	0.0065431623	-1.1535051	6.0474644	1
13195	SOSTDC1	0.018849991	0.008053201	-1.1326383	6.8884854	1
13288	AC004540.2	0.017882545	0.007379369	-1.1721398	6.821948	1
13306	HOXA9	-3.8882717e-08	0.0048147077	2.5397627	6.6845903	1
13308	HOXA10	0.00012960844	0.013207791	3.6527874	13.088406	1
13339	PRR15	0.0102361515	0.0037949095	-1.2285725	5.2949834	1
13403	AC018647.1	0.0053500077	0.04185671	2.754691	35.46448	1
13428	SFRP4	0.014905538	0.002755215	-2.0825617	11.805743	1
13530	IGFBP1	0.01134822	0.0030515864	-1.6077442	6.085231	1
13596	EGFR	0.0033921762	0.017898481	2.1052625	11.861877	1
13719	METTL27	0.013691627	0.0037307884	-1.6348417	9.068445	1
13791	CD36	0.004803973	0.013871133	1.357402	5.038884	1
13903	ASNS	0.0151663665	0.0050762435	-1.4117438	7.8491087	1
14035	RASA4	0.036802977	0.017345574	-1.0430678	10.829522	1
14123	AC018464.1	0.0036823857	0.016383808	1.8924284	11.3560295	1
14197	LMOD2	0.1745361	0.44392675	1.3418	44.55244	1
14298	PODXL	0.026237296	0.010139414	-1.2899102	10.285201	1
14621	PRKAG2-AS1	0.012637383	0.0048042284	-1.2323906	5.813121	1
14628	XRCC2	0.019439522	0.048203185	1.2673903	15.450856	1
14862	AF131216.3	0.014801526	0.006331424	-1.1078985	5.5160723	1
15000	PEBP4	0.06366166	0.027761042	-1.1687945	21.583057	1
15027	STC1	0.2745052	0.13001835	-1.0723106	44.55244	1
15034	AF106564.1	0.0151380915	0.0061766645	-1.1690845	5.8668036	1
15035	NEFM	0.20964944	0.08468924	-1.2976582	44.55244	1
