	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
1	FAM138A	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
2	OR4F5	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
3	AL627309.1	0.0011589922	0.002005112	0.4770606	0.25687158	0
4	AL627309.3	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
5	AL627309.2	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
6	AL627309.5	0.024705674	0.024108	-0.033939775	0.03585458	0
7	AL627309.4	0.00371254	0.0013444935	-1.0072286	0.38365963	0
8	AP006222.2	-6.2864274e-09	0.00045342778	0.5394684	0.49839467	0
9	AL732372.1	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
10	OR4F29	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
11	AC114498.1	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
12	OR4F16	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
13	AL669831.2	0.0028843512	0.0019619633	-0.39111984	0.16872323	0
14	LINC01409	0.042673953	0.043975804	0.042375945	0.05708139	0
15	FAM87B	-6.2864274e-09	0.00033672538	0.4187122	0.79641014	0
16	LINC01128	0.06300048	0.08281387	0.38910627	1.2665362	0
17	LINC00115	0.012108661	0.00848135	-0.46735597	0.42197624	0
18	FAM41C	0.0013370671	0.0032826918	0.8738187	0.5859506	0
19	AL645608.6	-6.2864274e-09	0.002446073	1.7849624	1.6913285	0
20	AL645608.2	0.015989708	0.016468557	0.040099382	0.033785593	0
21	AL645608.4	0.002141294	0.0006844085	-0.8991168	0.43982458	0
22	LINC02593	0.041289493	0.044759925	0.1137854	0.17487086	0
23	SAMD11	0.28635284	0.37587988	0.3912815	4.3188543	0
24	NOC2L	0.18551138	0.22647797	0.28646314	1.8364586	0
25	KLHL17	0.027089039	0.0223601	-0.26596087	0.33669633	0
26	PLEKHN1	0.0012268092	0.0028027697	0.7720725	0.4853924	0
27	PERM1	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
28	AL645608.7	0.0053773485	0.015200233	1.344986	2.3174748	0
29	HES4	0.76792514	0.6940701	-0.14568469	1.7873142	0
30	ISG15	0.18387204	0.24438572	0.40852425	3.5017552	0
31	AL645608.1	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
32	AGRN	0.15122741	0.16080087	0.08799124	0.2855705	0
33	AL645608.5	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
34	AL645608.8	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
35	RNF223	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
36	C1orf159	0.022706395	0.025262356	0.14772011	0.18253067	0
37	AL390719.3	-6.2864274e-09	0.00048717402	0.5725825	0.49839634	0
38	LINC01342	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
39	AL390719.2	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
40	TTLL10-AS1	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
41	TTLL10	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
42	TNFRSF18	0.010700332	0.0020683957	-1.930993	1.5950888	0
43	TNFRSF4	0.0046760617	0.0034468407	-0.3521095	0.16939199	0
44	SDF4	0.42017576	0.4904601	0.22265194	2.71041	0
45	B3GALT6	0.13465324	0.16497745	0.29106373	1.4816401	0
46	C1QTNF12	0.034219414	0.03345835	-0.031517327	0.03621484	0
47	AL162741.1	0.0010249653	0.0014819171	0.29355767	0.14194974	0
48	UBE2J2	0.26825118	0.299371	0.15779285	0.9940635	0
49	LINC01786	0.00095122936	0.001124974	0.12306174	0.051087525	0
50	SCNN1D	0.0042957836	0.0016170671	-1.0168933	0.60434073	0
51	ACAP3	0.12175622	0.11305788	-0.10602992	0.29384935	0
52	PUSL1	0.08698909	0.09816533	0.17251113	0.48221743	0
53	INTS11	0.16477163	0.1839275	0.15776263	0.6796467	0
54	AL139287.1	-6.2864274e-09	0.00071505585	0.7782646	0.76755255	0
55	CPTP	0.053447265	0.073404595	0.45053217	1.4728458	0
56	TAS1R3	0.0010385021	0.0004536293	-0.48785007	0.21762931	0
57	DVL1	0.046714902	0.06452543	0.45761523	1.3687646	0
58	MXRA8	0.24739288	0.25219905	0.02764805	0.096297204	0
59	AURKAIP1	0.6860375	0.7876576	0.19901028	3.9659605	0
60	CCNL2	0.38918674	0.41934827	0.10742032	0.751324	0
61	MRPL20-AS1	0.05145672	0.04246249	-0.2713568	0.53534174	0
62	MRPL20	0.66750145	0.7597125	0.18642062	3.2138064	0
63	AL391244.2	0.00566308	0.0044223913	-0.29726	0.17621957	0
64	ANKRD65	0.0011907845	0.0028253016	0.8041259	0.49212354	0
65	AL391244.1	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
66	TMEM88B	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
67	LINC01770	0.0015892416	-8.4983185e-09	-1.3725418	0.49817666	0
68	VWA1	0.09183447	0.10553567	0.19860406	0.5741098	0
69	ATAD3C	0.0048058867	0.0031504445	-0.4842506	0.27218428	0
70	ATAD3B	0.033221334	0.042210393	0.33648232	0.6758215	0
71	ATAD3A	0.07878683	0.08153453	0.0488472	0.09864482	0
72	TMEM240	0.07738561	0.078605354	0.022276537	0.04087096	0
73	SSU72	0.5790528	0.6055878	0.06453227	0.52308	0
74	AL645728.1	0.02116999	0.019061845	-0.14415383	0.1504383	0
75	FNDC10	0.042421903	0.05841768	0.45246938	1.2571278	0
76	AL691432.4	0.0036695753	0.0025855498	-0.38109702	0.20735882	0
77	AL691432.2	0.03492266	0.03395753	-0.039290883	0.047132496	0
78	MIB2	0.07747878	0.09984724	0.3617971	1.4005067	0
79	MMP23B	0.13612929	0.21693817	0.6683821	6.6038666	0
80	CDK11B	0.17244507	0.206272	0.25704637	1.449943	0
81	FO704657.1	0.005369285	0.002849984	-0.7262791	0.5028297	0
82	SLC35E2B	0.13016221	0.10398013	-0.3212358	1.2852817	0
83	CDK11A	0.16451052	0.15101346	-0.122723825	0.42775375	0
84	SLC35E2A	0.04725951	0.058052674	0.2911891	0.6853215	0
85	NADK	0.09316232	0.08669866	-0.10259507	0.24105804	0
86	GNB1	0.67996556	0.75937426	0.1591279	2.4913375	0
87	AL109917.1	0.0009675544	0.0018798687	0.5495995	0.31411782	0
88	CALML6	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
89	TMEM52	0.0036262413	0.003890112	0.08002701	0.037890535	0
90	CFAP74	0.0011079743	0.001791828	0.40535274	0.20873523	0
91	AL391845.2	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
92	GABRD	0.0023351498	0.0016369737	-0.33886832	0.1545886	0
93	AL391845.1	-6.2864274e-09	-8.4983185e-09	-3.1816826e-06	17.707983	0
94	PRKCZ	0.008648756	0.007942104	-0.10972867	0.06825519	0
