	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
20	AL645608.2	0.0018994709	0.016468557	2.5908988	7.085775	1
23	SAMD11	0.08886878	0.37587988	2.0682127	44.55244	1
46	C1QTNF12	0.012191284	0.03345835	1.3852684	6.674849	1
68	VWA1	0.051723044	0.10553567	1.0148312	13.915584	1
79	MMP23B	0.031676162	0.21693817	2.7376084	44.55244	1
109	PANK4	0.036805883	0.015791709	-1.1708616	9.162813	1
127	PRDM16	0.0031638374	0.02519002	2.6530313	10.052892	1
142	SMIM1	0.044367537	0.1146556	1.3501029	20.55821	1
211	ERRFI1	0.040738326	0.09397309	1.1861461	15.680494	1
245	RBP7	0.050221775	0.005991935	-2.8729935	43.70734	1
287	NPPA	0.00017363997	0.02550903	4.4974217	10.324948	1
291	PLOD1	0.20064834	0.60103893	1.5780152	44.55244	1
339	KAZN	0.12939784	0.29461432	1.180796	44.55244	1
344	TMEM51	0.017620033	0.03724881	1.0385592	6.0839067	1
350	EFHD2	0.13815208	0.064238176	-1.092874	29.472342	1
374	HSPB7	0.018266706	0.12096291	2.6622608	40.512154	1
401	BX284668.5	0.015093762	0.035370428	1.1762642	6.886706	1
482	ALPL	0.004889412	-8.4983185e-09	-2.5581357	9.674444	1
503	EPHB2	0.009935829	0.038545903	1.8544656	11.250406	1
584	TRIM63	0.00074596785	0.013122309	3.015877	8.051029	1
666	EPB41	0.06584319	0.14161824	1.0933061	18.979168	1
667	TMEM200B	0.014171083	0.03938722	1.4125746	8.8441	1
687	SDC3	0.08154377	0.16906041	1.0428159	24.431652	1
694	SERINC2	0.053485062	0.1329401	1.2976553	21.29929	1
729	FAM229A	0.023734761	0.078258164	1.6800196	20.160728	1
731	ZBTB8B	0.006072554	0.020817041	1.6251523	5.641834	1
740	FNDC5	0.011211456	0.04863463	2.0231116	13.08729	1
742	TMEM54	0.03266584	0.090942785	1.449451	18.979586	1
767	GJA4	0.26755702	0.115050174	-1.2104797	44.55244	1
797	SH3D21	0.031376787	0.09379687	1.5498797	21.068808	1
820	CDCA8	0.0048943656	0.060731865	3.3886068	22.848562	1
832	POU3F1	0.047887765	0.12128684	1.3227239	17.91092	1
875	COL9A2	0.00595145	0.035400927	2.3885894	11.60006	1
892	KCNQ4	0.010753381	0.0029369085	-1.5779407	5.397935	1
930	SLC2A1	0.024144217	0.2095976	3.0661905	44.55244	1
931	SLC2A1-AS1	0.0011153071	0.012291203	2.6515326	5.4868007	1
942	CDC20	0.006676815	0.05674108	2.9110181	19.39684	1
950	PTPRF	0.06265294	0.18071066	1.513344	39.688683	1
973	KIF2C	0.0049802107	0.052150093	3.151804	20.526573	1
1026	CYP4X1	0.04769335	0.021541415	-1.1111466	10.242357	1
1034	STIL	0.011386955	0.027143797	1.1839955	5.5965753	1
1041	TRABD2B	0.00201362	0.037433855	3.6728082	15.621459	1
1052	BEND5	0.07103727	0.18140663	1.3403428	30.535513	1
1066	CDKN2C	0.0005665767	0.009275019	2.7134538	5.766581	1
1140	ACOT11	0.027599517	0.059818078	1.0885094	9.079641	1
1166	PLPP3	0.05621739	0.21218929	1.8976095	44.55244	1
1167	PRKAA2	0.0033237603	0.02542914	2.611771	11.125536	1
1230	PGM1	0.104533166	0.24991305	1.2494911	43.64935	1
1240	AK4	0.020016951	0.20012824	3.2584903	44.55244	1
1247	PDE4B	0.008509819	0.05403279	2.5328016	20.026268	1
1249	SGIP1	0.013067748	0.039879162	1.538974	10.625574	1
1269	DEPDC1	0.0037471624	0.048302535	3.3765244	20.64119	1
1292	PTGER3	0.0068704374	0.07521937	3.275642	28.116089	1
1331	ST6GALNAC3	0.055327304	0.117899224	1.077833	15.365703	1
1338	AK5	0.0019551977	0.012033353	2.1408818	6.4150715	1
1352	PTGFR	0.002980948	0.045211334	3.5370626	16.694708	1
1353	IFI44L	0.049277224	0.0231985	-1.0549873	9.414016	1
1354	IFI44	0.095897816	0.037056554	-1.3483194	28.117863	1
1391	SSX2IP	0.050150298	0.11358995	1.1636661	17.805698	1
1433	GBP2	0.02819826	0.06803352	1.2414145	12.620703	1
1436	GBP4	0.011028804	0.13540527	3.5033343	44.55244	1
1503	TLCD4	0.0019098447	0.01451135	2.4143102	6.834941	1
1518	DPYD	0.008569115	0.041858472	2.163123	13.280451	1
1540	LRRC39	0.023609005	0.0048724012	-2.067164	15.678764	1
1559	S1PR1	0.0071067195	0.022851786	1.556907	6.0179534	1
1562	OLFM3	0.024826976	0.055707004	1.1346482	7.2564754	1
1565	COL11A1	0.1104723	0.3128692	1.4934782	44.55244	1
1580	NTNG1	0.013122036	0.09700765	2.7949462	32.78058	1
1610	PSRC1	0.016104251	0.054945093	1.7096566	13.633561	1
1647	KCNC4	0.010277418	0.0030774665	-1.4676919	5.262465	1
1778	TBX15	0.0085488735	-8.4983185e-09	-3.2553427	15.149032	1
1790	LINC00622	0.039694898	0.011879339	-1.6597892	17.361443	1
1844	ITGA10	0.048127726	0.019183755	-1.2833428	13.8388195	1
1853	TXNIP	0.60483456	1.6266038	1.4257538	44.55244	1
1872	GJA5	0.013701722	0.045317017	1.6555572	11.825105	1
1897	AC245297.2	0.013837693	0.0046213493	-1.4002784	5.469286	1
1935	ECM1	0.025909295	0.1703997	2.671188	44.55244	1
2072	S100A16	0.02320953	0.26974887	3.483308	44.55244	1
2088	CRTC2	0.045128185	0.017308053	-1.33317	13.451643	1
2106	IL6R	0.038410027	0.012476152	-1.548154	16.24238	1
2117	KCNN3	0.017347481	0.036345664	1.0253588	5.0120077	1
2133	EFNA3	0.009075393	0.046614233	2.2405567	14.026025	1
2163	SYT11	0.060707007	0.12587139	1.0398607	17.15766	1
2193	IQGAP3	0.0029711686	0.013793719	1.8973492	5.52072	1
2206	CRABP2	0.192355	0.39619052	1.038579	44.55244	1
2313	F11R	0.009043114	0.029900545	1.6214256	9.394722	1
2314	TSTD1	0.005688751	0.046124533	2.8166695	20.12482	1
2315	USF1	0.037148558	0.016855795	-1.0952361	7.998333	1
2330	FCER1G	0.008277687	0.0014941216	-1.8952335	6.988858	1
2331	APOA2	1.21071935e-08	0.048163075	5.619486	25.081604	1
2354	OLFML2B	0.09797062	0.02213977	-2.0966258	44.55244	1
2370	RGS5	0.6420292	0.2923652	-1.1321867	44.55244	1
2374	NUF2	0.005492809	0.0526408	3.046416	20.508982	1
2437	ATP1B1	0.12023678	0.2647352	1.1321617	36.540554	1
2512	TNN	0.017375968	0.005593311	-1.4787452	7.0006466	1
2513	KIAA0040	0.03714807	0.012812824	-1.4656017	13.366307	1
2540	ANGPTL1	0.040661722	0.09011114	1.1289049	11.142514	1
2561	QSOX1	0.0665629	0.13715105	1.0319433	19.342981	1
2589	RGS16	0.35852143	0.16946481	-1.0766038	44.55244	1
2593	NPL	0.03489039	0.007498497	-2.0783179	21.616795	1
2608	RGL1	0.13831867	0.28072292	1.0158882	37.47278	1
2621	NIBAN1	0.15434943	0.068127386	-1.1681876	34.761913	1
2640	PTGS2	0.008064824	0.07315342	3.0321622	30.599949	1
2675	B3GALT2	0.010530766	0.04652762	2.0432777	12.222238	1
2693	ASPM	0.014219602	0.12481545	3.0473068	31.020536	1
2705	PTPRC	0.0011353091	0.014602362	2.8692477	6.7983317	1
2719	KIF14	0.0052994527	0.038349867	2.6430602	14.000002	1
2725	KIF21B	0.12786606	0.05798684	-1.1274074	27.254583	1
2734	TNNT2	0.00016408018	0.27508157	7.8897605	44.55244	1
2737	TNNI1	0.051503748	0.25626457	2.2927604	44.55244	1
2759	UBE2T	0.029539146	0.08889662	1.5576072	19.62638	1
2772	PPFIA4	0.009999949	0.04791017	2.1526377	16.009645	1
2801	PLEKHA6	0.017755372	0.06627433	1.8427522	17.294672	1
2865	C4BPB	0.005452472	-8.4983185e-09	-2.6898642	9.179333	1
2908	SERTAD4	0.022010129	0.05310092	1.233384	8.591711	1
2925	NEK2	0.0021395758	0.02818156	3.2164154	12.284126	1
2931	DTL	0.009897998	0.03175497	1.5876508	7.6555996	1
2964	PROX1	0.005168637	0.04160361	2.787952	15.738903	1
2971	CENPF	0.052839074	0.23676503	2.142811	39.07642	1
2980	ESRRG	0.012910346	0.037228167	1.4584777	7.8573804	1
2990	TGFB2	0.06430658	0.23652546	1.8627819	44.55244	1
2999	LYPLAL1-AS1	0.0029015532	-8.4983185e-09	-1.9640609	5.6512585	1
3010	MARK1	0.11022216	0.04797739	-1.1832565	25.129694	1
3090	STUM	0.012084182	0.0022509512	-2.00889	8.793582	1
