	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
172	RNF207	0.047086712	0.17475367	1.8698447	44.55244	1
288	NPPB	0.02681082	0.124071956	2.1690402	34.891727	1
683	LAPTM5	0.001893333	0.011094695	2.06357	7.267566	1
767	GJA4	0.00011569215	0.009882642	3.286018	9.339404	1
854	HEYL	0.0016380533	0.0133461375	2.4431167	11.275967	1
938	TIE1	0.0008104587	0.00744663	2.2220206	7.3594084	1
1121	GLIS1	0.054859884	0.009417162	-2.4228501	41.26711	1
1209	KANK4	0.0044025113	0.020822134	2.01409	13.165681	1
1288	CTH	0.034990836	0.009002906	-1.8472103	21.84952	1
1353	IFI44L	0.02213456	0.0031270161	-2.4868786	21.524881	1
1355	ADGRL4	0.0033084927	0.026790071	2.6893144	14.258358	1
1433	GBP2	0.103325665	0.03576745	-1.5045931	44.07532	1
2069	S100A3	0.0002272015	0.0059149126	2.4943388	5.195532	1
2075	S100A1	0.020140998	0.0062612686	-1.54175	11.783932	1
2279	TAGLN2	0.018406551	0.057146985	1.5831606	17.79102	1
2461	PRRX1	0.0025747	0.010653207	1.7048329	6.2084475	1
2477	DNM3OS	0.0022620354	0.01619103	2.3978117	14.579404	1
2721	DDX59-AS1	0.010575324	0.0028651282	-1.5824645	7.5905647	1
2798	REN	5.6018005e-05	0.009783412	3.3521075	5.6218553	1
2879	CD34	0.00045670616	0.011174136	3.0630376	8.958868	1
3018	HLX	0.0022990159	0.016209623	2.383108	11.452292	1
3079	LEFTY2	0.028242694	0.19649348	2.755657	44.55244	1
3781	ALK	0.052837685	0.011254964	-2.13525	41.354885	1
3940	EPAS1	0.0042345556	0.022575868	2.171172	14.160036	1
4647	ST6GAL2	0.0009567541	0.0070815263	2.0461652	6.8911505	1
4681	MALL	0.0010109147	0.009201029	2.342791	6.836315	1
4793	INHBB	-3.8184226e-08	0.0074828975	3.0846121	8.504858	1
5119	DHRS9	0.001612035	0.009375812	1.9899781	6.280575	1
5260	ITGA4	0.002541414	0.03170972	3.207322	25.846544	1
5334	STAT4	0.0017934589	0.013627603	2.3885689	13.015947	1
5361	HECW2	0.010950785	0.049677804	2.0842485	29.264095	1
5834	ACKR3	0.00090480025	0.0071568955	2.0983803	6.0158253	1
5841	COL6A3	0.014781386	0.05170625	1.7397501	17.809351	1
5980	AC018816.1	0.0021766326	0.017633267	2.5523105	16.01269	1
5982	BHLHE40	0.14385197	0.045793153	-1.6302099	44.55244	1
6103	FGD5	0.00052944676	0.007923937	2.5446706	10.129228	1
6198	GADL1	0.008714963	0.0018489886	-1.7697586	6.992556	1
6300	LYZL4	0.018337522	0.0052848086	-1.6214622	12.52904	1
6507	CYB561D2-1	0.020955665	0.0056017325	-1.7336767	13.5731735	1
6690	TAFA4	0.08127207	0.020372242	-1.9446646	44.55244	1
6764	CADM2	0.069440454	0.012148086	-2.4215515	44.55244	1
6827	FILIP1L	0.0038906126	0.027085908	2.5217593	18.234707	1
6852	ZPLD1	0.019055549	0.00310233	-2.289486	18.889479	1
7029	SEMA5B	0.0039865472	0.017458854	1.8881999	10.776316	1
7320	TM4SF18	0.0021032435	0.018748369	2.6698847	10.312837	1
