	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1872	GJA5	0.010234501	0.067611344	2.610511	6.3425136	1
5020	GALNT13	0.007928764	0.058717955	2.7416322	5.900503	1
5688	SCG2	0.028117998	0.2019632	2.8012352	12.024749	1
6954	GAP43	0.017334975	0.09107742	2.3282492	6.924828	1
8462	ALB	0.03699267	0.12341218	1.7113348	6.4177017	1
12633	AL035604.1	0.027413012	0.100397296	1.8353955	5.2238374	1
13473	INHBA	0.05526215	0.17135304	1.6151303	7.8311214	1
15587	RALYL	0.018914245	0.10585085	2.4237256	8.648356	1
17631	GATA3-AS1	0.018436082	0.08061338	2.0700684	5.6498375	1
17647	CELF2	0.03892826	0.12900323	1.7030654	6.0619326	1
19363	NAV2	0.024874618	0.12135782	2.2414968	8.8091545	1
20682	TAGLN	0.29879025	0.86798257	1.5353739	24.555473	1
22312	NTN4	0.005424843	0.04944058	2.9728518	5.350394	1
28446	MYOCD	0.012074706	0.086418554	2.741161	7.952029	1
30742	CBLN2	0.038426068	0.1257317	1.6845559	5.9004316	1
32045	ZFP36	0.38630614	0.11541125	-1.7342438	15.775884	1
35908	DACH2	0.0072654784	0.052735917	2.7007165	5.4845734	1
36415	G6PD	0.0249819	0.09396375	1.8698701	6.306425	1
