	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
1	FAM138A	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
2	OR4F5	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
3	AL627309.1	0.0016286724	-8.4983185e-09	-1.3943465	3.2089145	0
4	AL627309.3	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
5	AL627309.2	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
6	AL627309.5	0.012872806	0.023476636	0.8191457	1.1466389	0
7	AL627309.4	0.0010787618	0.00086706714	-0.15495059	0.08327627	0
8	AP006222.2	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
9	AL732372.1	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
10	OR4F29	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
11	AC114498.1	0.00018008088	-8.4983185e-09	-0.23889805	0.4989162	0
12	OR4F16	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
13	AL669831.2	0.0011917121	0.0023236447	0.6007078	0.29763618	0
14	LINC01409	0.027963705	0.05602324	0.97730374	2.8302886	0
15	FAM87B	0.0007374699	0.0006533504	-0.07159548	0.041629363	0
16	LINC01128	0.058727387	0.09926457	0.7473475	3.192087	0
17	LINC00115	0.01019035	0.012205143	0.23884481	0.2059749	0
18	FAM41C	0.00688737	0.0020568706	-1.3674889	2.591708	0
19	AL645608.6	0.00031569134	0.001056312	0.64423805	0.30718488	0
20	AL645608.2	0.0020268015	0.010937966	1.9796913	1.5202847	0
21	AL645608.4	0.00021416263	0.0014848643	1.0332054	0.40341097	0
22	LINC02593	0.020710226	0.043946967	1.0498489	2.2998097	0
23	SAMD11	0.08838039	0.28766218	1.6913518	22.253258	1
24	NOC2L	0.16838665	0.22322376	0.40461904	2.8161945	0
25	KLHL17	0.015200723	0.011240562	-0.4043883	0.491801	0
26	PLEKHN1	0.0013927893	0.002430047	0.519535	0.25284773	0
27	PERM1	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
28	AL645608.7	0.0138485385	0.025026591	0.8096654	1.1465801	0
29	HES4	0.823303	1.1668569	0.502617	27.294489	0
30	ISG15	0.19407812	0.23199378	0.25623947	1.5137129	0
31	AL645608.1	6.92067e-05	-8.4983185e-09	-0.096553065	0.4990118	0
32	AGRN	0.20490727	0.26838917	0.38769695	3.1209972	0
33	AL645608.5	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
34	AL645608.8	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
35	RNF223	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
36	C1orf159	0.023849254	0.02146912	-0.14525895	0.17472485	0
37	AL390719.3	0.00040089036	-8.4983185e-09	-0.48635626	1.078642	0
38	LINC01342	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
39	AL390719.2	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
40	TTLL10-AS1	0.00010473537	-8.4983185e-09	-0.14371307	0.4988329	0
41	TTLL10	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
42	TNFRSF18	0.0031648981	0.0048519154	0.49062765	0.25255352	0
43	TNFRSF4	0.0030830386	0.0023226687	-0.29730088	0.1753351	0
44	SDF4	0.4046836	0.45171618	0.15825188	1.43419	0
45	B3GALT6	0.14335698	0.14488463	0.015187027	0.039242394	0
46	C1QTNF12	0.012738762	0.02774565	1.0650915	1.6573429	0
47	AL162741.1	0.0006587971	0.0014788568	0.5795375	0.23156732	0
48	UBE2J2	0.21886852	0.3205658	0.5484728	6.5069656	0
49	LINC01786	0.0011032253	0.0016908058	0.35543483	0.13360995	0
50	SCNN1D	0.0026143384	0.0026588254	0.017648986	0.007491129	0
51	ACAP3	0.08792334	0.12100861	0.4563489	1.9784952	0
52	PUSL1	0.07182357	0.103240356	0.51743656	1.9598421	0
53	INTS11	0.15078947	0.21134627	0.4843471	3.4192312	0
54	AL139287.1	0.00047419977	-8.4983185e-09	-0.55994433	1.3355458	0
55	CPTP	0.048885413	0.07884733	0.6786261	2.2490005	0
56	TAS1R3	9.41864e-05	0.0015871619	1.2415117	0.4584119	0
57	DVL1	0.049747612	0.08265023	0.7210296	2.5071714	0
58	MXRA8	0.17281641	0.21939558	0.34253103	2.0828364	0
59	AURKAIP1	0.7673771	0.8355003	0.12255156	1.9094653	0
60	CCNL2	0.37610805	0.44745976	0.2500005	2.7457373	0
61	MRPL20-AS1	0.029140722	0.040315297	0.45496204	0.8228847	0
62	MRPL20	0.72416425	0.74017996	0.03151612	0.26052606	0
63	AL391244.2	0.0021630372	0.00526333	0.98561937	0.59136564	0
64	ANKRD65	0.0012625499	0.006809028	1.7871933	0.9272083	0
65	AL391244.1	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
66	TMEM88B	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
67	LINC01770	0.0002828791	-8.4983185e-09	-0.35939747	0.8028542	0
68	VWA1	0.048554648	0.12864353	1.387458	8.186166	0
69	ATAD3C	0.0018586776	0.0027541337	0.3931321	0.18129927	0
70	ATAD3B	0.03147022	0.037228115	0.23551689	0.36804375	0
71	ATAD3A	0.061774563	0.08606021	0.47183344	1.5553235	0
72	TMEM240	0.043116596	0.08175425	0.90751207	3.2256682	0
73	SSU72	0.57418317	0.61394846	0.09644413	0.9046776	0
74	AL645728.1	0.0129840635	0.016985659	0.36306328	0.3580351	0
75	FNDC10	0.04035739	0.046085265	0.18713048	0.32070214	0
76	AL691432.4	0.001428425	0.0011782626	-0.156843	0.07558722	0
77	AL691432.2	0.034730647	0.045877315	0.39172792	0.7637764	0
78	MIB2	0.08004712	0.109887496	0.45226374	1.8169621	0
79	MMP23B	0.033624798	0.10491103	1.6129754	8.059976	1
80	CDK11B	0.14706607	0.2062544	0.48516157	3.4751709	0
81	FO704657.1	0.0036330954	0.0028416193	-0.27026194	0.14876749	0
82	SLC35E2B	0.09655008	0.09580877	-0.011005333	0.022506028	0
83	CDK11A	0.13467526	0.15427928	0.19470756	0.74370044	0
84	SLC35E2A	0.04136853	0.054632124	0.3929252	0.88147557	0
85	NADK	0.10042769	0.09714093	-0.04752463	0.11026765	0
86	GNB1	0.76198137	0.77268445	0.020097423	0.16162677	0
87	AL109917.1	0.0016984047	0.0024335468	0.34759298	0.1670255	0
88	CALML6	0.0004784707	-8.4983185e-09	-0.5641179	1.2212971	0
89	TMEM52	0.0017020615	0.0015736901	-0.07022221	0.027865984	0
90	CFAP74	0.0020205202	0.0025658854	0.23946336	0.11185346	0
91	AL391845.2	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
92	GABRD	0.0015954402	0.00068958045	-0.61931425	0.56707525	0
93	AL391845.1	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
94	PRKCZ	0.0027503534	0.0038436023	0.3690539	0.15785304	0
95	AL590822.2	0.0006259809	-8.4983185e-09	-0.7013225	1.7492536	0
96	PRKCZ-AS1	0.0037970874	0.0110818045	1.3326054	1.156352	0
97	FAAP20	0.6280357	0.7723282	0.2979389	6.9916058	0
98	AL590822.1	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
99	SKI	0.17339824	0.22675067	0.38506982	2.5924704	0
100	AL590822.3	0.0052883425	0.00532375	0.008100472	0.004382216	0
101	MORN1	0.010095653	0.017412338	0.73067826	0.8468418	0
102	AL589739.1	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
103	AL513477.2	0.0023666755	-8.4983185e-09	-1.7513369	4.696674	0
104	RER1	0.4674015	0.42579308	-0.13420896	1.1933092	0
105	PEX10	0.060489878	0.05338007	-0.17727096	0.3675148	0
106	PLCH2	0.00043164042	0.0015895519	0.8550333	0.32597718	0
107	AL139246.1	0.00033954496	-8.4983185e-09	-0.42175525	1.0177449	0
108	AL139246.4	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
109	PANK4	0.035330333	0.020900575	-0.7302057	1.9248829	0
110	HES5	0.0068657696	0.018872544	1.3371167	1.3913797	0
111	AL139246.5	0.01519048	0.017923733	0.2250509	0.21249455	0
112	TNFRSF14-AS1	0.00022189063	-8.4983185e-09	-0.28912738	0.80006915	0
113	TNFRSF14	0.009418702	0.009627455	0.02862055	0.019110397	0
114	AL139246.3	0.00027803273	-8.4983185e-09	-0.35393706	0.7904654	0
115	PRXL2B	0.05416078	0.06853993	0.3341988	0.82653195	0
116	MMEL1	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
117	AL831784.1	4.656613e-08	-8.4983185e-09	-7.945817e-05	44.55244	0
118	TTC34	0.0031765988	0.0026398771	-0.19843885	0.10372	0
