	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.0664348	0.015368557	-2.0425663	11.748891	1
58	MXRA8	0.09808563	0.006395219	-3.7440112	29.941496	1
79	MMP23B	0.030072834	0.003240787	-2.8732498	7.950788	1
142	SMIM1	0.039496478	0.0022729672	-3.6291254	12.053025	1
176	GPR153	0.04985257	0.0025044656	-3.859054	16.361177	1
224	GPR157	0.022977505	0.0046098167	-2.095656	5.110941	1
236	PIK3CD-AS2	0.030129142	0.00762232	-1.8521178	5.5481324	1
245	RBP7	0.049435876	0.0070222095	-2.6523788	11.854336	1
374	HSPB7	0.015142443	0.0008397184	-3.133302	5.261138	1
464	CAMK2N1	0.21302511	0.018341983	-3.4679725	44.55244	1
659	RAB42	0.016237333	0.00036082987	-3.662978	7.2088747	1
697	TINAGL1	0.029062664	0.0010792132	-3.8538632	10.055364	1
702	COL16A1	0.07170789	0.006640391	-3.2503936	21.335245	1
783	CLSPN	0.10971249	0.022334363	-2.24629	17.431688	1
820	CDCA8	0.04619183	0.0036533289	-3.342202	11.349496	1
832	POU3F1	0.028384985	0.004643876	-2.380321	7.192133	1
854	HEYL	0.18007927	0.013488431	-3.6436481	44.55244	1
942	CDC20	0.050916072	0.0025514388	-3.8697057	12.0812645	1
973	KIF2C	0.048264027	0.0011902113	-4.4913926	14.695191	1
1026	CYP4X1	0.019786073	0.002216597	-2.6920102	5.5539894	1
1052	BEND5	0.047101464	0.007901807	-2.4339106	10.918582	1
1200	NFIA	0.67789984	0.21454865	-1.6551852	44.55244	1
1211	DOCK7	0.20150325	0.041940596	-2.237531	40.294834	1
1269	DEPDC1	0.04817527	0.0017393584	-4.1660233	12.714054	1
1353	IFI44L	0.025004664	8.4983185e-09	-4.700686	11.298846	1
1397	SYDE2	0.03189952	0.009353252	-1.6679825	5.1679325	1
1432	GBP1	0.04291081	0.00069568877	-4.6946325	15.648905	1
1540	LRRC39	0.016792446	0.00058292516	-3.4905999	6.3369875	1
1551	VCAM1	0.057817966	0.0050195726	-3.288524	15.283424	1
1562	OLFM3	0.026664509	0.0011713569	-3.6713674	7.866663	1
1610	PSRC1	0.023791231	0.003792006	-2.3711283	5.970733	1
1626	GSTM2	0.02621087	0.0042989934	-2.3603928	6.370118	1
1636	CSF1	0.04912465	0.0028136875	-3.7162619	16.273182	1
1724	OLFML3	0.16157874	0.034108113	-2.2112625	29.714314	1
1726	SYT6	0.017480398	0.000473227	-3.6489441	6.697577	1
1741	NGF	0.035195794	0.0020635445	-3.5625484	11.341029	1
1791	ZNF697	0.08823479	0.021070441	-2.0154908	16.652882	1
1792	PHGDH	0.2542633	0.020576485	-3.5644543	44.55244	1
1796	NOTCH2	0.2336801	0.015726807	-3.8104615	44.55244	1
1853	TXNIP	0.49061865	0.16697365	-1.5493046	44.55244	1
1857	NBPF10	0.026117736	0.00045839336	-4.216785	9.667006	1
1858	NOTCH2NLA	0.046006266	0.002617321	-3.6998594	15.821667	1
1869	BCL9	0.07337314	0.020864183	-1.7662122	11.799154	1
1888	NBPF14	0.08827264	0.002880528	-4.5238934	30.81492	1
1895	NBPF9	0.03576161	0.011547213	-1.5508329	5.3334517	1
1896	AC245297.3	0.14271002	0.04436438	-1.6635287	20.687828	1
1898	NOTCH2NLC	0.025870793	0.0004365784	-4.2253304	9.688095	1
1899	NBPF19	0.06959553	0.0013543359	-4.9061847	24.625175	1
1976	SELENBP1	0.045741186	0.008937442	-2.2337477	9.666259	1
2175	MEX3A	0.22113155	0.057204776	-1.932205	38.503124	1
2193	IQGAP3	0.014960496	0.000669513	-3.2570062	6.036686	1
2200	BCAN	0.0427504	0.0135645345	-1.5868366	6.2979493	1
2206	CRABP2	0.111556046	0.008718968	-3.5336967	31.31981	1
2354	OLFML2B	0.048610203	0.0009416287	-4.6752977	17.078848	1
2366	DDR2	0.17451698	0.012918064	-3.65658	44.55244	1
2374	NUF2	0.056296352	0.004478887	-3.3864884	13.114724	1
2461	PRRX1	0.06631972	0.0041888105	-3.6975534	19.907398	1
2477	DNM3OS	0.32098955	0.049785595	-2.6645226	44.55244	1
2540	ANGPTL1	0.030470865	0.0021570665	-3.3173602	9.327974	1
2611	COLGALT2	0.019502623	0.0030675745	-2.3335679	5.0423574	1
2670	RGS2	0.08109294	0.023173679	-1.7638211	11.845383	1
2685	KCNT2	0.0180026	0.0005829816	-3.5854802	6.2771206	1
2686	CFH	0.051289473	0.0026278165	-3.849347	16.43792	1
2693	ASPM	0.118757404	0.005249968	-4.2601223	20.349245	1
2719	KIF14	0.051931478	0.006519518	-2.8154137	11.924786	1
2725	KIF21B	0.073592894	0.019086475	-1.8928139	12.600169	1
2737	TNNI1	0.04256355	0.0044958713	-2.9867013	10.308926	1
2801	PLEKHA6	0.014616347	0.0010494817	-2.9297261	5.0022426	1
2838	RAB7B	0.017219447	0.0019227109	-2.6401	5.231956	1
2896	CAMK1G	0.01450486	8.4983185e-09	-3.9546363	5.7554097	1
2899	G0S2	0.16040677	0.006831905	-4.365194	39.144478	1
2925	NEK2	0.022179244	0.00062884367	-3.8309135	6.735911	1
2931	DTL	0.029460916	0.0038580564	-2.648508	7.0067935	1
2957	VASH2	0.038582988	0.006699284	-2.3620842	8.873921	1
2971	CENPF	0.21938494	0.021304369	-3.3046274	28.78021	1
2990	TGFB2	0.05083142	0.0033654245	-3.569633	15.560174	1
3046	SUSD4	0.0379565	0.0012230707	-4.131238	13.128748	1
3069	ENAH	0.28985807	0.07912127	-1.8600581	44.55244	1
3122	OBSCN	0.08884781	0.023835717	-1.8550669	14.620781	1
3145	CCSAP	0.027631594	0.004768013	-2.3114617	6.5636783	1
3325	KIF26B	0.08563005	0.012627129	-2.668386	19.466917	1
3542	RRM2	0.09220165	0.010155925	-3.0625455	15.019518	1
3577	TRIB2	0.37507328	0.056231987	-2.7161202	44.55244	1
3578	AC064875.1	0.021457937	0.0010351563	-3.4640138	8.101953	1
3623	OSR1	0.028224785	0.006316189	-1.998028	5.7878776	1
3665	KLHL29	0.031042436	0.0067168456	-2.0539007	6.5413294	1
3714	CENPA	0.04201418	0.001467964	-4.1234193	11.547521	1
3726	EMILIN1	0.22411707	0.020041626	-3.4193573	44.55244	1
3857	CYP1B1	0.11200447	0.005719408	-4.071902	30.864174	1
3886	SLC8A1	0.093661666	0.008783839	-3.2743077	24.877682	1
3896	PKDCC	0.092164986	0.017798139	-2.3091981	20.338825	1
3902	OXER1	0.016510066	0.00053238333	-3.5143352	6.0480127	1
3903	HAAO	0.03677516	0.002194372	-3.5638337	11.681359	1
3914	PLEKHH2	0.1062129	0.010444909	-3.2277005	27.190897	1
3983	NRXN1	0.2417476	0.014017187	-4.0147705	44.55244	1
4007	EML6	0.04079617	0.0014842943	-4.0724626	13.263848	1
4111	MEIS1	0.24470225	0.06316909	-1.9369607	40.243088	1
4112	MEIS1-AS2	0.020533435	0.002713703	-2.535648	5.597473	1
4144	ANTXR1	0.40234408	0.063152865	-2.6524253	44.55244	1
4250	LOXL3	0.026422024	0.0033854507	-2.644538	7.8556356	1
4487	DUSP2	0.04428604	0.0020073173	-3.9125173	15.5796	1
4496	NCAPH	0.029633867	0.002771983	-3.0217326	9.225745	1
4557	AFF3	0.04089457	0.0018688926	-3.8681974	13.583863	1
4647	ST6GAL2	0.06689342	0.012311992	-2.3505454	13.4387245	1
4659	SLC5A7	0.04918258	0.0016429805	-4.2469487	15.692054	1
4676	SOWAHC	0.057100438	0.016186506	-1.7572727	8.890678	1
