	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
1	FAM138A	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
2	OR4F5	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
3	AL627309.1	0.0031583118	0.00066199165	-1.3230848	0.83006006	0
4	AL627309.3	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
5	AL627309.2	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
6	AL627309.5	0.022362217	0.005611635	-1.8210983	3.2131858	0
7	AL627309.4	0.0017346191	0.0005075247	-0.8591582	0.44142222	0
8	AP006222.2	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
9	AL732372.1	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
10	OR4F29	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
11	AC114498.1	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
12	OR4F16	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
13	AL669831.2	0.0005920731	8.4983185e-09	-0.6708943	0.49818027	0
14	LINC01409	0.033998717	0.0260032	-0.37417156	0.63850814	0
15	FAM87B	0.00060996716	8.4983185e-09	-0.68701905	0.49820352	0
16	LINC01128	0.13172716	0.1129333	-0.22027414	0.7990638	0
17	LINC00115	0.0031967051	0.010972878	1.5124409	1.9403787	0
18	FAM41C	0.0072360383	0.01925969	1.2985896	2.332121	0
19	AL645608.6	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
20	AL645608.2	0.0010683815	0.00046636467	-0.49625832	0.21778697	0
21	AL645608.4	-9.313226e-09	8.4983185e-09	2.5625188e-05	44.55244	0
22	LINC02593	0.003990469	0.0015670188	-0.9590816	0.5433387	0
23	SAMD11	0.014647309	0.015368557	0.06501258	0.05818168	0
24	NOC2L	0.22459662	0.21714582	-0.048452657	0.17938112	0
25	KLHL17	0.010647343	0.016216768	0.5638135	0.65310794	0
