	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
683	LAPTM5	0.0008391754	0.011094695	2.7172434	9.790842	1
767	GJA4	0.00024479185	0.009882642	3.1280525	9.087965	1
832	POU3F1	0.00095974386	0.006773427	1.9878856	5.7905016	1
854	HEYL	0.001518037	0.0133461375	2.5102909	12.399769	1
938	TIE1	0.00094017514	0.00744663	2.122189	6.94778	1
1121	GLIS1	0.029348953	0.009417162	-1.5426843	14.837696	1
1209	KANK4	0.0054142517	0.020822134	1.7664392	11.7894	1
1355	ADGRL4	0.003988012	0.026790071	2.4780326	13.60959	1
2309	ITLN1	0.0018218661	0.0087699955	1.7917084	5.825927	1
2477	DNM3OS	0.0017641386	0.01619103	2.636754	15.78922	1
2777	MYBPH	0.0028045932	-3.434252e-08	-1.9277918	6.3994594	1
2798	REN	-4.6449713e-08	0.009783412	3.4308088	5.6836395	1
2879	CD34	0.00026351598	0.011174136	3.2683036	9.333705	1
2912	KCNH1	0.005271849	0.018926013	1.6676903	9.628868	1
3018	HLX	0.0013335588	0.016209623	2.8826118	13.782313	1
3079	LEFTY2	0.03704992	0.19649348	2.3758397	44.55244	1
3781	ALK	0.05103332	0.011254964	-2.0860693	43.774292	1
3914	PLEKHH2	0.0016176085	0.0080987215	1.7974145	6.25023	1
3940	EPAS1	0.0057046027	0.022575868	1.814087	11.578157	1
4681	MALL	0.00079151336	0.009201029	2.509464	7.711097	1
4793	INHBB	0.0004710498	0.0074828975	2.527711	7.3083453	1
4929	CXCR4	0.0054150843	0.018320229	1.5905721	7.2053723	1
5260	ITGA4	0.0032144613	0.03170972	2.956299	24.468233	1
5685	KCNE4	0.003989033	0.013295927	1.518772	7.046347	1
5834	ACKR3	0.0006124736	0.0071568955	2.3387446	6.7668433	1
5841	COL6A3	0.012964112	0.05170625	1.9162502	21.18114	1
6103	FGD5	0.0006598404	0.007923937	2.426636	9.615662	1
7320	TM4SF18	0.0021750806	0.018748369	2.6368682	10.301304	1
7321	TM4SF1	0.015006334	0.04544511	1.5368838	12.683808	1
7417	VEPH1	0.0016880274	0.0073688766	1.6384861	5.5618043	1
7529	TNFSF10	0.0008293006	0.0068990607	2.110389	6.3581743	1
7729	FGF12	0.004781362	0.019090574	1.7970374	12.147	1
7880	SPON2	0.0022382909	0.015279219	2.329727	7.934703	1
8052	LINC01182	0.0036678119	0.022980766	2.3610594	18.681988	1
8073	PROM1	0.008351397	0.029239727	1.6931913	14.593708	1
8357	HOPX	0.020163871	0.14590776	2.7952352	44.55244	1
8427	SULT1E1	0.002166716	0.030967483	3.3355458	19.34853	1
8691	EMCN	0.006983719	0.04186104	2.4245338	25.725222	1
8800	ARSJ	0.0013661279	0.009911453	2.2052433	8.798664	1
8931	PCDH18	0.0057543986	0.025221584	1.9568555	14.12315	1
9147	FSTL5	0.003810329	0.014211351	1.6609408	7.22896	1
9211	GALNTL6	0.008951535	0.0017383293	-1.8616232	9.402643	1
9657	NPR3	0.0025743805	0.011317518	1.7849464	5.810576	1
9826	ESM1	0.004861419	0.03886407	2.7657669	14.0870695	1
10175	NR2F1-AS1	0.0020687296	0.013535987	2.2439156	9.992074	1
10176	NR2F1	0.00030428357	0.027032612	4.4257765	22.735674	1
10238	ST8SIA4	0.0017738511	0.008421923	1.7641312	5.9866166	1
10575	ECSCR	0.0027560606	0.023609484	2.7119222	14.297813	1
10702	PCDH12	0.00071035314	0.009924249	2.6751678	9.02982	1
10755	C5orf46	0.0025778743	0.03528575	3.3422284	31.760046	1
10795	PDGFRB	0.0054665944	0.056490883	3.152255	35.00164	1
10893	EBF1	0.00085124373	0.016686197	3.256057	15.749809	1
11030	LINC01411	0.0676957	0.019607995	-1.7370157	41.53291	1
11214	FOXC1	0.0054202885	0.0189837	1.6381136	9.29791	1
12735	SAMD5	0.0024147062	0.011541438	1.8768696	8.211241	1
12798	MYCT1	0.0007803156	0.01149173	2.8107684	9.930611	1
13240	RAPGEF5	0.001093459	0.01934343	3.2806025	16.979122	1
13306	HOXA9	-4.6449713e-08	0.0063765044	2.8830042	9.363253	1
13308	HOXA10	7.4734446e-05	0.014968488	3.8931756	16.042969	1
13531	IGFBP3	0.03890426	0.15062661	1.9259084	44.55244	1
13596	EGFR	0.0035566948	0.019593328	2.1761172	14.216014	1
14175	CPED1	0.0053987238	0.01978675	1.6998081	12.203365	1
14525	AC004889.1	0.004688374	0.022471722	2.0448353	15.36102	1
14584	GIMAP4	0.00030517473	0.009135238	2.957065	8.734714	1
14947	CSGALNACT1	0.002388318	0.009826206	1.6758865	6.096165	1
14950	LPL	0.002267411	0.011538848	1.9401851	7.857949	1
15076	PNOC	0.015329611	0.0020533283	-2.4190357	9.018091	1
15217	TCIM	0.00089149445	0.006635482	2.0131927	5.4021034	1
15327	SOX17	0.0015394039	0.012363247	2.3957088	7.5743294	1
15459	AC083967.1	0.00022588798	0.014104089	3.62304	10.252468	1
15463	SULF1	0.0075015174	0.06961243	3.0541298	35.89313	1
15529	ZFHX4	0.004234005	0.017827285	1.8468378	10.336725	1
15644	SLC26A7	0.0021594483	0.009953973	1.7937095	5.6761413	1
15876	ENPP2	9.0516405e-05	0.003517128	2.0503943	5.166204	1
16318	BNC2	-4.6449713e-08	0.0039395387	2.3044434	6.179756	1
17630	GATA3	0.0012310451	0.028905138	3.7446017	23.096132	1
18178	OIT3	0.1531799	0.032988742	-2.181486	44.55244	1
18321	GRID1	0.0030800519	0.01250107	1.7264143	8.2945795	1
18331	MMRN2	0.0027470812	0.014261705	2.026077	9.580613	1
18451	ENTPD1	0.004360294	0.016400646	1.6987568	9.737596	1
18691	GFRA1	0.002230417	0.009949653	1.7610928	6.3969083	1
18784	CPXM2	0.0029547438	0.0131630385	1.8404746	7.217066	1
19250	LYVE1	0.00033531245	0.01069001	3.1300268	9.324215	1
19518	LRRC4C	0.0020289416	0.013389671	2.248148	10.112159	1
19568	CHST1	0.0021986961	0.019158792	2.6558533	14.144101	1
20422	NOX4	0.0007122522	0.005198242	1.855964	5.861883	1
20534	CASP4	0.0026401076	0.011406599	1.7690547	5.2485013	1
20760	THY1	0.010951105	0.066743046	2.502929	33.280025	1
20840	ESAM	0.0043465956	0.028438795	2.4610262	15.814009	1
20847	ROBO4	0.00032268383	0.007864567	2.744582	7.953763	1
20907	FLI1	0.00075670716	0.007925159	2.3450043	7.453396	1
21294	EMP1	0.0033822213	0.0227208	2.4364183	14.218889	1
21728	ACVRL1	0.0007437179	0.009693152	2.6164486	8.718182	1
21820	HOXC9	-4.6449713e-08	0.0069419034	2.9895518	9.251494	1
22262	LUM	0.010267628	0.03923456	1.8362513	14.720266	1
22356	ANO4	0.00141628	0.007035233	1.7335522	6.515046	1
23137	RGCC	0.001293837	0.013990595	2.7082229	9.035809	1
23671	TMEM255B	0.0018776731	0.012777143	2.2593021	7.752266	1
24012	ADCY4	0.0006822236	0.007983644	2.4169312	9.471898	1
24139	CLEC14A	6.281212e-05	0.011576206	3.5647383	10.1020775	1
24157	LRFN5	0.003733287	0.0133054415	1.5956496	8.179523	1
24650	AL049775.1	0.0038842596	0.013933376	1.6123286	7.5901303	1
24652	FLRT2	0.06383816	0.2074016	1.6844512	44.55244	1
24866	MEG3	-4.6449713e-08	0.054676853	5.7990727	40.56312	1
24869	MEG8	0.0037150858	0.019545456	2.1234634	12.585773	1
25445	DLL4	0.00076405983	0.0055773463	1.8986061	5.7732854	1
25446	CHAC1	0.03422098	0.0058550006	-2.361206	27.719126	1
25593	FBN1	0.014177115	0.0447904	1.5931475	16.978006	1
25720	ALDH1A2	0.0013570912	0.01448578	2.7158644	12.466392	1
25977	ISLR	0.0020166407	0.010662688	1.9508855	8.552935	1
27067	NUPR1	0.05402411	0.017604468	-1.5644146	20.774351	1
27386	TOX3	0.00011201762	0.0040217317	2.1750054	5.5204887	1
27547	CDH5	0.0012440289	0.02304777	3.4217398	15.809344	1
27878	CDH13	0.007173462	0.023899263	1.6070838	11.575713	1
27916	CRISPLD2	0.0021511763	0.008238816	1.5518174	5.23876	1
