	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
273	DISP3	0.0045786034	0.0007884335	-1.6412076	5.516138	1
288	NPPB	0.026022319	0.13118355	2.2903192	44.55244	1
1353	IFI44L	0.020786852	0.003931199	-2.1434474	19.372566	1
2912	KCNH1	0.017741397	0.0053595128	-1.5592403	11.030027	1
6764	CADM2	0.06662837	0.019178582	-1.7448037	38.776253	1
8462	ALB	0.038062405	0.17489956	2.1708992	44.55244	1
9147	FSTL5	0.014243558	0.0036428487	-1.7151175	9.430197	1
12635	PDE7B	0.005890163	0.0011870376	-1.6555601	5.2469287	1
14123	AC018464.1	0.0034855925	0.013101506	1.6524787	11.654716	1
16978	ABCA1	0.078722425	0.016415315	-2.194629	44.55244	1
17568	LINC00702	0.0021996466	0.011869645	2.0079877	12.393844	1
18333	ADIRF-AS1	0.024225729	0.007584122	-1.5551535	12.618553	1
18396	ANKRD1	0.16716921	1.0043452	2.5797055	44.55244	1
18670	NRAP	0.0010728223	0.009677627	2.3649228	13.875561	1
18691	GFRA1	0.008241842	0.0021323701	-1.5609257	6.0327663	1
19338	SAA1	0.0014625817	0.0070813578	1.7144262	7.853025	1
20418	AP003120.1	0.022255188	0.006259724	-1.6795659	16.060349	1
21045	AC005908.3	0.006909609	0.0014646664	-1.6822139	5.723165	1
21958	INHBE	0.014298594	0.0039158	-1.637901	9.5037155	1
23960	MYH7	0.3402894	1.251157	1.8753481	44.55244	1
28595	MFAP4	0.09759453	0.030547692	-1.6439731	44.55244	1
32893	TRIB3	0.1273887	0.03940061	-1.6680694	44.55244	1
33073	FLRT3	0.010550794	0.0027116584	-1.6378561	7.534704	1
35276	ADM2	0.013074197	0.0035774065	-1.6204503	9.305559	1
35286	KLHDC7B	0.0074273683	0.0013416276	-1.8475704	7.2549934	1
