	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	0.00012197159	-4.7613867e-08	-0.16610485	0.4985064	0
1	FAM138A	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
2	OR4F5	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
3	AL627309.1	0.0015439299	0.0019069345	0.19243972	0.18717939	0
4	AL627309.3	0.0007864508	0.00024368218	-0.5224783	0.5114626	0
5	AL627309.2	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
6	AL627309.5	0.027531167	0.021944819	-0.31437033	1.5452415	0
7	AL627309.4	0.0015873959	0.0010817753	-0.3136865	0.32186407	0
8	AP006222.2	0.00088040123	0.0010543788	0.12766173	0.14922641	0
9	AL732372.1	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
10	OR4F29	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
11	AC114498.1	0.00011350354	-4.7613867e-08	-0.15517482	0.49851486	0
12	OR4F16	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
13	AL669831.2	0.001865287	0.0014164095	-0.24581467	0.24468161	0
14	LINC01409	0.090391755	0.0630945	-0.51186347	8.721348	0
15	FAM87B	0.0007202042	0.00034052215	-0.35978475	0.32937148	0
16	LINC01128	0.16927136	0.15156804	-0.15838306	2.4648194	0
17	LINC00115	0.015551483	0.011126482	-0.4487994	1.6391672	0
18	FAM41C	0.008594019	0.010018842	0.19976534	0.4827205	0
19	AL645608.6	0.00021550804	0.00010720047	-0.13464297	0.25074804	0
20	AL645608.2	0.0068358826	0.0033604284	-0.84562594	2.1874335	0
21	AL645608.4	0.0018990493	0.0015985776	-0.15785772	0.14938897	0
22	LINC02593	0.05094816	0.0446842	-0.18537734	1.1670913	0
23	SAMD11	0.23869525	0.25401133	0.08935996	1.3799089	0
24	NOC2L	0.2518772	0.24683315	-0.029067699	0.30833402	0
25	KLHL17	0.014797719	0.015053293	0.023152983	0.04986347	0
26	PLEKHN1	0.0015503432	0.0017134725	0.08944886	0.09362993	0
27	PERM1	0.0014585118	0.0016202914	0.091942	0.0998272	0
28	AL645608.7	0.0003353065	0.0013204698	0.7972459	1.6886349	0
29	HES4	0.22819072	0.2603047	0.18918435	4.8078246	0
30	ISG15	0.229038	0.2606309	0.18566066	5.047608	0
31	AL645608.1	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
32	AGRN	0.089270845	0.089118965	-0.0024294073	0.011404592	0
33	AL645608.5	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
34	AL645608.8	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
35	RNF223	7.222954e-05	0.00023753848	0.20685966	0.43649262	0
36	C1orf159	0.017622633	0.01657604	-0.083446965	0.20775956	0
37	AL390719.3	0.0005682092	0.00018691702	-0.40189898	0.7211077	0
38	LINC01342	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
39	AL390719.2	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
40	TTLL10-AS1	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
41	TTLL10	-4.0628947e-08	0.00035583484	0.43924004	0.70018023	0
42	TNFRSF18	0.00063927635	4.3173903e-05	-0.6520794	0.6475905	0
43	TNFRSF4	-4.0628947e-08	7.519242e-05	0.104653455	0.49841416	0
44	SDF4	0.4971723	0.50510424	0.02278974	0.40699366	0
45	B3GALT6	0.17027658	0.1767722	0.053701874	0.55771255	0
46	C1QTNF12	0.0070466455	0.003763319	-0.75642025	1.9435947	0
47	AL162741.1	0.0006624019	0.0003032128	-0.35119656	0.5490235	0
48	UBE2J2	0.29893315	0.2975139	-0.006842882	0.06987401	0
49	LINC01786	0.0014973487	0.0010927467	-0.25499952	0.28142512	0
50	SCNN1D	0.0054801228	0.00403572	-0.36382303	0.6194437	0
51	ACAP3	0.06914667	0.06455079	-0.09776153	0.58817863	0
52	PUSL1	0.082098156	0.0873573	0.088532865	0.643607	0
53	INTS11	0.15476047	0.15444086	-0.0029632926	0.018790023	0
54	AL139287.1	0.00011641544	0.000119980774	0.0045999023	0.0074508362	0
55	CPTP	0.07229821	0.08220116	0.18282577	1.7740692	0
56	TAS1R3	0.0008555687	0.00032146042	-0.48972815	0.6368715	0
57	DVL1	0.04485295	0.054532655	0.2763218	2.3566904	0
58	MXRA8	0.038346652	0.029681383	-0.35887733	2.4366243	0
59	AURKAIP1	0.990225	1.0640887	0.10368913	11.113696	0
60	CCNL2	0.24544646	0.23834467	-0.04218457	0.45963025	0
61	MRPL20-AS1	0.09497293	0.092213735	-0.042084962	0.26744276	0
62	MRPL20	1.0417935	1.1049986	0.08489612	8.247765	0
63	AL391244.2	0.003647456	0.0040236795	0.112303324	0.15346977	0
64	ANKRD65	0.0013142739	0.000735339	-0.41534206	0.48603532	0
65	AL391244.1	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
66	TMEM88B	-4.0628947e-08	-4.7613867e-08	-1.006102e-05	18.72318	0
67	LINC01770	0.011994737	0.007708309	-0.577463	2.2412329	0
68	VWA1	0.09945389	0.10354368	0.05757237	0.40285873	0
69	ATAD3C	0.004819438	0.0016210844	-1.1507161	2.4112384	0
70	ATAD3B	0.03361873	0.03230614	-0.055764705	0.1807317	0
71	ATAD3A	0.09178	0.10445767	0.18477821	2.2086022	0
72	TMEM240	0.09668365	0.080676794	-0.2581909	3.4668996	0
73	SSU72	0.7380319	0.7437694	0.011157117	0.2413249	0
74	AL645728.1	0.013729363	0.011129416	-0.28018495	0.8388979	0
75	FNDC10	0.16240506	0.16137084	-0.009160093	0.06365268	0
