Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cardiac myofibril assembly (GO:0055003)	2/15	2.490834e-03	3.194299e-01	0	0	3.121978e+01	1.871669e+02	NEBL;TTN
GO_Biological_Process_2021	detection of mechanical stimulus (GO:0050982)	2/19	4.004046e-03	3.194299e-01	0	0	2.386915e+01	1.317684e+02	PKD2L2;TTN
GO_Biological_Process_2021	sarcomere organization (GO:0045214)	2/28	8.596207e-03	3.194299e-01	0	0	1.559969e+01	7.419888e+01	TNNT2;TTN
GO_Biological_Process_2021	ERBB2 signaling pathway (GO:0038128)	2/32	1.113452e-02	3.194299e-01	0	0	1.351701e+01	6.079551e+01	EGF;NRG4
GO_Biological_Process_2021	cardiac muscle tissue morphogenesis (GO:0055008)	2/32	1.113452e-02	3.194299e-01	0	0	1.351701e+01	6.079551e+01	TNNT2;TTN
GO_Biological_Process_2021	muscle cell development (GO:0055001)	2/33	1.181460e-02	3.194299e-01	0	0	1.308032e+01	5.805593e+01	NEBL;TTN
GO_Biological_Process_2021	cardiac muscle contraction (GO:0060048)	2/34	1.251248e-02	3.194299e-01	0	0	1.267092e+01	5.551166e+01	TNNT2;TTN
GO_Biological_Process_2021	regulation of blood circulation (GO:1903522)	2/35	1.322798e-02	3.194299e-01	0	0	1.228633e+01	5.314356e+01	KCNIP2;TNNT2
GO_Biological_Process_2021	actin-myosin filament sliding (GO:0033275)	2/38	1.547831e-02	3.194299e-01	0	0	1.126077e+01	4.693844e+01	TNNT2;TTN
GO_Biological_Process_2021	muscle filament sliding (GO:0030049)	2/38	1.547831e-02	3.194299e-01	0	0	1.126077e+01	4.693844e+01	TNNT2;TTN
GO_Biological_Process_2021	response to calcium ion (GO:0051592)	3/107	1.654781e-02	3.194299e-01	0	0	5.886994e+00	2.414552e+01	KCNIP2;TNNT2;TTN
GO_Biological_Process_2021	heart contraction (GO:0060047)	2/41	1.788046e-02	3.194299e-01	0	0	1.039299e+01	4.182187e+01	TNNT2;TTN
GO_Biological_Process_2021	myofibril assembly (GO:0030239)	2/43	1.956379e-02	3.194299e-01	0	0	9.885017e+00	3.888840e+01	TNNT2;TTN
GO_Biological_Process_2021	regulation of microvillus assembly (GO:0032534)	1/5	2.475353e-02	3.194299e-01	0	0	5.024242e+01	1.858360e+02	RAP1GAP
GO_Biological_Process_2021	regulation of cellular component movement (GO:0051270)	2/50	2.594896e-02	3.194299e-01	0	0	8.440476e+00	3.082144e+01	NRG4;EGF
GO_Biological_Process_2021	muscle contraction (GO:0006936)	3/129	2.694705e-02	3.194299e-01	0	0	4.853706e+00	1.754072e+01	KCNIP2;TNNT2;TTN
GO_Biological_Process_2021	skeletal muscle thin filament assembly (GO:0030240)	1/6	2.963096e-02	3.194299e-01	0	0	4.019192e+01	1.414328e+02	TTN
GO_Biological_Process_2021	regulation of hyaluronan biosynthetic process (GO:1900125)	1/6	2.963096e-02	3.194299e-01	0	0	4.019192e+01	1.414328e+02	EGF
GO_Biological_Process_2021	striated muscle hypertrophy (GO:0014897)	1/6	2.963096e-02	3.194299e-01	0	0	4.019192e+01	1.414328e+02	TTN
GO_Biological_Process_2021	striated muscle contraction (GO:0006941)	2/54	2.992584e-02	3.194299e-01	0	0	7.789639e+00	2.733410e+01	TNNT2;TTN
GO_Biological_Process_2021	positive regulation of epithelial tube formation (GO:1905278)	1/7	3.448425e-02	3.194299e-01	0	0	3.349158e+01	1.127746e+02	EGF
GO_Biological_Process_2021	Golgi disassembly (GO:0090166)	1/7	3.448425e-02	3.194299e-01	0	0	3.349158e+01	1.127746e+02	PLK5
GO_Biological_Process_2021	detection of muscle stretch (GO:0035995)	1/7	3.448425e-02	3.194299e-01	0	0	3.349158e+01	1.127746e+02	TTN
GO_Biological_Process_2021	regulation of potassium ion export across plasma membrane (GO:1903764)	1/7	3.448425e-02	3.194299e-01	0	0	3.349158e+01	1.127746e+02	KCNIP2
GO_Biological_Process_2021	skeletal myofibril assembly (GO:0014866)	1/8	3.931350e-02	3.194299e-01	0	0	2.870563e+01	9.289679e+01	TTN
