Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	12/203	4.148295e-10	3.618782e-07	0	0	1.407116e+01	3.039814e+02	ITGB1;CDH5;RAMP2;GRN;SPARC;FLT1;PLXND1;COL4A2;ECSCR;KDR;HSPG2;CD34
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	12/216	8.454854e-10	3.618782e-07	0	0	1.316578e+01	2.750477e+02	ITGB1;SPARC;COL4A2;COL4A1;LAMA4;PXDN;KDR;PECAM1;ITGA6;ITGA5;HSPG2;ADAMTS9
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	12/217	8.913257e-10	3.618782e-07	0	0	1.310089e+01	2.730004e+02	ITGB1;SPARC;COL4A2;COL4A1;LAMA4;PXDN;KDR;PECAM1;ITGA6;ITGA5;HSPG2;ADAMTS9
GO_Biological_Process_2021	blood vessel morphogenesis (GO:0048514)	7/56	1.198168e-08	3.648423e-06	0	0	3.049309e+01	5.561905e+02	EGFL7;RAMP2;FLT1;COL4A1;CAV1;KDR;TGFBR2
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	12/300	3.374249e-08	8.219670e-06	0	0	9.285985e+00	1.597608e+02	ITGB1;SPARC;COL4A2;COL4A1;LAMA4;PXDN;KDR;PECAM1;ITGA6;ITGA5;HSPG2;ADAMTS9
GO_Biological_Process_2021	positive regulation of angiogenesis (GO:0045766)	8/116	1.197727e-07	2.174116e-05	0	0	1.593559e+01	2.539761e+02	ITGB1;CDH5;RAMP2;GRN;FLT1;KDR;ITGA5;CD34
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	13/408	1.249492e-07	2.174116e-05	0	0	7.378583e+00	1.172852e+02	ITGB1;GRN;FLT1;PLXND1;CAV1;STC1;LDB2;CDH5;TMSB4X;KDR;PECAM1;ITGA6;TMSB10
GO_Biological_Process_2021	platelet degranulation (GO:0002576)	8/125	2.137219e-07	3.253916e-05	0	0	1.470308e+01	2.258186e+02	SPARC;APLP2;TMSB4X;PECAM1;CD9;TIMP3;TAGLN2;CALM1
GO_Biological_Process_2021	maintenance of blood-brain barrier (GO:0035633)	5/30	3.645208e-07	4.933182e-05	0	0	4.184211e+01	6.202959e+02	ITGB1;CDH5;PECAM1;ESAM;ACTB
GO_Biological_Process_2021	vasculogenesis (GO:0001570)	5/33	5.999247e-07	7.307082e-05	0	0	3.735338e+01	5.351418e+02	RAMP2;EGFL7;CAV1;KDR;TGFBR2
GO_Biological_Process_2021	positive regulation of vasculature development (GO:1904018)	7/102	7.911542e-07	8.760235e-05	0	0	1.569157e+01	2.204630e+02	ITGB1;CDH5;RAMP2;GRN;FLT1;KDR;CD34
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	9/221	1.661734e-06	1.686660e-04	0	0	9.184740e+00	1.222273e+02	ITGB1;CDH5;GRN;FLT1;CAVIN1;CAV1;KDR;PECAM1;ITGA6
GO_Biological_Process_2021	regulated exocytosis (GO:0045055)	8/180	3.386607e-06	3.172990e-04	0	0	9.973711e+00	1.256257e+02	SPARC;APLP2;TMSB4X;PECAM1;CD9;TIMP3;TAGLN2;CALM1
GO_Biological_Process_2021	receptor internalization (GO:0031623)	5/49	4.524523e-06	3.936335e-04	0	0	2.375120e+01	2.922822e+02	ITGB1;RAMP2;CALCRL;CAV1;CD9
GO_Biological_Process_2021	receptor-mediated endocytosis (GO:0006898)	7/143	7.578986e-06	6.154137e-04	0	0	1.093833e+01	1.289643e+02	ITGB1;RAMP2;SPARC;CALCRL;CAV1;CD9;HSPG2
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	9/269	8.244416e-06	6.276061e-04	0	0	7.470837e+00	8.745343e+01	ITGB1;CDH5;GRN;FLT1;CAV1;KDR;PECAM1;ITGA6;S100A11
GO_Biological_Process_2021	receptor metabolic process (GO:0043112)	5/58	1.049221e-05	7.517363e-04	0	0	1.970904e+01	2.259617e+02	ITGB1;RAMP2;CALCRL;CAV1;CD9
GO_Biological_Process_2021	cell junction assembly (GO:0034329)	6/102	1.227335e-05	8.304965e-04	0	0	1.316755e+01	1.488998e+02	CDH5;PLXND1;FSCN1;ITGA6;ACTB;LIMS1
GO_Biological_Process_2021	endothelium development (GO:0003158)	3/10	1.418791e-05	9.095195e-04	0	0	8.789249e+01	9.811545e+02	KDR;PECAM1;CD34
GO_Biological_Process_2021	cell-cell junction assembly (GO:0007043)	5/66	1.982743e-05	1.207491e-03	0	0	1.711734e+01	1.853542e+02	CDH5;RAMP2;FSCN1;CD9;ACTB
GO_Biological_Process_2021	branching involved in blood vessel morphogenesis (GO:0001569)	3/14	4.241532e-05	2.460089e-03	0	0	5.592034e+01	5.630060e+02	COL4A1;KDR;TGFBR2
GO_Biological_Process_2021	muscle contraction (GO:0006936)	6/129	4.651618e-05	2.575305e-03	0	0	1.026310e+01	1.023817e+02	TPM3;VIM;UTRN;CALM1;MYL12A;MYL12B
GO_Biological_Process_2021	negative regulation of anoikis (GO:2000811)	3/16	6.478178e-05	3.090002e-03	0	0	4.731245e+01	4.563043e+02	ITGB1;CAV1;ITGA5
GO_Biological_Process_2021	basement membrane organization (GO:0071711)	3/16	6.478178e-05	3.090002e-03	0	0	4.731245e+01	4.563043e+02	RAMP2;COL4A1;PXDN
GO_Biological_Process_2021	regulation of endothelial cell apoptotic process (GO:2000351)	4/44	6.849759e-05	3.090002e-03	0	0	2.068750e+01	1.983665e+02	CDH5;RAMP2;ECSCR;KDR
GO_Biological_Process_2021	positive regulation of cell-matrix adhesion (GO:0001954)	4/44	6.849759e-05	3.090002e-03	0	0	2.068750e+01	1.983665e+02	KDR;UTRN;S100A10;LIMS1
GO_Biological_Process_2021	homotypic cell-cell adhesion (GO:0034109)	4/44	6.849759e-05	3.090002e-03	0	0	2.068750e+01	1.983665e+02	PLPP3;ACTB;MYL12A;CD99
GO_Biological_Process_2021	positive regulation of endothelial cell migration (GO:0010595)	5/86	7.140264e-05	3.106015e-03	0	0	1.287784e+01	1.229470e+02	GRN;SPARC;TMSB4X;KDR;PLPP3
GO_Biological_Process_2021	negative regulation of angiogenesis (GO:0016525)	5/87	7.545839e-05	3.169252e-03	0	0	1.272015e+01	1.207388e+02	SPARC;COL4A2;ECSCR;ADAMTS9;HSPG2
GO_Biological_Process_2021	regulation of endothelial cell migration (GO:0010594)	5/89	8.410056e-05	3.414483e-03	0	0	1.241604e+01	1.165059e+02	GRN;SPARC;KDR;STC1;ADAMTS9
GO_Biological_Process_2021	hemopoiesis (GO:0030097)	5/94	1.090472e-04	4.220394e-03	0	0	1.171555e+01	1.068895e+02	SNRK;FLT1;KDR;CD34;TGFBR2
GO_Biological_Process_2021	positive regulation of focal adhesion assembly (GO:0051894)	3/19	1.108806e-04	4.220394e-03	0	0	3.843557e+01	3.500349e+02	KDR;LIMS1;S100A10
GO_Biological_Process_2021	bicellular tight junction assembly (GO:0070830)	4/53	1.427524e-04	5.118739e-03	0	0	1.688010e+01	1.494632e+02	CDH5;RAMP2;PECAM1;ESAM
GO_Biological_Process_2021	cellular response to growth factor stimulus (GO:0071363)	6/158	1.428876e-04	5.118739e-03	0	0	8.292833e+00	7.342020e+01	RAMP2;FLT1;KDR;IQGAP1;TGFBR2;LIMS1
GO_Biological_Process_2021	regulation of anoikis (GO:2000209)	3/21	1.510879e-04	5.257859e-03	0	0	3.416151e+01	3.005410e+02	ITGB1;CAV1;ITGA5
GO_Biological_Process_2021	tight junction assembly (GO:0120192)	4/56	1.770118e-04	5.988899e-03	0	0	1.590385e+01	1.373980e+02	CDH5;RAMP2;PECAM1;ESAM
GO_Biological_Process_2021	regulation of MAPK cascade (GO:0043408)	6/166	1.869856e-04	6.078615e-03	0	0	7.875000e+00	6.760277e+01	LBH;FLT1;CAV1;KDR;LAPTM5;IQGAP1
GO_Biological_Process_2021	positive regulation of cell junction assembly (GO:1901890)	4/57	1.896448e-04	6.078615e-03	0	0	1.560299e+01	1.337232e+02	CAV1;KDR;S100A10;LIMS1
GO_Biological_Process_2021	positive regulation of cell-substrate junction organization (GO:0150117)	3/24	2.274364e-04	7.047506e-03	0	0	2.927688e+01	2.455932e+02	KDR;LIMS1;S100A10
GO_Biological_Process_2021	apical junction assembly (GO:0043297)	4/60	2.314452e-04	7.047506e-03	0	0	1.476488e+01	1.235993e+02	CDH5;RAMP2;PECAM1;ESAM
GO_Biological_Process_2021	cell-cell adhesion mediated by integrin (GO:0033631)	2/5	2.450872e-04	7.107528e-03	0	0	1.353537e+02	1.125317e+03	ITGB1;PLPP3
GO_Biological_Process_2021	regulation of inward rectifier potassium channel activity (GO:1901979)	2/5	2.450872e-04	7.107528e-03	0	0	1.353537e+02	1.125317e+03	ITGB1;CAV1
GO_Biological_Process_2021	cellular response to transforming growth factor beta stimulus (GO:0071560)	5/114	2.695588e-04	7.598330e-03	0	0	9.556253e+00	7.854021e+01	FKBP1A;ITGB1;CDH5;TGFBR2;LIMS1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	11/621	2.744881e-04	7.598330e-03	0	0	3.908455e+00	3.205168e+01	ITGB1;PLVAP;ANXA2;TMSB4X;CFL1;FSCN1;HLA-C;MSN;VIM;HLA-E;LIMS1
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	6/179	2.809144e-04	7.603415e-03	0	0	7.278441e+00	5.951916e+01	FKBP1A;ITGB1;HLA-C;CD34;CD99;HLA-E
GO_Biological_Process_2021	endothelial cell development (GO:0001885)	3/26	2.900494e-04	7.680003e-03	0	0	2.672837e+01	2.177149e+02	PECAM1;STC1;MSN
GO_Biological_Process_2021	negative regulation of endothelial cell apoptotic process (GO:2000352)	3/27	3.251244e-04	8.425563e-03	0	0	2.561340e+01	2.057090e+02	CDH5;RAMP2;KDR
GO_Biological_Process_2021	leukocyte cell-cell adhesion (GO:0007159)	3/28	3.628214e-04	8.926288e-03	0	0	2.458763e+01	1.947734e+02	ITGB1;PECAM1;MSN
GO_Biological_Process_2021	glomerulus vasculature development (GO:0072012)	2/6	3.664322e-04	8.926288e-03	0	0	1.015102e+02	8.031180e+02	PECAM1;CD34
GO_Biological_Process_2021	membrane raft assembly (GO:0001765)	2/6	3.664322e-04	8.926288e-03	0	0	1.015102e+02	8.031180e+02	ANXA2;S100A10
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	8/351	3.804145e-04	9.085194e-03	0	0	4.958043e+00	3.904086e+01	FKBP1A;COL4A2;TPM3;COL4A1;PXDN;ITGA6;VIM;HSPG2
GO_Biological_Process_2021	regulation of calcium ion transmembrane transporter activity (GO:1901019)	3/29	4.032210e-04	9.444677e-03	0	0	2.364076e+01	1.847768e+02	FKBP1A;AHNAK;CALM1
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	2/7	5.113328e-04	1.112149e-02	0	0	8.120408e+01	6.154043e+02	HLA-C;HLA-E
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	2/7	5.113328e-04	1.112149e-02	0	0	8.120408e+01	6.154043e+02	HLA-C;HLA-E
GO_Biological_Process_2021	calcitonin family receptor signaling pathway (GO:0097646)	2/7	5.113328e-04	1.112149e-02	0	0	8.120408e+01	6.154043e+02	RAMP2;CALCRL
GO_Biological_Process_2021	vascular wound healing (GO:0061042)	2/7	5.113328e-04	1.112149e-02	0	0	8.120408e+01	6.154043e+02	KDR;CD34
GO_Biological_Process_2021	regulation of cell motility (GO:2000145)	5/133	5.476880e-04	1.170323e-02	0	0	8.129934e+00	6.105422e+01	CAVIN1;PLXND1;TMSB4X;LDB2;TMSB10
GO_Biological_Process_2021	negative regulation of blood vessel morphogenesis (GO:2000181)	4/78	6.320695e-04	1.327346e-02	0	0	1.116329e+01	8.223449e+01	SPARC;COL4A2;ECSCR;HSPG2
GO_Biological_Process_2021	cellular response to vascular endothelial growth factor stimulus (GO:0035924)	3/34	6.484839e-04	1.338735e-02	0	0	1.982275e+01	1.455163e+02	RAMP2;FLT1;KDR
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)	2/8	6.795552e-04	1.369291e-02	0	0	6.766667e+01	4.935655e+02	HLA-C;HLA-E
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	9/481	6.857696e-04	1.369291e-02	0	0	4.070870e+00	2.965616e+01	CSTB;GRN;PNP;CD93;ANXA2;PECAM1;HLA-C;IQGAP1;S100A11
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	9/485	7.272848e-04	1.424934e-02	0	0	4.035830e+00	2.916368e+01	CSTB;GRN;PNP;CD93;ANXA2;PECAM1;HLA-C;IQGAP1;S100A11
GO_Biological_Process_2021	Ras protein signal transduction (GO:0007265)	5/142	7.370347e-04	1.424934e-02	0	0	7.592393e+00	5.476299e+01	PLK2;CFL1;ARHGDIB;ARHGAP29;RASGRP3
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	9/488	7.597520e-04	1.445903e-02	0	0	4.009934e+00	2.880142e+01	CSTB;GRN;PNP;CD93;ANXA2;PECAM1;HLA-C;IQGAP1;S100A11
GO_Biological_Process_2021	negative regulation of endothelial cell proliferation (GO:0001937)	3/37	8.329374e-04	1.515309e-02	0	0	1.807095e+01	1.281330e+02	FLT1;SPARC;CAV1
GO_Biological_Process_2021	negative regulation of epithelial cell apoptotic process (GO:1904036)	3/37	8.329374e-04	1.515309e-02	0	0	1.807095e+01	1.281330e+02	CDH5;RAMP2;KDR
GO_Biological_Process_2021	basement membrane assembly (GO:0070831)	2/9	8.708672e-04	1.515309e-02	0	0	5.799708e+01	4.086487e+02	RAMP2;PXDN
GO_Biological_Process_2021	CD40 signaling pathway (GO:0023035)	2/9	8.708672e-04	1.515309e-02	0	0	5.799708e+01	4.086487e+02	ITGB1;ITGA5
GO_Biological_Process_2021	negative regulation of nitric oxide biosynthetic process (GO:0045019)	2/9	8.708672e-04	1.515309e-02	0	0	5.799708e+01	4.086487e+02	CAV1;CD34
GO_Biological_Process_2021	negative regulation of nitric oxide metabolic process (GO:1904406)	2/9	8.708672e-04	1.515309e-02	0	0	5.799708e+01	4.086487e+02	CAV1;CD34
GO_Biological_Process_2021	positive regulation of hydrolase activity (GO:0051345)	5/149	9.152048e-04	1.570027e-02	0	0	7.220760e+00	5.051906e+01	ITGB1;ITGA6;CALM1;S100A10;LIMS1
GO_Biological_Process_2021	regulation of cation channel activity (GO:2001257)	4/89	1.037518e-03	1.707698e-02	0	0	9.713235e+00	6.673890e+01	ITGB1;FKBP1A;AHNAK;CALM1
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	4/89	1.037518e-03	1.707698e-02	0	0	9.713235e+00	6.673890e+01	COL4A2;COL4A1;PXDN;ITGA6
GO_Biological_Process_2021	transforming growth factor beta receptor signaling pathway (GO:0007179)	4/89	1.037518e-03	1.707698e-02	0	0	9.713235e+00	6.673890e+01	ITGB1;FKBP1A;CDH5;TGFBR2
GO_Biological_Process_2021	adherens junction assembly (GO:0034333)	2/10	1.085038e-03	1.716334e-02	0	0	5.074490e+01	3.463918e+02	RAMP2;ACTB
GO_Biological_Process_2021	sequestering of actin monomers (GO:0042989)	2/10	1.085038e-03	1.716334e-02	0	0	5.074490e+01	3.463918e+02	TMSB4X;TMSB10
GO_Biological_Process_2021	positive regulation of vasculogenesis (GO:2001214)	2/10	1.085038e-03	1.716334e-02	0	0	5.074490e+01	3.463918e+02	KDR;CD34
GO_Biological_Process_2021	regulation of actin cytoskeleton organization (GO:0032956)	4/91	1.127082e-03	1.759982e-02	0	0	9.488985e+00	6.441240e+01	ARHGDIB;FSCN1;ESAM;IQGAP1
GO_Biological_Process_2021	regulation of endothelial cell proliferation (GO:0001936)	4/92	1.173837e-03	1.809790e-02	0	0	9.380682e+00	6.329594e+01	EGFL7;SPARC;CAV1;KDR
GO_Biological_Process_2021	substantia nigra development (GO:0021762)	3/43	1.294547e-03	1.939761e-02	0	0	1.535567e+01	1.021090e+02	CALM1;ACTB;YWHAH
GO_Biological_Process_2021	angiogenesis involved in wound healing (GO:0060055)	2/11	1.321840e-03	1.939761e-02	0	0	4.510431e+01	2.989843e+02	KDR;CD34
GO_Biological_Process_2021	positive regulation of cellular extravasation (GO:0002693)	2/11	1.321840e-03	1.939761e-02	0	0	4.510431e+01	2.989843e+02	PLVAP;CD99
GO_Biological_Process_2021	positive regulation of vacuole organization (GO:0044090)	2/11	1.321840e-03	1.939761e-02	0	0	4.510431e+01	2.989843e+02	GRN;ANXA2
GO_Biological_Process_2021	branching morphogenesis of an epithelial tube (GO:0048754)	3/44	1.384259e-03	2.007175e-02	0	0	1.498039e+01	9.860976e+01	COL4A1;KDR;TGFBR2
GO_Biological_Process_2021	interleukin-12-mediated signaling pathway (GO:0035722)	3/46	1.575186e-03	2.188310e-02	0	0	1.428219e+01	9.216840e+01	ANXA2;CFL1;MSN
