Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	52/94	1.511142e-100	1.595766e-97	0	0	5.122103e+02	1.177293e+05	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;SSR2;RPS6;RPL13A;RPS3A;RPL24;RPL26;RPL28;RPL10;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS24
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	51/90	3.028568e-99	1.599084e-96	0	0	5.300424e+02	1.202390e+05	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPL24;RPL26;RPL28;RPL10;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS24
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	50/93	1.604065e-95	5.646308e-93	0	0	4.617907e+02	1.007965e+05	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPL24;RPL26;RPL28;RPL10;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS24
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	51/103	4.957302e-95	1.308728e-92	0	0	3.972716e+02	8.626543e+04	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPL24;RPL26;RPL28;RPL10;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS24
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	52/113	8.228273e-95	1.737811e-92	0	0	3.523320e+02	7.632850e+04	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPL24;RPL26;RPL28;RPL10;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;EIF3E;RPS24
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	53/162	6.516230e-87	1.146857e-84	0	0	2.047478e+02	4.063233e+04	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;EEF1A1;RPL24;RPL26;RPL28;RPL10;RPL11;RRBP1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS24
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	52/171	3.650067e-83	5.506386e-81	0	0	1.800791e+02	3.418259e+04	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPL24;RPL26;RPL28;RPL10;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;EIF3E;RPS24
GO_Biological_Process_2021	translation (GO:0006412)	53/214	1.932673e-79	2.551129e-77	0	0	1.382539e+02	2.505787e+04	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;EEF1A1;RPL24;RPL26;RPL28;RPL10;RPL11;RRBP1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS24
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	54/314	1.289373e-71	1.512865e-69	0	0	8.867559e+01	1.447446e+04	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;EEF1A1;RPL24;RPL26;RPL28;PTMA;RPL10;RPL11;RRBP1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS24
GO_Biological_Process_2021	gene expression (GO:0010467)	54/356	1.883448e-68	1.988921e-66	0	0	7.617996e+01	1.187971e+04	RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;EEF1A1;RPL24;RPL26;RPL28;PTMA;RPL10;RPL11;RRBP1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS24
