	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
172	RNF207	0.1795185	0.07220072	-1.3022169	44.55244	1
297	TNFRSF1B	0.0054777726	0.00074779405	-1.8899627	5.913868	1
336	PDPN	0.10911611	0.22640896	1.0462636	44.55244	1
683	LAPTM5	0.0107749095	0.00086256315	-2.6603546	10.0818615	1
767	GJA4	0.0101521015	0.0002516054	-3.155464	9.089086	1
832	POU3F1	0.006958111	0.0009865012	-2.0021963	5.7897854	1
854	HEYL	0.01327387	0.0015603617	-2.478957	12.361848	1
938	TIE1	0.0076496704	0.00096638163	-2.137102	6.9467435	1
1121	GLIS1	0.009673931	0.029460378	1.5128423	14.423941	1
1209	KANK4	0.021207027	0.0055652293	-1.7580988	11.604113	1
1355	ADGRL4	0.026300184	0.0040992196	-2.4205623	13.284282	1
1433	GBP2	0.033709254	0.07958325	1.2151597	28.003334	1
2061	S100A8	0.013907612	0.0054814448	-1.2016618	5.153909	1
2075	S100A1	0.005973245	0.013188409	1.0248107	5.006338	1
2279	TAGLN2	0.04651428	0.019265546	-1.2293321	13.404735	1
2309	ITLN1	0.009009115	0.0018726682	-1.8008513	5.824107	1
2366	DDR2	0.016902218	0.0068621635	-1.1871401	6.585881	1
2383	LRRC52-AS1	0.038550507	0.08737269	1.1599045	30.080843	1
2461	PRRX1	0.009980665	0.00325879	-1.3664498	5.429126	1
2477	DNM3OS	0.016632486	0.0014206459	-2.864772	17.367735	1
2777	MYBPH	-3.3294782e-08	0.0028827987	1.9571449	6.399183	1
2798	REN	0.01005016	-4.575122e-08	-3.4660614	5.6844654	1
2847	IKBKE	0.04384127	0.09164491	1.0468847	28.402489	1
2879	CD34	0.010842777	0.00027085282	-3.2201385	9.475392	1
2912	KCNH1	0.019442042	0.0054188645	-1.6711493	9.626422	1
2992	C1orf143	0.01962972	0.057730954	1.5093968	32.168686	1
3018	HLX	0.016067872	0.0011089313	-3.0166993	14.659955	1
3079	LEFTY2	0.20096117	0.03766919	-2.3848217	44.55244	1
3781	ALK	0.011561839	0.052080702	2.0791397	43.70734	1
3914	PLEKHH2	0.008319539	0.0016627052	-1.8073659	6.248615	1
3940	EPAS1	0.021121845	0.004833506	-1.9230365	13.310992	1
4681	MALL	0.008158772	0.00030403805	-2.8121681	8.902263	1
4793	INHBB	0.007686924	0.0004841732	-2.549186	7.3084874	1
4929	CXCR4	0.017334813	0.0055660927	-1.4814786	6.547307	1
5148	CYBRD1	0.018288778	0.007940218	-1.1093799	6.2892704	1
5198	HOXD-AS2	0.0037612426	7.6820375e-05	-2.1445606	5.1821527	1
5200	HOXD8	0.0037847604	-4.575122e-08	-2.2585127	5.8459516	1
5260	ITGA4	0.03208321	0.0030099712	-3.0444353	25.134016	1
5361	HECW2	0.049731538	0.02138288	-1.1804872	15.043572	1
5368	ANKRD44	0.016111782	0.0073565394	-1.0340126	5.6109867	1
5458	NRP2	0.42708254	0.20450693	-1.0587019	44.55244	1
5685	KCNE4	0.013658446	0.00410028	-1.5230839	7.04318	1
5729	PID1	0.053457096	0.024181616	-1.1127492	14.999666	1
5834	ACKR3	0.007352042	0.00062955054	-2.3576548	6.7668557	1
5841	COL6A3	0.051512945	0.013080322	-1.8989927	20.88141	1
5846	RAB17	0.006659287	0.014494796	1.0165018	5.4936714	1
5980	AC018816.1	0.018114045	0.005971207	-1.4551528	8.927584	1
5982	BHLHE40	0.044238355	0.09319413	1.0580907	26.626078	1
6103	FGD5	0.008139988	0.00067823776	-2.4452453	9.615506	1
6240	AC097359.2	0.0064127315	0.014190504	1.0350926	5.0987473	1
6300	LYZL4	0.005428908	0.015323734	1.3443254	8.783578	1
6310	HHATL	0.039122775	0.09767224	1.298223	37.383575	1
6690	TAFA4	0.020927701	0.055444174	1.3640699	24.743906	1
6827	FILIP1L	0.0272783	0.009692945	-1.4030361	10.060179	1
6852	ZPLD1	0.0031869137	0.009873075	1.3768009	6.7238274	1
7029	SEMA5B	0.01793488	0.007554624	-1.1462698	5.9579597	1
7320	TM4SF18	0.018637259	0.001561233	-2.9386833	11.324104	1
7321	TM4SF1	0.039333984	0.01296744	-1.5299282	11.978179	1
7417	VEPH1	0.0075697964	0.0017351146	-1.6476597	5.559771	1
7487	MECOM	0.047449738	0.021743786	-1.0910164	13.0802355	1
7529	TNFSF10	0.0070871823	0.0008524129	-2.1262314	6.357661	1
7729	FGF12	0.019611087	0.0049146907	-1.8010459	12.146084	1
7880	SPON2	0.015156381	0.001984178	-2.4366984	8.226203	1
8052	LINC01182	0.023607345	0.0037700897	-2.3670008	18.683931	1
8073	PROM1	0.029705502	0.0085842805	-1.6797552	14.366407	1
8107	KCNIP4-IT1	0.19087297	0.08552955	-1.1488867	44.55244	1
8232	LIMCH1	0.043315504	0.019722799	-1.0965927	12.098853	1
8357	HOPX	0.14600149	0.02001237	-2.80652	44.55244	1
8427	SULT1E1	0.031531584	0.002227136	-3.3335147	19.138897	1
8691	EMCN	0.04161132	0.006544514	-2.497737	27.239603	1
8800	ARSJ	0.009845876	0.001404242	-2.1734924	8.608659	1
8816	NDST3	0.024251131	0.010904423	-1.0848503	6.511232	1
8841	QRFPR	0.0025929143	0.009056049	1.4848373	6.580629	1
8931	PCDH18	0.024805149	0.0049422258	-2.1185837	16.107895	1
9147	FSTL5	0.014598831	0.0039165765	-1.6657119	7.2266316	1
9211	GALNTL6	0.0017857201	0.009201149	1.8726095	9.409279	1
9657	NPR3	0.011626098	0.0024125804	-1.887474	6.169606	1
9807	ITGA1	0.05379631	0.019898562	-1.3906751	17.911194	1
9826	ESM1	0.03643592	0.00407894	-2.8818238	14.445443	1
10013	ENC1	0.081087366	0.0325	-1.2929993	26.609444	1
10035	IQGAP2	0.017540561	0.007763775	-1.0810605	6.0129232	1
10157	LUCAT1	0.092766985	0.19885223	1.0917816	44.55244	1
10175	NR2F1-AS1	0.013018721	0.0011725625	-2.6898851	12.799164	1
10176	NR2F1	0.026197169	0.0003127571	-4.3727846	22.107376	1
10238	ST8SIA4	0.0077535296	0.0018233204	-1.6324719	5.8038893	1
10526	TGFBI	0.015749248	0.005972207	-1.264409	5.9832063	1
10557	EGR1	0.17952982	0.08115854	-1.1357546	38.672928	1
10575	ECSCR	0.021750692	0.002538717	-2.6846123	14.115185	1
10693	RELL2	0.004265016	0.012724567	1.3822508	7.896894	1
10695	ARAP3	0.018550064	0.0059062233	-1.5012045	9.666572	1
10702	PCDH12	0.009857524	0.00033723493	-3.0213702	10.180208	1
10755	C5orf46	0.03542135	0.0026497557	-3.3189125	31.697495	1
10795	PDGFRB	0.05533009	0.004764486	-3.2886417	36.156166	1
10806	SYNPO	0.043924987	0.018132804	-1.2314698	14.898825	1
10841	GRIA1	0.013492223	0.035312302	1.3251795	14.860131	1
10893	EBF1	0.016505131	0.00058534485	-3.4649093	17.148405	1
11011	STC2	0.11566178	0.25327843	1.1240771	44.55244	1
11030	LINC01411	0.019598918	0.06941199	1.7732526	43.251408	1
