	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
273	DISP3	0.00084940717	0.0049245097	1.6796329	5.400479	1
287	NPPA	0.6885213	0.33501548	-1.0370675	44.55244	1
288	NPPB	0.13763282	0.027724564	-2.270912	44.55244	1
1353	IFI44L	0.004175688	0.022727175	2.1967177	19.490028	1
1354	IFI44	0.0042254236	0.011307923	1.2359675	6.0481377	1
1909	HIST2H2AA4	0.0074276514	0.021169696	1.3953863	12.349386	1
2088	CRTC2	0.010641901	0.028460372	1.339449	14.843759	1
2621	NIBAN1	0.012089847	0.02532895	1.0082017	7.4166207	1
2912	KCNH1	0.0054300223	0.018463606	1.5978833	11.621609	1
3059	CNIH3	0.0063618044	0.014412925	1.0660094	6.0772552	1
3121	OBSCN-AS1	0.0030152667	0.010854203	1.561831	7.889227	1
3584	LRATD1	0.014323569	0.030429034	1.0363455	10.268835	1
4640	ECRG4	0.01672825	0.035389174	1.037459	11.038423	1
4758	DPP10	0.0032098368	0.009969189	1.3816205	6.58289	1
5334	STAT4	0.0062181964	0.0018598497	-1.3356991	5.351061	1
6764	CADM2	0.019449653	0.07114665	1.8188561	41.37838	1
6827	FILIP1L	0.009712902	0.003157124	-1.3656917	6.1646204	1
6905	AC112487.1	0.0034663817	0.0092118895	1.1930714	5.1011486	1
6922	BOC	0.024278047	0.050922032	1.0384619	17.748936	1
8357	HOPX	0.020053567	0.0058732303	-1.6150044	13.378823	1
8462	ALB	0.15330982	0.031144435	-2.263189	44.55244	1
8759	COL25A1	0.009913755	0.026572162	1.3370649	12.676042	1
8816	NDST3	0.010926874	0.02475324	1.110538	8.595411	1
8940	SLC7A11	0.018361991	0.039816726	1.075933	12.286136	1
9147	FSTL5	0.00392464	0.014736909	1.6760621	8.981184	1
10526	TGFBI	0.005861884	0.0014334411	-1.4956069	5.31056	1
10710	FGF1	0.022120077	0.010281511	-1.0351859	8.956925	1
10774	ABLIM3	0.009990678	0.025958601	1.2944652	12.113574	1
11817	RPS10-NUDT3	0.0045327167	0.010957918	1.1119063	5.2836294	1
11930	FRS3	0.009055149	0.02532775	1.3886497	14.082557	1
12162	COL9A1	0.14212202	0.06182063	-1.1879354	44.55244	1
12582	CCN2	0.08625717	0.036704227	-1.2105474	29.675432	1
12635	PDE7B	0.0012788464	0.0052318037	1.451346	5.263839	1
13195	SOSTDC1	0.00914019	0.019815959	1.0376054	7.2445655	1
13403	AC018647.1	0.015502509	0.0056502526	-1.3112043	9.977722	1
13719	METTL27	0.0064216834	0.01429059	1.0428256	5.462981	1
13791	CD36	0.011229337	0.00507358	-1.0097271	5.1841745	1
13893	AC002451.1	0.005979416	0.015658459	1.2550766	7.6607614	1
13894	PDK4	0.008669896	0.02554576	1.4569091	15.06803	1
14123	AC018464.1	0.013218578	0.0038890345	-1.5401556	10.645898	1
15108	AC026979.2	0.008642476	0.018546462	1.019432	6.763849	1
15555	AC009812.1	0.010627064	0.024296101	1.1214283	9.844917	1
15813	ABRA	0.017441478	0.0059808623	-1.4014771	11.001329	1
15883	COL14A1	0.030229097	0.07952183	1.366489	33.077866	1
15929	RNF139-AS1	0.0047876392	0.01489274	1.457321	9.474422	1
15998	TMEM71	0.049938917	0.018047327	-1.4191797	28.828753	1
16009	AC103706.1	0.006460529	0.0150345415	1.1038333	6.4717336	1
16661	BANCR	0.33071256	0.15808941	-1.0600957	44.55244	1
16719	PSAT1	0.09925123	0.20969906	1.0715638	44.55244	1
16978	ABCA1	0.0154632535	0.08028791	2.3037913	44.55244	1
17568	LINC00702	0.011521152	0.0024542194	-1.8579357	11.733842	1
18201	SYNPO2L	0.5097893	0.252979	-1.008019	44.55244	1
18333	ADIRF-AS1	0.0073225107	0.021787375	1.453144	12.515037	1
18396	ANKRD1	1.033689	0.17919143	-2.521595	44.55244	1
18670	NRAP	0.01001941	0.0011969843	-2.3264506	14.066243	1
18691	GFRA1	0.0022973535	0.008653177	1.5496954	6.249337	1
18925	IFITM1	0.022339812	0.057936985	1.3363802	28.082476	1
18945	AP006284.1	0.004815997	0.012900537	1.2570422	6.4546485	1
19294	SPON1	0.08501722	0.0388164	-1.1112628	26.372065	1
19338	SAA1	0.007629147	0.0016318475	-1.713142	7.631118	1
19825	TMEM216	0.02692812	0.05651305	1.0421709	19.720379	1
20133	AP002813.1	0.00557194	0.013443439	1.1360232	6.09754	1
20418	AP003120.1	0.0063969973	0.02430909	1.7746439	17.688202	1
20540	GRIA4	0.030799327	0.06842386	1.1264354	21.380661	1
20554	SLN	0.16208564	0.05997363	-1.4193724	44.55244	1
20682	TAGLN	0.7694651	0.3645246	-1.0757611	44.55244	1
21035	TEAD4	0.03391404	0.016125076	-1.0276968	12.840223	1
21045	AC005908.3	0.0015780024	0.006378439	1.517062	5.392811	1
21054	FGF23	0.014707604	0.03743792	1.291067	12.431162	1
21950	NXPH4	0.0055996203	0.013233783	1.1088642	5.175247	1
21958	INHBE	0.0039002406	0.015438303	1.7461368	10.147939	1
21990	AC083805.1	0.007870607	0.016774759	1.0027252	6.2322097	1
22502	MYL2	0.23145026	0.09472161	-1.2800055	44.55244	1
22988	SHISA2	0.006157452	0.015303932	1.187702	6.928444	1
23597	IRS2	0.062405985	0.13067082	1.0542448	41.293564	1
23960	MYH7	1.300604	0.36455277	-1.832139	44.55244	1
25224	MAGEL2	0.0068036104	0.016659927	1.1782656	8.142852	1
25343	LPCAT4	0.076206714	0.1845112	1.264708	44.55244	1
25789	AC103740.2	0.009697999	0.003573134	-1.2260858	6.7302465	1
27008	PLK1	0.056093045	0.02749878	-1.0024148	12.742048	1
27067	NUPR1	0.05255661	0.1523621	1.5178053	44.55244	1
27126	DOC2A	0.010009259	0.024683524	1.2221258	10.713029	1
27204	PRSS36	0.0038946588	0.0106047485	1.245435	5.658004	1
27572	RRAD	0.65284044	0.30865833	-1.0782614	44.55244	1
28349	TMEM88	0.15568686	0.07331632	-1.0761331	44.55244	1
28565	FAM106A	0.005995885	0.016700048	1.3391747	9.652583	1
28595	MFAP4	0.03185112	0.10574179	1.7001108	44.55244	1
28806	AC116407.2	0.0051773945	0.012047167	1.0786662	5.396735	1
28822	MYO1D	0.023265593	0.04876731	1.0362864	16.391289	1
29261	AC138150.1	0.011742919	0.032658413	1.4012713	17.653948	1
29594	AC080038.1	0.008228703	0.0186048	1.0870072	7.337651	1
29875	AC021683.3	0.006249542	0.014144288	1.062812	5.83389	1
30357	AC105114.2	0.004625311	0.010882667	1.078854	5.0152617	1
30454	AC023043.1	0.01695595	0.007029578	-1.1610658	8.448044	1
30688	HMSD	0.009395274	0.0037525524	-1.1291534	5.908457	1
30933	REEP6	0.01961101	0.048342995	1.25943	21.531013	1
31832	AC020910.5	0.0045754313	0.015394447	1.5560519	11.308064	1
32475	ATF5	0.1407745	0.31902942	1.1746063	44.55244	1
32703	TNNI3	0.101248845	0.050072648	-1.0014619	22.835463	1
32893	TRIB3	0.040478386	0.13476689	1.7107	44.55244	1
33073	FLRT3	0.0025692591	0.011248801	1.7789439	8.667376	1
33612	KCNG1	0.015766783	0.034851182	1.0964147	12.635191	1
33774	COL9A3	0.027758311	0.06156485	1.1213734	21.9676	1
34245	ABCG1	0.0031506354	0.00942958	1.3292768	5.770662	1
34862	PLA2G3	0.009876546	0.0028951536	-1.4814684	8.192203	1
35169	LINC00207	0.010338222	0.0034682225	-1.3434215	6.7944207	1
35276	ADM2	0.0035914918	0.013682742	1.6770865	9.876027	1
35286	KLHDC7B	0.0014453753	0.0078087077	1.8488744	6.996296	1
