	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-4.5634806e-08	0.00013609754	0.18415256	0.4984859	0
1	FAM138A	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
2	OR4F5	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
3	AL627309.1	0.0016511205	0.0012014773	-0.26813027	0.3583353	0
4	AL627309.3	0.0002625006	0.0003419962	0.08809657	0.12242998	0
5	AL627309.2	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
6	AL627309.5	0.0216996	0.025850812	0.24229883	1.0929147	0
7	AL627309.4	0.0005294909	0.0011357173	0.48166913	0.7450991	0
8	AP006222.2	0.0011359263	0.0009822916	-0.107692696	0.11709395	0
9	AL732372.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
10	OR4F29	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
11	AC114498.1	-4.5634806e-08	0.00012664916	0.17210409	0.4984808	0
12	OR4F16	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
13	AL669831.2	0.000920497	0.0008986852	-0.016478974	0.017241396	0
14	LINC01409	0.0626751	0.085486755	0.44174984	7.230488	0
15	FAM87B	0.00012398825	9.433343e-05	-0.038574595	0.07104263	0
16	LINC01128	0.15448144	0.1743176	0.17322849	2.9660506	0
17	LINC00115	0.010514478	0.01482874	0.4590974	1.7892951	0
18	FAM41C	0.010164654	0.0091712875	-0.13443625	0.3013281	0
19	AL645608.6	0.00011549052	0.00024046027	0.15319729	0.26477626	0
20	AL645608.2	0.003011065	0.0056933938	0.73875254	1.9412509	0
21	AL645608.4	0.0015438028	0.0012612917	-0.16983977	0.18653755	0
22	LINC02593	0.045031082	0.05331092	0.2386339	1.7442096	0
23	SAMD11	0.2615643	0.25416678	-0.041230306	0.46759862	0
24	NOC2L	0.24909933	0.2578716	0.0497354	0.6513305	0
25	KLHL17	0.015901268	0.015113741	-0.06883995	0.16542639	0
26	PLEKHN1	0.0018460035	0.0013661828	-0.26637587	0.34794244	0
27	PERM1	0.0017456292	0.0016273122	-0.063549235	0.064373866	0
28	AL645608.7	0.0014226009	0.00037412473	-0.8180437	1.6366203	0
29	HES4	0.2693591	0.24266821	-0.14995885	3.312641	0
30	ISG15	0.27228415	0.24775943	-0.13565052	3.0402765	0
31	AL645608.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
32	AGRN	0.08976326	0.09002861	0.004211549	0.020400755	0
33	AL645608.5	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
34	AL645608.8	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
35	RNF223	0.00025591278	8.059817e-05	-0.21690615	0.42453358	0
36	C1orf159	0.016213596	0.017593887	0.11127993	0.29859766	0
37	AL390719.3	0.00020134437	0.00063397747	0.4437383	0.7457316	0
38	LINC01342	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
39	AL390719.2	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
40	TTLL10-AS1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
41	TTLL10	0.00010262104	-3.6903657e-08	-0.14099023	0.49843162	0
42	TNFRSF18	4.6518748e-05	0.00012291165	0.10164633	0.25083104	0
43	TNFRSF4	8.1014354e-05	-3.6903657e-08	-0.11243892	0.49840033	0
44	SDF4	0.5224825	0.52965975	0.019645698	0.3545797	0
45	B3GALT6	0.18590298	0.18278535	-0.024267811	0.20916228	0
46	C1QTNF12	0.0036832131	0.005991715	0.5781476	1.4130301	0
47	AL162741.1	0.0003266571	0.00073907117	0.3905214	0.57637495	0
48	UBE2J2	0.31011933	0.31954575	0.04306217	0.646026	0
49	LINC01786	0.000974503	0.0013214377	0.23352899	0.26501217	0
50	SCNN1D	0.003872294	0.004827994	0.25839826	0.44507638	0
51	ACAP3	0.06544115	0.06869988	0.06907931	0.3860453	0
52	PUSL1	0.090250835	0.08873877	-0.024106387	0.13165908	0
53	INTS11	0.15699318	0.15858988	0.014506991	0.10274664	0
54	AL139287.1	0.00012925302	0.0001298982	0.0008240774	0.0012212812	0
55	CPTP	0.08514074	0.079216905	-0.10278944	0.7561591	0
56	TAS1R3	0.00034632417	0.0005802212	0.23110059	0.32771984	0
57	DVL1	0.05682001	0.04692129	-0.27090207	2.3254118	0
58	MXRA8	0.03020201	0.039692845	0.38313603	2.7393804	0
59	AURKAIP1	1.1097859	1.0722326	-0.049618	3.689342	0
60	CCNL2	0.23564821	0.23459713	-0.006422088	0.05506759	0
61	MRPL20-AS1	0.09770576	0.10274911	0.07189275	0.5329685	0
62	MRPL20	1.1608716	1.1276355	-0.041871075	3.0088105	0
63	AL391244.2	0.0038518272	0.0038319682	-0.0059172283	0.006919322	0
64	ANKRD65	0.00057745527	0.0009810074	0.32863507	0.44132614	0
65	AL391244.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
66	TMEM88B	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
67	LINC01770	0.0080582835	0.012917519	0.6195924	2.4811366	0
68	VWA1	0.10768521	0.10759985	-0.0011335529	0.005874771	0
69	ATAD3C	0.0015238972	0.003594431	0.8642331	1.9736922	0
70	ATAD3B	0.03205553	0.031710807	-0.0151243005	0.045175318	0
71	ATAD3A	0.10780687	0.09740433	-0.14497596	1.5405571	0
72	TMEM240	0.08469745	0.10514658	0.3087337	4.769071	0
73	SSU72	0.7757611	0.78878164	0.02398289	0.7143036	0
74	AL645728.1	0.010451766	0.01482974	0.46706754	1.8372449	0
75	FNDC10	0.16916542	0.1779264	0.07242852	0.772979	0
76	AL691432.4	0.02339236	0.021441182	-0.12028075	0.38604534	0
77	AL691432.2	0.09866314	0.113606885	0.2015619	2.6100564	0
78	MIB2	0.19725208	0.2058381	0.061165977	0.7071079	0
79	MMP23B	0.2575904	0.1634952	-0.6526233	38.575977	0
80	CDK11B	0.17093346	0.18956722	0.14844973	2.5497098	0
81	FO704657.1	0.0023535253	0.0032176194	0.33075047	0.5513936	0
82	SLC35E2B	0.06230362	0.08862236	0.5015708	9.183878	0
83	CDK11A	0.09333968	0.10063769	0.107498854	0.91346097	0
84	SLC35E2A	0.04254356	0.053194884	0.31569728	2.7683885	0
85	NADK	0.084054254	0.083518036	-0.00912418	0.043898933	0
86	GNB1	0.72222674	0.7016022	-0.04173989	1.4070061	0
87	AL109917.1	0.008980537	0.0075244363	-0.22751296	0.50047123	0
88	CALML6	0.00016044406	0.00037211948	0.24172907	0.4046753	0
89	TMEM52	0.012156292	0.011464238	-0.07795818	0.15491569	0
90	CFAP74	0.0014397487	0.0025456771	0.5393285	0.90814686	0
91	AL391845.2	-4.5634806e-08	0.00016226375	0.21700335	0.8031601	0
92	GABRD	0.00054838066	0.0007196908	0.151389	0.18738633	0
93	AL391845.1	0.0007459796	0.00084159686	0.076920606	0.07868915	0
94	PRKCZ	0.10994974	0.1001836	-0.13293076	1.3309994	0
95	AL590822.2	0.0022646007	0.0020385073	-0.10354379	0.124721624	0
96	PRKCZ-AS1	0.0031647854	0.0032474073	0.028340302	0.033615366	0
97	FAAP20	0.79312783	0.73598045	-0.107744955	7.6948185	0
98	AL590822.1	0.00016702851	0.00016773678	0.0008752981	0.0010378167	0
99	SKI	0.14088118	0.15028124	0.09254973	1.008185	0
100	AL590822.3	0.011691918	0.01313664	0.15552917	0.3808957	0
101	MORN1	0.01723165	0.017541146	0.024285294	0.056280375	0
102	AL589739.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
103	AL513477.2	0.005094178	0.007959418	0.5559734	1.641859	0
104	RER1	0.40628406	0.43811467	0.108562425	3.6722672	0
105	PEX10	0.07944251	0.08722589	0.13324398	1.1050801	0
106	PLCH2	-4.5634806e-08	0.00011240959	0.15375395	0.4985246	0
107	AL139246.1	-4.5634806e-08	0.00010397332	0.14277114	0.49853265	0
108	AL139246.4	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
109	PANK4	0.025584647	0.049705945	0.9315615	14.697906	0
110	HES5	0.00060804153	0.0008932458	0.23555705	0.2908255	0
111	AL139246.5	0.0033514523	0.0067626033	0.83504355	2.6003633	0
112	TNFRSF14-AS1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
113	TNFRSF14	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
114	AL139246.3	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
115	PRXL2B	0.0661161	0.061091963	-0.11225245	0.7090064	0
116	MMEL1	0.00031978928	0.00026667363	-0.059262726	0.07453566	0
117	AL831784.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
118	TTC34	0.0042192116	0.004725145	0.13348043	0.19944063	0
119	AC242022.2	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
120	AC242022.1	-4.5634806e-08	0.000117470045	0.160302	0.49852413	0
121	AL592464.2	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
122	AL592464.3	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
123	AL592464.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
124	AL589702.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
125	ACTRT2	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
126	PRDM16-DT	0.18348911	0.18476082	0.009910606	0.068986736	0
127	PRDM16	0.15468566	0.1572527	0.023593968	0.1703383	0
128	AL008733.1	-4.5634806e-08	5.692558e-05	0.07993963	0.4985634	0
129	AL590438.1	0.00056660525	0.00094027456	0.30861914	0.4411078	0
130	AL354743.2	0.00019158784	0.0008673157	0.64808047	1.2084177	0
131	AL354743.1	0.00015430583	0.0003561196	0.23245884	0.3876979	0
132	ARHGEF16	0.010921832	0.012294212	0.15719241	0.3646791	0
133	AL512413.1	0.0001072305	0.00012280105	0.020146776	0.03435298	0
134	MEGF6	0.00599665	0.00272667	-0.90877724	2.79418	0
135	AL513320.1	0.00044690876	0.0012364954	0.62826586	1.0207465	0
136	TPRG1L	0.1019859	0.11155821	0.12822439	1.2541864	0
137	WRAP73	0.060601458	0.060965225	0.0084942775	0.034680787	0
138	TP73	0.00029980927	0.00026848004	-0.0351991	0.04415762	0
139	AL136528.1	0.00041307416	0.00030027796	-0.1200171	0.14871036	0
140	AL136528.2	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
141	CCDC27	0.000103921746	-3.6903657e-08	-0.14269115	0.4984196	0
142	SMIM1	0.20360196	0.21571307	0.082966164	1.1288799	0
143	LRRC47	0.30625957	0.30937645	0.0145611325	0.1622402	0
144	AL365330.1	0.0009255061	0.0019444468	0.6127589	1.008896	0
145	CEP104	0.10923588	0.11530209	0.07728319	0.63751245	0
146	DFFB	0.013969577	0.014473496	0.047765788	0.10369549	0
147	C1orf174	0.08297091	0.10522819	0.3392052	5.822903	0
148	LINC01134	0.0006425574	0.00071429694	0.061673276	0.060220063	0
149	LINC01346	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
150	LINC01345	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
151	LINC02780	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
152	AL805961.1	0.00013647007	-3.6903657e-08	-0.1846129	0.49844313	0
153	LINC01777	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
154	AL355602.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
155	Z98747.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
156	LINC01646	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
157	AJAP1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
158	Z98886.1	0.00021651108	-3.6903657e-08	-0.28280273	0.80185145	0
159	BX005132.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
160	LINC02781	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
161	LINC02782	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
162	AL139823.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
163	Z98259.3	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
164	Z98259.2	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
165	Z98259.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
166	AL365255.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
167	NPHP4	0.008481392	0.008795674	0.04704584	0.08238125	0
168	KCNAB2	0.0076783067	0.0068205185	-0.1501493	0.2876934	0
169	CHD5	0.0017302638	0.000610941	-0.7611367	1.3355377	0
170	RPL22	2.0841212	2.2283661	0.096502356	44.55244	0
171	AL031847.1	0.004465595	0.0030151717	-0.44491687	0.8706031	0
172	RNF207	0.07228784	0.04813529	-0.5768143	9.666514	0
173	ICMT	0.2046222	0.16859837	-0.27787372	7.9598284	0
174	LINC00337	0.0017210963	0.00073259126	-0.65125674	1.2264041	0
175	HES3	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
176	GPR153	0.032922376	0.046952493	0.49936867	4.9983463	0
177	ACOT7	0.06820334	0.04274492	-0.6617262	12.1076	0
178	AL031848.2	0.0030589476	0.0047436436	0.50086045	1.0151144	0
179	HES2	0.00037666946	0.0005627882	0.18294	0.23352563	0
180	ESPN	0.0047893818	0.0062141395	0.317418	0.6168514	0
181	AL031848.1	-4.5634806e-08	-3.6903657e-08	1.25546785e-05	29.954546	0
182	TNFRSF25	0.008566795	0.006510002	-0.34922236	0.8702932	0
183	PLEKHG5	0.01719096	0.018668715	0.11268114	0.31558946	0
184	NOL9	0.12701528	0.12942514	0.026906006	0.18583086	0
185	TAS1R1	0.00010202022	-3.6903657e-08	-0.14020392	0.4984185	0
186	ZBTB48	0.04578873	0.05184079	0.17549092	1.1139265	0
187	KLHL21	0.057295583	0.053246144	-0.10386599	0.5799477	0
188	PHF13	0.13232243	0.14460997	0.12718971	1.5605146	0
189	THAP3	0.16604544	0.17340514	0.062201977	0.64684314	0
190	DNAJC11	0.11489441	0.10393571	-0.1433053	1.5701219	0
191	LINC01672	-4.5634806e-08	0.00013390637	0.18136734	0.49847388	0
192	AL591163.1	0.0008148297	0.0011535612	0.24689017	0.30748433	0
193	CAMTA1-DT	0.00089327875	0.0010016327	0.0802904	0.090856	0
