	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
172	RNF207	0.1795185	0.04817275	-1.8762158	44.55244	1
288	NPPB	0.1250518	0.027733121	-2.13323	33.94257	1
297	TNFRSF1B	0.0054777726	0.0005054866	-2.105268	6.6694136	1
683	LAPTM5	0.0107749095	0.0014629051	-2.257283	8.739601	1
767	GJA4	0.0101521015	0.00011967472	-3.316164	9.338783	1
832	POU3F1	0.006958111	0.0012543687	-1.8197026	5.187462	1
854	HEYL	0.01327387	0.0011917759	-2.7032044	13.138203	1
938	TIE1	0.0076496704	0.0008383269	-2.234252	7.343921	1
1121	GLIS1	0.009673931	0.05502749	2.3920434	41.29237	1
1209	KANK4	0.021207027	0.0045539914	-1.9994193	12.91308	1
1288	CTH	0.009248376	0.03488825	1.8081162	21.59644	1
1353	IFI44L	0.003212274	0.022896055	2.5041013	21.625254	1
1355	ADGRL4	0.026300184	0.0029319045	-2.7956104	14.856644	1
1433	GBP2	0.033709254	0.10552961	1.6178622	44.55244	1
2069	S100A3	0.004420271	0.00023502018	-2.1338303	6.1880364	1
2075	S100A1	0.005973245	0.020833913	1.6466686	13.263445	1
2279	TAGLN2	0.04651428	0.0150286555	-1.5677077	18.113323	1
2461	PRRX1	0.009980665	0.0023128903	-1.728803	6.651131	1
2477	DNM3OS	0.016632486	0.0019775708	-2.566028	15.827806	1
2721	DDX59-AS1	0.0029432597	0.010939152	1.5982398	7.6565847	1
2798	REN	0.01005016	5.7947705e-05	-3.384727	5.622221	1
2879	CD34	0.010842777	0.00047242048	-3.0077457	9.0588665	1
3018	HLX	0.016067872	0.002001659	-2.5074513	12.427068	1
3079	LEFTY2	0.20096117	0.028629227	-2.768985	44.55244	1
3781	ALK	0.011561839	0.05465531	2.1474717	41.69571	1
3940	EPAS1	0.021121845	0.0043802373	-2.0397298	13.797526	1
4647	ST6GAL2	0.007274611	0.0009896586	-2.0561705	6.8713636	1
4681	MALL	0.008158772	0.00047925778	-2.6302807	8.486348	1
4793	INHBB	0.007686924	-3.7020072e-08	-3.1188989	8.505848	1
5119	DHRS9	0.009338374	0.0016674792	-1.9544605	6.0312014	1
5198	HOXD-AS2	0.0037612426	9.643531e-05	-2.1185174	5.110283	1
5260	ITGA4	0.03208321	0.0026288438	-3.1885173	25.75324	1
5334	STAT4	0.013624459	0.0018551514	-2.356744	12.869505	1
5361	HECW2	0.049731538	0.011327528	-2.0409992	28.5838	1
5834	ACKR3	0.007352042	0.000935914	-2.1091142	6.000627	1
5841	COL6A3	0.051512945	0.0137632135	-1.8306663	19.004013	1
5980	AC018816.1	0.018114045	0.0022515324	-2.5554414	15.973526	1
5982	BHLHE40	0.044238355	0.14689095	1.7089155	44.55244	1
6103	FGD5	0.008139988	0.0005476583	-2.5621054	10.116345	1
6198	GADL1	0.0018993976	0.009014786	1.7883065	7.0388336	1
6300	LYZL4	0.005428908	0.01896839	1.6350725	12.649816	1
6507	CYB561D2-1	0.0057544806	0.02115642	1.7138081	13.657369	1
6690	TAFA4	0.020927701	0.08357725	1.9475151	44.55244	1
6764	CADM2	0.012479311	0.071165785	2.4205682	44.55244	1
6827	FILIP1L	0.0272783	0.0031491457	-2.768809	20.527954	1
6852	ZPLD1	0.0031869137	0.01924112	2.27333	19.186865	1
7029	SEMA5B	0.01793488	0.0041237175	-1.8857833	10.719197	1
7320	TM4SF18	0.018637259	0.0016170539	-2.907578	11.295227	1
7417	VEPH1	0.0075697964	0.0007670496	-2.2779183	7.8371544	1
7529	TNFSF10	0.0070871823	-3.7020072e-08	-3.0156906	8.706421	1
7729	FGF12	0.019611087	0.0020558885	-2.7537568	18.08889	1
7880	SPON2	0.015156381	0.0017344222	-2.562796	8.124099	1
8052	LINC01182	0.023607345	0.0041069854	-2.2685452	17.610094	1
8232	LIMCH1	0.043315504	0.014121605	-1.5512003	18.763783	1
8357	HOPX	0.14600149	0.0059494167	-4.402795	44.55244	1
8427	SULT1E1	0.031531584	0.0005102223	-4.429008	21.872644	1
8462	ALB	0.11344273	0.031065742	-1.8355211	44.55244	1
8691	EMCN	0.04161132	0.010870317	-1.8438781	19.60383	1
8800	ARSJ	0.009845876	0.00022582582	-3.1453207	11.610356	1
8841	QRFPR	0.0025929143	0.010505477	1.6790944	7.6200686	1
8940	SLC7A11	0.009209321	0.039716132	1.9957135	26.14381	1
9091	SFRP2	0.006247698	0.000112722744	-2.7034287	5.744173	1
9211	GALNTL6	0.0017857201	0.011941596	2.2158933	12.427957	1
9657	NPR3	0.011626098	0.0030049006	-1.6565706	5.1678705	1
9807	ITGA1	0.05379631	0.012735312	-1.9961891	26.839998	1
9826	ESM1	0.03643592	0.0039910437	-2.9070096	14.825743	1
10041	S100Z	0.002461947	0.009333391	1.5776582	7.0233607	1
10175	NR2F1-AS1	0.013018721	0.00091752945	-2.870034	13.322095	1
10176	NR2F1	0.026197169	0.00069572707	-4.0034804	21.296452	1
10238	ST8SIA4	0.0077535296	0.0012727085	-1.9454521	6.8036404	1
10526	TGFBI	0.015749248	0.0015933259	-2.691221	13.589338	1
10575	ECSCR	0.021750692	0.0026210155	-2.6514442	13.916293	1
10695	ARAP3	0.018550064	0.0058801086	-1.50667	9.443789	1
10702	PCDH12	0.009857524	0.000872293	-2.535817	8.913305	1
10755	C5orf46	0.03542135	0.00034872023	-4.755121	36.970673	1
10774	ABLIM3	0.007343552	0.025893016	1.6884979	15.4031515	1
10795	PDGFRB	0.05533009	0.0045616697	-3.3403158	36.11469	1
10806	SYNPO	0.043924987	0.010887258	-1.9181021	25.356453	1
10841	GRIA1	0.013492223	0.046997234	1.7276722	24.488781	1
10893	EBF1	0.016505131	0.0005614292	-3.4868388	17.159878	1
11011	STC2	0.11566178	0.35817602	1.6223589	44.55244	1
11030	LINC01411	0.019598918	0.05763655	1.5092316	25.192965	1
11214	FOXC1	0.018747123	0.0029071746	-2.3374448	14.195816	1
11930	FRS3	0.008217846	0.025354797	1.515564	13.832523	1
12039	ADGRF5	0.01725128	0.0043112305	-1.7808795	9.650329	1
12119	COL21A1	0.089828566	0.021835422	-1.9918727	44.55244	1
12161	COL19A1	0.034111585	0.009342355	-1.7633824	17.335663	1
12204	COL12A1	0.007978121	0.0012352167	-2.0059988	6.21004	1
12582	CCN2	0.10774577	0.036673054	-1.5293545	35.632263	1
12771	ULBP1	0.0008183238	0.0060134255	1.9475101	6.61561	1
12798	MYCT1	0.010673603	0.0030416832	-1.5302217	5.3088894	1
13240	RAPGEF5	0.019540424	0.0021468508	-2.706485	14.410562	1
13306	HOXA9	0.006550365	-3.7020072e-08	-2.9165998	9.364411	1
13308	HOXA10	0.015044954	0.00013653992	-3.8193994	15.701471	1
13403	AC018647.1	0.04142817	0.005697529	-2.6633215	34.732384	1
13428	SFRP4	0.002916194	0.015200673	2.0485294	11.88885	1
13596	EGFR	0.019578725	0.0035999967	-2.161449	14.105934	1
13719	METTL27	0.0038287686	0.014316486	1.6653581	9.339006	1
14123	AC018464.1	0.016716098	0.0038792077	-1.860342	11.579123	1
14525	AC004889.1	0.022371605	0.007212693	-1.5088295	10.560367	1
14584	GIMAP4	0.008836651	0.00024481036	-2.9822412	9.024385	1
14950	LPL	0.011521804	0.0030966294	-1.6119331	6.111867	1
15217	TCIM	0.006816405	0.00080533803	-2.1142364	5.442826	1
15317	AC022034.1	0.005308317	0.0005764734	-2.0005543	5.4055805	1
15327	SOX17	0.009085862	0.0010752383	-2.2809854	7.956411	1
15459	AC083967.1	0.013334112	-3.7020072e-08	-3.841434	10.554142	1
15463	SULF1	0.07107413	0.0056245215	-3.4435933	38.78295	1
15464	SLCO5A1	0.001068246	0.00618974	1.7975318	5.6914935	1
15529	ZFHX4	0.018313361	0.003702303	-2.0381598	11.161405	1
15644	SLC26A7	0.010225375	0.0021386547	-1.8385454	5.7804604	1
15859	AARD	0.040690113	0.013354511	-1.538201	18.537642	1
15868	TNFRSF11B	0.009234391	0.0014465548	-2.0646017	7.4909844	1
15874	CCN3	0.001190784	0.0060455203	1.685259	5.0827546	1
15998	TMEM71	0.064346254	0.01806328	-1.7773081	33.52207	1
16007	NDRG1	0.06780659	0.21032235	1.6188267	44.55244	1
16318	BNC2	0.004046953	0.0002277802	-2.0393603	5.345645	1
16719	PSAT1	0.041024387	0.20989291	2.327212	44.55244	1
16862	FBP1	0.0037531303	0.013487069	1.6078159	8.835344	1
16930	COL15A1	0.016743885	0.0051755467	-1.5226831	6.703864	1
16949	CAVIN4	0.024983643	0.0075023677	-1.611667	12.867539	1
17462	PTGDS	0.11082131	0.44638252	2.0003138	44.55244	1
17463	LCNL1	0.00035741378	0.004870955	2.1127346	6.868028	1
17568	LINC00702	0.012354387	0.002448019	-1.9534739	9.975937	1
17630	GATA3	0.029693218	0.0020313673	-3.3398793	21.750414	1
18178	OIT3	0.033553842	0.13801087	2.0082798	44.55244	1
18285	PLAC9	0.009700579	0.0013823126	-2.1672542	7.5373197	1
18331	MMRN2	0.014650559	0.0023023076	-2.2446678	10.617136	1
18333	ADIRF-AS1	0.0038494654	0.021732321	2.2288473	19.09089	1
18396	ANKRD1	0.8267346	0.17884687	-2.2023993	44.55244	1
18670	NRAP	0.010837379	0.0011939601	-2.4317405	10.008086	1
18784	CPXM2	0.013521935	0.0016877587	-2.433758	9.458397	1
18945	AP006284.1	0.0034105876	0.012867939	1.6527106	8.096799	1
19250	LYVE1	0.010981481	0.00010947627	-3.4328554	9.765599	1
19294	SPON1	0.13760957	0.03871833	-1.8031499	44.55244	1
19408	BBOX1-AS1	0.13825446	0.03432018	-1.9791591	44.55244	1
19496	FJX1	0.0126380995	0.003415362	-1.627039	7.0456944	1
19518	LRRC4C	0.013754746	0.003251051	-1.7952875	7.888229	1
19568	CHST1	0.019681163	0.0013193401	-3.156531	16.022423	1
19719	YPEL4	0.009022924	0.031747967	1.7081019	18.760357	1
20418	AP003120.1	0.004198419	0.024247663	2.280005	21.477518	1
20422	NOX4	0.005339978	0.0003201341	-2.2637932	7.198023	1
20534	CASP4	0.0077228574	0.0010358611	-2.0991616	7.818678	1
20633	DRD2	0.0064471094	0.0010166349	-1.8847307	5.070419	1
20760	THY1	0.06469324	0.007861918	-2.8900542	37.549877	1
20840	ESAM	0.02805083	0.0026086075	-3.0090652	18.589382	1
20847	ROBO4	0.007463933	0.0008938714	-2.1599898	6.94482	1
20907	FLI1	0.0068121813	0.00082241686	-2.0998724	7.231674	1
20937	NTM	0.013663459	0.004152112	-1.5089896	6.1396008	1
21054	FGF23	0.0069084037	0.03765567	2.2892215	23.021276	1
21294	EMP1	0.023340292	0.0042642923	-2.209035	12.777457	1
21412	BHLHE41	0.024641836	0.07282695	1.525648	32.37144	1
21455	FAR2	0.008619763	0.001981454	-1.6899853	6.533819	1
21728	ACVRL1	0.008467411	0.0010558366	-2.2032444	8.223128	1
21820	HOXC9	0.00713118	-3.7020072e-08	-3.023518	9.251746	1
21890	PMEL	0.0057972097	0.02067501	1.6730181	12.136527	1
21958	INHBE	0.0005166526	0.0154613	3.4401157	18.641308	1
22262	LUM	0.038814656	0.005989075	-2.510126	19.553356	1
22356	ANO4	0.007227064	0.0006114028	-2.3520606	8.923001	1
22370	DRAM1	0.0080172485	0.0018876506	-1.6427912	6.3474426	1
22413	ALDH1L2	0.008583147	0.02885238	1.6392746	16.056906	1
22502	MYL2	0.4690928	0.09473529	-2.2958229	44.55244	1
23137	RGCC	0.012735874	0.0010254766	-2.7616153	9.583495	1
23597	IRS2	0.039179772	0.130749	1.7132508	44.55244	1
23671	TMEM255B	0.011315001	0.0017774947	-2.1485608	7.751856	1
23752	RNASE1	0.014777377	0.0044764876	-1.5265346	8.389157	1
23960	MYH7	1.5506952	0.3649749	-2.0840287	44.55244	1
23982	PCK2	0.016778022	0.059526205	1.7674651	34.52666	1
24012	ADCY4	0.008201324	0.0005303116	-2.588016	10.018508	1
24139	CLEC14A	0.0118918475	0.00018059125	-3.4488776	9.886982	1
24422	PLEK2	0.009789906	0.0023414185	-1.6911497	6.6395025	1
24650	AL049775.1	0.013878828	0.0021188473	-2.2541761	10.748571	1
24652	FLRT2	0.21226184	0.056781694	-1.8839415	44.55244	1
24866	MEG3	0.05526533	0.00016278843	-5.5965858	39.99238	1
24869	MEG8	0.01956164	0.0053688753	-1.6908448	9.784674	1
25445	DLL4	0.0057294187	0.0006588659	-2.0202847	6.077929	1
25446	CHAC1	0.0056833597	0.054444943	3.0524104	44.55244	1
25638	GLDN	0.0006209691	0.0047693043	1.8315407	5.6396656	1
25720	ALDH1A2	0.014880747	0.0029901946	-1.9927477	9.279789	1
25789	AC103740.2	0.017066732	0.003564105	-1.9849316	12.411966	1
25977	ISLR	0.010953413	0.0016310796	-2.1836958	9.761097	1
26477	FBXL16	0.002585264	0.0126088485	1.9243938	10.210115	1
26651	IL32	0.00908817	0.00087714766	-2.4260504	7.30188	1
27067	NUPR1	0.016131436	0.1526903	3.1653082	44.55244	1
27204	PRSS36	0.0022012456	0.01065656	1.8644367	8.663829	1
27453	MT1E	0.035108726	0.008008639	-2.0029664	21.593847	1
27547	CDH5	0.023383103	0.0018130132	-3.1156936	14.876173	1
27611	CARMIL2	0.0024953461	0.009347999	1.5658444	6.277759	1
27624	NRN1L	0.0014888918	0.008818516	1.9800013	7.5580754	1
27916	CRISPLD2	0.008463454	0.002000162	-1.6573266	5.564366	1
27961	FOXC2	0.007007161	0.0015594641	-1.645449	5.125145	1
27994	SLC7A5	0.010063324	0.036821123	1.7734072	22.241827	1
28047	AC137932.2	0.0019350703	0.0076005915	1.5510409	5.8644543	1
28349	TMEM88	0.22372986	0.07322816	-1.5981534	44.55244	1
28376	ARHGEF15	0.00623578	0.0010198344	-1.8409115	5.991392	1
28822	MYO1D	0.013967389	0.049103677	1.7430938	30.893372	1
28991	PLXDC1	0.016075458	0.0042399964	-1.7042866	8.250974	1
29356	HOXB7	0.030644717	0.009848786	-1.5444311	14.421926	1
29357	HOXB8	0.009428462	0.0022042086	-1.7024864	6.7303443	1
29358	HOXB9	0.010621518	0.001645848	-2.1349964	9.083225	1
29360	AC103702.2	0.012047581	0.002656289	-1.8353304	8.639307	1
29484	NOG	0.042434372	0.14136747	1.7127105	44.55244	1
29504	AC015845.2	0.0002118639	0.003286101	1.8224382	5.3909183	1
29632	ICAM2	0.011088089	0.000775057	-2.767649	9.677048	1
29637	PECAM1	0.030529374	0.003232358	-2.897163	14.996618	1
30013	NOTUM	0.0008597877	0.006158873	1.9445945	6.811651	1
30221	PIEZO2	0.031854898	0.0031201611	-2.9953356	25.290203	1
30454	AC023043.1	0.028505873	0.007011815	-1.8808011	15.549073	1
30455	MOCOS	0.04352325	0.009852822	-2.0364885	26.083235	1
30697	LINC01916	0.005155588	-3.7020072e-08	-2.6219501	6.861886	1
30933	REEP6	0.0077915816	0.04831562	2.48785	44.55244	1
31528	F2RL3	0.0037549227	0.013464003	1.6049731	9.484845	1
31550	PLVAP	0.030572416	0.0046947384	-2.4709632	15.14389	1
31832	AC020910.5	0.003859202	0.015452616	1.7595257	11.657009	1
31848	HPN	0.001508667	0.006723579	1.6223485	5.620639	1
32121	LINC01480	0.0043080775	-3.7020072e-08	-2.4082427	5.1633496	1
32138	ATP1A3	0.008323839	0.027996352	1.6368754	15.464014	1
32268	GPR4	0.005813662	0.0003911195	-2.292184	7.4057207	1
32315	PTGIR	0.0052556354	0.0006274354	-1.9425563	5.421423	1
32475	ATF5	0.10611219	0.31945002	1.5809766	44.55244	1
32893	TRIB3	0.018307611	0.13530211	2.8195662	44.55244	1
32984	RASSF2	0.0073578497	0.0017606156	-1.5981418	5.5507035	1
33166	CD93	0.028329259	0.0010886424	-3.8117032	17.669325	1
33259	FOXS1	0.009406341	0.0012761535	-2.1927931	8.556386	1
33530	MMP9	0.026855027	0.0028046733	-2.8720932	12.714714	1
33534	CD40	0.0105302	0.0014828852	-2.215328	8.334056	1
33612	KCNG1	0.011157409	0.034886274	1.5615962	18.40062	1
33833	SOX18	0.01050266	0.0011346553	-2.4298923	9.84459	1
33936	CHODL	0.018136933	0.004273743	-1.8594606	9.155813	1
33999	CYYR1	0.015353397	0.0020710384	-2.412792	13.830167	1
34188	ERG	0.004615721	0.00039175013	-2.012571	5.035886	1
34495	CLDN5	0.014648398	0.00048033625	-3.402018	11.759157	1
34882	SLC5A1	0.011606354	0.0012610717	-2.4790726	11.744051	1
35128	LINC01315	0.0029119444	0.013916378	1.9309394	10.930594	1
35276	ADM2	0.0017746721	0.013709723	2.406381	13.545549	1
35286	KLHDC7B	-3.3294782e-08	0.0077889757	3.1357431	11.662367	1
35287	SYCE3	0.004052065	0.014141569	1.5835695	9.260433	1
35334	MXRA5	0.0058517144	0.0006167481	-2.08337	5.7761464	1
35403	ACE2	0.0053523374	0.0005845913	-2.0031767	5.287866	1
35575	DIPK2B	0.006735322	0.00062310765	-2.2527027	6.946937	1
36011	NRK	0.020395035	-3.7020072e-08	-4.4192576	20.854258	1
36051	DCX	0.004749949	0.0002440724	-2.2084787	5.359664	1
36366	BGN	0.049094338	0.0047574886	-3.121136	30.143747	1
