	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
297	TNFRSF1B	0.0028026602	0.0005067672	-1.3355525	5.0006123	1
683	LAPTM5	0.006115683	0.0014666104	-1.5284724	7.007734	1
767	GJA4	0.007231678	0.000119978096	-2.8777158	12.999011	1
854	HEYL	0.005207838	0.0011947943	-1.5000051	6.587548	1
938	TIE1	0.005328657	0.0008404496	-1.7818412	9.273877	1
1355	ADGRL4	0.01894131	0.0029393309	-2.3397377	18.16705	1
2477	DNM3OS	0.0108289225	0.0018363079	-2.0602326	14.474804	1
2798	REN	0.00384092	5.809462e-05	-2.1938126	5.3799086	1
2879	CD34	0.0067085763	0.00047361734	-2.3871026	12.072565	1
3018	HLX	0.010475949	0.0020067287	-1.932347	11.658447	1
3940	EPAS1	0.01417867	0.0042892587	-1.5209079	11.701864	1
4681	MALL	0.005959813	0.000480472	-2.2329915	10.685625	1
4793	INHBB	0.0043013147	-3.6903657e-08	-2.4064033	9.223785	1
5199	HOXD9	0.002066994	-3.6903657e-08	-1.6168785	5.4853783	1
5260	ITGA4	0.010743217	0.0026355023	-1.6916009	10.693925	1
5834	ACKR3	0.006598785	0.00093828386	-1.9709889	8.750935	1
5841	COL6A3	0.043067846	0.013104454	-1.6435755	21.671267	1
6103	FGD5	0.0041657523	0.00054904574	-1.7375987	7.995287	1
7320	TM4SF18	0.01966046	0.0016211491	-2.978601	21.200089	1
7321	TM4SF1	0.037652656	0.015256248	-1.2495731	11.473036	1
7529	TNFSF10	0.0028490773	-3.6903657e-08	-1.944566	7.2494097	1
7880	SPON2	0.008324125	0.001738815	-1.7674165	6.607684	1
8256	AC114757.1	0.0023157028	0.00016819045	-1.5050392	5.831651	1
8357	HOPX	0.015790068	0.0058732303	-1.2885478	8.802009	1
8691	EMCN	0.033356674	0.010763092	-1.546323	18.957739	1
9685	IL7R	0.0036369334	0.0004241988	-1.7030206	6.8309054	1
9826	ESM1	0.040480997	0.004001154	-3.0521176	30.107527	1
10175	NR2F1-AS1	0.0057582604	0.00091985264	-1.8156564	8.393454	1
10176	NR2F1	0.013609172	0.00069748936	-3.1053998	22.5468	1
10238	ST8SIA4	0.0060250675	0.0012142017	-1.6657255	7.6736746	1
10526	TGFBI	0.007945311	0.0014334411	-1.8781339	8.522038	1
10557	EGR1	0.26949614	0.124371186	-1.1094021	44.55244	1
10575	ECSCR	0.014061922	0.002627655	-2.0537968	15.004831	1
10702	PCDH12	0.0064082346	0.00087450235	-1.9826221	11.017955	1
10795	PDGFRB	0.031529695	0.004515524	-2.5601873	33.514534	1
10893	EBF1	0.0112237735	0.00056285027	-2.9674382	20.967659	1
11168	BTNL9	0.0033507547	0.00014100026	-1.9309666	8.9511385	1
11214	FOXC1	0.011512175	0.0024544229	-1.856816	12.51988	1
12039	ADGRF5	0.013135286	0.004322153	-1.4092191	9.2518635	1
12798	MYCT1	0.009432956	0.0029705819	-1.3937255	6.344012	1
13240	RAPGEF5	0.009709834	0.0021522911	-1.7644634	9.5895195	1
13306	HOXA9	0.002550587	-3.6903657e-08	-1.8281108	7.3785644	1
13308	HOXA10	0.0054140985	0.00013688591	-2.496159	11.469508	1
13719	METTL27	0.00650009	0.01429059	1.0276643	5.4866853	1
13902	TAC1	0.019951718	0.0060660234	-1.5680981	9.061919	1
14584	GIMAP4	0.0048976275	0.00024543074	-2.24349	10.153862	1
14997	EGR3	0.01836299	0.006448742	-1.3782331	11.173057	1
15217	TCIM	0.009670552	0.0008073768	-2.5616655	12.954209	1
15327	SOX17	0.0071173776	0.00094319356	-2.0625842	10.059042	1
15459	AC083967.1	0.007149934	-3.6903657e-08	-3.0268416	11.416781	1
15463	SULF1	0.0342578	0.005482049	-2.4434204	31.000135	1
15529	ZFHX4	0.008848979	0.0036032312	-1.0973272	5.1298285	1
15543	STMN2	0.039490122	0.018465754	-1.0566317	9.7697115	1
15599	CA2	0.024098039	0.0064633437	-1.7496806	16.452284	1
15785	BAALC	0.01769834	0.008283829	-1.0101184	7.1547217	1
15998	TMEM71	0.008339206	0.018047327	1.0282168	6.955955	1
16809	SYK	0.0024050628	-3.6903657e-08	-1.7677346	6.698524	1
16930	COL15A1	0.012681296	0.0050801127	-1.1700349	6.139902	1
17630	GATA3	0.009762198	0.0020365124	-1.8254856	9.870615	1
17705	ITGA8	0.00808996	0.0027946592	-1.2603035	5.53286	1
18285	PLAC9	0.005830837	0.0012272104	-1.6168245	5.975447	1
