	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
79	MMP23B	0.31753185	0.13207199	-1.2592306	44.55244	1
109	PANK4	0.020548852	0.056234185	1.409266	29.606665	1
172	RNF207	0.1795185	0.056242682	-1.6569836	44.55244	1
288	NPPB	0.1250518	0.024443146	-2.3086677	37.8944	1
350	EFHD2	0.09310933	0.21200149	1.1784538	44.55244	1
576	AUNIP	0.017439384	0.0062793638	-1.3409061	8.249663	1
581	EXTL1	0.031339433	0.012198608	-1.2929084	12.144754	1
627	BX293535.1	0.0063057365	0.016340278	1.2470254	7.6859922	1
737	KIAA1522	0.009947281	0.022289343	1.0890973	8.761711	1
783	CLSPN	0.11478226	0.047794554	-1.2466222	28.797094	1
854	HEYL	0.01327387	0.0052061016	-1.2016172	5.6350546	1
887	RIMS3	0.012096538	0.029258732	1.208166	12.733145	1
963	SLC6A9	0.008064192	0.019449143	1.1737901	8.157886	1
964	AL139220.2	0.011438221	0.026706107	1.1554239	10.230834	1
1001	PIK3R3	0.22104414	0.095537886	-1.2016793	44.55244	1
1121	GLIS1	0.009673931	0.041261576	1.985255	30.691559	1
1186	LINC02777	0.004214504	0.0110568935	1.2092563	5.7148848	1
1209	KANK4	0.021207027	0.0053175194	-1.8135862	12.102062	1
1288	CTH	0.009248376	0.0255295	1.3722022	13.059124	1
1326	RABGGTB	0.10601329	0.21374692	1.0048474	44.55244	1
1353	IFI44L	0.003212274	0.01642953	2.0488625	15.553336	1
1425	PKN2-AS1	0.020526063	0.009714296	-1.0065475	5.539843	1
1433	GBP2	0.033709254	0.07453236	1.1217746	25.370255	1
1744	CASQ2	0.013566237	0.003148383	-1.8120072	9.070475	1
1888	NBPF14	0.059477698	0.0284258	-1.0393215	15.947808	1
1927	CA14	0.03178094	0.06721034	1.0571334	21.607573	1
2075	S100A1	0.005973245	0.01686502	1.3572354	9.634461	1
2088	CRTC2	0.009849862	0.025433436	1.2846873	12.217749	1
2103	AQP10	0.04389191	0.020392103	-1.0693771	12.344567	1
2721	DDX59-AS1	0.0029432597	0.00889657	1.3275398	5.738163	1
2898	HSD11B1-AS1	0.008506364	0.018794524	1.0581357	7.048896	1
2931	DTL	0.06221025	0.02683368	-1.1833268	17.895351	1
3059	CNIH3	0.0059320237	0.013824351	1.0966204	6.028185	1
3079	LEFTY2	0.20096117	0.03697184	-2.4110763	44.55244	1
3086	MIXL1	0.049940802	0.017388951	-1.4699824	19.992973	1
3091	ITPKB	0.026396457	0.06446583	1.2567527	26.700798	1
3146	ACTA1	0.045513954	0.01297258	-1.7350651	10.826092	1
3208	COA6-AS1	0.00919555	0.01980925	1.0292854	6.681918	1
3781	ALK	0.011561839	0.03724017	1.6060412	23.64825	1
3796	EHD3	0.19094336	0.08793598	-1.1098416	44.55244	1
4227	MTHFD2	0.1028328	0.2952955	1.5127743	44.55244	1
4228	SLC4A5	0.0046360795	0.011919747	1.1968138	5.939304	1
4485	ADRA2B	0.009054909	0.0217864	1.1802728	9.156693	1
4663	SULT1C2	0.0022079512	0.007908357	1.4735073	6.179516	1
