	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
2176	LMNA	0.7509003	0.36919168	-1.022269	6.51117	1
10164	ARRDC3	0.05750745	0.2342045	2.0072234	6.3519287	1
10818	ANXA6	0.5206349	0.22834083	-1.1855471	5.3090506	1
13515	H2AFV	0.5784011	0.23200758	-1.3141855	6.4603415	1
18396	ANKRD1	0.49242228	0.051009253	-3.2459826	9.251994	1
18923	IFITM2	0.69705456	0.3457104	-1.0096087	5.2260838	1
20682	TAGLN	0.59272355	0.07996247	-2.8744662	11.788704	1
21658	TUBA1A	0.9603308	0.4242874	-1.1765949	9.079952	1
23960	MYH7	0.5095721	0.13901441	-1.8665394	6.734071	1
24559	FOS	0.13019855	0.3592062	1.4570711	5.474843	1
25756	ANXA2	0.7866059	0.37618577	-1.0621986	6.1096725	1
27067	NUPR1	0.03237438	0.16810937	2.3411438	5.3833647	1
34934	RBFOX2	0.520416	0.22608653	-1.1991928	5.5011535	1
34989	LGALS1	0.7692655	0.3122187	-1.2981855	5.330846	1
