	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
79	MMP23B	0.3904603	0.16971827	-1.1972486	17.278584	1
172	RNF207	0.22789471	0.07403283	-1.6090902	16.619589	1
177	ACOT7	0.0602824	0.19385199	1.6688341	9.539213	1
252	CENPS	0.08488982	0.1750074	1.035077	5.046685	1
280	MAD2L2	0.12194072	0.28271917	1.2065006	9.863585	1
283	C1orf167	0.043728214	0.006764883	-2.526149	6.890252	1
287	NPPA	1.3064834	0.5701021	-1.1949722	30.478737	1
288	NPPB	0.31342176	0.10769527	-1.5324118	9.244946	1
474	HP1BP3	0.5267809	1.0671782	1.0171415	33.11347	1
579	STMN1	1.4511619	2.9420366	1.0191032	44.55244	1
702	COL16A1	0.19279821	0.08054079	-1.2489613	10.347141	1
772	ZMYM1	0.06033831	0.16853075	1.4666866	7.0081286	1
783	CLSPN	0.025669321	0.120215006	2.1843152	7.203818	1
820	CDCA8	0.000707389	0.60910904	8.481132	44.55244	1
917	PPIH	0.09371385	0.26460487	1.4876342	12.307947	1
942	CDC20	0.0037070243	0.69848585	7.215336	44.55244	1
973	KIF2C	0.002824333	0.61672825	7.3356204	44.55244	1
1034	STIL	0.0041479697	0.07351622	3.855479	8.148164	1
1066	CDKN2C	0.00602192	0.20348978	4.8640194	18.828142	1
1122	NDC1	0.023541015	0.10569907	2.1202807	7.473771	1
1210	USP1	0.22656067	0.46916264	1.0469086	13.623365	1
1226	ITGB3BP	0.04303302	0.26326862	2.5853474	18.48658	1
1269	DEPDC1	0.023300631	1.0807703	5.4762564	44.55244	1
1480	CCDC18	0.030744879	0.3395032	3.4230726	27.400412	1
1481	CCDC18-AS1	0.16668566	0.074651696	-1.148315	7.430506	1
1538	SASS6	0.03357234	0.22626506	2.7166858	17.21936	1
1540	LRRC39	0.21192561	0.09630876	-1.1297079	9.2561245	1
1599	GPSM2	0.07265275	0.31499466	2.1010888	18.48813	1
1610	PSRC1	0.0052782535	0.24766964	5.307723	21.682758	1
1686	INKA2	0.091070764	0.037204057	-1.2690173	5.1147003	1
1743	VANGL1	0.06991881	0.18584107	1.3975713	7.7354703	1
1744	CASQ2	0.027385067	0.0030221157	-2.8191056	6.0534434	1
1766	TTF2	0.044557	0.35609385	2.9705586	27.28726	1
1792	PHGDH	0.110618725	0.32899448	1.5638627	14.059171	1
1796	NOTCH2	0.09318801	0.22265856	1.2476826	7.7179623	1
1809	SRGAP2C	0.061033573	0.142678	1.211718	5.4727044	1
1829	SRGAP2B	0.030108644	0.10819932	1.8115765	6.069503	1
1844	ITGA10	0.049644936	0.013681583	-1.7864105	5.2046566	1
2068	S100A4	0.9280558	0.46247894	-1.0032616	31.724985	1
2103	AQP10	0.07171603	0.019896653	-1.7990016	6.771259	1
2124	CKS1B	0.33970466	1.5710233	2.2060292	44.55244	1
2193	IQGAP3	0.005519296	0.17667569	4.7683864	17.423792	1
2211	HDGF	0.6862215	1.4120573	1.0399729	44.55244	1
2374	NUF2	0.0034288433	0.5321861	6.9115653	41.55114	1
2495	CENPL	0.04754547	0.22117461	2.1942854	14.083643	1
2496	DARS2	0.06171846	0.2247363	1.8476765	13.425002	1
2675	B3GALT2	0.07985397	0.025286652	-1.6209881	6.0777483	1
2693	ASPM	0.059539117	1.243945	4.3620706	44.55244	1
2719	KIF14	0.007521254	0.70393026	6.3702707	44.55244	1
2759	UBE2T	0.12274703	0.66155195	2.4206398	36.930172	1
2766	PCAT6	0.16978124	0.05853173	-1.5204188	10.828205	1
2770	CYB5R1	0.40725958	0.19639735	-1.0483841	16.587925	1
2925	NEK2	0.0019844393	0.6136789	7.686229	44.55244	1
2971	CENPF	0.045165505	2.1940556	5.5712986	44.55244	1
3066	LBR	0.14449674	0.4795104	1.7235807	24.381208	1
3079	LEFTY2	0.22442591	0.09392367	-1.2478136	7.8144526	1
3122	OBSCN	0.27628785	0.13360512	-1.042651	10.277998	1
3145	CCSAP	0.052459344	0.18454851	1.7952825	9.950807	1
3343	ZNF695	0.0028849868	0.05858059	3.9388607	5.8955703	1
3542	RRM2	0.0084058875	0.4795935	5.6751094	40.518333	1
3610	VSNL1	0.23852265	0.1046689	-1.1806113	10.128927	1
3685	CENPO	0.013450651	0.10857377	2.922696	8.969398	1
3714	CENPA	-4.4237822e-09	0.52707684	9.04461	44.55244	1
3738	TRIM54	0.15598978	0.047017507	-1.7090383	13.010958	1
4168	ADD2	0.058482092	0.26711622	2.172331	15.616094	1
4189	DYSF	0.097000234	0.0374739	-1.3489053	5.882	1
4483	ANKRD36C	0.06935655	0.166101	1.2479635	5.733009	1
4496	NCAPH	0.0028880648	0.28377512	6.194627	25.593609	1
4689	BUB1	0.04207772	0.7685217	4.1589484	44.55244	1
4714	TTL	0.1502076	0.3018505	1.0020751	8.549517	1
4722	CKAP2L	0.0017468139	0.43399036	7.3070803	35.538914	1
4804	NIFK-AS1	0.08727831	0.17993633	1.0353512	5.1881166	1
5047	PKP4	0.068242446	0.23130126	1.7462684	11.956147	1
5107	XIRP2	0.025994828	0.0024759988	-2.9571834	5.1655374	1
5115	NOSTRIN	0.06878101	0.018915487	-1.8089437	7.426685	1
5116	SPC25	0.0013403158	0.41988674	7.490585	35.16473	1
5275	NUP35	0.048802942	0.141417	1.5158186	6.332893	1
5359	STK17B	0.04845737	0.18757313	1.9308668	11.044335	1
5364	CCDC150	0.010482172	0.096334465	3.0835552	8.126253	1
5401	SGO2	0.044753198	0.84992915	4.2170944	44.55244	1
5423	TMEM237	0.1367857	0.2832608	1.0447888	8.312614	1
5495	PLEKHM3	0.05957007	0.01913954	-1.5885744	5.278585	1
5634	ABCB6	0.18083794	0.08590878	-1.0650795	7.393957	1
5647	DES	0.14125487	0.043622725	-1.6726276	10.382373	1
5663	SLC4A3	0.24307236	0.10416225	-1.2146919	12.135315	1
5809	HJURP	0.0013584701	0.35239232	7.2272754	28.140009	1
5852	RAMP1	0.26375663	0.11039486	-1.2489841	11.496924	1
5931	DTYMK	0.19509634	0.94755596	2.2741702	44.55244	1
5980	AC018816.1	0.036521584	0.0035895756	-3.031288	8.036648	1
6032	CRELD1	0.3732402	0.16656634	-1.159232	17.347387	1
6039	FANCD2	0.009687428	0.18608868	4.1297355	17.545464	1
6151	SGO1	0.0031279242	0.37020037	6.490638	31.530691	1
6296	ULK4	0.08979785	0.035886813	-1.299553	5.0268297	1
6310	HHATL	0.043460205	0.008416995	-2.2391758	5.747321	1
6352	KIF15	0.0062443055	0.1348732	4.2292695	12.5231905	1
6353	TMEM42	0.14705929	0.06538627	-1.1572182	6.7512956	1
6474	TRAIP	0.0046106805	0.054240633	3.299482	5.5971627	1
6492	LSMEM2	0.11718882	0.035038356	-1.7134885	10.709508	1
6499	RASSF1	0.064531155	0.18753535	1.5245821	8.419589	1
6539	POC1A	0.007975864	0.2742342	4.938465	24.93099	1
6696	LMOD3	0.048562247	0.00624301	-2.7745802	8.381534	1
6794	CRYBG3	0.29028782	0.65931624	1.1807119	20.273859	1
6845	CEP97	0.08961945	0.22002476	1.2863153	8.015314	1
6874	CIP2A	0.010903508	0.26508883	4.482449	23.822893	1
7004	POLQ	0.003699522	0.107612446	4.5305314	11.413656	1
7037	MYLK	0.3811168	0.13544472	-1.485697	12.000397	1
7040	CCDC14	0.16761436	0.3496895	1.0564669	9.683732	1
7096	MGLL	0.21255915	0.079974465	-1.3990967	12.850089	1
7127	H1FX	0.6952729	1.4585007	1.0677502	44.55244	1
7173	TOPBP1	0.1209075	0.3103308	1.3526614	11.9494705	1
7215	CEP70	0.09820074	0.44754624	2.1768339	29.758936	1
7410	LINC00880	0.05568694	0.008971749	-2.5070977	8.585089	1
7446	SMC4	0.18468603	1.3053777	2.8146348	44.55244	1
7447	TRIM59	0.09063906	0.5168343	2.498456	30.698013	1
7484	AC092954.1	0.02203651	0.0016771302	-3.1051629	5.572352	1
7533	ECT2	0.05948443	0.72043276	3.576229	44.55244	1
7571	ACTL6A	0.13086793	0.2911285	1.1475093	9.317392	1
7687	RPL39L	0.18639128	0.64514583	1.785806	33.756752	1
7729	FGF12	0.04803658	0.0041891006	-3.2403018	9.396699	1
7896	TACC3	0.013529555	0.5189105	5.161201	41.726364	1
7992	ACOX3	0.13572612	0.06538349	-1.0423926	5.4991727	1
8091	NCAPG	0.010934229	0.56238943	5.560955	42.32713	1
8341	NMU	0.0005488766	0.09605866	5.969563	9.120595	1
8346	CEP135	0.040969234	0.2195786	2.393889	14.275842	1
8403	CENPC	0.13026246	0.29213858	1.1591284	9.1125765	1
8509	ART3	0.04732398	0.009569006	-2.1928995	5.815968	1
8570	COQ2	0.08751078	0.18395625	1.063259	5.362285	1
8575	GPAT3	0.061811265	0.01699903	-1.803104	6.2430663	1
8596	HSD17B11	0.06326233	0.27926508	2.1247468	17.448145	1
8687	H2AFZ	1.2086112	2.5580542	1.0810671	44.55244	1
8713	CENPE	0.02360733	1.0505593	5.4172983	44.55244	1
8834	MAD2L1	0.04422348	0.76419574	4.080685	44.55244	1
8846	CCNA2	0.0067828847	0.79786676	6.681506	44.55244	1
8860	SPATA5	0.04464061	0.16528188	1.865241	9.531482	1
8884	PLK4	0.00484495	0.083511606	3.8538868	8.6033125	1
8894	JADE1	0.110014044	0.2430971	1.136713	7.521891	1
8895	SCLT1	0.07032626	0.29313445	2.0439703	15.929541	1
8981	INPP4B	0.27162147	0.1342993	-1.0107448	9.772846	1
9085	MND1	0.010689925	0.25735596	4.4660225	23.899706	1
9215	HMGB2	0.28566065	1.5778819	2.4614875	44.55244	1
9232	CEP44	0.08956644	0.23397823	1.3754786	9.358004	1
9255	NEIL3	0.000776657	0.08965979	5.673226	9.866692	1
9309	CENPU	0.02122214	0.2168776	3.2934482	18.105793	1
9399	TRIP13	0.002445985	0.13537125	5.3064795	13.712492	1
9562	RETREG1	0.14993794	0.07210149	-1.0459828	5.4224296	1
9773	C5orf34	0.006524045	0.101269186	3.7647192	10.177676	1
9880	DEPDC1B	0.0027466551	0.107868716	4.8608427	11.260287	1
9911	CENPK	0.02190148	0.2909996	3.6724534	25.064468	1
9951	CCNB1	0.052533377	1.2667787	4.5657206	44.55244	1
9952	CENPH	0.060560264	0.57722616	3.2315626	44.55244	1
10013	ENC1	0.04533824	0.13372011	1.5396903	5.342369	1
10079	DHFR	0.33814853	0.77733725	1.1984782	30.03521	1
10086	CKMT2	0.30788702	0.13503641	-1.1830864	14.198915	1
10404	LMNB1	0.08754688	0.5209925	2.5595157	32.69344	1
10488	CDKL3	0.056180656	0.01531299	-1.8095058	5.8308597	1
10548	BRD8	0.17521624	0.37693784	1.1008021	11.021513	1
10549	KIF20A	0.005548493	0.5849843	6.4835553	44.55244	1
10552	CDC25C	0.0012273096	0.19576955	6.465061	19.418089	1
10597	HBEGF	0.08717192	0.015331905	-2.4326262	12.011521	1
10619	PCDHA4	0.027185347	0.0014592198	-3.5186727	7.729582	1
10743	PPP2R2B	0.21886256	0.100116454	-1.1205841	7.9299145	1
10755	C5orf46	0.08393082	0.01514283	-2.3953946	10.944064	1
10915	PTTG1	0.23930089	2.5409596	3.403027	44.55244	1
10930	HMMR	0.022506017	1.0709295	5.5110364	44.55244	1
10964	SPDL1	0.114934556	0.51632077	2.1577485	28.030684	1
10996	NEURL1B	0.04270864	0.13328394	1.6192966	6.668335	1
11007	CREBRF	0.18386032	0.089774944	-1.0260695	6.414583	1
11078	MXD3	0.009315919	0.3385339	5.0406113	28.191315	1
11085	GRK6	0.100980744	0.24072497	1.2450697	9.098272	1
11445	GMNN	0.18466492	0.38858253	1.0692277	11.394169	1
11469	HIST1H3B	0.003425207	0.13051876	4.8933797	10.211587	1
11475	HIST1H4C	0.57047737	1.1847585	1.053042	19.159428	1
11479	HIST1H1E	0.120738834	0.25699544	1.0835559	5.8341775	1
11484	HIST1H3D	0.010998771	0.07915128	2.739839	5.6731367	1
11491	HIST1H1D	0.034171633	0.23474325	2.7447324	12.772316	1
11496	HIST1H3G	0.0016321148	0.13570139	5.698662	12.689663	1
11518	HIST1H2BJ	0.042984154	0.18488094	2.079323	8.892836	1
11519	HIST1H2AG	0.014962848	0.10636303	2.7497072	8.276853	1
11522	HIST1H2AH	0.0043293	0.05720274	3.449069	5.701257	1
11544	HIST1H1B	0.003392431	0.12748225	4.8704057	11.362697	1
11641	MDC1	0.086849354	0.22779472	1.3809502	8.920787	1
11643	TUBB	1.1314732	2.4100652	1.0901936	44.55244	1
11796	KIFC1	0.0022788462	0.40316606	6.9456162	35.001682	1
11862	CDKN1A	0.20785367	0.08927796	-1.2100468	8.234546	1
11962	PPP2R5D	0.08610746	0.18516338	1.0957011	5.8836613	1
