	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
271	UBIAD1	0.05991578	-5.820766e-10	-5.928745	11.397413	1
464	CAMK2N1	0.033094	-5.820766e-10	-5.091447	5.0810037	1
525	ELOA-AS1	0.027135491	-5.820766e-10	-4.81432	5.261102	1
767	GJA4	0.4684746	0.07884423	-2.555787	16.226519	1
802	OSCP1	0.028665027	-5.820766e-10	-4.8906918	5.5432158	1
1023	EFCAB14	1.029169	0.35756952	-1.5225563	16.50737	1
1071	TTC39A	0.04169177	-5.820766e-10	-5.415887	7.227031	1
1100	ECHDC2	0.037794415	-5.820766e-10	-5.2777777	6.787159	1
1187	LINC01358	0.036731973	-5.820766e-10	-5.237716	6.926307	1
1431	GBP3	0.17620791	0.038563874	-2.1631875	5.6339893	1
1531	PALMD	0.19387399	-5.820766e-10	-7.6063986	26.463915	1
1714	PHTF1	0.24518031	0.07305988	-1.7329512	6.450161	1
1737	TSPAN2	0.16718422	0.009666162	-3.9789293	16.750992	1
1822	LINC02802	0.14006738	0.019768823	-2.7638931	8.039787	1
1865	AC242426.2	0.026837071	-5.820766e-10	-4.7989364	5.220688	1
1872	GJA5	0.15250017	0.0064929016	-4.356572	15.725989	1
2319	KLHDC9	0.031068848	-5.820766e-10	-5.0031013	5.7538767	1
2350	FCRLB	0.02798112	-5.820766e-10	-4.8570423	5.832108	1
2588	RNASEL	0.031986415	-5.820766e-10	-5.043801	6.088057	1
2589	RGS16	0.069157265	0.007893945	-2.9796972	5.29795	1
2616	C1orf21	0.1684402	0.6208342	1.8757538	6.1848845	1
2879	CD34	0.9767831	0.24937902	-1.9654007	19.558872	1
3173	FAM89A	0.4924504	0.1501559	-1.7068677	9.143987	1
3210	TARBP1	0.15532757	0.036457025	-2.061264	5.083651	1
3238	B3GALNT2	0.15307122	0.028803926	-2.370023	8.459709	1
3240	LYST	0.16501087	0.035311848	-2.1927655	6.331999	1
3444	AC144450.1	0.030972423	-5.820766e-10	-4.998757	5.910332	1
3481	SOX11	0.06618841	-5.820766e-10	-6.0701413	8.593285	1
3513	ID2	0.2191223	0.66472733	1.596626	5.2073507	1
3761	RBKS	0.027983507	-5.820766e-10	-4.857161	5.440014	1
3762	BABAM2	0.13516082	0.033984035	-1.960543	5.315826	1
3796	EHD3	0.1721207	0.549375	1.6686366	5.457456	1
3832	CRIM1-DT	0.04600349	-5.820766e-10	-5.5546966	7.597001	1
3852	CDC42EP3	0.77537465	0.22224917	-1.7980982	16.778229	1
4075	WDPCP	0.06263788	0.005624444	-3.2640145	7.198224	1
4096	SLC1A4	0.409037	0.10626929	-1.9345168	11.920766	1
4327	VAMP8	0.35345346	0.06024017	-2.533046	15.724924	1
4328	VAMP5	1.129907	0.39034662	-1.5309615	15.329973	1
4526	AC092683.1	0.20842828	0.061387282	-1.7471325	6.4043326	1
4641	UXS1	0.32106322	0.07547117	-2.0743558	10.184738	1
4681	MALL	0.55728143	0.18809563	-1.5618764	8.62093	1
4829	CYP27C1	0.038292736	-5.820766e-10	-5.296191	7.474589	1
5001	NMI	0.14711608	0.0069653047	-4.216855	18.68164	1
5198	HOXD-AS2	0.07247709	-5.820766e-10	-6.1992235	12.410241	1
5199	HOXD9	0.10221299	-5.820766e-10	-6.6894817	16.351324	1
5200	HOXD8	0.2580402	0.026500152	-3.2356644	15.614822	1
5201	HOXD3	0.038668837	-5.820766e-10	-5.309935	7.3333216	1
5203	HAGLR	0.07953773	-5.820766e-10	-6.3315935	13.057601	1
5206	HOXD1	0.06389727	-5.820766e-10	-6.020087	11.082191	1
5212	LINC01116	0.128228	0.022325208	-2.4699569	6.354648	1
5421	STRADB	0.047443617	-5.820766e-10	-5.5982356	9.738083	1
5442	WDR12	0.09861122	0.011307315	-3.0167923	8.933366	1
5492	CCNYL1	0.21565486	0.07058772	-1.5976146	5.139651	1
5558	LINC01963	0.026605666	-5.820766e-10	-4.7868934	5.635063	1
5661	STK11IP	0.037934836	-5.820766e-10	-5.2829905	6.8391013	1
5674	EPHA4	0.04415141	-5.820766e-10	-5.4967	6.6206326	1
5689	AP1S3	0.039694924	-5.820766e-10	-5.346778	6.9349666	1
5694	FAM124B	0.10198655	-5.820766e-10	-6.6863127	15.710015	1
5792	INPP5D	0.14978059	0.029928504	-2.2854416	7.673134	1
5832	AC093915.1	0.044629585	-5.820766e-10	-5.5118985	7.724336	1
5836	AC012063.1	0.02901739	-5.820766e-10	-4.9077272	5.8922725	1
5906	KIF1A	0.10169426	-5.820766e-10	-6.6822124	13.520401	1
6005	RAD18	0.055271883	0.005624444	-3.0865428	6.028577	1
6034	PRRT3	0.022700038	-5.820766e-10	-4.566818	5.1062107	1
6150	KAT2B	0.028813103	-5.820766e-10	-4.8978753	5.2564287	1
6535	ACY1	0.028297046	-5.820766e-10	-4.872684	5.5689473	1
6552	SEMA3G	0.038778797	-5.820766e-10	-5.3139286	6.750278	1
