	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
1	FAM138A	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
2	OR4F5	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
3	AL627309.1	0.005815763	-5.820766e-10	-2.768876	1.0645307	0
4	AL627309.3	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
5	AL627309.2	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
6	AL627309.5	0.034511883	0.008465388	-1.9075682	1.450019	0
7	AL627309.4	0.0024262564	-5.820766e-10	-1.7766339	0.49771434	0
8	AP006222.2	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
9	AL732372.1	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
10	OR4F29	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
11	AC114498.1	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
12	OR4F16	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
13	AL669831.2	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
14	LINC01409	0.04698256	0.030310066	-0.6158836	0.32248694	0
15	FAM87B	0.001444362	-5.820766e-10	-1.2894588	0.4977119	0
16	LINC01128	0.14342248	0.12862131	-0.15599243	0.13908528	0
17	LINC00115	0.0014117617	-5.820766e-10	-1.2700882	0.49770755	0
18	FAM41C	0.0056692185	-5.820766e-10	-2.7375185	0.992512	0
19	AL645608.6	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
20	AL645608.2	0.0040513156	-5.820766e-10	-2.3366601	0.76891154	0
21	AL645608.4	-4.307367e-09	-5.820766e-10	5.331452e-06	25.8362	0
22	LINC02593	0.0036731274	-5.820766e-10	-2.2243893	0.7726328	0
23	SAMD11	0.007987642	0.03246372	1.8965832	0.59196675	0
24	NOC2L	0.20952357	0.27872	0.4100015	0.60647035	0
25	KLHL17	0.010023595	0.087926924	3.0120256	1.5266505	0
26	PLEKHN1	0.0056780414	-5.820766e-10	-2.739426	1.0387318	0
