	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
177	ACOT7	0.23660138	0.060077786	-1.9598237	8.758091	1
250	PGD	0.46374503	0.21681572	-1.0933313	5.962893	1
570	MAN1C1	0.06634306	-3.4924597e-10	-6.0734577	10.32573	1
723	FAM167B	0.21105814	0.039988443	-2.3711708	10.721474	1
767	GJA4	0.4684746	0.024099478	-4.225318	41.31314	1
893	CITED4	0.5852545	0.26464093	-1.1420497	7.3110986	1
1019	MOB3C	0.09513647	0.020196373	-2.1812665	5.0394015	1
1023	EFCAB14	1.029169	0.2843786	-1.8519322	28.083117	1
1187	LINC01358	0.036731973	-3.4924597e-10	-5.237716	6.926307	1
1192	FGGY	0.02671019	-3.4924597e-10	-4.792345	5.390298	1
1201	NFIA-AS2	0.05364763	-3.4924597e-10	-5.7720876	9.177843	1
1354	IFI44	0.14070451	0.017344408	-2.9494734	10.4030285	1
1430	RBMXL1	0.06510891	0.009797678	-2.6141236	5.8517504	1
1442	LRRC8B	0.15897214	0.5036124	1.6573548	6.259888	1
1488	GCLM	0.5055193	0.19538726	-1.3669157	9.720736	1
1531	PALMD	0.19387399	0.03917742	-2.2780848	8.003599	1
1714	PHTF1	0.24518031	0.09471443	-1.3629069	5.6154003	1
1737	TSPAN2	0.16718422	0.029425874	-2.4666717	8.390056	1
1872	GJA5	0.15250017	-3.4924597e-10	-7.262097	19.369314	1
2066	S100A6	2.7996678	1.3849319	-1.0149144	14.587154	1
2131	ADAM15	0.7782285	0.33452663	-1.2156192	14.626668	1
2203	NES	0.78727716	0.38257292	-1.0392022	9.166966	1
2375	PBX1	0.64217055	0.2826424	-1.1811283	8.40006	1
2497	GAS5	1.0224996	2.0707126	1.0173132	15.847083	1
2543	ABL2	0.5517086	0.24477808	-1.1691626	7.4669433	1
2616	C1orf21	0.1684402	0.60290915	1.8335553	8.7444105	1
2620	EDEM3	0.37302005	0.17258304	-1.1074895	5.1329603	1
2630	HMCN1	0.23309702	0.082281254	-1.4910429	5.860127	1
2740	CSRP1	0.37645945	0.11620296	-1.6873126	9.583044	1
2770	CYB5R1	0.42964366	0.21370012	-1.0041715	5.0201735	1
2786	ATP2B4	0.7063388	0.32172734	-1.1320857	9.361184	1
2879	CD34	0.9767831	0.29208216	-1.7382094	15.022715	1
3173	FAM89A	0.4924504	0.116952546	-2.0646985	17.793316	1
3232	RBM34	0.03542827	-3.4924597e-10	-5.186987	6.273766	1
3268	CHRM3	0.11837425	0.016029375	-2.8093944	9.68729	1
3344	ZNF670	0.029545203	-3.4924597e-10	-4.932874	5.399494	1
3606	FAM49A	0.32345957	0.09425023	-1.7682441	9.837382	1
3638	RHOB	0.45095563	0.20695177	-1.1199322	5.0232673	1
3675	TP53I3	0.5352946	0.21435718	-1.3162942	8.537318	1
3733	SLC5A6	0.060170837	0.004873644	-3.380516	7.5796013	1
3761	RBKS	0.027983507	-3.4924597e-10	-4.8571606	5.440014	1
3796	EHD3	0.1721207	0.8922476	2.367282	9.524789	1
3819	LTBP1	0.5243594	0.18888439	-1.4681833	9.714251	1
3833	CRIM1	0.69131863	0.23078218	-1.5786664	15.640469	1
3852	CDC42EP3	0.77537465	0.22645177	-1.7711923	18.389685	1
3883	TMEM178A	0.05716481	-3.4924597e-10	-5.8620753	9.42513	1
4096	SLC1A4	0.409037	0.073323034	-2.4638727	18.526726	1
4149	ANXA4	0.22613502	0.06444327	-1.7952334	6.7930593	1
4178	TEX261	0.12794457	0.013147412	-3.188141	11.996583	1
4321	CAPG	0.18205559	0.023637567	-2.8933501	14.744614	1
4327	VAMP8	0.35345346	0.08515149	-2.0406485	12.762691	1
