	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
1	FAM138A	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
2	OR4F5	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
3	AL627309.1	0.002944163	-3.4924597e-10	-1.9797198	0.78473026	0
4	AL627309.3	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
5	AL627309.2	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
6	AL627309.5	0.019712538	0.031776108	0.6621402	0.27514902	0
7	AL627309.4	0.0012204888	0.007579607	1.9500343	0.3872225	0
8	AP006222.2	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
9	AL732372.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
10	OR4F29	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
11	AC114498.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
12	OR4F16	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
13	AL669831.2	0.0010176398	-3.4924597e-10	-1.0126691	0.4979337	0
14	LINC01409	0.033244014	0.031516053	-0.074699655	0.036092795	0
15	FAM87B	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
16	LINC01128	0.13423479	0.10321415	-0.37591508	0.4587081	0
17	LINC00115	0.0044697686	0.019862039	1.9313284	0.7011059	0
18	FAM41C	0.016429065	0.004667062	-1.6208222	1.1906219	0
19	AL645608.6	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
20	AL645608.2	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
21	AL645608.4	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
22	LINC02593	0.0026102867	-3.4924597e-10	-1.8521137	1.0725417	0
23	SAMD11	0.024049675	-3.4924597e-10	-4.6467204	4.6630187	0
24	NOC2L	0.22988114	0.24806394	0.10936584	0.15434106	0
25	KLHL17	0.010589782	0.028211292	1.3336726	0.5274573	0
26	PLEKHN1	0.0010820365	0.011615652	2.5991473	0.43250182	0
27	PERM1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
28	AL645608.7	0.0029828665	0.013741772	1.8880309	0.35627845	0
29	HES4	0.45889926	0.46096295	0.006459289	0.010913847	0
30	ISG15	0.39320782	0.25901273	-0.6003742	2.1163883	0
31	AL645608.1	0.0013471917	-3.4924597e-10	-1.2309362	0.4979307	0
32	AGRN	0.24068889	0.26070175	0.11477223	0.15989485	0
33	AL645608.5	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
34	AL645608.8	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
35	RNF223	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
36	C1orf159	0.032896698	0.013937515	-1.1822045	0.8842375	0
37	AL390719.3	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
38	LINC01342	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
39	AL390719.2	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
40	TTLL10-AS1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
41	TTLL10	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
42	TNFRSF18	0.0027585863	-3.4924597e-10	-1.9101906	0.79929674	0
43	TNFRSF4	0.049873862	0.046772894	-0.09073241	0.05058051	0
44	SDF4	0.7178256	0.58490527	-0.29497433	1.3251288	0
45	B3GALT6	0.20756866	0.16056478	-0.3684096	0.5985707	0
46	C1QTNF12	0.0020275055	-3.4924597e-10	-1.5981301	0.800956	0
47	AL162741.1	0.001791044	-3.4924597e-10	-1.4808053	0.80274475	0
48	UBE2J2	0.34527543	0.28743088	-0.26369438	0.65471214	0
49	LINC01786	0.0010447818	-3.4924597e-10	-1.0319474	0.4979321	0
50	SCNN1D	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
51	ACAP3	0.10224949	0.07762275	-0.3931159	0.38712084	0
52	PUSL1	0.08788317	0.15983783	0.8556246	1.1887152	0
53	INTS11	0.22688663	0.250421	0.14178878	0.18944605	0
54	AL139287.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
55	CPTP	0.104074426	0.088840015	-0.22598152	0.21039215	0
56	TAS1R3	-6.6356733e-09	0.010571501	3.5325136	0.4941368	0
57	DVL1	0.08313907	0.09895365	0.2484834	0.18390553	0
58	MXRA8	0.010202968	0.006634132	-0.5533449	0.19943337	0
59	AURKAIP1	0.93454784	0.7636131	-0.29108146	1.8914574	0
60	CCNL2	0.36959904	0.41018692	0.14993516	0.32980618	0
61	MRPL20-AS1	0.062023412	0.060675744	-0.031184698	0.019415878	0
62	MRPL20	0.84367883	0.70738465	-0.25386992	1.1143012	0
63	AL391244.2	0.0031587183	0.017731959	2.1712909	0.49174166	0
64	ANKRD65	0.001410693	0.008608569	1.9948736	0.38533056	0
65	AL391244.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
66	TMEM88B	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
67	LINC01770	0.0010595008	-3.4924597e-10	-1.0422952	0.49793023	0
68	VWA1	0.28653383	0.384378	0.42254245	0.88781846	0
69	ATAD3C	0.006795318	0.014307463	0.9735554	0.30416295	0
70	ATAD3B	0.030381182	0.040309247	0.39656493	0.19038087	0
71	ATAD3A	0.09868871	0.11529871	0.2223331	0.20358554	0
72	TMEM240	0.057577245	0.06901492	0.25732222	0.14998986	0
73	SSU72	0.70370793	0.8047284	0.19326816	0.8955033	0
74	AL645728.1	0.022345237	-3.4924597e-10	-4.545057	4.5536456	0
75	FNDC10	0.060918525	0.06409131	0.07209399	0.04593935	0
76	AL691432.4	0.00398486	0.014139657	1.6027076	0.49107292	0
77	AL691432.2	0.017716883	0.054313745	1.5632977	1.0321171	0
78	MIB2	0.09990151	0.17765196	0.8242039	1.3759887	0
79	MMP23B	0.020723013	0.008640785	-1.1720017	0.6306953	0
80	CDK11B	0.21122609	0.27713555	0.390186	0.7943954	0
81	FO704657.1	0.0027519534	-3.4924597e-10	-1.9076424	0.79686534	0
82	SLC35E2B	0.09593857	0.14725475	0.61293566	0.77042437	0
83	CDK11A	0.15046738	0.21475875	0.5104119	0.83710384	0
84	SLC35E2A	0.043723594	0.02494581	-0.78553444	0.6997909	0
85	NADK	0.15208557	0.091406986	-0.72826445	1.3301249	0
86	GNB1	1.2447376	1.0367664	-0.26351848	2.7543738	0
87	AL109917.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
88	CALML6	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
89	TMEM52	0.0013861008	-3.4924597e-10	-1.2546555	0.49794966	0
90	CFAP74	0.01686288	0.004873644	-1.604637	1.0800307	0
91	AL391845.2	0.008146179	0.014473019	0.7585137	0.17380567	0
92	GABRD	0.028882612	0.026727792	-0.10797347	0.047651503	0
93	AL391845.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
94	PRKCZ	0.024940336	0.072724916	1.5069551	1.0526593	0
95	AL590822.2	0.0015851426	0.004873644	1.184012	0.28175363	0
96	PRKCZ-AS1	0.0014704656	-3.4924597e-10	-1.3047833	0.49793166	0
97	FAAP20	0.6928999	0.6419127	-0.110104695	0.41657725	0
98	AL590822.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
99	SKI	0.28114632	0.32370594	0.20269032	0.37942228	0
100	AL590822.3	0.0024040835	-3.4924597e-10	-1.7672669	0.7994299	0
101	MORN1	0.006469389	-3.4924597e-10	-2.9009907	1.3026693	0
102	AL589739.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
103	AL513477.2	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
104	RER1	0.5444483	0.38965878	-0.48153353	2.3297172	0
105	PEX10	0.061316468	0.058237877	-0.07309354	0.048521698	0
106	PLCH2	0.0011959506	-3.4924597e-10	-1.1348461	0.49793717	0
107	AL139246.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
108	AL139246.4	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
109	PANK4	0.022058614	0.014320149	-0.5898754	0.2979789	0
110	HES5	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
111	AL139246.5	0.039553206	0.00788045	-2.1911113	2.5205114	0
112	TNFRSF14-AS1	0.011237285	0.016385244	0.50657976	0.16752379	0
113	TNFRSF14	0.028631436	0.025904495	-0.13928127	0.058584504	0
114	AL139246.3	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
115	PRXL2B	0.16975749	0.14094296	-0.26663747	0.36348465	0
116	MMEL1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
117	AL831784.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
118	TTC34	0.0020768358	-3.4924597e-10	-1.6214479	0.77218604	0
119	AC242022.2	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
120	AC242022.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
121	AL592464.2	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
122	AL592464.3	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
123	AL592464.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
124	AL589702.1	-6.6356733e-09	-3.4924597e-10	9.115051e-06	43.77429	0
