	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
177	ACOT7	0.19887292	0.060077786	-1.7103634	5.296496	1
570	MAN1C1	0.053447906	-3.4924597e-10	-5.766805	6.1853747	1
723	FAM167B	0.17808338	0.039988443	-2.1273425	6.3593326	1
767	GJA4	0.17622778	0.024099478	-2.8198755	9.371584	1
1023	EFCAB14	0.6911404	0.2843786	-1.2781876	10.816466	1
1201	NFIA-AS2	0.062433865	-3.4924597e-10	-5.9871817	6.167777	1
1354	IFI44	0.13108689	0.017344408	-2.848075	7.208769	1
1488	GCLM	0.47643808	0.19538726	-1.2816122	7.595671	1
1531	PALMD	0.16231768	0.03917742	-2.023224	5.183983	1
2375	PBX1	0.58676726	0.2826424	-1.0511718	5.9620585	1
2616	C1orf21	0.2766048	0.60290915	1.121299	5.3032227	1
2621	NIBAN1	0.26614085	0.08643839	-1.6112617	5.2177615	1
2630	HMCN1	0.26228434	0.082281254	-1.6605579	6.6012287	1
2879	CD34	0.64337164	0.29208216	-1.1365879	5.0787735	1
3173	FAM89A	0.36162102	0.116952546	-1.620256	8.405114	1
3268	CHRM3	0.16057903	0.016029375	-3.2461426	11.693354	1
3606	FAM49A	0.2657033	0.09425023	-1.485441	5.6788325	1
3796	EHD3	0.32821253	0.8922476	1.440041	6.396695	1
3819	LTBP1	0.42634234	0.18888439	-1.1702709	5.2240624	1
3833	CRIM1	0.5407113	0.23078218	-1.2247545	7.883315	1
3852	CDC42EP3	0.568291	0.22645177	-1.3236055	8.502038	1
3883	TMEM178A	0.06651057	-3.4924597e-10	-6.077042	7.474195	1
4096	SLC1A4	0.25009823	0.073323034	-1.7563704	6.3180437	1
4149	ANXA4	0.22143939	0.06444327	-1.7650956	5.7882657	1
4178	TEX261	0.09593916	0.013147412	-2.7765415	6.000347	1
4321	CAPG	0.1260297	0.023637567	-2.366234	6.704769	1
4328	VAMP5	0.8825883	0.2975364	-1.5654676	14.012091	1
4505	CNNM3	0.042838268	-3.4924597e-10	-5.454119	5.6546683	1
4569	NPAS2	0.21818675	0.06492318	-1.7333028	5.909393	1
4579	RFX8	0.09560438	0.00578217	-3.83227	8.929909	1
4793	INHBB	0.45658123	0.14656088	-1.6327175	6.8111854	1
