	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
17	LINC00115	-5.820766e-10	0.008846814	3.2996578	7.3703012	1
18	FAM41C	-5.820766e-10	0.018103939	4.255799	14.861099	1
28	AL645608.7	-5.820766e-10	0.006088042	2.825388	5.710872	1
68	VWA1	0.49136847	0.07196266	-2.754508	6.937528	1
91	AL391845.2	-5.820766e-10	0.006146781	2.8372943	5.327044	1
101	MORN1	-5.820766e-10	0.011859913	3.68481	10.240932	1
134	MEGF6	-5.820766e-10	0.027957994	4.8558908	21.58611	1
172	RNF207	-5.820766e-10	0.009073661	3.332517	7.992873	1
236	PIK3CD-AS2	-5.820766e-10	0.017632362	4.2197394	15.223898	1
248	AL139424.3	-5.820766e-10	0.007688145	3.119049	7.1783023	1
249	AL139424.2	-5.820766e-10	0.010647053	3.541894	8.91005	1
253	CORT	-5.820766e-10	0.006446176	2.8965006	5.887876	1
271	UBIAD1	-5.820766e-10	0.057425216	5.8685203	44.55244	1
277	FBXO2	-5.820766e-10	0.0074026985	3.0708535	6.0926666	1
279	FBXO6	-5.820766e-10	0.0186254	4.294651	16.262413	1
289	AL021155.5	-5.820766e-10	0.010010091	3.460755	7.997308	1
339	KAZN	0.013151436	0.11870596	3.0804746	14.082286	1
364	SLC25A34	-5.820766e-10	0.006867964	2.975991	6.1687202	1
378	EPHA2	0.06289901	0.22267808	1.8075584	6.0739985	1
383	AL109627.1	-5.820766e-10	0.006110414	2.8299344	5.2129517	1
384	CPLANE2	-5.820766e-10	0.0076738233	3.116669	7.0556602	1
389	LINC01772	-5.820766e-10	0.012405206	3.7447224	10.163876	1
428	ALDH4A1	-5.820766e-10	0.030297296	4.967967	24.152761	1
443	TMCO4	-5.820766e-10	0.025514591	4.7287154	19.51083	1
464	CAMK2N1	-5.820766e-10	0.09821612	6.6325035	44.55244	1
482	ALPL	-5.820766e-10	0.006344848	2.8767333	5.894231	1
494	CDC42-IT1	-5.820766e-10	0.013073369	3.8148966	10.426075	1
511	LINC01355	-5.820766e-10	0.019181745	4.33498	15.760595	1
517	TCEA3	-5.820766e-10	0.019321654	4.344947	15.486207	1
523	MDS2	-5.820766e-10	0.009028512	3.3260365	7.896932	1
525	ELOA-AS1	-5.820766e-10	0.014090324	3.9155526	11.716166	1
624	GPR3	-5.820766e-10	0.00520848	2.6342409	5.117698	1
659	RAB42	-5.820766e-10	0.0066345283	2.9325397	7.5905	1
697	TINAGL1	-5.820766e-10	0.01191905	3.691429	10.756433	1
702	COL16A1	-5.820766e-10	0.033584416	5.112051	29.957506	1
705	SPOCD1	-5.820766e-10	0.0070695747	3.0124934	6.9975305	1
757	CSMD2	-5.820766e-10	0.010456875	3.5181425	8.9471035	1
767	GJA4	0.07884423	0.71706766	3.1688597	31.677658	1
802	OSCP1	-5.820766e-10	0.021577302	4.496802	18.06294	1
812	ZC3H12A	-5.820766e-10	0.01271353	3.7775288	10.883382	1
832	POU3F1	-5.820766e-10	0.015121225	4.0108905	14.54863	1
930	SLC2A1	0.54808575	0.079559915	-2.7688973	8.252171	1
952	KDM4A-AS1	-5.820766e-10	0.024242325	4.6577735	19.464813	1
962	CCDC24	-5.820766e-10	0.009346674	3.371096	8.317352	1
979	BTBD19	-5.820766e-10	0.026328536	4.772337	22.210802	1
987	MUTYH	-5.820766e-10	0.021327648	4.48076	17.16931	1
1023	EFCAB14	0.35756952	1.2594368	1.8135992	23.148407	1
1026	CYP4X1	-5.820766e-10	0.009092225	3.3351731	8.194408	1
1071	TTC39A	-5.820766e-10	0.05948265	5.9184504	44.55244	1
1090	ORC1	-5.820766e-10	0.0055860067	2.7194047	5.169889	1
1100	ECHDC2	-5.820766e-10	0.062632956	5.991703	44.55244	1
1111	AL606760.1	-5.820766e-10	0.005716279	2.747663	5.6964407	1
1123	YIPF1	0.06422019	0.25998396	2.0005705	9.404501	1
1125	HSPB11	0.076515056	0.23183082	1.5867336	5.410898	1
