	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
1	FAM138A	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
2	OR4F5	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
3	AL627309.1	-5.820766e-10	0.0016701809	1.4169383	1.9324442	0
4	AL627309.3	-5.820766e-10	0.0002949274	0.37287197	0.49838194	0
5	AL627309.2	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
6	AL627309.5	0.008465388	0.012589818	0.5217926	0.19717567	0
7	AL627309.4	-5.820766e-10	0.00044226716	0.52833927	0.79669744	0
8	AP006222.2	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
9	AL732372.1	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
10	OR4F29	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
11	AC114498.1	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
12	OR4F16	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
13	AL669831.2	-5.820766e-10	0.00037371716	0.45808578	0.4983889	0
14	LINC01409	0.030310066	0.028353143	-0.093111515	0.032468636	0
15	FAM87B	-5.820766e-10	0.00016243686	0.21715322	0.49835736	0
16	LINC01128	0.12862131	0.099750966	-0.36350924	0.33804888	0
17	LINC00115	-5.820766e-10	0.008846814	3.2996578	7.3703012	1
18	FAM41C	-5.820766e-10	0.018103939	4.255799	14.861099	1
19	AL645608.6	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
20	AL645608.2	-5.820766e-10	0.001530615	1.3394889	2.0091343	0
21	AL645608.4	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
22	LINC02593	-5.820766e-10	0.0056270203	2.7283611	4.878883	0
23	SAMD11	0.03246372	0.035627957	0.13034746	0.054466046	0
24	NOC2L	0.27872	0.23222588	-0.26225537	0.38428983	0
25	KLHL17	0.087926924	0.01911192	-2.1445694	1.279161	0
26	PLEKHN1	-5.820766e-10	0.000526794	0.6105063	0.7425289	0
27	PERM1	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
28	AL645608.7	-5.820766e-10	0.006088042	2.825388	5.710872	1
29	HES4	0.4428292	0.46972558	0.084881686	0.1618472	0
30	ISG15	0.26300496	0.42945662	0.7053029	2.6951206	0
31	AL645608.1	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
32	AGRN	0.28031337	0.14685637	-0.92798173	1.7510529	0
33	AL645608.5	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
34	AL645608.8	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
35	RNF223	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
36	C1orf159	0.043453455	0.021311095	-0.9945341	0.5063903	0
37	AL390719.3	-5.820766e-10	0.00014472252	0.19499876	0.49832556	0
38	LINC01342	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
39	AL390719.2	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
40	TTLL10-AS1	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
41	TTLL10	-5.820766e-10	-1.268927e-08	-1.7456345e-05	44.55244	0
42	TNFRSF18	-5.820766e-10	0.0013688622	1.2441951	1.678245	0
43	TNFRSF4	0.045581497	0.036665384	-0.30651784	0.1552528	0
44	SDF4	0.596419	0.6660435	0.1590378	0.49878386	0
45	B3GALT6	0.19844557	0.21440083	0.111028664	0.13847478	0
46	C1QTNF12	0.014714822	0.0039315647	-1.6720086	0.33050922	0
47	AL162741.1	-5.820766e-10	0.00094382465	0.9588989	0.8024931	0
48	UBE2J2	0.333944	0.32485995	-0.03966781	0.057280447	0
49	LINC01786	-5.820766e-10	0.0006044046	0.68203884	0.8021424	0
50	SCNN1D	0.007893945	0.0041390196	-0.7913303	0.1945951	0
51	ACAP3	0.10491368	0.10737694	0.033168897	0.025485253	0
52	PUSL1	0.08859957	0.09133632	0.04340633	0.032933928	0
53	INTS11	0.24965541	0.19553801	-0.350897	0.5426955	0
54	AL139287.1	0.013444334	-1.268927e-08	-3.8524501	0.49369085	0
55	CPTP	0.07552397	0.09283762	0.2942546	0.23547767	0
56	TAS1R3	-5.820766e-10	0.0002941431	0.37199792	0.49836326	0
57	DVL1	0.121319026	0.055512704	-1.1140018	1.050415	0
