	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	-3.4924597e-10	0.035227433	5.179011	28.873486	1
58	MXRA8	0.006634132	0.043943778	2.5575852	5.7435412	1
68	VWA1	0.384378	0.072104596	-2.39824	5.6234884	1
74	AL645728.1	-3.4924597e-10	0.021911288	4.5179873	17.317148	1
101	MORN1	-3.4924597e-10	0.011883307	3.6874316	10.241315	1
177	ACOT7	0.060077786	0.29556182	2.279613	15.581865	1
179	HES2	-3.4924597e-10	0.015390413	4.0347805	13.367364	1
187	KLHL21	0.0051776376	0.04547889	2.9114485	8.876787	1
238	CTNNBIP1	0.17022625	0.39852503	1.222382	8.446311	1
249	AL139424.2	-3.4924597e-10	0.010668052	3.5444925	8.909635	1
250	PGD	0.21681572	0.62482876	1.5226598	13.724644	1
253	CORT	-3.4924597e-10	0.006458891	2.8989615	5.8879814	1
364	SLC25A34	-3.4924597e-10	0.006881509	2.9784725	6.1684923	1
384	CPLANE2	-3.4924597e-10	0.007688959	3.1191838	7.055748	1
389	LINC01772	-3.4924597e-10	0.012429675	3.7473528	10.164185	1
439	MICOS10	0.5933894	1.4833972	1.320397	21.616634	1
464	CAMK2N1	0.0045215734	0.09793904	4.1633883	33.621334	1
469	PINK1-AS	-3.4924597e-10	0.008292641	3.216089	6.7425117	1
482	ALPL	-3.4924597e-10	0.006357362	2.879189	5.894297	1
503	EPHB2	-3.4924597e-10	0.005124694	2.6146383	5.019521	1
523	MDS2	-3.4924597e-10	0.009046319	3.3285954	7.897029	1
570	MAN1C1	-3.4924597e-10	0.037463535	5.26542	27.752035	1
622	FCN3	0.2456292	0.0022522304	-6.2447705	5.888807	1
697	TINAGL1	-3.4924597e-10	0.011942559	3.6940515	10.755856	1
705	SPOCD1	-3.4924597e-10	0.0070835194	3.014984	6.9973454	1
723	FAM167B	0.039988443	0.19517535	2.2588546	11.946202	1
740	FNDC5	-3.4924597e-10	0.006308231	2.8695226	5.9722466	1
757	CSMD2	-3.4924597e-10	0.0104775	3.520737	8.946657	1
767	GJA4	0.024099478	0.7181178	4.840499	44.55244	1
832	POU3F1	-3.4924597e-10	0.01515105	4.0135565	14.549442	1
854	HEYL	0.008300315	0.080192015	3.1259866	17.56442	1
874	ZMPSTE24	0.13709101	0.32362252	1.2331437	7.2589355	1
890	NFYC-AS1	-3.4924597e-10	0.0123578785	3.7396195	10.736184	1
893	CITED4	0.26464093	0.5340162	1.0101051	6.149316	1
900	AC093151.8	-3.4924597e-10	0.010090316	3.471229	8.440541	1
930	SLC2A1	0.6935064	0.07971683	-3.1050465	13.49975	1
962	CCDC24	-3.4924597e-10	0.009365111	3.3736641	8.317561	1
964	AL139220.2	-3.4924597e-10	0.008070103	3.1811194	7.4819264	1
1018	MKNK1	0.05359595	0.16645718	1.6169264	5.7000313	1
1019	MOB3C	0.020196373	0.0888134	2.0831134	6.311149	1
1023	EFCAB14	0.2843786	1.2610236	2.14479	35.167248	1
1026	CYP4X1	-3.4924597e-10	0.009110159	3.3377342	8.194175	1
1080	RAB3B	-3.4924597e-10	0.021657124	4.5018935	17.106007	1
1090	ORC1	-3.4924597e-10	0.0055970266	2.7218163	5.1699038	1
1100	ECHDC2	0.006100072	0.06275649	3.1666667	11.89033	1
1123	YIPF1	0.10383946	0.2601808	1.3168669	6.3423886	1
1149	DHCR24	0.08649232	0.22595602	1.3751844	5.478479	1
1177	OMA1	0.006291407	0.04314709	2.5980492	5.943299	1
1187	LINC01358	-3.4924597e-10	0.025111185	4.7065964	21.763357	1
1190	AC093425.1	-3.4924597e-10	0.008391542	3.2313626	7.1164446	1
1192	FGGY	-3.4924597e-10	0.03383833	5.122604	26.969439	1
1198	LINC01748	-3.4924597e-10	0.008418552	3.2355056	7.140665	1
1199	AC099792.1	-3.4924597e-10	0.009096893	3.33584	7.482	1
1200	NFIA	0.16516754	0.39949012	1.269128	7.397673	1
1201	NFIA-AS2	-3.4924597e-10	0.17987284	7.498832	44.55244	1
1231	ROR1	0.010467741	0.1064171	3.2275705	12.413756	1
1240	AK4	0.67584467	0.11679072	-2.5225987	11.803448	1
1269	DEPDC1	-3.4924597e-10	0.018154027	4.2595763	12.798958	1
1353	IFI44L	-3.4924597e-10	0.00959535	3.40536	10.560829	1
1354	IFI44	0.017344408	0.16892263	3.2114658	19.225231	1
1376	TTLL7	0.10158495	0.27811655	1.4440485	7.1745195	1
1380	PRKACB	0.0649871	0.18027952	1.4579599	6.0272894	1
1381	SAMD13	-3.4924597e-10	0.011896151	3.6888692	10.242417	1
1403	AC092807.3	-3.4924597e-10	0.022609862	4.561318	19.29077	1
1405	CCN1	0.21432129	0.53890204	1.3262067	8.836996	1
1415	AL049597.2	-3.4924597e-10	0.014119347	3.9183242	11.852986	1
1430	RBMXL1	0.009797678	0.06871849	2.6908202	10.741468	1
1432	GBP1	-3.4924597e-10	0.019447383	4.3538446	17.125826	1
1442	LRRC8B	0.5036124	0.1208742	-2.049783	7.49527	1
1466	EPHX4	0.03781275	0.258807	2.7428377	20.803019	1
1488	GCLM	0.19538726	0.6678113	1.7678978	19.067842	1
1489	ABCA4	-3.4924597e-10	0.014386778	3.9436197	11.76991	1
1522	MIR137HG	-3.4924597e-10	0.014053678	3.9120445	12.275034	1
1523	BX005019.1	-3.4924597e-10	0.0060856394	2.8248985	5.233352	1
1526	SNX7	0.16834661	0.4482221	1.4074497	9.704473	1
1531	PALMD	0.03917742	0.15707353	1.976139	6.851684	1
1540	LRRC39	-3.4924597e-10	0.0066337814	2.9323983	6.7033944	1
1558	AL109741.1	-3.4924597e-10	0.02189471	4.516943	17.908077	1
1562	OLFM3	-3.4924597e-10	0.011633977	3.6592374	9.526613	1
1565	COL11A1	0.62238306	0.14868458	-2.0581934	7.0585485	1
1579	PRMT6	0.003633244	0.058152955	3.6743555	20.529478	1
1580	NTNG1	-3.4924597e-10	0.036787566	5.23984	30.293043	1
1602	TAF13	0.09724353	0.24863371	1.3453784	5.018842	1
1643	SLC6A17	-3.4924597e-10	0.0060808365	2.8239202	5.549589	1
1675	PIFO	-3.4924597e-10	0.0071703475	3.030398	6.814914	1
1677	AL390195.2	-3.4924597e-10	0.009998775	3.4592714	8.361315	1
1686	INKA2	0.009415417	0.045008894	2.143192	5.073721	1
1711	LRIG2-DT	-3.4924597e-10	0.006239248	2.8558402	5.6691566	1
1714	PHTF1	0.09471443	0.2908712	1.6085234	10.00421	1
1726	SYT6	-3.4924597e-10	0.008101922	3.1861718	8.057117	1
1737	TSPAN2	0.029425874	0.18467739	2.6094275	12.819	1
1741	NGF	-3.4924597e-10	0.015938032	4.082195	14.621848	1
1767	TRIM45	-3.4924597e-10	0.0072505847	3.0444968	6.842535	1
1778	TBX15	-3.4924597e-10	0.04322411	5.4667616	34.392307	1
1790	LINC00622	-3.4924597e-10	0.011213987	3.610463	10.2308035	1
1796	NOTCH2	0.0125773745	0.10326794	2.9410193	14.408939	1
1830	FAM72D	-3.4924597e-10	0.009161428	3.3450317	7.495393	1
1834	NBPF20	-3.4924597e-10	0.018581647	4.2914305	15.600556	1
1841	NUDT17	-3.4924597e-10	0.016389472	4.120143	13.617772	1
1853	TXNIP	1.1039356	0.28089225	-1.9707466	11.588108	1
1857	NBPF10	-3.4924597e-10	0.010199839	3.4854066	9.576691	1
1858	NOTCH2NLA	-3.4924597e-10	0.017768128	4.230213	17.300018	1
1872	GJA5	-3.4924597e-10	0.059194967	5.9115715	30.75469	1
1876	GPR89B	-3.4924597e-10	0.01223422	3.7262018	11.094463	1
1888	NBPF14	0.0045215734	0.038558464	2.8408349	8.409317	1
1896	AC245297.3	0.019278351	0.08445934	2.0752978	6.2923775	1
1897	AC245297.2	-3.4924597e-10	0.0055555287	2.7127128	5.855173	1
1898	NOTCH2NLC	-3.4924597e-10	0.010744385	3.5538998	10.561644	1
1922	VPS45	0.03269268	0.11008324	1.7211342	5.5099306	1
1944	CTSS	-3.4924597e-10	0.014430132	3.947679	11.525266	1
1945	CTSK	-3.4924597e-10	0.009631156	3.410227	8.92113	1
1964	LYSMD1	-3.4924597e-10	0.019964162	4.3898535	16.945518	1
1975	AL391069.2	-3.4924597e-10	0.023974655	4.642393	19.221626	1
1980	TUFT1	-3.4924597e-10	0.0072925026	3.051808	6.234741	1
2066	S100A6	1.3849319	3.0146835	1.1216285	17.652012	1
2122	AL451085.2	-3.4924597e-10	0.008496444	3.247388	7.546098	1
2131	ADAM15	0.33452663	0.7377452	1.1386496	13.538139	1
2155	ASH1L-AS1	-3.4924597e-10	0.016524421	4.131295	13.681666	1
2160	DAP3	0.27896273	0.5829659	1.0606494	7.2516594	1
2181	PAQR6	-3.4924597e-10	0.0078019314	3.1378205	7.122544	1
2193	IQGAP3	-3.4924597e-10	0.006036601	2.8148792	6.5821586	1
2199	AL365181.2	-3.4924597e-10	0.0057900436	2.7634213	5.2954354	1
2201	AL365181.3	-3.4924597e-10	0.0058812923	2.78268	5.1919827	1
2203	NES	0.38257292	1.0227144	1.4162406	18.170444	1
2250	SPTA1	-3.4924597e-10	0.024081249	4.6485376	18.629732	1
2291	AL121987.2	-3.4924597e-10	0.007650584	3.112798	6.146186	1
2342	FCGR2A	-3.4924597e-10	0.00897848	3.3188205	9.016998	1
2343	HSPA6	-3.4924597e-10	0.0075307675	3.092676	5.4385953	1
2354	OLFML2B	-3.4924597e-10	0.02042061	4.420928	18.283792	1
2366	DDR2	0.015813464	0.07922559	2.2544456	6.0775185	1
2367	HSD17B7	0.012578978	0.0727515	2.4412975	7.686981	1
2375	PBX1	0.2826424	0.65943295	1.219339	9.930503	1
2376	AL391001.1	-3.4924597e-10	0.0057814796	2.7616005	5.162367	1
2401	ILDR2	-3.4924597e-10	0.059730716	5.924355	44.55244	1
2437	ATP1B1	0.87995917	0.43691325	-1.00843	6.8875756	1
2461	PRRX1	-3.4924597e-10	0.029862817	4.9477983	25.276712	1
2469	FMO4	-3.4924597e-10	0.006374894	2.8826227	5.3474293	1
2492	ANKRD45	-3.4924597e-10	0.0074211257	3.0740135	5.149913	1
2497	GAS5	2.0707126	0.8116267	-1.3501593	19.798399	1
2502	RC3H1-IT1	-3.4924597e-10	0.0077410955	3.1278145	6.9217563	1
2513	KIAA0040	0.00966398	0.06846574	2.7035556	6.6321754	1
2525	ASTN1	-3.4924597e-10	0.01691501	4.1630974	14.707159	1
2530	SEC16B	-3.4924597e-10	0.010143774	3.4781663	8.946584	1
2540	ANGPTL1	-3.4924597e-10	0.015151383	4.013586	13.028522	1
2543	ABL2	0.24477808	0.49517643	1.013497	5.931588	1
2589	RGS16	0.02816966	0.13193502	2.1881807	6.8729925	1
2599	LAMC2	-3.4924597e-10	0.010156872	3.4798613	7.9056635	1
2616	C1orf21	0.60290915	0.123693414	-2.2759461	10.239294	1
2621	NIBAN1	0.08643839	0.25338924	1.5406989	5.8772745	1
2716	AC104461.1	-3.4924597e-10	0.013716599	3.8793728	11.819177	1
2734	TNNT2	0.2941255	-1.2572855e-08	-8.205203	5.5533285	1
2737	TNNI1	0.24187598	0.014827648	-3.939701	5.22387	1
2740	CSRP1	0.11620296	0.35689095	1.6105111	9.62504	1
2750	TIMM17A	0.21173778	0.45548874	1.101503	7.1038885	1
2770	CYB5R1	0.21370012	0.5168014	1.2700758	9.367999	1
2798	REN	-3.4924597e-10	0.032235116	5.054637	15.458378	1
2801	PLEKHA6	-3.4924597e-10	0.008329609	3.2218173	7.969185	1
2809	LRRN2	-3.4924597e-10	0.02093146	4.4549303	18.703928	1
2831	RAB29	0.11825301	0.2762328	1.2170722	5.434984	1
2838	RAB7B	-3.4924597e-10	0.0073985597	3.0701425	7.1238456	1
2863	PFKFB2	-3.4924597e-10	0.018130621	4.257812	14.219924	1
2879	CD34	0.29208216	0.80817866	1.4651532	10.443216	1
2902	C1orf74	-3.4924597e-10	0.009744289	3.4254987	8.605332	1
2905	SYT14	-3.4924597e-10	0.04598448	5.554113	36.329983	1
2907	SERTAD4-AS1	-3.4924597e-10	0.020426761	4.4213424	16.34414	1
2908	SERTAD4	-3.4924597e-10	0.008411926	3.2344904	7.637711	1
2909	HHAT	-3.4924597e-10	0.02356919	4.6187787	19.644068	1
2925	NEK2	-3.4924597e-10	0.007726579	3.1254165	6.2130027	1
2944	AC092803.1	-3.4924597e-10	0.0068797125	2.9781435	6.2489448	1
2954	FLVCR1-DT	-3.4924597e-10	0.020573024	4.431157	17.227701	1
2957	VASH2	-3.4924597e-10	0.02014181	4.4020276	17.368559	1
3042	AL929091.1	-3.4924597e-10	0.03234419	5.059364	24.278608	1
3060	AC096537.1	-3.4924597e-10	0.005414802	2.681405	5.2100286	1
3075	TMEM63A	0.024700161	0.10743725	2.0770113	7.933182	1
3088	PARP1	0.19771063	0.47254714	1.252839	7.7395515	1
3093	ITPKB-AS1	-3.4924597e-10	0.008590505	3.2616074	7.856228	1
3150	ABCB10	0.008344118	0.06600641	2.8421688	7.989241	1
3171	TTC13	0.017114937	0.09115043	2.346811	6.814446	1
3173	FAM89A	0.116952546	0.5311483	2.173622	22.281548	1
3232	RBM34	-3.4924597e-10	0.027230442	4.81918	21.222403	1
3263	LINC01139	-3.4924597e-10	0.018066807	4.2529917	14.91419	1
3268	CHRM3	0.016029375	0.22199468	3.710912	40.997223	1
3341	LINC01341	-3.4924597e-10	0.014582554	3.9618602	12.458614	1
3344	ZNF670	-3.4924597e-10	0.025056997	4.7035995	20.208662	1
