	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
1	FAM138A	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
2	OR4F5	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
3	AL627309.1	-3.4924597e-10	0.0016701809	1.416938	1.932444	0
4	AL627309.3	-3.4924597e-10	0.0002949274	0.3728717	0.4983814	0
5	AL627309.2	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
6	AL627309.5	0.031776108	0.012589818	-1.2701184	0.5150238	0
7	AL627309.4	0.007579607	0.00044226716	-2.5725732	0.45618415	0
8	AP006222.2	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
9	AL732372.1	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
10	OR4F29	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
11	AC114498.1	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
12	OR4F16	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
13	AL669831.2	-3.4924597e-10	0.00037371716	0.45808554	0.4983885	0
14	LINC01409	0.031516053	0.028353143	-0.14763708	0.07351764	0
15	FAM87B	-3.4924597e-10	0.00016243686	0.21715277	0.4983564	0
16	LINC01128	0.10321415	0.099750966	-0.048757534	0.040780444	0
17	LINC00115	0.019862039	0.008846814	-1.0831512	0.45264977	0
18	FAM41C	0.004667062	0.018103939	1.7531973	1.9674711	0
19	AL645608.6	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
20	AL645608.2	-3.4924597e-10	0.001530615	1.3394885	2.0091338	0
21	AL645608.4	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
22	LINC02593	-3.4924597e-10	0.0056270203	2.7283607	4.878882	0
23	SAMD11	-3.4924597e-10	0.035627957	5.194874	29.000275	1
24	NOC2L	0.24806394	0.23222588	-0.09478829	0.13920751	0
25	KLHL17	0.028211292	0.01911192	-0.53847533	0.23473155	0
26	PLEKHN1	0.011615652	0.000526794	-3.0466373	0.4645902	0
27	PERM1	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
28	AL645608.7	0.013741772	0.006088042	-1.0564507	0.23597015	0
29	HES4	0.46096295	0.46972558	0.027109064	0.050859537	0
30	ISG15	0.25901273	0.42945662	0.7272856	3.4381604	0
31	AL645608.1	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
32	AGRN	0.26070175	0.14685637	-0.82372713	1.6992637	0
33	AL645608.5	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
34	AL645608.8	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
35	RNF223	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
36	C1orf159	0.013937515	0.021311095	0.5788211	0.31040466	0
37	AL390719.3	-3.4924597e-10	0.00014472252	0.19499846	0.49832448	0
38	LINC01342	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
39	AL390719.2	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
40	TTLL10-AS1	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
41	TTLL10	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
42	TNFRSF18	-3.4924597e-10	0.0013688622	1.2441949	1.6782444	0
43	TNFRSF4	0.046772894	0.036665384	-0.342953	0.19961065	0
44	SDF4	0.58490527	0.6660435	0.18711342	0.69644755	0
45	B3GALT6	0.16056478	0.21440083	0.414911	0.7799395	0
46	C1QTNF12	-3.4924597e-10	0.0039315647	2.3020458	4.0706477	0
47	AL162741.1	-3.4924597e-10	0.00094382465	0.95889854	0.80249286	0
48	UBE2J2	0.28743088	0.32485995	0.1760264	0.40200022	0
49	LINC01786	-3.4924597e-10	0.0006044046	0.6820385	0.802142	0
50	SCNN1D	-3.4924597e-10	0.0041390196	2.3614936	3.9270015	0
51	ACAP3	0.07762275	0.10737694	0.46303913	0.5331054	0
52	PUSL1	0.15983783	0.09133632	-0.80063665	1.1590277	0
53	INTS11	0.250421	0.19553801	-0.35529664	0.57317126	0
54	AL139287.1	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
55	CPTP	0.088840015	0.09283762	0.0628082	0.05129157	0
56	TAS1R3	0.010571501	0.0002941431	-3.160507	0.47590333	0
57	DVL1	0.09895365	0.055512704	-0.82268405	0.6898826	0
58	MXRA8	0.006634132	0.044235468	2.5669184	5.810804	1
59	AURKAIP1	0.7636131	1.0552813	0.46619236	4.7444386	0
60	CCNL2	0.41018692	0.32761756	-0.32338485	0.91592914	0
61	MRPL20-AS1	0.060675744	0.04242365	-0.50622225	0.36648506	0
62	MRPL20	0.70738465	0.96333736	0.445005	3.1082494	0
63	AL391244.2	0.017731959	0.0041725147	-1.856564	0.45059672	0
64	ANKRD65	0.008608569	-1.268927e-08	-3.26434	0.4941373	0
65	AL391244.1	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
66	TMEM88B	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
67	LINC01770	-3.4924597e-10	-1.268927e-08	-1.7800314e-05	44.55244	0
68	VWA1	0.384378	0.07196266	-2.401044	5.627515	1
69	ATAD3C	0.014307463	0.0014684581	-2.632553	0.6409075	0
70	ATAD3B	0.040309247	0.038082547	-0.07994024	0.038786147	0
71	ATAD3A	0.11529871	0.090669855	-0.3433158	0.34600374	0
72	TMEM240	0.06901492	0.038925104	-0.81036633	0.50939584	0
73	SSU72	0.8047284	0.7855004	-0.034846064	0.12035831	0
74	AL645728.1	-3.4924597e-10	0.021868154	4.5152683	17.3175	1
75	FNDC10	0.06409131	0.047143813	-0.43511462	0.32236573	0
76	AL691432.4	0.014139657	0.0023875884	-2.160002	0.6153421	0
77	AL691432.2	0.054313745	0.025938902	-1.0379469	0.7334226	0
78	MIB2	0.17765196	0.10096219	-0.8091174	1.422591	0
