	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
1	FAM138A	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
2	OR4F5	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
3	AL627309.1	0.0029914798	0.0016734755	-0.57820725	0.25352815	0
4	AL627309.3	-6.519258e-09	0.00029550924	0.37352872	0.49839535	0
5	AL627309.2	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
6	AL627309.5	0.020029346	0.012614651	-0.627244	0.7778719	0
7	AL627309.4	0.0012401029	0.00044313958	-0.6343541	0.27278963	0
8	AP006222.2	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
9	AL732372.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
10	OR4F29	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
11	AC114498.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
12	OR4F16	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
13	AL669831.2	0.001033994	0.00037445442	-0.5654564	0.2605302	0
14	LINC01409	0.03287098	0.02840907	-0.20378855	0.2618452	0
15	FAM87B	-6.519258e-09	0.00016275735	0.21755944	0.4983817	0
16	LINC01128	0.13639213	0.09994771	-0.4446912	1.9903337	0
17	LINC00115	0.0045416052	0.008864263	0.8319073	0.9085934	0
18	FAM41C	0.015462071	0.018139647	0.21741848	0.24187723	0
19	AL645608.6	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
20	AL645608.2	-6.519258e-09	0.0015336341	1.3412176	2.00916	0
21	AL645608.4	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
22	LINC02593	0.0026522395	0.0056381193	0.86199313	0.8634336	0
23	SAMD11	0.019764958	0.035227433	0.80293155	2.0648346	0
24	NOC2L	0.2310825	0.23221326	0.0070120348	0.022574166	0
25	KLHL17	0.010759977	0.019149616	0.7768671	1.1229961	0
26	PLEKHN1	0.0010994266	0.00052783324	-0.4585083	0.20430255	0
27	PERM1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
28	AL645608.7	0.0030308058	0.00610005	0.81676096	0.73955524	0
29	HES4	0.45276198	0.47018126	0.054346465	0.3071704	0
30	ISG15	0.3928878	0.4292009	0.12722577	0.9269416	0
31	AL645608.1	0.0013688431	-1.2572855e-08	-1.2442007	0.49792737	0
32	AGRN	0.24170676	0.14714602	-0.7121945	6.7288437	0
33	AL645608.5	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
34	AL645608.8	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
35	RNF223	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
36	C1orf159	0.031465117	0.02135313	-0.5384135	0.7702409	0
37	AL390719.3	-6.519258e-09	0.00014500786	0.19536695	0.498352	0
38	LINC01342	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
39	AL390719.2	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
40	TTLL10-AS1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
41	TTLL10	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
42	TNFRSF18	0.0028029224	0.0013715624	-0.6812706	0.309664	0
43	TNFRSF4	0.050675407	0.036737703	-0.4534712	0.87716866	0
44	SDF4	0.71899027	0.66666245	-0.1088585	1.371411	0
45	B3GALT6	0.20743823	0.21482371	0.05023345	0.17647167	0
46	C1QTNF12	0.00097183755	0.0039393185	1.3247713	1.4742794	0
47	AL162741.1	0.0018198289	0.00094568636	-0.5353284	0.2623517	0
48	UBE2J2	0.34450358	0.32550073	-0.0816145	0.43836147	0
49	LINC01786	0.0010615721	0.0006055969	-0.3606351	0.16082221	0
50	SCNN1D	-6.519258e-09	0.004147183	2.3637927	3.927085	0
51	ACAP3	0.099862	0.10758872	0.106491536	0.27717775	0
52	PUSL1	0.08671869	0.09151646	0.07682571	0.16070779	0
53	INTS11	0.2271748	0.19545299	-0.2159554	1.1549262	0
54	AL139287.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
55	CPTP	0.10429997	0.09302074	-0.16345416	0.42734367	0
56	TAS1R3	-6.519258e-09	0.00029472355	0.37265348	0.49837738	0
57	DVL1	0.083276115	0.055622194	-0.5737562	1.8757968	0
58	MXRA8	0.009459634	0.043943778	2.103289	12.655787	1
59	AURKAIP1	0.93412435	1.0554103	0.17594025	5.1593833	0
60	CCNL2	0.3635616	0.32826376	-0.14691892	0.98028976	0
61	MRPL20-AS1	0.06302021	0.042507324	-0.5572692	1.415934	0
62	MRPL20	0.8434201	0.9626737	0.19058384	5.0055256	0
63	AL391244.2	0.0032094847	0.0041807434	0.2995155	0.18577734	0
64	ANKRD65	0.0014333652	-1.2572855e-08	-1.2829709	0.49792865	0
65	AL391244.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
66	TMEM88B	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
67	LINC01770	0.0010765287	-1.2572855e-08	-1.054192	0.4979285	0
68	VWA1	0.28628975	0.072104596	-1.9744724	24.077433	1
69	ATAD3C	0.0069045275	0.0014713545	-1.6773772	1.0545479	0
70	ATAD3B	0.030869449	0.038157664	0.29712057	0.47992313	0
71	ATAD3A	0.09936747	0.09084871	-0.12796047	0.31346086	0
72	TMEM240	0.058502596	0.039001882	-0.57288474	1.4569447	0
73	SSU72	0.702952	0.7855681	0.16009453	2.7092316	0
74	AL645728.1	0.02063311	0.021911288	0.08281742	0.08386299	0
75	FNDC10	0.060809344	0.047236796	-0.3576909	0.7706135	0
76	AL691432.4	0.0040489025	0.0023922976	-0.5737072	0.29488468	0
77	AL691432.2	0.018001616	0.025990063	0.50630623	0.8829484	0
78	MIB2	0.09715805	0.10078243	0.052309997	0.112009354	0
79	MMP23B	0.019967785	0.014902562	-0.39891523	0.43579745	0
80	CDK11B	0.21119556	0.19959359	-0.081118934	0.30400804	0
81	FO704657.1	0.0027961838	0.0023577916	-0.17703713	0.07674925	0
82	SLC35E2B	0.09267516	0.08612677	-0.10455045	0.2360145	0
83	CDK11A	0.1494604	0.13726082	-0.12199148	0.40427688	0
84	SLC35E2A	0.044426292	0.038630858	-0.19690336	0.313638	0
85	NADK	0.15452981	0.16714934	0.11255198	0.3812114	0
86	GNB1	1.250154	1.1870841	-0.0746225	1.7769432	0
87	AL109917.1	-6.519258e-09	0.00049116486	0.57644916	0.78852844	0
88	CALML6	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
89	TMEM52	0.0014083766	0.0014269679	0.011093972	0.0041547837	0
90	CFAP74	0.01713389	0.012836429	-0.39021674	0.37701327	0
91	AL391845.2	0.0082771005	0.006158905	-0.37393495	0.27025804	0
92	GABRD	0.0293468	0.009903115	-1.4768039	2.7161438	0
93	AL391845.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
94	PRKCZ	0.023388363	0.015387243	-0.5736198	0.64308584	0
95	AL590822.2	0.0016106175	0.001025085	-0.36640862	0.1368793	0
96	PRKCZ-AS1	0.0014940981	0.00052614114	-0.70862985	0.27809116	0
97	FAAP20	0.6882994	0.5444202	-0.33776268	8.024625	0
98	AL590822.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
99	SKI	0.27903676	0.24710897	-0.1746423	1.0220423	0
100	AL590822.3	0.0024427199	0.0043757698	0.64292264	0.4619257	0
101	MORN1	0.006573362	0.011883307	0.76649725	0.7884502	0
102	AL589739.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
103	AL513477.2	-6.519258e-09	0.0032570725	2.089871	2.9035983	0
104	RER1	0.547608	0.68491846	0.32226142	7.8674145	0
105	PEX10	0.062301915	0.06872481	0.13942301	0.2889475	0
106	PLCH2	0.0012151712	-1.2572855e-08	-1.1474363	0.4979332	0
107	AL139246.1	-6.519258e-09	0.0004187564	0.50463635	0.7809332	0
108	AL139246.4	-6.519258e-09	0.0003109558	0.39062846	0.4983874	0
109	PANK4	0.022413125	0.033356752	0.5532761	1.1165197	0
110	HES5	-6.519258e-09	0.002338376	1.7391558	2.344186	0
111	AL139246.5	0.040188882	0.043871198	0.12353479	0.19127709	0
112	TNFRSF14-AS1	0.011417885	0.0029768432	-1.6427239	1.2475021	0
113	TNFRSF14	0.029091582	0.013377099	-1.0655874	1.8092786	0
114	AL139246.3	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
115	PRXL2B	0.16872625	0.13126424	-0.35978663	1.8205894	0
116	MMEL1	-6.519258e-09	0.0003739812	0.4583717	0.7364176	0
117	AL831784.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
118	TTC34	0.0021102126	0.004106854	0.7154216	0.54725295	0
119	AC242022.2	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
120	AC242022.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
121	AL592464.2	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
122	AL592464.3	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
123	AL592464.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
124	AL589702.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
125	ACTRT2	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
126	PRDM16-DT	0.00278456	0.00037438353	-1.4613409	0.8565786	0
127	PRDM16	0.010175495	0.008644611	-0.21254386	0.14983778	0
128	AL008733.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
129	AL590438.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
130	AL354743.2	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
131	AL354743.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
132	ARHGEF16	0.01145066	0.011082363	-0.043319605	0.03272412	0
133	AL512413.1	-6.519258e-09	0.0007227344	0.78470963	1.0700253	0
134	MEGF6	0.011035556	0.02801314	1.2694037	3.2900615	0
135	AL513320.1	-6.519258e-09	0.0009004612	0.926359	1.0385078	0
136	TPRG1L	0.19272687	0.210913	0.12944812	0.5410799	0
137	WRAP73	0.098961726	0.09812136	-0.01217983	0.024316886	0
138	TP73	0.00069852034	-1.2572855e-08	-0.7642966	0.49792174	0
139	AL136528.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
140	AL136528.2	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
141	CCDC27	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
142	SMIM1	0.007344476	0.016934974	1.1038823	1.9784673	0
143	LRRC47	0.15221068	0.13438833	-0.17841353	0.642063	0
144	AL365330.1	-6.519258e-09	0.0001435175	0.19348791	0.49838606	0
145	CEP104	0.15469967	0.15820502	0.032119904	0.08774621	0
146	DFFB	0.020590054	0.02345468	0.17974375	0.22024238	0
147	C1orf174	0.09936888	0.11558482	0.2160679	0.73465335	0
148	LINC01134	-6.519258e-09	0.0027795066	1.9182072	2.7231977	0
149	LINC01346	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
150	LINC01345	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
151	LINC02780	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
152	AL805961.1	0.0014503539	0.00026191748	-0.95737255	0.3763975	0
153	LINC01777	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
154	AL355602.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
155	Z98747.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
156	LINC01646	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
157	AJAP1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
158	Z98886.1	0.0013049477	-1.2572855e-08	-1.2047521	0.49793196	0
159	BX005132.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
160	LINC02781	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
161	LINC02782	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
162	AL139823.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
163	Z98259.3	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
164	Z98259.2	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
165	Z98259.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
166	AL365255.1	-6.519258e-09	-1.2572855e-08	-8.771141e-06	44.55244	0
167	NPHP4	0.026503686	0.018609414	-0.4880786	0.6663271	0
