	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
1	FAM138A	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
2	OR4F5	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
3	AL627309.1	0.005815763	0.0016701809	-1.3519378	0.63912183	0
4	AL627309.3	-4.307367e-09	0.0002949274	0.37287742	0.49839026	0
5	AL627309.2	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
6	AL627309.5	0.034511883	0.012589818	-1.3857757	1.7758751	0
7	AL627309.4	0.0024262564	0.00044226716	-1.2482947	0.37897342	0
8	AP006222.2	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
9	AL732372.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
10	OR4F29	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
11	AC114498.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
12	OR4F16	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
13	AL669831.2	-4.307367e-09	0.00037371716	0.45809117	0.4983955	0
14	LINC01409	0.04698256	0.028353143	-0.70899504	1.2719184	0
15	FAM87B	0.001444362	0.00016243686	-1.0723056	0.4221729	0
16	LINC01128	0.14342248	0.099750966	-0.5195017	1.8123078	0
17	LINC00115	0.0014117617	0.008846814	2.0295696	3.2761216	0
18	FAM41C	0.0056692185	0.018103939	1.5182805	2.5742745	0
19	AL645608.6	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
20	AL645608.2	0.0040513156	0.001530615	-0.9971711	0.39528003	0
21	AL645608.4	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
22	LINC02593	0.0036731274	0.0056270203	0.503972	0.29288486	0
23	SAMD11	0.007987642	0.035627957	2.0269306	7.686491	1
24	NOC2L	0.20952357	0.23222588	0.14774604	0.5388442	0
25	KLHL17	0.010023595	0.01911192	0.8674561	1.0803956	0
26	PLEKHN1	0.0056780414	0.000526794	-2.1289196	0.8921461	0
27	PERM1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
28	AL645608.7	-4.307367e-09	0.006088042	2.8253934	5.7108784	1
29	HES4	0.24271035	0.46972558	0.9497187	16.719614	0
30	ISG15	0.32795888	0.42945662	0.38796064	3.7939508	0
31	AL645608.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
32	AGRN	0.18264799	0.14685637	-0.3127467	1.2067938	0
33	AL645608.5	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
34	AL645608.8	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
35	RNF223	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
36	C1orf159	0.017270667	0.021311095	0.28823203	0.29490513	0
37	AL390719.3	-4.307367e-09	0.00014472252	0.19500417	0.49834257	0
38	LINC01342	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
39	AL390719.2	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
40	TTLL10-AS1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
41	TTLL10	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
42	TNFRSF18	-4.307367e-09	0.0013688622	1.2442005	1.678252	0
43	TNFRSF4	0.035779692	0.036665384	0.03432982	0.03267966	0
44	SDF4	0.58415973	0.6660435	0.18895037	2.132595	0
45	B3GALT6	0.20635445	0.21440083	0.054924708	0.15848011	0
46	C1QTNF12	0.0015481698	0.0039315647	0.95258415	0.7073094	0
47	AL162741.1	0.0013309532	0.00094382465	-0.262022	0.09965555	0
48	UBE2J2	0.2996745	0.32485995	0.11604946	0.53793013	0
49	LINC01786	0.0022594724	0.0006044046	-1.0226004	0.3259921	0
50	SCNN1D	0.0036918162	0.0041390196	0.13134658	0.058276344	0
51	ACAP3	0.09294167	0.10737694	0.20622072	0.49779502	0
52	PUSL1	0.07718033	0.09133632	0.2400924	0.56555396	0
53	INTS11	0.22794421	0.19553801	-0.22018768	0.91838706	0
54	AL139287.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
55	CPTP	0.0733103	0.09283762	0.3366042	0.81921625	0
56	TAS1R3	-4.307367e-09	0.0002941431	0.37200338	0.49837166	0
57	DVL1	0.07630073	0.055512704	-0.45190695	0.9711473	0
58	MXRA8	0.010249912	0.044235468	2.0075407	10.120893	1
59	AURKAIP1	0.8206292	1.0552813	0.3624348	11.539672	0
60	CCNL2	0.35417885	0.32761756	-0.11213608	0.53388923	0
61	MRPL20-AS1	0.04561479	0.04242365	-0.10230675	0.122067004	0
62	MRPL20	0.73219633	0.96333736	0.3953384	11.260221	0
63	AL391244.2	-4.307367e-09	0.0041725147	2.370872	4.1989202	0
64	ANKRD65	0.0030683842	-1.268927e-08	-2.0244741	0.4977196	0
65	AL391244.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
66	TMEM88B	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
67	LINC01770	0.0017978592	-1.268927e-08	-1.4843416	0.4977255	0
68	VWA1	0.17789744	0.07196266	-1.2939024	6.976873	1
69	ATAD3C	0.0052748737	0.0014684581	-1.3459762	0.6542007	0
70	ATAD3B	0.025511831	0.038082547	0.5598882	0.9182942	0
71	ATAD3A	0.055879932	0.090669855	0.68852776	2.5877316	0
72	TMEM240	0.052151624	0.038925104	-0.41281766	0.6306717	0
73	SSU72	0.73634315	0.7855004	0.09311142	0.8646451	0
74	AL645728.1	0.010319522	0.021868154	1.014527	1.7259096	0
75	FNDC10	0.03659603	0.047143813	0.35677016	0.5927291	0
76	AL691432.4	0.0017142174	0.0023875884	0.3197224	0.14076333	0
77	AL691432.2	0.025439773	0.025938902	0.02698129	0.020368822	0
78	MIB2	0.10591382	0.10096219	-0.068414025	0.13087866	0
79	MMP23B	0.013671146	0.014873223	0.113613576	0.08615651	0
80	CDK11B	0.17014545	0.19920067	0.22622387	0.8918933	0
81	FO704657.1	0.0013302019	0.0023531513	0.5250627	0.29163358	0
82	SLC35E2B	0.11428902	0.085957244	-0.406877	1.0341383	0
83	CDK11A	0.15210766	0.13699064	-0.14997602	0.39571515	0
84	SLC35E2A	0.03743673	0.038554814	0.041367553	0.043945875	0
85	NADK	0.139581	0.1668203	0.25551575	0.8679637	0
86	GNB1	1.074073	1.1871932	0.14433476	2.9694285	0
87	AL109917.1	0.0038336106	0.00049019826	-1.697597	0.6516557	0
88	CALML6	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
89	TMEM52	0.0031888885	0.0014241588	-0.7890833	0.2304508	0
90	CFAP74	0.024151001	0.01281116	-0.8647814	0.8987597	0
91	AL391845.2	0.008235958	0.006146781	-0.369968	0.1900264	0
92	GABRD	0.024503507	0.009883622	-1.228537	1.087969	0
93	AL391845.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
94	PRKCZ	0.0512873	0.01535695	-1.6765568	2.9260006	0
95	AL590822.2	0.0048746243	0.001023067	-1.5379525	0.54575616	0
96	PRKCZ-AS1	-4.307367e-09	0.0005251053	0.608915	0.96273905	0
97	FAAP20	0.55160135	0.5452893	-0.016573958	0.07810027	0
98	AL590822.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
99	SKI	0.27078527	0.24693784	-0.1324887	0.50246704	0
100	AL590822.3	0.004133975	0.0043671564	0.06408159	0.031748973	0
101	MORN1	0.006344561	0.011859913	0.80813277	0.72243905	0
102	AL589739.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
103	AL513477.2	0.0066872304	0.0032506608	-0.8547767	0.3891127	0
104	RER1	0.5196425	0.68484306	0.39758545	7.3783937	0
105	PEX10	0.05969966	0.068589546	0.19718234	0.32471892	0
106	PLCH2	0.0016217743	-1.268927e-08	-1.3905617	0.4977172	0
107	AL139246.1	-4.307367e-09	0.00041793182	0.5037943	0.7809261	0
108	AL139246.4	-4.307367e-09	0.00031034357	0.38995135	0.49838263	0
109	PANK4	0.023183977	0.03329109	0.5037822	0.76031345	0
110	HES5	0.0014066201	0.0023337724	0.47014722	0.24457613	0
111	AL139246.5	0.030387895	0.043784842	0.5128022	0.84345865	0
112	TNFRSF14-AS1	0.009315434	0.0029709842	-1.377236	0.6657165	0
113	TNFRSF14	0.040257044	0.013350766	-1.5235126	2.5249069	0
114	AL139246.3	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
115	PRXL2B	0.13877362	0.13100587	-0.082490064	0.17215596	0
116	MMEL1	-4.307367e-09	0.00037324487	0.45759505	0.73641056	0
117	AL831784.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
118	TTC34	0.003131079	0.0040987697	0.30363053	0.15910557	0
119	AC242022.2	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
120	AC242022.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
121	AL592464.2	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
122	AL592464.3	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
123	AL592464.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
124	AL589702.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
125	ACTRT2	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
126	PRDM16-DT	0.0047036614	0.00037364638	-2.0538776	0.6995243	0
127	PRDM16	0.015807727	0.008627592	-0.8038777	0.6286309	0
128	AL008733.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
129	AL590438.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
130	AL354743.2	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
131	AL354743.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
132	ARHGEF16	0.014471295	0.011060547	-0.35929865	0.25303906	0
133	AL512413.1	-4.307367e-09	0.00072131155	0.78351444	1.0700276	0
134	MEGF6	0.003095773	0.027957994	2.821754	11.198685	1
135	AL513320.1	-4.307367e-09	0.0008986887	0.92500955	1.0385026	0
136	TPRG1L	0.19085589	0.21129741	0.14606364	0.50891554	0
137	WRAP73	0.08921914	0.097928226	0.13294868	0.27377802	0
138	TP73	0.007636057	-1.268927e-08	-3.1103911	0.74446523	0
139	AL136528.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
140	AL136528.2	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
141	CCDC27	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
142	SMIM1	0.021875642	0.016901636	-0.3537208	0.2938935	0
143	LRRC47	0.1572115	0.13497181	-0.21854684	0.6573262	0
144	AL365330.1	-4.307367e-09	0.00014323485	0.19312797	0.49837536	0
145	CEP104	0.14865166	0.1578936	0.08645277	0.21260762	0
146	DFFB	0.020067029	0.023408508	0.21239723	0.19385669	0
147	C1orf174	0.08927009	0.11572086	0.37074247	1.2630142	0
148	LINC01134	0.004062349	0.002774035	-0.42369917	0.17502062	0
149	LINC01346	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
150	LINC01345	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
151	LINC02780	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
152	AL805961.1	-4.307367e-09	0.000261402	0.33503428	0.49836928	0
153	LINC01777	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
154	AL355602.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
155	Z98747.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
156	LINC01646	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
157	AJAP1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
158	Z98886.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
159	BX005132.1	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
160	LINC02781	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
161	LINC02782	-4.307367e-09	-1.268927e-08	-1.2124828e-05	44.55244	0
