	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
297	TNFRSF1B	0.32228637	0.01787779	-4.098051	5.264746	1
781	PSMB2	1.083908	2.3578215	1.1204934	13.969144	1
1613	PSMA5	0.6525961	1.5424849	1.2397201	5.0932765	1
1958	MLLT11	0.8552824	2.564579	1.5831258	26.718248	1
2370	RGS5	0.7717509	0.15404372	-2.3173282	5.835909	1
6830	NIT2	0.12200679	0.9186401	2.9023314	6.261577	1
10816	GPX3	0.12747958	1.0808036	3.0738275	5.616503	1
12785	AKAP12	0.51298034	1.4665561	1.5136306	5.5627527	1
17167	PSMB7	0.8942355	1.8984789	1.0852647	8.4211	1
17944	DEPP1	0.4556928	0.0	-8.83508	7.356592	1
18192	ANXA7	0.44774872	1.2236915	1.4484388	6.204495	1
18306	GHITM	0.70884144	1.4318073	1.013276	5.314754	1
18958	TALDO1	0.9151837	2.034646	1.1517777	5.6651545	1
19003	CTSD	0.86514926	1.9099275	1.1415855	6.820722	1
19018	H19	1.1146735	0.19445688	-2.5129926	5.074465	1
19467	CD59	1.1295037	2.290671	1.0194341	8.631483	1
25513	MAP1A	0.33301502	1.3961641	2.0645165	6.406645	1
25686	CCPG1	0.6912731	1.7416179	1.3318433	9.854536	1
27678	NQO1	0.5485452	1.3972303	1.3472921	6.064914	1
28225	PSMB6	0.9569754	1.9989073	1.0618726	8.789757	1
28299	ACADVL	0.7054858	1.5981292	1.178554	8.172013	1
32064	PSMC4	0.51719177	1.6137893	1.639788	11.77253	1
32082	BLVRB	0.5673105	1.8095305	1.6716613	6.291286	1
33743	ADRM1	0.70358324	1.6035192	1.187299	6.6493464	1
34490	UFD1	0.74465936	1.6427419	1.1403953	7.163891	1
35943	GLA	0.1845242	1.133822	2.6127868	6.638833	1
