	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
1	FAM138A	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
2	OR4F5	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
3	AL627309.1	0.0	0.0016201824	1.3896672	0.4977364	0
4	AL627309.3	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
5	AL627309.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
6	AL627309.5	0.033261944	0.017444236	-0.8934369	0.29189777	0
7	AL627309.4	0.0	0.0016378568	1.3993663	0.49773538	0
8	AP006222.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
9	AL732372.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
10	OR4F29	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
11	AC114498.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
12	OR4F16	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
13	AL669831.2	0.0	0.0013656364	1.2422283	0.49772513	0
14	LINC01409	0.05138325	0.030172186	-0.7488462	0.31918937	0
15	FAM87B	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
16	LINC01128	0.13463113	0.1453996	0.1102233	0.080831446	0
17	LINC00115	0.0	0.0031072064	2.0381575	0.7787558	0
18	FAM41C	0.034575436	0.01181572	-1.4729668	0.44614202	0
19	AL645608.6	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
20	AL645608.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
21	AL645608.4	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
22	LINC02593	0.016557772	0.0022923737	-2.4149098	0.40024102	0
23	SAMD11	0.14078513	0.015811304	-3.0762029	1.7664813	0
24	NOC2L	0.2836349	0.23361558	-0.2788137	0.3326679	0
25	KLHL17	0.0	0.012015925	3.702206	1.7243816	0
26	PLEKHN1	0.0	0.0014520768	1.2940041	0.49773198	0
27	PERM1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
28	AL645608.7	0.0	0.0019597048	1.5654533	0.7267963	0
29	HES4	0.7854651	0.4435397	-0.8230705	2.274916	0
30	ISG15	0.55395216	0.3740337	-0.56534326	1.4578115	0
31	AL645608.1	0.024727589	-4.5401976e-09	-4.6852508	0.48770458	0
32	AGRN	0.25704366	0.2640161	0.038464747	0.038149938	0
33	AL645608.5	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
34	AL645608.8	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
35	RNF223	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
36	C1orf159	0.0	0.026887106	4.801526	3.637172	0
37	AL390719.3	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
38	LINC01342	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
39	AL390719.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
40	TTLL10-AS1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
41	TTLL10	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
42	TNFRSF18	0.0	0.0019953237	1.5827119	0.49774212	0
43	TNFRSF4	0.023141913	0.051286306	1.1148931	0.5704911	0
44	SDF4	0.8070548	0.7025695	-0.19976027	0.786923	0
45	B3GALT6	0.21014054	0.20722392	-0.020067759	0.015731072	0
46	C1QTNF12	0.017555688	-4.5401976e-09	-4.213796	0.4877041	0
47	AL162741.1	0.0	0.0024035466	1.7670388	0.8025734	0
48	UBE2J2	0.34350896	0.36078462	0.070589565	0.07958092	0
49	LINC01786	0.0	0.0014020606	1.2642725	0.4977292	0
50	SCNN1D	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
51	ACAP3	0.113414444	0.110513754	-0.037047528	0.022324305	0
52	PUSL1	0.08154596	0.0912559	0.16044374	0.08897687	0
53	INTS11	0.3564584	0.22770174	-0.6443079	0.99124515	0
54	AL139287.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
55	CPTP	0.08373014	0.111832164	0.41323125	0.33354586	0
56	TAS1R3	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
57	DVL1	0.060259335	0.08456661	0.48211825	0.2959565	0
58	MXRA8	0.10676301	0.004688141	-4.243761	1.4373888	0
59	AURKAIP1	0.9854605	0.9406163	-0.06712197	0.21651408	0
60	CCNL2	0.59504586	0.35890487	-0.72780776	1.9474587	0
61	MRPL20-AS1	0.104341775	0.060289837	-0.781358	0.5246719	0
62	MRPL20	1.0311348	0.8393698	-0.2965354	1.4265066	0
63	AL391244.2	0.0	0.0042389673	2.3892825	1.0514643	0
64	ANKRD65	0.0258931	-4.5401976e-09	-4.749171	0.48770452	0
65	AL391244.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
66	TMEM88B	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
67	LINC01770	0.0	0.001421834	1.2760999	0.49773252	0
68	VWA1	0.27242574	0.33398572	0.2929505	0.4034803	0
69	ATAD3C	0.0	0.0035597188	2.1889448	0.8018452	0
70	ATAD3B	0.0	0.02804835	4.860384	3.9379778	0
71	ATAD3A	0.13960825	0.08485103	-0.7117739	0.54504055	0
72	TMEM240	0.120484576	0.06129371	-0.96361476	0.6616187	0
73	SSU72	0.79439884	0.7238827	-0.13393097	0.38516635	0
74	AL645728.1	0.0	0.020012775	4.3931947	3.187366	0
75	FNDC10	0.0854925	0.0682658	-0.32043174	0.15664037	0
76	AL691432.4	0.0	0.0053475974	2.6662107	1.0634129	0
77	AL691432.2	0.017044563	0.022529531	0.3829084	0.11756344	0
78	MIB2	0.10004834	0.09992072	-0.0018232217	0.00097030564	0
79	MMP23B	0.06811096	0.021392632	-1.6258904	0.7641899	0
80	CDK11B	0.21257165	0.21614592	0.023944661	0.019577838	0
81	FO704657.1	0.0	0.0036931061	2.2305431	0.7967085	0
82	SLC35E2B	0.057668563	0.10438018	0.8449441	0.86683464	0
83	CDK11A	0.18804984	0.1418079	-0.40469083	0.36674088	0
84	SLC35E2A	0.050966293	0.045049936	-0.17437696	0.07369339	0
85	NADK	0.11005548	0.1436239	0.3810255	0.3413191	0
86	GNB1	1.0228779	1.2828703	0.32645568	1.7659507	0
87	AL109917.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
88	CALML6	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
89	TMEM52	0.0	0.0018601042	1.5160676	0.49774152	0
90	CFAP74	0.0	0.017886998	4.239321	2.9719641	0
91	AL391845.2	0.0	0.009637869	3.4111373	1.8150871	0
92	GABRD	0.018061796	0.03594096	0.9545372	0.4351785	0
93	AL391845.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
94	PRKCZ	0.03334498	0.013544104	-1.2396647	0.37440482	0
95	AL590822.2	0.0	0.0021272157	1.6448787	0.4977433	0
96	PRKCZ-AS1	0.0	0.0019733403	1.5720844	0.49773318	0
97	FAAP20	0.7067132	0.71516496	0.017127154	0.03196154	0
98	AL590822.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
99	SKI	0.254235	0.29741898	0.22551313	0.27473298	0
100	AL590822.3	0.0	0.0032262215	2.0793684	0.7992519	0
101	MORN1	0.0	0.008681798	3.275275	1.302937	0
102	AL589739.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
103	AL513477.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
104	RER1	0.6410181	0.54637253	-0.23009095	0.55121267	0
105	PEX10	0.039988495	0.058061946	0.5270099	0.24318041	0
106	PLCH2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
107	AL139246.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
108	AL139246.4	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
109	PANK4	0.013270466	0.027106235	0.97785777	0.4450128	0
110	HES5	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
111	AL139246.5	0.06575018	0.039174307	-0.73249876	0.37996113	0
112	TNFRSF14-AS1	0.037504617	0.011190574	-1.6592654	0.4779607	0
113	TNFRSF14	0.0	0.029339276	4.923115	4.3520827	0
114	AL139246.3	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
115	PRXL2B	0.12996902	0.15967493	0.29491922	0.29963198	0
116	MMEL1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
117	AL831784.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
118	TTC34	0.0	0.0027870578	1.9210775	0.7719942	0
119	AC242022.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
120	AC242022.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
121	AL592464.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
122	AL592464.3	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
123	AL592464.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
124	AL589702.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
125	ACTRT2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
126	PRDM16-DT	0.016902	0.0024419813	-2.3788095	0.39650708	0
127	PRDM16	0.016902	0.007052011	-1.1526997	0.24050328	0
128	AL008733.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
129	AL590438.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
130	AL354743.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
131	AL354743.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
132	ARHGEF16	0.013704065	0.01263723	-0.10866452	0.026223997	0
133	AL512413.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
134	MEGF6	0.020648876	0.0066170217	-1.5069932	0.29477355	0
135	AL513320.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
136	TPRG1L	0.2125836	0.20381212	-0.060499787	0.055677388	0
137	WRAP73	0.04960661	0.107256025	1.0970496	1.1720139	0
138	TP73	0.0	0.00092257734	0.94304156	0.49772742	0
139	AL136528.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
140	AL136528.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
141	CCDC27	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
142	SMIM1	0.011885511	0.008831286	-0.39029765	0.09221389	0
143	LRRC47	0.09611962	0.16575639	0.77990735	1.0515544	0
144	AL365330.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
145	CEP104	0.12419018	0.16297497	0.38935417	0.31855407	0
146	DFFB	0.043495685	0.017565029	-1.2610779	0.3889228	0
147	C1orf174	0.1387391	0.10386251	-0.41423675	0.31009847	0
148	LINC01134	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
149	LINC01346	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
150	LINC01345	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
151	LINC02780	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
152	AL805961.1	0.0	0.001915546	1.543766	0.49773657	0
153	LINC01777	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
154	AL355602.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
155	Z98747.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
156	LINC01646	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
157	AJAP1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
158	Z98886.1	0.0	0.0017235001	1.4454619	0.4977353	0
159	BX005132.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
160	LINC02781	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
161	LINC02782	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
162	AL139823.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
163	Z98259.3	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
164	Z98259.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
165	Z98259.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
166	AL365255.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
167	NPHP4	0.06994913	0.025914302	-1.398412	0.53181523	0
168	KCNAB2	0.013270466	0.023025367	0.75152606	0.29519665	0
169	CHD5	0.0	0.0017005255	1.4332402	0.49773663	0
170	RPL22	2.3344057	2.219326	-0.07290169	0.8612223	0
171	AL031847.1	0.014642766	-4.5401976e-09	-3.9674304	0.4877042	0
172	RNF207	0.018827628	0.0036108983	-2.1043923	0.3672691	0
173	ICMT	0.17371958	0.20420761	0.2320429	0.23222701	0
174	LINC00337	0.0	0.0034469445	2.1528144	0.7731272	0
175	HES3	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
176	GPR153	0.07343544	0.0046415785	-3.721819	1.4604689	0
177	ACOT7	0.20122048	0.22174838	0.13948578	0.14862408	0
178	AL031848.2	0.0	0.0016084703	1.383204	0.49773747	0
179	HES2	0.020800447	0.022389663	0.101513445	0.025908388	0
180	ESPN	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
181	AL031848.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
182	TNFRSF25	0.057049554	0.15300944	1.4076619	2.0199564	0
183	PLEKHG5	0.143972	0.14913641	0.050499678	0.03434169	0
184	NOL9	0.15826893	0.14325987	-0.14279482	0.10909102	0
185	TAS1R1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
186	ZBTB48	0.039476547	0.04549619	0.20002632	0.07758828	0
187	KLHL21	0.025966562	0.015648799	-0.6957536	0.23364516	0
188	PHF13	0.10571225	0.07001908	-0.5874472	0.34128392	0
189	THAP3	0.21506378	0.09339691	-1.1946456	1.1461539	0
190	DNAJC11	0.09334317	0.05786835	-0.680426	0.39881068	0
191	LINC01672	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
192	AL591163.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
193	CAMTA1-DT	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
194	CAMTA1	0.69171697	0.67287326	-0.03978873	0.078551844	0
195	AL512330.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
196	CAMTA1-IT1	0.0	0.001812725	1.4919684	0.49773255	0
197	Z97987.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
198	AL365194.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
199	AL359881.3	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
200	AL359881.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
201	AL359881.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
202	VAMP3	0.6006742	0.72003835	0.26109347	0.8680693	0
203	Z98884.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
204	PER3	0.0	0.006465235	2.9001877	1.2923586	0
205	Z98884.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
206	UTS2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
207	TNFRSF9	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
208	PARK7	1.4462194	1.3528996	-0.09616301	0.5404184	0
209	AL034417.4	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
210	AL034417.3	0.0	0.0019972874	1.5836575	0.49774033	0
211	ERRFI1	0.029459251	0.04393975	0.56111157	0.2824286	0
212	AL034417.2	0.0	0.0020631598	1.6150206	0.801324	0
213	LINC01714	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
214	AL358876.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
215	SLC45A1	0.017044563	0.012843293	-0.38237706	0.08984108	0
216	RERE	0.5121155	0.5267942	0.040691894	0.060175017	0
217	RERE-AS1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
218	AL357552.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
219	ENO1	2.179769	2.405396	0.14203708	2.2177835	0
220	ENO1-AS1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
221	CA6	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
222	SLC2A7	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
223	SLC2A5	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
224	GPR157	0.020912139	0.0075712837	-1.3541471	0.27279562	0
225	MIR34AHG	0.04837193	0.0500232	0.047462445	0.016242879	0
226	LNCTAM34A	0.035847373	0.055117518	0.6068894	0.32233354	0
227	H6PD	0.1239821	0.08578866	-0.526143	0.39163285	0
228	SPSB1	0.0	0.012761963	3.7826142	2.2822177	0
229	BX323043.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
230	LINC02606	0.03415409	0.008257017	-1.9250733	0.5309311	0
231	AL928921.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
232	SLC25A33	0.05932177	0.055077273	-0.105262525	0.035764318	0
233	TMEM201	0.016529148	0.035611533	1.0625422	0.5197878	0
234	PIK3CD	0.028206337	0.006297427	-2.0008216	0.35057116	0
235	PIK3CD-AS1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
236	PIK3CD-AS2	0.0	0.006634848	2.9325995	1.3348255	0
237	CLSTN1	0.30931115	0.37322083	0.27017438	0.4246426	0
238	CTNNBIP1	0.37376118	0.30080122	-0.31237292	0.4561861	0
239	AL357140.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
240	AL357140.4	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
241	LZIC	0.34275788	0.37430897	0.12668604	0.1727383	0
242	AL357140.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
243	NMNAT1	0.110884495	0.13673262	0.29986018	0.27466574	0
244	AL603962.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
245	RBP7	0.0	0.03882044	5.3154373	5.017122	1
246	UBE4B	0.19352567	0.12775984	-0.59527785	0.6265849	0
247	KIF1B	0.78792447	0.78530455	-0.0047989795	0.009203783	0
248	AL139424.3	0.0	0.014919898	3.992759	2.4572213	0
249	AL139424.2	0.016557772	0.009932368	-0.68350387	0.15482199	0
250	PGD	0.51045954	0.4281158	-0.25325322	0.44623116	0
251	AL139424.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
252	CENPS	0.063780725	0.041298874	-0.6149455	0.31085005	0
253	CORT	0.0	0.0032219184	2.0778985	0.78228277	0
254	DFFA	0.425782	0.34301236	-0.3110389	0.5292618	0
255	AL354956.1	0.0	0.0016632482	1.4131868	0.49773824	0
256	PEX14	0.09105589	0.06038718	-0.58457273	0.29379338	0
257	AL139423.2	0.0	0.002938916	1.9777986	0.79975355	0
258	CASZ1	0.0	0.0033646342	2.1258607	0.79524964	0
259	AL139423.1	0.0	0.0028770026	1.9549416	0.4977435	0
260	C1orf127	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
261	TARDBP	0.23766007	0.30968887	0.38051325	0.6029248	0
262	MASP2	0.0	0.0014822384	1.3116416	0.49773264	0
263	AL109811.2	0.06312079	0.06680477	0.08059457	0.035367303	0
264	SRM	0.5210377	0.48298517	-0.109191164	0.18591437	0
265	EXOSC10	0.26102108	0.20367049	-0.35637972	0.39993536	0
266	AL109811.1	0.013704065	0.0017455119	-2.421068	0.40522653	0
267	EXOSC10-AS1	0.0	0.005546306	2.710681	1.3128862	0
268	MTOR	0.17631048	0.16842407	-0.065638915	0.04730196	0
269	MTOR-AS1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
270	ANGPTL7	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
271	UBIAD1	0.09723336	0.05983785	-0.69124395	0.40949517	0
272	AL031291.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
273	DISP3	0.0	0.0015787216	1.366656	0.49773496	0
274	AL590989.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
275	LINC01647	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
276	AL031731.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
277	FBXO2	0.016704163	0.0040601892	-1.8068254	0.33788547	0
278	FBXO44	0.054136198	0.01425699	-1.8535293	0.6569544	0
279	FBXO6	0.0	0.008740312	3.283968	1.4604981	0
280	MAD2L2	0.14137691	0.09704938	-0.5381348	0.413412	0
281	DRAXIN	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
282	AGTRAP	0.3416963	0.39141902	0.19546443	0.35730883	0
283	C1orf167	0.0	0.0040234677	2.3286836	0.7972925	0
284	AL953897.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
285	MTHFR	0.16741951	0.1854883	0.14702585	0.12227669	0
286	CLCN6	0.030713147	0.05857174	0.90954703	0.595146	0
287	NPPA	0.0	0.02032047	4.4141674	1.8491979	0
288	NPPB	0.0	0.013388029	3.846797	1.0957742	0
289	AL021155.5	0.013270466	0.0030297227	-1.8242799	0.34498236	0
290	KIAA2013	0.19190665	0.278913	0.53707546	0.893269	0
291	PLOD1	0.85419065	0.8493439	-0.008199656	0.017118756	0
292	AL096840.2	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
293	MFN2	0.09174704	0.096714176	0.07526663	0.04224407	0
294	MIIP	0.03253173	0.073153496	1.1449878	0.9408218	0
295	TNFRSF8	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
296	AL357835.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
297	TNFRSF1B	0.18012863	0.21698439	0.2672102	0.24893917	0
298	VPS13D	0.12737648	0.14895615	0.2241598	0.18764855	0
299	LINC02766	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
300	DHRS3	0.0	0.0025164895	1.8141359	0.49774456	0
301	AC254633.1	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
302	AADACL4	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
303	AADACL3	0.0	-4.5401976e-09	-6.5353556e-06	21.412613	0
