	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
1	FAM138A	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
2	OR4F5	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
3	AL627309.1	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
4	AL627309.3	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
5	AL627309.2	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
6	AL627309.5	0.013955104	0.01853228	0.38522243	0.12715144	0
7	AL627309.4	0.0060257735	-5.820766e-10	-2.8126578	0.49430326	0
8	AP006222.2	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
9	AL732372.1	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
10	OR4F29	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
11	AC114498.1	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
12	OR4F16	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
13	AL669831.2	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
14	LINC01409	0.03527275	0.0109160775	-1.6059766	0.88121545	0
15	FAM87B	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
16	LINC01128	0.064596474	0.07373751	0.18821424	0.116774455	0
17	LINC00115	0.004773529	-5.820766e-10	-2.5294542	0.4943027	0
18	FAM41C	0.0025974535	0.0053774244	0.8259978	0.19207399	0
19	AL645608.6	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
20	AL645608.2	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
21	AL645608.4	-2.3283064e-10	0.007880634	3.150663	0.49375898	0
22	LINC02593	0.0020775972	0.0053774244	1.0511694	0.24528229	0
23	SAMD11	0.31074706	0.10804102	-1.515505	3.1851494	0
24	NOC2L	0.10677954	0.17682157	0.7223471	0.9541039	0
25	KLHL17	0.022640888	0.015559517	-0.51362365	0.19741221	0
26	PLEKHN1	0.029118571	0.012986641	-1.1066037	0.51452696	0
27	PERM1	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
28	AL645608.7	0.017080039	0.0084526865	-0.9356014	0.28686023	0
29	HES4	0.38143188	0.27500656	-0.47050023	0.81855184	0
30	ISG15	0.36091846	0.27335978	-0.3995958	0.640347	0
31	AL645608.1	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
32	AGRN	0.102092974	0.08333988	-0.28965914	0.23926622	0
33	AL645608.5	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
34	AL645608.8	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
35	RNF223	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
36	C1orf159	0.02315239	0.029892562	0.3550935	0.13049449	0
37	AL390719.3	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
38	LINC01342	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
39	AL390719.2	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
40	TTLL10-AS1	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
41	TTLL10	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
42	TNFRSF18	-2.3283064e-10	0.015164526	4.0147595	0.75045466	0
43	TNFRSF4	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
44	SDF4	0.48272893	0.40111908	-0.26657602	0.61990345	0
45	B3GALT6	0.12889059	0.15901323	0.3008942	0.22970636	0
46	C1QTNF12	0.04573843	0.025154807	-0.83753306	0.37120292	0
47	AL162741.1	0.0037755435	-5.820766e-10	-2.2556658	0.49430263	0
48	UBE2J2	0.24088715	0.26506063	0.13742085	0.17619124	0
49	LINC01786	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
50	SCNN1D	0.0025974535	-5.820766e-10	-1.8469769	0.49430275	0
51	ACAP3	0.08109876	0.056567237	-0.5121125	0.35253516	0
52	PUSL1	0.21427722	0.09537129	-1.1595204	2.0577545	0
53	INTS11	0.17605782	0.13637333	-0.36611864	0.45676273	0
54	AL139287.1	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
55	CPTP	0.08673493	0.062296446	-0.47102684	0.35316035	0
56	TAS1R3	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
57	DVL1	0.09522745	0.03795736	-1.3045527	1.1652516	0
58	MXRA8	0.004852057	0.005330934	0.11347464	0.026519362	0
59	AURKAIP1	0.9924213	0.87431693	-0.18260027	0.7406874	0
60	CCNL2	0.24819976	0.20185688	-0.29684043	0.3658527	0
61	MRPL20-AS1	0.033570334	0.06351027	0.8999944	0.671566	0
62	MRPL20	0.77558047	0.7695705	-0.011208368	0.026132438	0
63	AL391244.2	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
64	ANKRD65	0.00249522	0.0155551955	2.243829	0.5672084	0
65	AL391244.1	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
66	TMEM88B	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
67	LINC01770	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
68	VWA1	0.32194102	0.24931903	-0.3675026	0.69251126	0
69	ATAD3C	0.005810293	-5.820766e-10	-2.7677176	0.49430186	0
70	ATAD3B	0.041905202	0.0068406686	-2.4521039	1.2634412	0
71	ATAD3A	0.03194265	0.020735282	-0.5999177	0.2731784	0
72	TMEM240	0.010928598	-5.820766e-10	-3.5763533	1.0096154	0
73	SSU72	0.5123684	0.5819311	0.18333098	0.4363128	0
74	AL645728.1	0.01394919	0.005311086	-1.2441071	0.3533636	0
75	FNDC10	0.018514963	0.024851173	0.40564907	0.1490707	0
76	AL691432.4	0.005122355	-5.820766e-10	-2.6140876	0.49430275	0
77	AL691432.2	0.021466162	0.044676483	1.0236979	0.55492413	0
78	MIB2	0.13050804	0.11747458	-0.15057342	0.12260294	0
79	MMP23B	0.035167597	0.015259925	-1.153377	0.46394002	0
80	CDK11B	0.1110281	0.13695413	0.300328	0.2220867	0
81	FO704657.1	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
82	SLC35E2B	0.0395221	0.08121608	1.0207118	0.926777	0
83	CDK11A	0.12467605	0.12502319	0.003979516	0.0027735627	0
84	SLC35E2A	0.029832242	0.02196111	-0.42524746	0.16909865	0
85	NADK	0.1689878	0.09600569	-0.8092899	1.0266279	0
86	GNB1	0.51814944	0.42650506	-0.28020835	0.66352195	0
87	AL109917.1	-2.3283064e-10	0.012116217	3.71328	0.790031	0
88	CALML6	-2.3283064e-10	-5.820766e-10	-5.1594805e-07	4.963554	0
89	TMEM52	0.058689117	0.06670392	0.18177162	0.10218041	0
