	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
1	FAM138A	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
2	OR4F5	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
3	AL627309.1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
4	AL627309.3	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
5	AL627309.2	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
6	AL627309.5	0.008465795	0.01853228	1.0450647	0.37769103	0
7	AL627309.4	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
8	AP006222.2	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
9	AL732372.1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
10	OR4F29	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
11	AC114498.1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
12	OR4F16	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
13	AL669831.2	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
14	LINC01409	0.025997585	0.0109160775	-1.1799209	0.6147114	0
15	FAM87B	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
16	LINC01128	0.05318116	0.07373751	0.46404126	0.34983483	0
17	LINC00115	0.003659363	-5.820766e-10	-2.2201335	0.4964273	0
18	FAM41C	8.1490725e-10	0.0053774244	2.6729727	0.49375796	0
19	AL645608.6	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
20	AL645608.2	0.0031029894	-5.820766e-10	-2.0366762	0.4964271	0
21	AL645608.4	8.1490725e-10	0.007880634	3.1506615	0.49375892	0
22	LINC02593	0.0030964427	0.0053774244	0.6386023	0.14639662	0
23	SAMD11	0.19256829	0.10804102	-0.82797164	1.3051533	0
24	NOC2L	0.12317011	0.17682157	0.5181125	0.68156874	0
25	KLHL17	0.0039089746	0.015559517	1.754167	0.611291	0
26	PLEKHN1	0.0066009723	0.012986641	0.87979364	0.26838967	0
27	PERM1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
28	AL645608.7	0.0057346057	0.0084526865	0.48913097	0.11014868	0
29	HES4	0.3114633	0.27500656	-0.17898417	0.2556633	0
30	ISG15	0.21748021	0.27335978	0.3285663	0.3943405	0
31	AL645608.1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
32	AGRN	0.10646415	0.08333988	-0.34956855	0.31596842	0
33	AL645608.5	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
34	AL645608.8	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
35	RNF223	0.0053452635	-5.820766e-10	-2.665681	0.49642813	0
36	C1orf159	0.016029404	0.029892562	0.85923153	0.3704728	0
37	AL390719.3	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
38	LINC01342	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
39	AL390719.2	0.006688214	-5.820766e-10	-2.9426494	0.7570093	0
40	TTLL10-AS1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
41	TTLL10	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
42	TNFRSF18	0.0033742664	0.015164526	1.8857181	0.50327146	0
43	TNFRSF4	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
44	SDF4	0.5240842	0.40111908	-0.38492608	1.2306992	0
45	B3GALT6	0.113331154	0.15901323	0.48497257	0.39281735	0
46	C1QTNF12	0.014810929	0.025154807	0.7261539	0.2533605	0
47	AL162741.1	0.0043802653	-5.820766e-10	-2.427678	0.49642617	0
48	UBE2J2	0.2410252	0.26506063	0.13659771	0.17592956	0
49	LINC01786	0.0069917925	-5.820766e-10	-2.99852	0.748555	0
50	SCNN1D	0.005202435	-5.820766e-10	-2.6328354	0.7325434	0
51	ACAP3	0.07119294	0.056567237	-0.32660994	0.23001449	0
52	PUSL1	0.13903637	0.09537129	-0.5391262	0.6792716	0
53	INTS11	0.1390157	0.13637333	-0.027486762	0.02674695	0
54	AL139287.1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
55	CPTP	0.05841746	0.062296446	0.09123747	0.055817273	0
56	TAS1R3	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
57	DVL1	0.06924064	0.03795736	-0.8504101	0.69022614	0
58	MXRA8	0.003939839	0.005330934	0.35795438	0.07879594	0
59	AURKAIP1	0.8609168	0.87431693	0.022256894	0.057381913	0
60	CCNL2	0.2584788	0.20185688	-0.3551543	0.49741587	0
61	MRPL20-AS1	0.040343665	0.06351027	0.6418627	0.4892336	0
62	MRPL20	0.7331419	0.7695705	0.06986814	0.18186	0
63	AL391244.2	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
64	ANKRD65	0.014902899	0.0155551955	0.0579942	0.016688384	0
65	AL391244.1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
66	TMEM88B	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
67	LINC01770	0.0019669575	-5.820766e-10	-1.5689851	0.49642807	0
68	VWA1	0.32492524	0.24931903	-0.38077307	0.786789	0
69	ATAD3C	0.005710534	-5.820766e-10	-2.7464283	0.4964301	0
70	ATAD3B	0.016103273	0.0068406686	-1.1252239	0.45532444	0
71	ATAD3A	0.041011456	0.020735282	-0.95074385	0.5756208	0
72	TMEM240	0.012458627	-5.820766e-10	-3.7504601	1.0640068	0
73	SSU72	0.49244705	0.5819311	0.24043019	0.67204213	0
74	AL645728.1	0.0028277147	0.005311086	0.721405	0.16710179	0
75	FNDC10	0.0067919623	0.024851173	1.7301712	0.6338225	0
76	AL691432.4	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
77	AL691432.2	0.0038371058	0.044676483	3.2392354	1.4640129	0
78	MIB2	0.08473038	0.11747458	0.4666991	0.42471787	0
79	MMP23B	0.024728108	0.015259925	-0.6620247	0.2673873	0
80	CDK11B	0.09570024	0.13695413	0.51259726	0.41796678	0
81	FO704657.1	0.0028096014	-5.820766e-10	-1.9296408	0.49642414	0
82	SLC35E2B	0.06232005	0.08121608	0.37675828	0.3075604	0
83	CDK11A	0.11094938	0.12502319	0.17084256	0.15692571	0
84	SLC35E2A	0.011768335	0.02196111	0.846622	0.31000018	0
85	NADK	0.12369761	0.09600569	-0.36229247	0.3723565	0
86	GNB1	0.55949616	0.42650506	-0.39076298	1.297649	0
87	AL109917.1	0.024733383	0.012116217	-0.9722895	0.31110248	0
88	CALML6	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
89	TMEM52	0.01952293	0.06670392	1.7220029	1.3454115	0
90	CFAP74	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
91	AL391845.2	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
92	GABRD	0.0032823295	-5.820766e-10	-2.0983965	0.49642384	0
93	AL391845.1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
94	PRKCZ	0.12495372	0.049205765	-1.3269689	1.7792649	0
95	AL590822.2	8.1490725e-10	0.018925434	4.316538	0.6229102	0
96	PRKCZ-AS1	0.0074409144	-5.820766e-10	-3.0774	0.49642876	0
97	FAAP20	0.4786183	0.3442636	-0.47418842	1.5589143	0
98	AL590822.1	8.1490725e-10	-5.820766e-10	-1.9778017e-06	31.738071	0
99	SKI	0.17975721	0.13782454	-0.38079065	0.3546684	0
100	AL590822.3	8.1490725e-10	0.006826016	2.968277	0.49375904	0
