	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
1	FAM138A	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
2	OR4F5	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
3	AL627309.1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
4	AL627309.3	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
5	AL627309.2	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
6	AL627309.5	0.02394859	0.0091997925	-1.2904185	0.46726835	0
7	AL627309.4	0.0066823536	-5.820766e-10	-2.9415493	0.4949782	0
8	AP006222.2	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
9	AL732372.1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
10	OR4F29	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
11	AC114498.1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
12	OR4F16	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
13	AL669831.2	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
14	LINC01409	0.007185799	0.011074281	0.56074214	0.15797368	0
15	FAM87B	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
16	LINC01128	0.071596146	0.07480616	0.062422197	0.03667766	0
17	LINC00115	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
18	FAM41C	1.1641532e-10	0.0054553584	2.690497	0.4936896	0
19	AL645608.6	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
20	AL645608.2	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
21	AL645608.4	1.1641532e-10	0.007994846	3.1690984	0.4936896	0
22	LINC02593	0.0032176399	0.0054553584	0.6140613	0.13995479	0
23	SAMD11	0.031565696	0.10960683	1.7640157	1.8597097	0
24	NOC2L	0.08212296	0.17938422	1.1177542	1.475347	0
25	KLHL17	0.005244978	0.015785018	1.4264057	0.48793593	0
26	PLEKHN1	0.024180446	0.013174853	-0.82897	0.32806763	0
27	PERM1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
28	AL645608.7	1.1641532e-10	0.00857519	3.259301	0.49368995	0
29	HES4	0.2568665	0.27341068	0.08971216	0.09448725	0
30	ISG15	0.3810234	0.27174005	-0.4861345	0.6974911	0
31	AL645608.1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
32	AGRN	0.08139459	0.08454769	0.054179337	0.03106859	0
33	AL645608.5	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
34	AL645608.8	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
35	RNF223	0.006512154	-5.820766e-10	-2.9092274	0.4949774	0
36	C1orf159	0.01734322	0.030325787	0.7721039	0.31104293	0
37	AL390719.3	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
38	LINC01342	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
39	AL390719.2	0.007192486	-5.820766e-10	-3.034302	0.4949777	0
40	TTLL10-AS1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
41	TTLL10	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
42	TNFRSF18	0.008511112	0.015384302	0.7846283	0.2022086	0
43	TNFRSF4	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
44	SDF4	0.47580796	0.40135095	-0.24495393	0.5194285	0
45	B3GALT6	0.105942026	0.16131775	0.6019919	0.47857183	0
46	C1QTNF12	0.025721	0.025519371	-0.010927438	0.0033667244	0
47	AL162741.1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
48	UBE2J2	0.2262543	0.26890206	0.24812837	0.3155999	0
49	LINC01786	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
50	SCNN1D	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
51	ACAP3	0.03223158	0.057387054	0.8130936	0.47418487	0
52	PUSL1	0.107113436	0.09117202	-0.23014511	0.1750714	0
53	INTS11	0.16339451	0.13276824	-0.29742643	0.32074815	0
54	AL139287.1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
55	CPTP	0.045125987	0.0631993	0.4769778	0.29652995	0
56	TAS1R3	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
57	DVL1	0.09857084	0.038507465	-1.333598	1.0323148	0
58	MXRA8	1.1641532e-10	0.0054081935	2.6799176	0.4936894	0
59	AURKAIP1	0.88580555	0.8595572	-0.043346718	0.10600646	0
60	CCNL2	0.11809412	0.1920379	0.69678193	0.759964	0
61	MRPL20-AS1	0.028369904	0.05884924	1.0269945	0.70620567	0
62	MRPL20	0.64587146	0.75962305	0.23370261	0.6913568	0
63	AL391244.2	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
64	ANKRD65	1.1641532e-10	0.015780633	4.068725	0.7425702	0
65	AL391244.1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
66	TMEM88B	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
67	LINC01770	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
68	VWA1	0.21750101	0.2529324	0.21680446	0.26886186	0
69	ATAD3C	0.0061213034	-5.820766e-10	-2.832142	0.4949783	0
70	ATAD3B	0.015506644	0.00693981	-1.0558704	0.30608052	0
71	ATAD3A	0.011311679	0.021035794	0.8398214	0.31324697	0
72	TMEM240	0.011006855	-5.820766e-10	-3.5857873	0.75452584	0
73	SSU72	0.55403477	0.57762045	0.060039163	0.1144118	0
74	AL645728.1	0.004587492	0.0053880583	0.19317655	0.040919457	0
75	FNDC10	0.007052985	0.025211332	1.7025951	0.6247151	0
76	AL691432.4	0.0038947267	-5.820766e-10	-2.291229	0.49497795	0
77	AL691432.2	0.03501917	0.045323964	0.36299378	0.17315632	0
78	MIB2	0.084393054	0.1191771	0.49297145	0.40658054	0
79	MMP23B	0.0030631088	0.015481083	2.0201552	0.54504323	0
80	CDK11B	0.10734865	0.13335748	0.31039548	0.21244632	0
81	FO704657.1	0.0090161925	-5.820766e-10	-3.324263	0.78518593	0
82	SLC35E2B	0.09723652	0.082393125	-0.23633102	0.17284326	0
83	CDK11A	0.1091236	0.1268351	0.2151603	0.16540343	0
84	SLC35E2A	0.00796886	0.022279384	1.3760563	0.48959327	0
85	NADK	0.12637323	0.097397074	-0.37237483	0.34018824	0
86	GNB1	0.42254326	0.41994184	-0.008888386	0.012360287	0
87	AL109917.1	1.1641532e-10	0.012291814	3.732466	0.7899705	0
88	CALML6	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
89	TMEM52	0.020151323	0.06767064	1.6989456	1.3347142	0
90	CFAP74	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
91	AL391845.2	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
92	GABRD	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
93	AL391845.1	1.1641532e-10	-5.820766e-10	-1.0318962e-06	14.071287	0
94	PRKCZ	0.05522874	0.04991889	-0.14310673	0.06846028	0
95	AL590822.2	0.009415321	0.019199716	0.9556276	0.2207335	0
