	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
1	FAM138A	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
2	OR4F5	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
3	AL627309.1	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
4	AL627309.3	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
5	AL627309.2	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
6	AL627309.5	0.013955104	0.008465795	-0.6598424	0.23957095	0
7	AL627309.4	0.0060257735	8.1490725e-10	-2.8126557	0.49430305	0
8	AP006222.2	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
9	AL732372.1	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
10	OR4F29	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
11	AC114498.1	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
12	OR4F16	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
13	AL669831.2	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
14	LINC01409	0.03527275	0.025997585	-0.42605573	0.22452457	0
15	FAM87B	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
16	LINC01128	0.064596474	0.05318116	-0.27582705	0.19344522	0
17	LINC00115	0.004773529	0.003659363	-0.30932066	0.06891559	0
18	FAM41C	0.0025974535	8.1490725e-10	-1.8469748	0.4943024	0
19	AL645608.6	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
20	AL645608.2	-2.3283064e-10	0.0031029894	2.0366757	0.49642706	0
21	AL645608.4	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
22	LINC02593	0.0020775972	0.0030964427	0.41256714	0.10517808	0
23	SAMD11	0.31074706	0.19256829	-0.6875333	1.2932532	0
24	NOC2L	0.10677954	0.12317011	0.20423456	0.1950091	0
25	KLHL17	0.022640888	0.0039089746	-2.2677906	0.8766396	0
26	PLEKHN1	0.029118571	0.0066009723	-1.9863974	1.0059677	0
27	PERM1	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
28	AL645608.7	0.017080039	0.0057346057	-1.4247323	0.50802845	0
29	HES4	0.38143188	0.3114633	-0.29151607	0.5267459	0
30	ISG15	0.36091846	0.21748021	-0.728162	1.9293749	0
31	AL645608.1	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
32	AGRN	0.102092974	0.10646415	0.05990949	0.048920523	0
33	AL645608.5	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
34	AL645608.8	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
35	RNF223	-2.3283064e-10	0.0053452635	2.6656804	0.49642807	0
36	C1orf159	0.02315239	0.016029404	-0.504138	0.1817633	0
37	AL390719.3	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
38	LINC01342	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
39	AL390719.2	-2.3283064e-10	0.006688214	2.942649	0.75700927	0
40	TTLL10-AS1	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
41	TTLL10	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
42	TNFRSF18	-2.3283064e-10	0.0033742664	2.1290414	0.49642798	0
43	TNFRSF4	-2.3283064e-10	8.1490725e-10	1.547843e-06	33.943367	0
44	SDF4	0.48272893	0.5240842	0.11835006	0.29048738	0
45	B3GALT6	0.12889059	0.113331154	-0.1840783	0.18660991	0
46	C1QTNF12	0.04573843	0.014810929	-1.563687	0.76341426	0
47	AL162741.1	0.0037755435	0.0043802653	0.17201236	0.037721317	0
48	UBE2J2	0.24088715	0.2410252	0.00082304614	0.0010414495	0
49	LINC01786	-2.3283064e-10	0.0069917925	2.9985194	0.74855494	0
50	SCNN1D	0.0025974535	0.005202435	0.78585863	0.23703706	0
51	ACAP3	0.08109876	0.07119294	-0.1855026	0.13958901	0
