	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.31074706	0.031565696	-3.258951	6.1654024	1
104	RER1	0.72210133	0.34478515	-1.0643219	6.177657	1
448	PLA2G2A	0.9068292	0.2898368	-1.6422111	5.1293173	1
1149	DHCR24	0.48882958	0.15684074	-1.6338103	6.255123	1
3073	EPHX1	0.37038863	0.11818241	-1.6397582	5.315476	1
8454	GC	0.43508765	0.035312086	-3.5860965	5.8589344	1
8462	ALB	4.669366	2.0601566	-1.1800815	12.120505	1
9098	FGA	1.1289686	0.4921851	-1.1960818	5.938126	1
10323	CDO1	0.7040195	0.28135064	-1.3201753	5.20721	1
10526	TGFBI	1.0962756	0.4322189	-1.3407578	11.4121275	1
11308	HULC	0.9332261	0.44463482	-1.0679098	5.5041137	1
11727	CFB	0.7328388	0.27917662	-1.3891267	6.548322	1
14236	HILPDA	0.3490476	0.8851053	1.3399271	5.2414374	1
16242	AK3	0.6587662	0.322349	-1.0288627	5.0801926	1
16862	FBP1	0.3929902	0.10120362	-1.9467134	5.274332	1
17578	AKR1C2	0.9871662	0.468898	-1.0724062	5.109598	1
17626	ITIH2	0.9380738	0.39266935	-1.2542542	6.543382	1
18338	GLUD1	1.2708459	0.58749205	-1.1118292	5.6956167	1
18967	PNPLA2	0.25278717	0.034513764	-2.837169	5.819674	1
19159	HPX	0.26058558	0.031109622	-3.0262053	5.1433134	1
19717	SERPING1	0.50953615	0.13290057	-1.930851	8.316259	1
25724	LIPC	0.7497066	0.3526449	-1.0859478	5.863538	1
26573	NPW	1.1094869	0.16807197	-2.7154832	10.799412	1
28684	VTN	2.0799818	0.96542287	-1.1065378	11.308757	1
29653	APOH	0.9028029	0.2601261	-1.7912616	5.961106	1
31861	HAMP	2.2189817	1.0527427	-1.0750251	5.406482	1
34860	SELENOM	0.632915	0.1788285	-1.8176678	7.387259	1
34968	TMPRSS6	0.49725944	0.14472802	-1.7736188	7.289927	1
35592	RGN	0.6723796	0.25229684	-1.410591	7.5539494	1
35640	PCSK1N	0.50541687	0.18298398	-1.4607452	5.0842996	1
