	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
1	FAM138A	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
2	OR4F5	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
3	AL627309.1	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
4	AL627309.3	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
5	AL627309.2	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
6	AL627309.5	0.013955104	0.02394859	0.7383203	0.2668157	0
7	AL627309.4	0.0060257735	0.0066823536	0.12889127	0.025987998	0
8	AP006222.2	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
9	AL732372.1	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
10	OR4F29	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
11	AC114498.1	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
12	OR4F16	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
13	AL669831.2	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
14	LINC01409	0.03527275	0.007185799	-2.147691	1.1537701	0
15	FAM87B	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
16	LINC01128	0.064596474	0.071596146	0.14627469	0.091288365	0
17	LINC00115	0.004773529	1.1641532e-10	-2.5294533	0.49430263	0
18	FAM41C	0.0025974535	1.1641532e-10	-1.8469759	0.49430257	0
19	AL645608.6	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
20	AL645608.2	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
21	AL645608.4	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
22	LINC02593	0.0020775972	0.0032176399	0.4546315	0.115563095	0
23	SAMD11	0.31074706	0.031565696	-3.258951	6.1654024	1
24	NOC2L	0.10677954	0.08212296	-0.37476438	0.2876261	0
25	KLHL17	0.022640888	0.005244978	-1.9205159	0.74867857	0
26	PLEKHN1	0.029118571	0.024180446	-0.2583495	0.109507225	0
27	PERM1	-2.3283064e-10	1.1641532e-10	5.159479e-07	21.978058	0
