	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.52307194	0.16158254	-1.6885924	44.55244	1
68	VWA1	0.08693613	0.03232499	-1.3998518	9.319932	1
79	MMP23B	0.22637953	0.09797712	-1.1999354	18.727804	1
127	PRDM16	0.033688173	0.006526361	-2.2044194	5.7687488	1
142	SMIM1	0.15692033	0.07221399	-1.1090056	11.714947	1
291	PLOD1	0.54886216	0.27268055	-1.0065771	40.246056	1
339	KAZN	0.31018978	0.12550944	-1.2985495	29.30953	1
374	HSPB7	0.087808974	0.0075501697	-3.3766806	18.864388	1
530	HMGCL	0.16743053	0.07953217	-1.0645165	11.905042	1
667	TMEM200B	0.031982347	0.0074949386	-1.9570186	5.4550385	1
729	FAM229A	0.08981383	0.027131438	-1.6907288	11.960889	1
740	FNDC5	0.08263368	0.036241375	-1.1671779	6.4852004	1
742	TMEM54	0.10632637	0.046866823	-1.1649067	8.678344	1
767	GJA4	0.0075047696	0.034027163	2.04213	13.880322	1
797	SH3D21	0.09680359	0.030188287	-1.6488831	11.825394	1
832	POU3F1	0.19209267	0.07480635	-1.3489028	16.086393	1
930	SLC2A1	0.16248241	0.022581559	-2.7934043	30.645218	1
950	PTPRF	0.16093576	0.07712277	-1.0516065	11.005557	1
1041	TRABD2B	0.063242935	0.010492663	-2.4828246	10.863158	1
1052	BEND5	0.2575074	0.1102476	-1.2164314	21.370825	1
1208	L1TD1	0.018854685	0.041557692	1.0999404	5.094816	1
1209	KANK4	0.052176405	0.019797163	-1.3543994	5.5177393	1
1230	PGM1	0.26728633	0.11478805	-1.2122871	22.982115	1
1240	AK4	0.15678014	0.027713105	-2.4581344	26.431707	1
1247	PDE4B	0.059976164	0.024205798	-1.2744896	5.385664	1
1352	PTGFR	0.081789896	0.035016324	-1.2008039	6.192111	1
1565	COL11A1	0.28696474	0.11530399	-1.3079915	24.10625	1
1580	NTNG1	0.12981328	0.047129463	-1.4425169	12.511255	1
1607	KIAA1324	0.00039091846	0.0054544704	2.2142608	5.195487	1
1790	LINC00622	0.005200138	0.018378489	1.6440837	5.8037515	1
1791	ZNF697	0.046592	0.09551428	1.0200235	9.948781	1
1853	TXNIP	1.749955	0.6086587	-1.5220685	44.55244	1
1935	ECM1	0.045075025	0.012957103	-1.7229854	6.7284093	1
2072	S100A16	0.1654986	0.047768623	-1.771485	20.813286	1
2088	CRTC2	0.0173861	0.039451208	1.1375674	5.342507	1
2106	IL6R	0.0032283901	0.016548906	2.0532005	8.185025	1
2331	APOA2	0.045045648	-4.8428774e-08	-5.5250626	12.226643	1
2354	OLFML2B	0.0032970351	0.015922245	1.9775075	6.465202	1
2370	RGS5	0.046884805	0.14046109	1.5627655	22.897915	1
2513	KIAA0040	0.0017967453	0.011083451	2.1112118	6.6933174	1
2589	RGS16	0.0529868	0.10735025	1.005024	10.408974	1
2621	NIBAN1	0.0077779107	0.026716322	1.6587863	8.838302	1
2675	B3GALT2	0.05358227	0.00899403	-2.4492939	9.115737	1
2686	CFH	0.10218445	0.050177477	-1.0116447	6.5247	1
2700	LHX9	1.0128133e-08	0.012314557	3.7349179	11.329165	1
2705	PTPRC	0.021130016	0.0007848063	-3.6321652	5.8689775	1
2734	TNNT2	0.2172155	-4.8428774e-08	-7.7696795	44.55244	1
2737	TNNI1	0.22958253	0.041794967	-2.4297702	36.661724	1
2772	PPFIA4	0.04387864	0.013638707	-1.6162407	5.811259	1
2801	PLEKHA6	0.08775639	0.037029643	-1.2227266	7.788959	1
2879	CD34	0.004015952	0.014787426	1.6541805	5.1492386	1
2964	PROX1	0.060261842	0.024053926	-1.289952	5.600585	1
2980	ESRRG	0.04752627	0.01677403	-1.4489951	5.29781	1
3018	HLX	0.110264264	0.049089976	-1.1513965	8.244555	1
3046	SUSD4	0.021978486	0.045399047	1.0138113	5.305952	1
3180	EGLN1	0.22842777	0.09711799	-1.2254504	18.980814	1
3254	ACTN2	0.031718247	0.003035253	-3.0193644	6.936089	1
3276	GREM2	0.050488774	0.0005884244	-5.0185895	11.712244	1
3294	PLD5	0.0593878	0.013646675	-2.0436838	8.944287	1
3470	COLEC11	0.16654597	0.057413526	-1.5201827	16.718464	1
3819	LTBP1	0.05612434	0.018154558	-1.5764178	6.6368675	1
4233	WDR54	0.2671435	0.118282706	-1.1686202	22.354755	1
4264	EVA1A	0.051127873	0.13584165	1.3923806	22.976465	1
4361	CYTOR	0.13736388	0.2887562	1.066372	30.917507	1
4557	AFF3	0.23270284	0.11120449	-1.0585448	15.450861	1
4569	NPAS2	0.008935615	0.028418927	1.5660633	7.7309294	1
4692	MIR4435-2HG	0.10819378	0.227527	1.065474	24.487461	1
4696	AC108463.3	0.015538961	0.05092675	1.6506093	14.949947	1
4903	LYPD1	0.0025828197	0.015974352	2.2441893	7.367745	1
4913	TMEM163	0.0036636563	0.015294397	1.8048426	6.049266	1
4981	KIF5C	0.41926783	0.17840555	-1.2280844	34.321384	1
5083	IFIH1	0.0062803696	0.022393668	1.6840345	6.6869617	1
5103	SCN1A-AS1	0.03602537	0.006910147	-2.2267377	5.6650276	1
5105	SCN9A	0.25531334	0.07807104	-1.6966871	27.178364	1
5163	PDK1	0.17363673	0.05294021	-1.6949241	20.869593	1
5239	TTN	0.322563	0.033913672	-3.2121825	44.55244	1
5284	ZNF804A	0.115304425	0.037483566	-1.5955918	12.837216	1
5301	GULP1	0.15729478	0.061359487	-1.3439327	15.076398	1
5338	NABP1	0.022645313	0.04658332	1.0089016	5.280438	1
5359	STK17B	0.07968124	0.17111264	1.0930479	20.873451	1
5360	AC114760.2	0.0075755427	0.022439688	1.4506534	5.8029857	1
5634	ABCB6	0.06286424	0.027824666	-1.1477045	5.3995748	1
5685	KCNE4	0.32890892	0.10466949	-1.6425087	37.277657	1
5688	SCG2	0.26075238	0.015669668	-3.9729054	38.13825	1
5698	DOCK10	0.014183911	0.038032524	1.3621333	7.610854	1
5702	IRS1	0.08217394	0.037495684	-1.111435	6.9125333	1
6069	PPARG	0.05372501	0.16918051	1.6367936	38.953262	1
6083	FBLN2	0.08216604	0.029990923	-1.4241488	8.586415	1
6183	LINC01980	1.0128133e-08	0.0044940803	2.4578633	5.4563127	1
6353	TMEM42	0.07229042	0.032611627	-1.1246644	5.6906457	1
6374	CCR1	1.0128133e-08	0.007092108	3.016501	9.470064	1
6390	MYL3	0.08455193	0.0050259707	-3.827535	18.79943	1
6391	PTH1R	0.16021995	0.033644076	-2.21835	24.42361	1
6420	PFKFB4	0.06774637	0.013048596	-2.2908578	11.246416	1
6439	P4HTM	0.115840055	0.055080716	-1.0589583	8.462663	1
6553	TNNC1	0.18143919	0.00068569067	-6.757932	42.63336	1
6740	ROBO2	0.34047362	0.10636277	-1.6692803	38.9977	1
6833	TMEM45A	0.30170047	0.110889874	-1.4358113	30.548231	1
6854	ALCAM	0.15755188	0.044012655	-1.8165525	16.972391	1
7017	FAM162A	1.0877233	0.36873648	-1.5580682	44.55244	1
7106	GATA2	0.04243827	0.010011584	-1.9799446	7.012234	1
7139	TRH	0.02608872	-4.8428774e-08	-4.7596903	7.0722537	1
7267	TRPC1	0.06885266	0.030953826	-1.1283264	5.78392	1
7287	PLOD2	0.3795108	0.14781293	-1.3544375	36.514538	1
7308	AGTR1	0.032938	0.1146485	1.7687732	29.327568	1
7320	TM4SF18	0.0061287736	0.020301575	1.5792344	5.277715	1
7371	P2RY1	0.12972985	0.05958686	-1.1095119	9.793443	1
7373	RAP2B	0.12069221	0.28042608	1.2095191	38.891552	1
7451	PPM1L	0.230829	0.10618823	-1.1129144	17.217985	1
7467	SLITRK3	0.07430768	0.025804508	-1.4903214	7.8868895	1
7477	SERPINI1	0.047002826	0.17461196	1.8711998	44.55244	1
7675	AHSG	0.018642573	-4.8428774e-08	-4.295982	5.0122266	1
7714	CLDN1	0.00062037713	0.010539432	2.8321707	9.232308	1
7947	CYTL1	0.26077116	0.09737816	-1.411896	24.550947	1
8120	LGI2	0.02945821	0.06069768	1.0183849	6.020381	1
8129	SEL1L3	1.0128133e-08	0.0068703964	2.9764216	8.134288	1
8332	KDR	0.071449995	0.019244729	-1.8394393	8.655241	1
8386	ADGRL3	0.17114025	0.05321245	-1.6668885	19.43241	1
8391	TECRL	0.022417467	-4.8428774e-08	-4.549583	6.4373646	1
8462	ALB	0.110460155	0.00044653565	-6.267782	28.10276	1
8463	AFP	0.037631698	0.00020407862	-5.0037837	9.030976	1
8488	PARM1	0.15313543	0.01976079	-2.8922653	27.77339	1
8510	CXCL10	0.0054297927	0.02783639	2.1650465	9.706842	1
8546	PRDM8	0.060191225	0.020193497	-1.529703	6.4700103	1
8631	MMRN1	0.00220425	0.010837139	1.8852617	5.1752033	1
8744	DKK2	0.07709104	0.018630918	-1.9920293	10.209519	1
8752	LEF1	0.013222515	0.048387982	1.7959833	16.32209	1
8753	LEF1-AS1	0.0014334737	0.008785341	2.0076048	5.174069	1
8783	FAM241A	0.036489014	0.100772254	1.4408047	20.00994	1
8800	ARSJ	0.1548199	0.06908814	-1.1526374	12.497474	1
8803	NDST4	0.005093424	0.01957047	1.7552496	5.762622	1
8912	AC105383.1	0.059568886	0.025517719	-1.1916201	5.091729	1
8999	HHIP-AS1	0.043006934	0.0055953152	-2.7382174	8.216213	1
9000	HHIP	0.025449418	0.0030062348	-2.722917	5.4751177	1
9123	GRIA2	0.050394442	0.114832975	1.1723619	13.608769	1
9147	FSTL5	0.34703496	0.13567978	-1.3484323	27.382063	1
9211	GALNTL6	0.056474213	0.016990425	-1.6756855	6.8938513	1
9216	AC097534.2	0.09270649	0.030396475	-1.5775464	10.759069	1
9218	SCRG1	0.114621505	0.04823049	-1.2317858	9.407951	1
9224	HAND2-AS1	0.36401358	0.14810339	-1.2916371	32.794647	1
9234	HPGD	0.029481687	0.068656504	1.1923153	8.306605	1
9250	VEGFC	0.060271613	0.024306579	-1.2757063	5.444466	1
9324	ANKRD37	0.0772086	0.017584177	-2.0732524	11.225047	1
9330	SORBS2	0.03196142	0.001184564	-3.915361	8.374637	1
9565	MYO10	0.074571006	0.15727162	1.0664979	17.480839	1
