	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
1	FAM138A	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
2	OR4F5	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
3	AL627309.1	0.0027129794	0.0020497073	-0.28390652	0.18032633	0
4	AL627309.3	1.0128133e-08	0.00016499998	0.22031529	0.49845743	0
5	AL627309.2	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
6	AL627309.5	0.022622494	0.015771689	-0.49413332	0.83744633	0
7	AL627309.4	0.0015415958	0.0009719423	-0.3661172	0.20250873	0
8	AP006222.2	0.00084129546	-4.8428774e-08	-0.880791	0.4983387	0
9	AL732372.1	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
10	OR4F29	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
11	AC114498.1	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
12	OR4F16	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
13	AL669831.2	0.0016106487	0.00085225387	-0.4951265	0.27112126	0
14	LINC01409	0.03973288	0.027832625	-0.49849164	1.2439524	0
15	FAM87B	1.0128133e-08	0.00038890645	0.47393486	0.800591	0
16	LINC01128	0.07509771	0.055956434	-0.41799426	1.5676264	0
17	LINC00115	0.006588059	0.011005983	0.6619507	0.9408105	0
18	FAM41C	0.0021991953	0.0069005657	1.304247	1.8155868	0
19	AL645608.6	0.003421965	0.00070168055	-1.3777274	0.8651968	0
20	AL645608.2	0.023129493	0.0047565727	-2.0675156	4.374789	0
21	AL645608.4	0.00048243313	0.00018240174	-0.32624668	0.2511726	0
22	LINC02593	0.056925725	0.02568576	-1.118134	4.5929914	0
23	SAMD11	0.52307194	0.16158254	-1.6885924	44.55244	1
24	NOC2L	0.22583175	0.1713587	-0.3962084	3.7384639	0
25	KLHL17	0.026071845	0.017957602	-0.5140167	0.92441696	0
26	PLEKHN1	0.0025100019	0.0009688552	-0.8341147	0.5075529	0
27	PERM1	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
28	AL645608.7	0.00553138	0.00901751	0.6170643	0.826849	0
29	HES4	0.4396929	0.44349897	0.012406303	0.069531724	0
30	ISG15	0.22758743	0.16037238	-0.5023524	5.5383196	0
31	AL645608.1	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
32	AGRN	0.10136833	0.13623917	0.42292285	3.1348662	0
33	AL645608.5	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
34	AL645608.8	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
35	RNF223	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
36	C1orf159	0.026246397	0.029358769	0.15604788	0.24954315	0
37	AL390719.3	0.00090390677	0.00032012223	-0.5282913	0.27431586	0
38	LINC01342	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
39	AL390719.2	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
40	TTLL10-AS1	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
41	TTLL10	1.0128133e-08	-4.8428774e-08	-8.444595e-05	44.55244	0
42	TNFRSF18	0.0007740322	0.0037102806	1.4087808	1.9401076	0
43	TNFRSF4	0.0035129422	0.003749955	0.07384557	0.0434614	0
44	SDF4	0.38321963	0.34023038	-0.1711852	1.7553748	0
45	B3GALT6	0.15465783	0.11665088	-0.403866	2.8632348	0
46	C1QTNF12	0.04242575	0.022957154	-0.85809433	2.5600266	0
47	AL162741.1	0.0015485679	0.0014204796	-0.07439386	0.03779598	0
48	UBE2J2	0.2715579	0.1943087	-0.4808065	6.2507043	0
49	LINC01786	0.0011906404	0.0008134855	-0.2725875	0.11635966	0
50	SCNN1D	0.0015903368	0.0023360187	0.3649877	0.24379475	0
51	ACAP3	0.094116874	0.07507521	-0.32227486	1.3386122	0
52	PUSL1	0.07977996	0.06638479	-0.26157442	0.92405146	0
53	INTS11	0.1642476	0.13735554	-0.25624898	1.4950888	0
54	AL139287.1	0.00083349086	0.00028950383	-0.507777	0.27873042	0
55	CPTP	0.061832685	0.049333148	-0.32000637	0.91608226	0
56	TAS1R3	1.0128133e-08	0.00024651352	0.31788388	0.4985395	0
57	DVL1	0.050829463	0.040272817	-0.32858053	0.8650708	0
58	MXRA8	0.3185336	0.19122289	-0.73318744	13.38983	0
59	AURKAIP1	0.68933475	0.6056491	-0.18643378	3.8663402	0
60	CCNL2	0.39955673	0.35422084	-0.17329034	1.843581	0
61	MRPL20-AS1	0.041664157	0.028727653	-0.5212189	1.3711575	0
62	MRPL20	0.71770453	0.66429275	-0.11140946	1.7849272	0
63	AL391244.2	0.0048448015	0.0029464005	-0.56661665	0.42709437	0
