	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
1	FAM138A	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
2	OR4F5	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
3	AL627309.1	0.0019632764	0.0020494363	0.041349337	0.014715397	0
4	AL627309.3	-7.21775e-09	0.0001649782	0.22031337	0.4985271	0
5	AL627309.2	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
6	AL627309.5	0.02669538	0.015769605	-0.7237966	0.90113354	0
7	AL627309.4	0.0043467027	0.00097181404	-1.439126	0.35667837	0
8	AP006222.2	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
9	AL732372.1	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
10	OR4F29	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
11	AC114498.1	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
12	OR4F16	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
13	AL669831.2	0.0020912774	0.0008521414	-0.73900884	0.25036275	0
14	LINC01409	0.043888208	0.027828949	-0.63881814	0.9164958	0
15	FAM87B	-7.21775e-09	0.00038885523	0.4739066	0.8006423	0
16	LINC01128	0.04826136	0.055949043	0.20921521	0.33755296	0
17	LINC00115	0.012114082	0.011004528	-0.12753816	0.08622218	0
18	FAM41C	0.0022649248	0.006899655	1.2747399	1.1753789	0
19	AL645608.6	-7.21775e-09	0.000701588	0.7668921	1.2699629	0
20	AL645608.2	0.024052871	0.004755944	-2.1218514	2.1776214	0
21	AL645608.4	0.003627154	0.00018237776	-1.9684341	0.7373778	0
22	LINC02593	0.051344536	0.025682367	-0.9721522	1.9305272	0
23	SAMD11	0.3155927	0.1615612	-0.96164495	8.966353	0
24	NOC2L	0.20687498	0.17133607	-0.27049148	1.1334426	0
25	KLHL17	0.029945888	0.01795523	-0.70715165	0.85856915	0
26	PLEKHN1	-7.21775e-09	0.00096872717	0.9772735	1.5355308	0
27	PERM1	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
28	AL645608.7	0.0012603755	0.009016319	2.1477182	4.7245073	0
29	HES4	0.44426557	0.4436348	-0.0020452049	0.0073204767	0
30	ISG15	0.17615259	0.16035119	-0.13478836	0.39539605	0
31	AL645608.1	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
32	AGRN	0.107425556	0.13641559	0.34184074	1.2980031	0
33	AL645608.5	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
34	AL645608.8	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
35	RNF223	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
36	C1orf159	0.03297449	0.029354893	-0.16252269	0.19112535	0
37	AL390719.3	-7.21775e-09	0.00032007997	0.4006357	0.77372086	0
38	LINC01342	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
39	AL390719.2	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
40	TTLL10-AS1	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
41	TTLL10	-7.21775e-09	-4.8428774e-08	-5.942123e-05	44.075317	0
42	TNFRSF18	0.011524783	0.0037097908	-1.4110507	0.9543392	0
43	TNFRSF4	0.002794873	0.0037494595	0.3237119	0.12793022	0
44	SDF4	0.38870907	0.34018543	-0.1918415	1.2483436	0
45	B3GALT6	0.13953778	0.11663547	-0.2566349	0.78610283	0
46	C1QTNF12	0.033645034	0.022954121	-0.53237456	0.65043294	0
47	AL162741.1	0.0017362119	0.001420292	-0.17699893	0.06478122	0
48	UBE2J2	0.22595365	0.19428302	-0.21683119	0.92385864	0
49	LINC01786	0.0016112992	0.00081337814	-0.52608794	0.19945133	0
50	SCNN1D	0.0016403898	0.00233571	0.33724296	0.15861495	0
51	ACAP3	0.1225363	0.0750653	-0.69962466	2.6778736	0
52	PUSL1	0.08976928	0.06637602	-0.42996886	1.0841222	0
53	INTS11	0.16013034	0.13733739	-0.22003704	0.72654754	0
54	AL139287.1	-7.21775e-09	0.00028946565	0.36678377	0.80094796	0
55	CPTP	0.05082667	0.04932663	-0.042372737	0.05412813	0
56	TAS1R3	-7.21775e-09	0.00024648104	0.3178713	0.49858627	0
57	DVL1	0.035374753	0.040267497	0.18206847	0.23689835	0
58	MXRA8	0.3133171	0.19119763	-0.7096301	6.2657437	0
59	AURKAIP1	0.65295124	0.6057635	-0.10804882	0.93673795	0
60	CCNL2	0.38706377	0.35436845	-0.1269782	0.67844045	0
61	MRPL20-AS1	0.06583184	0.028723858	-1.1689142	2.9954748	0
