	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
29	HES4	0.17808732	0.64269817	1.8457211	7.2717695	1
173	ICMT	3.4924597e-10	0.17488421	7.458482	6.9048233	1
280	MAD2L2	0.06696301	0.31908673	2.2356412	5.54069	1
439	MICOS10	0.40004376	0.9663191	1.2702323	8.572654	1
535	SRSF10	0.52336526	1.0644256	1.0227859	6.7347984	1
552	CLIC4	0.09520774	0.37433636	1.9639591	5.6323133	1
593	SH3BGRL3	0.45171294	0.93525577	1.0483062	6.3587837	1
611	NUDC	0.44600147	0.8948022	1.0029007	5.5066056	1
634	FAM76A	3.4924597e-10	0.13270244	7.0628815	5.352688	1
772	ZMYM1	0.034297734	0.38864523	3.4645138	10.541607	1
783	CLSPN	0.011944491	0.7376613	5.8345027	23.296602	1
820	CDCA8	3.4924597e-10	0.7753427	9.60055	24.51334	1
942	CDC20	3.4924597e-10	0.54899794	9.103282	15.138335	1
973	KIF2C	3.4924597e-10	0.6570434	9.362039	21.376802	1
993	AKR1A1	0.1572558	0.5303738	1.7474687	7.124049	1
994	NASP	0.964602	2.1543593	1.1584278	18.876402	1
1034	STIL	3.4924597e-10	0.23431502	7.878449	9.434135	1
1210	USP1	0.19908887	0.8036039	2.0076377	12.052555	1
1226	ITGB3BP	0.11665841	0.67543566	2.523348	13.4175005	1
1237	JAK1	0.34438148	0.7419196	1.1050154	5.1319366	1
1269	DEPDC1	3.4924597e-10	0.5876349	9.201229	20.277115	1
1480	CCDC18	3.4924597e-10	0.4412787	8.788812	15.549563	1
1538	SASS6	0.039299138	0.23723498	2.5635645	5.228483	1
1599	GPSM2	0.08974118	0.500676	2.4669263	10.583859	1
1610	PSRC1	0.039825737	0.44540322	3.4507966	10.487609	1
1637	AHCYL1	0.23797536	0.69470936	1.5416229	7.550154	1
1766	TTF2	0.016667731	0.27588752	3.9701111	7.592151	1
1792	PHGDH	0.072886914	0.77833015	3.3988438	21.713608	1
1914	HIST2H2AC	0.029586544	0.41881415	3.7787817	11.158704	1
1925	ANP32E	0.39960328	1.3919183	1.7978647	19.02106	1
2098	TPM3	0.7025737	1.41051	1.0044658	9.247646	1
2124	CKS1B	0.18907368	1.5986749	3.073148	44.251408	1
2150	FDPS	0.19958043	0.68444234	1.7728543	8.089121	1
2176	LMNA	0.16999091	0.5880894	1.784567	6.7243624	1
2193	IQGAP3	3.4924597e-10	0.16170025	7.346072	6.1205335	1
2211	HDGF	0.23403208	0.78785485	1.7469021	10.073564	1
2279	TAGLN2	0.03454087	0.29790178	3.0721207	6.0643325	1
2374	NUF2	3.4924597e-10	0.63017684	9.3019	20.634275	1
2495	CENPL	3.4924597e-10	0.25282562	7.9876933	9.472289	1
2510	CACYBP	0.24895568	0.6314411	1.3392588	5.591405	1
2671	UCHL5	0.05761996	0.29835263	2.352382	5.6160173	1
2693	ASPM	0.037723836	1.3879234	5.1646013	33.276733	1
2719	KIF14	3.4924597e-10	0.45527574	8.833761	13.828455	1
2759	UBE2T	0.014659766	0.78046936	5.6410546	26.748438	1
2925	NEK2	3.4924597e-10	0.33172384	8.3781805	9.829775	1
2971	CENPF	0.09349829	2.2865205	4.5973525	44.251408	1
3066	LBR	0.20494956	0.8508834	2.0483649	13.266156	1
3072	SRP9	0.4073737	1.1420201	1.484889	13.068713	1
3088	PARP1	0.436787	0.99871886	1.1912934	7.7553434	1
3145	CCSAP	0.01478092	0.1917408	3.6104088	5.592618	1
3291	EXO1	3.4924597e-10	0.1532387	7.2690206	5.939365	1
3542	RRM2	0.013819364	0.82795376	5.805736	26.29801	1
3560	ROCK2	0.26663452	0.7235232	1.4367677	7.095395	1
3612	GEN1	3.4924597e-10	0.17052363	7.422263	6.685	1
3685	CENPO	0.01536135	0.21825705	3.7442596	6.534762	1
3714	CENPA	3.4924597e-10	0.48439988	8.923029	15.537305	1
3747	PPM1G	0.4192552	0.9422885	1.1664335	6.8342404	1
3840	EIF2AK2	0.14817485	0.48825854	1.7135926	5.836495	1
4162	SNRPG	0.3876663	0.8834421	1.1862357	6.468574	1
4210	TPRKB	0.23510775	0.6066125	1.3637061	5.6472197	1
4233	WDR54	0.11354154	0.38846067	1.7656066	5.018354	1
4361	CYTOR	0.026608814	0.35777435	3.6998758	7.990436	1
4496	NCAPH	3.4924597e-10	0.42814928	8.745336	16.14301	1
4667	LIMS1	0.34098047	0.765853	1.1650361	5.177582	1
4674	SEPTIN10	0.28263387	0.6755335	1.2541316	5.6342087	1
4689	BUB1	3.4924597e-10	0.49846566	8.964241	15.4510975	1
4692	MIR4435-2HG	0.029523483	0.29885733	3.2962847	7.304785	1
4720	SLC20A1	3.4924597e-10	0.28002664	8.1345625	9.256302	1
4722	CKAP2L	3.4924597e-10	0.51540244	9.012351	17.14997	1
4921	R3HDM1	0.09167055	0.36315563	1.9743723	5.36859	1
4925	MCM6	0.036539387	0.25471255	2.768046	5.238057	1
5071	PSMD14	0.15282163	0.50869644	1.7283798	6.621498	1
