	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
1	FAM138A	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
2	OR4F5	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
3	AL627309.1	0.003347618	8.1490725e-10	-2.120224	1.3200157	0
4	AL627309.3	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
5	AL627309.2	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
6	AL627309.5	0.023973795	0.00831264	-1.423153	1.3505374	0
7	AL627309.4	0.0010626925	0.006652098	1.8913265	0.38944936	0
8	AP006222.2	1.6298145e-09	0.008225395	3.2056084	0.49640122	0
9	AL732372.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
10	OR4F29	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
11	AC114498.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
12	OR4F16	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
13	AL669831.2	0.0019874382	8.1490725e-10	-1.5789076	0.7957423	0
14	LINC01409	0.037035063	0.058433715	0.6439516	0.52821565	0
15	FAM87B	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
16	LINC01128	0.072829984	0.06603322	-0.13933061	0.121491574	0
17	LINC00115	0.00446791	0.029008929	2.4563303	1.0220213	0
18	FAM41C	0.0010973719	8.1490725e-10	-1.0685815	0.49824303	0
19	AL645608.6	0.0027151718	8.1490725e-10	-1.8934276	1.0324658	0
20	AL645608.2	0.02854009	8.1490725e-10	-4.884601	6.9046645	1
21	AL645608.4	0.00059530954	8.1490725e-10	-0.6738351	0.4982592	0
22	LINC02593	0.054288954	0.06100723	0.16544528	0.12137359	0
23	SAMD11	0.5642193	0.3978597	-0.50292945	2.7322605	0
24	NOC2L	0.2244674	0.13412547	-0.7386192	2.082135	0
25	KLHL17	0.02478943	0.03300141	0.39881465	0.22127038	0
26	PLEKHN1	0.0030971593	8.1490725e-10	-2.034623	1.0734187	0
27	PERM1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
28	AL645608.7	0.0050432896	0.0141187385	1.3229318	0.5471674	0
29	HES4	0.42795017	0.64269817	0.58557427	2.7347438	0
30	ISG15	0.24107674	0.19697982	-0.2901111	0.6310623	0
31	AL645608.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
32	AGRN	0.09726915	0.1285457	0.39865068	0.5528364	0
33	AL645608.5	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
34	AL645608.8	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
35	RNF223	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
36	C1orf159	0.022599034	0.053650048	1.2114949	0.8404895	0
37	AL390719.3	0.001115342	8.1490725e-10	-1.0808897	0.49824488	0
38	LINC01342	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
39	AL390719.2	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
40	TTLL10-AS1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
41	TTLL10	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
42	TNFRSF18	0.0009551131	8.1490725e-10	-0.9672508	0.49823993	0
43	TNFRSF4	0.0043347185	8.1490725e-10	-2.415411	1.323231	0
44	SDF4	0.38991374	0.43003052	0.14093974	0.37291884	0
45	B3GALT6	0.14399107	0.26857626	0.8947293	2.6676173	0
46	C1QTNF12	0.046846714	0.01170818	-1.9126623	2.850368	0
47	AL162741.1	0.0019108063	8.1490725e-10	-1.5414177	0.78428465	0
48	UBE2J2	0.26185587	0.29991117	0.19506577	0.41936025	0
49	LINC01786	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
50	SCNN1D	0.0019623642	8.1490725e-10	-1.5667479	0.7891218	0
51	ACAP3	0.09333566	0.11103411	0.24806292	0.2709374	0
52	PUSL1	0.082836695	0.092613265	0.15913114	0.15706067	0
53	INTS11	0.14985591	0.2232255	0.57177913	1.1484817	0
54	AL139287.1	0.001028472	8.1490725e-10	-1.0203922	0.49822468	0
55	CPTP	0.059659503	0.07123794	0.25202307	0.19974034	0
56	TAS1R3	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
57	DVL1	0.048160866	0.033493713	-0.511177	0.46882394	0
58	MXRA8	0.3452037	0.18741918	-0.8776753	3.9630678	0
59	AURKAIP1	0.6618373	0.9475333	0.5170437	5.2146077	0
60	CCNL2	0.41361517	0.3099971	-0.41487172	1.558326	0
61	MRPL20-AS1	0.041689195	0.043218993	0.050795246	0.031150317	0
62	MRPL20	0.7323936	0.7692905	0.0708149	0.27174917	0
63	AL391244.2	0.0059781214	8.1490725e-10	-2.8028374	1.8150369	0
64	ANKRD65	0.0016754736	8.1490725e-10	-1.4197931	0.7995641	0
65	AL391244.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
66	TMEM88B	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
67	LINC01770	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
68	VWA1	0.09302731	0.082048915	-0.17911851	0.190635	0
69	ATAD3C	0.0035924152	8.1490725e-10	-2.199252	1.0758421	0
70	ATAD3B	0.03761098	0.064927585	0.77187115	0.68206155	0
71	ATAD3A	0.052894596	0.097150594	0.8648564	1.0005233	0
72	TMEM240	0.081038915	0.096011154	0.24184223	0.24540085	0
73	SSU72	0.5372032	0.595356	0.14802282	0.52848667	0
74	AL645728.1	0.02229995	0.021912508	-0.024191469	0.0100350445	0
75	FNDC10	0.04510752	0.048562974	0.10426073	0.06806013	0
76	AL691432.4	0.0041876007	8.1490725e-10	-2.3750663	1.2865071	0
77	AL691432.2	0.03209834	0.02603276	-0.29204997	0.14790031	0
78	MIB2	0.10029753	0.10018568	-0.0015939554	0.0014804021	0
79	MMP23B	0.2453019	0.16333355	-0.58380073	1.7309859	0
80	CDK11B	0.1945636	0.25514808	0.38934013	0.87144315	0
81	FO704657.1	0.0033745011	0.005528234	0.57757425	0.14640622	0
82	SLC35E2B	0.11036686	0.099065095	-0.15438113	0.16773738	0
83	CDK11A	0.15004002	0.19297525	0.36094177	0.60101604	0
84	SLC35E2A	0.064178035	0.09350477	0.5360013	0.60215867	0
85	NADK	0.06616308	0.091126055	0.45594084	0.43944103	0
86	GNB1	0.6561704	0.85257804	0.37725556	2.9699306	0
87	AL109917.1	0.0022763456	8.1490725e-10	-1.7120864	0.80279785	0
88	CALML6	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
89	TMEM52	0.0039564115	0.007850959	0.8365378	0.19966641	0
90	CFAP74	0.0010208756	8.1490725e-10	-1.0149794	0.49823627	0
91	AL391845.2	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
92	GABRD	0.0017821937	0.0068726493	1.5006263	0.33039388	0
93	AL391845.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
94	PRKCZ	0.010188797	0.00803444	-0.30854782	0.093956806	0
95	AL590822.2	0.0021706652	8.1490725e-10	-1.6647844	0.8014122	0
96	PRKCZ-AS1	0.00825874	8.1490725e-10	-3.2108147	2.2626112	0
97	FAAP20	0.7154971	0.82346517	0.20249768	1.1884319	0
98	AL590822.1	0.0009108357	8.1490725e-10	-0.93420243	0.4982368	0
99	SKI	0.17516991	0.20738004	0.24224955	0.42093164	0
100	AL590822.3	0.009465818	0.01711161	0.79122967	0.26125985	0
101	MORN1	0.0152229555	0.03235023	1.0396601	0.58851516	0
102	AL589739.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
103	AL513477.2	0.0008788415	8.1490725e-10	-0.9098422	0.4982357	0
104	RER1	0.35955563	0.41638708	0.21116407	0.59100807	0
105	PEX10	0.07094857	0.07519021	0.0826396	0.06506519	0
106	PLCH2	1.6298145e-09	0.007333829	3.0589771	0.49640596	0
107	AL139246.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
108	AL139246.4	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
109	PANK4	0.013532165	0.02445339	0.8086082	0.4624877	0
110	HES5	0.0068977913	0.0093590645	0.39137262	0.13607374	0
111	AL139246.5	0.0009547224	0.018140541	3.291596	0.73876834	0
112	TNFRSF14-AS1	0.0013099111	8.1490725e-10	-1.2078362	0.49823594	0
113	TNFRSF14	0.0043086116	8.1490725e-10	-2.4083333	1.3337107	0
114	AL139246.3	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
115	PRXL2B	0.07388455	0.06985485	-0.079801455	0.069303565	0
116	MMEL1	0.0009786644	8.1490725e-10	-0.98452574	0.49823368	0
117	AL831784.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
118	TTC34	0.0029383241	8.1490725e-10	-1.9775807	1.0572376	0
119	AC242022.2	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
120	AC242022.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
121	AL592464.2	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
122	AL592464.3	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
123	AL592464.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
124	AL589702.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
125	ACTRT2	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
126	PRDM16-DT	0.011182381	0.01664312	0.5343095	0.22846447	0
127	PRDM16	0.028424725	0.049810935	0.78811	0.5569794	0
128	AL008733.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
129	AL590438.1	0.002475882	8.1490725e-10	-1.7973778	0.79910207	0
130	AL354743.2	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
131	AL354743.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
132	ARHGEF16	0.00899423	0.015495155	0.72287494	0.30210662	0
133	AL512413.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
134	MEGF6	0.03926526	0.058032643	0.5519773	0.44370055	0
135	AL513320.1	0.0009290029	8.1490725e-10	-0.94785404	0.4982333	0
136	TPRG1L	0.11677084	0.026667641	-2.0897107	6.636579	1
137	WRAP73	0.06353846	0.053746916	-0.23738155	0.19707702	0
138	TP73	0.00077337935	0.004518693	1.6378254	0.38182396	0
139	AL136528.1	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
140	AL136528.2	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
141	CCDC27	1.6298145e-09	8.1490725e-10	-1.203879e-06	20.727758	0
142	SMIM1	0.1730533	0.108796366	-0.6646988	1.5577806	0
143	LRRC47	0.14035766	0.12247847	-0.19509049	0.25013018	0
144	AL365330.1	0.0010557963	0.0054393667	1.6472214	0.366549	0
145	CEP104	0.10692756	0.08380806	-0.34779003	0.4019256	0
146	DFFB	0.031200347	0.023678029	-0.38384908	0.21474053	0
