	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1565	COL11A1	0.31246117	0.1413309	-1.1390378	7.7272005	1
1872	GJA5	0.073541015	0.011301613	-2.599187	6.1953306	1
5020	GALNT13	0.0613134	0.008755459	-2.6752605	5.3994966	1
5688	SCG2	0.1779376	0.031049723	-2.481073	8.381436	1
6954	GAP43	0.07769246	0.011442137	-2.6609912	6.2760396	1
8462	ALB	0.12929815	0.034598894	-1.8719124	6.799206	1
11299	DSP	0.9498906	0.44740635	-1.0844727	21.157211	1
12508	PLN	0.21508017	0.43227282	1.0037091	6.924861	1
12633	AL035604.1	0.11103726	0.03027122	-1.8410712	5.255671	1
13170	THSD7A	0.25255206	0.10297916	-1.2859875	7.669527	1
15587	RALYL	0.115795165	0.017115746	-2.6886644	9.637736	1
17631	GATA3-AS1	0.084397025	0.020358281	-1.9993902	5.1046534	1
17647	CELF2	0.14011101	0.042987127	-1.6816775	5.9063163	1
17935	CXCL12	0.21269628	0.08832504	-1.2584254	6.114609	1
19363	NAV2	0.114891	0.027468162	-2.0253472	6.640169	1
20682	TAGLN	0.68536067	0.2975996	-1.2007546	14.077958	1
24228	TRIM9	0.15787531	0.06276413	-1.317078	5.031771	1
25863	SMAD6	0.24094719	0.09929781	-1.2704021	7.553631	1
26794	SOCS1	0.22661471	0.10891102	-1.0502577	5.005711	1
28446	MYOCD	0.08513349	0.013333684	-2.5871649	6.633612	1
30742	CBLN2	0.12836741	0.03558138	-1.8222929	6.0323925	1
31588	PDE4C	0.15220687	0.0584148	-1.3665869	5.40914	1
32045	ZFP36	0.119748466	0.3854656	1.6783351	13.963585	1
