	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
1	FAM138A	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
2	OR4F5	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
3	AL627309.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
4	AL627309.3	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
5	AL627309.2	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
6	AL627309.5	0.02256004	0.019488972	-0.20149438	0.12787563	0
7	AL627309.4	0.00095895596	0.0028716181	0.9828516	0.27751285	0
8	AP006222.2	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
9	AL732372.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
10	OR4F29	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
11	AC114498.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
12	OR4F16	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
13	AL669831.2	0.002569905	0.004132291	0.52371734	0.13704334	0
14	LINC01409	0.055090662	0.048228536	-0.18826579	0.18648617	0
15	FAM87B	0.00072259246	-4.5401976e-09	-0.78458804	0.49806267	0
16	LINC01128	0.096813135	0.08291741	-0.22105813	0.3204364	0
17	LINC00115	0.0120001165	0.012415893	0.045418564	0.01976191	0
18	FAM41C	0.0011058791	-4.5401976e-09	-1.074429	0.49806625	0
19	AL645608.6	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
20	AL645608.2	0.011110396	0.0044837194	-1.1430193	0.6484318	0
21	AL645608.4	0.0016422317	-4.5401976e-09	-1.4017634	0.49806592	0
22	LINC02593	0.04582553	0.027498165	-0.71642625	0.88128734	0
23	SAMD11	0.291618	0.2415713	-0.27060953	0.836559	0
24	NOC2L	0.21838076	0.14938703	-0.5447568	1.9990602	0
25	KLHL17	0.011405363	0.02357151	0.98602253	0.75685555	0
26	PLEKHN1	-8.032657e-09	0.0030729226	2.0260758	0.49773556	0
27	PERM1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
28	AL645608.7	0.024791967	0.0116053	-1.0328914	0.8884978	0
29	HES4	1.1610694	1.2405826	0.09548395	0.8943243	0
30	ISG15	0.21686223	0.19149828	-0.1785706	0.43124634	0
31	AL645608.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
32	AGRN	0.28175336	0.21568821	-0.38392335	1.4995482	0
33	AL645608.5	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
34	AL645608.8	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
35	RNF223	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
36	C1orf159	0.021612948	0.008115125	-1.3108147	1.1800277	0
37	AL390719.3	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
38	LINC01342	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
39	AL390719.2	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
40	TTLL10-AS1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
41	TTLL10	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
42	TNFRSF18	0.0053661154	0.008383467	0.5597077	0.18552993	0
43	TNFRSF4	0.0025688265	0.00757966	1.2654707	0.42373204	0
44	SDF4	0.44190672	0.4557808	0.04449918	0.1434196	0
45	B3GALT6	0.14769784	0.1251404	-0.23735327	0.47114593	0
46	C1QTNF12	0.030686075	0.03596148	0.22217345	0.17037834	0
47	AL162741.1	0.0016355825	-4.5401976e-09	-1.3981284	0.49808803	0
48	UBE2J2	0.32041785	0.33325908	0.056516666	0.14914119	0
49	LINC01786	0.0018700057	-4.5401976e-09	-1.5210601	0.49806708	0
50	SCNN1D	0.0029405998	0.008334325	1.2441304	0.5067564	0
51	ACAP3	0.1126472	0.117910676	0.0653162	0.09035524	0
52	PUSL1	0.09752379	0.07776174	-0.32297722	0.5110839	0
53	INTS11	0.20796171	0.17096765	-0.28110138	0.7662792	0
54	AL139287.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
55	CPTP	0.0817306	0.058716044	-0.47030243	0.7428099	0
56	TAS1R3	0.0017553734	0.002601171	0.38621813	0.10369894	0
57	DVL1	0.08216824	0.06470135	-0.34010968	0.4997539	0
58	MXRA8	0.2124949	0.15180129	-0.4825448	1.6162349	0
59	AURKAIP1	0.81372523	0.7281884	-0.16002199	1.2398475	0
60	CCNL2	0.45563245	0.39393184	-0.20942977	0.9715772	0
61	MRPL20-AS1	0.03880793	0.02949138	-0.38465425	0.36273372	0
62	MRPL20	0.7265963	0.6881768	-0.078264005	0.39762208	0
63	AL391244.2	0.0032917843	0.00517437	0.52471435	0.1777882	0
64	ANKRD65	0.007530641	0.0029826853	-1.0989126	0.45097923	0
65	AL391244.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
66	TMEM88B	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
67	LINC01770	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
68	VWA1	0.13375765	0.11026331	-0.27638924	0.50535935	0
69	ATAD3C	0.0030460176	0.0028918413	-0.056049764	0.0150127895	0
70	ATAD3B	0.03486378	0.024837248	-0.47307506	0.4591039	0
71	ATAD3A	0.075839184	0.056003153	-0.43080056	0.6489219	0
72	TMEM240	0.08896842	0.08919956	0.0037016452	0.0040958277	0
73	SSU72	0.61084235	0.6249192	0.032816403	0.12460242	0
74	AL645728.1	0.018785752	0.020220682	0.10100906	0.05564705	0
75	FNDC10	0.04594275	0.030177359	-0.59040356	0.66390425	0
76	AL691432.4	0.0013031281	0.0017023064	0.2305966	0.06939288	0
77	AL691432.2	0.048614018	0.032409083	-0.57050747	0.6717566	0
78	MIB2	0.11405158	0.090877235	-0.3245014	0.6123952	0
79	MMP23B	0.09138988	0.04221864	-1.0960813	2.576128	0
80	CDK11B	0.20366174	0.18406859	-0.14518136	0.31880838	0
81	FO704657.1	0.0031427694	0.0026669796	-0.17600329	0.050111532	0
82	SLC35E2B	0.09278245	0.14005448	0.5888626	1.4125941	0
83	CDK11A	0.1532817	0.22043297	0.52130306	1.7595751	0
84	SLC35E2A	0.058624938	0.022723086	-1.3296242	2.5609326	0
85	NADK	0.09925533	0.11743949	0.24047124	0.40690845	0
86	GNB1	0.74870163	0.7750261	0.049788572	0.24596408	0
87	AL109917.1	0.0026914543	-4.5401976e-09	-1.8841957	0.8026104	0
88	CALML6	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
89	TMEM52	0.0017404758	0.0016852404	-0.02937509	0.007970715	0
90	CFAP74	0.002837814	0.0027752281	-0.023720914	0.0063741147	0
91	AL391845.2	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
92	GABRD	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
93	AL391845.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
94	PRKCZ	0.001984315	0.003337366	0.5394194	0.13811769	0
95	AL590822.2	-8.032657e-09	0.0017942748	1.4824855	0.4977401	0
96	PRKCZ-AS1	0.012256235	-4.5401976e-09	-3.7286057	2.2965796	0
97	FAAP20	0.7670851	0.5656649	-0.43877032	5.3645706	0
98	AL590822.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
99	SKI	0.21387406	0.17989396	-0.24834715	0.6477588	0
100	AL590822.3	0.004766145	0.008975789	0.7908238	0.31778312	0
101	MORN1	0.018184919	0.008853442	-0.961273	0.7523078	0
102	AL589739.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
103	AL513477.2	-8.032657e-09	0.0053087086	2.6573563	0.7762863	0
104	RER1	0.4038076	0.4680982	0.21265356	1.0406717	0
105	PEX10	0.04364329	0.058408063	0.4122155	0.4800069	0
106	PLCH2	0.0017580186	-4.5401976e-09	-1.4636387	0.49807787	0
107	AL139246.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
108	AL139246.4	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
109	PANK4	0.020957114	0.035468712	0.7319707	0.72297615	0
110	HES5	0.02087258	0.0436206	1.0285865	0.9217999	0
111	AL139246.5	0.019823238	0.031248001	0.63101524	0.479884	0
112	TNFRSF14-AS1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
113	TNFRSF14	0.010647755	0.0033241808	-1.4295532	0.7805191	0
114	AL139246.3	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
115	PRXL2B	0.069747224	0.08837927	0.33726677	0.47775126	0
116	MMEL1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
117	AL831784.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
118	TTC34	0.001675221	0.0021286742	0.22589332	0.061935235	0
119	AC242022.2	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
120	AC242022.1	-8.032657e-09	-4.5401976e-09	4.987488e-06	19.719156	0
