	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
18	FAM41C	-4.5401976e-09	0.0065810275	2.9224	8.757187	1
23	SAMD11	0.2415713	0.08729632	-1.4579836	7.2790494	1
168	KCNAB2	-4.5401976e-09	0.007573338	3.0998635	10.043687	1
245	RBP7	0.018147651	0.062337358	1.7258892	7.8892207	1
339	KAZN	0.28295845	0.124140635	-1.1821295	8.097261	1
482	ALPL	-4.5401976e-09	0.004980998	2.5803928	8.050832	1
517	TCEA3	0.11157679	0.028217075	-1.9460257	5.700066	1
728	TSSK3	-4.5401976e-09	0.004653752	2.4992151	6.4064245	1
731	ZBTB8B	-4.5401976e-09	0.006110004	2.8298569	7.670298	1
808	GRIK3	-4.5401976e-09	0.0056659826	2.736824	7.0085034	1
822	MANEAL	-4.5401976e-09	0.004027172	2.3297536	5.50099	1
905	HIVEP3	0.006925036	0.031716783	2.0455413	6.8680553	1
930	SLC2A1	0.12088348	0.016703673	-2.783382	7.2649646	1
972	ARMH1	-4.5401976e-09	0.0041404553	2.3619027	5.9518323	1
999	AL604028.1	-4.5401976e-09	0.005621257	2.7271116	7.501232	1
1001	PIK3R3	0.04121439	0.12234938	1.5469438	11.898387	1
1149	DHCR24	0.058512297	0.13588256	1.201679	7.7116904	1
1201	NFIA-AS2	-4.5401976e-09	0.0039844746	2.317448	5.27887	1
1240	AK4	0.122984625	0.020013848	-2.5607488	7.246305	1
1251	TCTEX1D1	-4.5401976e-09	0.012029329	3.7036974	17.383608	1
1268	RPE65	-4.5401976e-09	0.0035084933	2.172652	5.0951157	1
1292	PTGER3	-4.5401976e-09	0.006364553	2.8806045	9.121474	1
1355	ADGRL4	0.0020031617	0.039309483	3.746565	28.23842	1
1405	CCN1	0.20718941	0.42392305	1.029305	14.432478	1
1408	COL24A1	0.0070205983	0.045658175	2.540348	13.352452	1
1481	CCDC18-AS1	0.34292006	0.16769212	-1.0276805	8.223278	1
1559	S1PR1	-4.5401976e-09	0.007138123	3.0247025	9.709795	1
1581	VAV3	0.086543314	0.18715031	1.1038169	9.1151	1
1585	AL359258.2	-4.5401976e-09	0.007136248	3.0243702	9.168393	1
1597	AKNAD1	-4.5401976e-09	0.005497207	2.6998262	7.1000667	1
1617	AMIGO1	-4.5401976e-09	0.0040532458	2.3372169	5.3151016	1
1640	ALX3	-4.5401976e-09	0.0036674999	2.2226565	5.310664	1
1663	AL360270.2	-4.5401976e-09	0.0042785583	2.4001505	5.7144995	1
