	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
1	FAM138A	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
2	OR4F5	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
3	AL627309.1	-4.5401976e-09	0.0012323222	1.1585518	2.046572	0
4	AL627309.3	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
5	AL627309.2	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
6	AL627309.5	0.019488972	0.013230614	-0.5258496	0.38774955	0
7	AL627309.4	0.0028716181	0.0014766507	-0.6445462	0.19802904	0
8	AP006222.2	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
9	AL732372.1	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
10	OR4F29	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
11	AC114498.1	-4.5401976e-09	0.00024637836	0.31774864	0.4985845	0
12	OR4F16	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
13	AL669831.2	0.004132291	0.0011871349	-1.2305608	0.31953514	0
14	LINC01409	0.048228536	0.029884772	-0.6725991	0.8558167	0
15	FAM87B	-4.5401976e-09	0.000824486	0.8674966	1.3328799	0
16	LINC01128	0.08291741	0.062202882	-0.40897983	0.7196795	0
17	LINC00115	0.012415893	0.010340381	-0.24247397	0.12789102	0
18	FAM41C	-4.5401976e-09	0.0065810275	2.9224	8.757187	1
19	AL645608.6	-4.5401976e-09	0.0001960115	0.25823778	0.49854544	0
20	AL645608.2	0.0044837194	0.0018482051	-0.9451018	0.37503177	0
21	AL645608.4	-4.5401976e-09	0.00010679406	0.1463934	0.49831837	0
22	LINC02593	0.027498165	0.022833632	-0.25787017	0.22653136	0
23	SAMD11	0.2415713	0.08729632	-1.4579836	7.2790494	1
24	NOC2L	0.14938703	0.16994788	0.1848764	0.48762393	0
25	KLHL17	0.02357151	0.01490961	-0.62708807	0.5394614	0
26	PLEKHN1	0.0030729226	0.0010678071	-0.9779628	0.28561285	0
27	PERM1	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
28	AL645608.7	0.0116053	0.014706345	0.3173171	0.21491194	0
29	HES4	1.2405826	0.9031593	-0.45753145	13.476024	0
30	ISG15	0.19149828	0.19788335	0.04707697	0.106778085	0
31	AL645608.1	-4.5401976e-09	9.462517e-05	0.13044347	0.4982249	0
32	AGRN	0.21568821	0.22599646	0.0670491	0.17097335	0
33	AL645608.5	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
34	AL645608.8	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
35	RNF223	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
36	C1orf159	0.008115125	0.02220713	1.3482338	2.2000592	0
37	AL390719.3	-4.5401976e-09	0.0005486483	0.631016	1.0783713	0
38	LINC01342	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
39	AL390719.2	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
40	TTLL10-AS1	-4.5401976e-09	0.00014327047	0.19317324	0.49837482	0
41	TTLL10	-4.5401976e-09	-4.7963113e-08	-6.268904e-05	43.40631	0
42	TNFRSF18	0.008383467	0.002483943	-1.4294	0.4903754	0
43	TNFRSF4	0.00757966	0.0027436963	-1.196457	0.42913032	0
44	SDF4	0.4557808	0.41065678	-0.15006009	0.79596275	0
45	B3GALT6	0.1251404	0.15077542	0.26690775	0.7353218	0
46	C1QTNF12	0.03596148	0.01145956	-1.5687692	1.689984	0
47	AL162741.1	-4.5401976e-09	0.00016310997	0.21799408	0.4984683	0
48	UBE2J2	0.33325908	0.22724639	-0.5503746	3.6425622	0
49	LINC01786	-4.5401976e-09	0.0010992171	1.0698578	1.7873989	0
50	SCNN1D	0.008334325	0.0020168484	-1.6295034	0.7055925	0
51	ACAP3	0.117910676	0.08974183	-0.39003855	0.8963434	0
52	PUSL1	0.07776174	0.06916082	-0.16682933	0.24312897	0
