	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
180	ESPN	0.09490494	0.004724614	-4.0663548	8.83844	1
374	HSPB7	0.23948888	0.07910643	-1.5859803	9.831908	1
570	MAN1C1	0.09991263	0.023779076	-2.0259125	6.0978203	1
767	GJA4	0.0035433029	0.06243303	3.8034208	6.79303	1
854	HEYL	0.07424462	0.24913199	1.7330292	12.93981	1
875	COL9A2	0.14276865	0.02542596	-2.4437213	8.771792	1
1403	AC092807.3	0.012928252	0.07727721	2.4905782	6.8579726	1
1432	GBP1	0.018750032	0.1348105	2.7816682	12.982358	1
1844	ITGA10	0.12353517	0.036762796	-1.7215158	5.70993	1
2354	OLFML2B	-4.307367e-09	0.050861843	5.6966076	7.147444	1
2766	PCAT6	0.15843904	0.047275417	-1.7236444	8.944856	1
2783	FMOD	0.089490406	0.014564472	-2.5395083	5.733422	1
4021	EFEMP1	0.017604789	0.08883913	2.2716699	6.5881443	1
4692	MIR4435-2HG	0.1372665	0.4021547	1.5438819	18.45489	1
4696	AC108463.3	0.018113073	0.08284849	2.133225	6.585934	1
5198	HOXD-AS2	0.0021848148	0.03398591	3.4574926	5.1130595	1
5260	ITGA4	0.13697119	0.5270181	1.9362202	34.1173	1
5660	INHA	0.07079401	0.011067098	-2.5727847	5.1273837	1
5852	RAMP1	0.16987251	0.045554183	-1.8759377	8.126947	1
6420	PFKFB4	0.17925549	0.05600992	-1.6607584	8.092892	1
6824	COL8A1	0.11383667	0.3357451	1.5520735	11.838631	1
7029	SEMA5B	0.037769582	0.1582202	2.0380263	9.812197	1
7037	MYLK	0.07014521	0.2345306	1.7270759	8.558684	1
7139	TRH	0.085556194	0.009800186	-3.002581	5.283901	1
8098	SLIT2	0.11234198	0.40722907	1.8486966	20.570053	1
8107	KCNIP4-IT1	-4.307367e-09	0.038973127	5.3209643	5.3902907	1
8457	ADAMTS3	0.18478481	0.05227569	-1.8020834	7.566198	1
8585	ARHGAP24	0.04611173	0.15177388	1.6972399	8.527442	1
8800	ARSJ	0.016326921	0.16156812	3.229957	15.817429	1
9027	EDNRA	0.112478994	0.3593797	1.6670924	17.309011	1
9110	GUCY1A1	0.079182126	0.24413994	1.612253	11.039495	1
9225	LINC02269	0.21210764	0.058292802	-1.8456534	7.39037	1
9324	ANKRD37	0.4449717	0.12672296	-1.8039342	19.404053	1
10176	NR2F1	0.07191876	0.24970238	1.7816137	10.854448	1
10306	KCNN2	0.09733296	0.025483327	-1.8925906	5.002021	1
10755	C5orf46	-4.307367e-09	0.046434876	5.5678825	7.573429	1
12039	ADGRF5	0.0028448952	0.061500903	4.0228605	7.2243776	1
13240	RAPGEF5	0.021872284	0.10764525	2.247953	8.088937	1
13364	AQP1	0.5791533	0.18640587	-1.630268	16.732283	1
13791	CD36	0.0030501261	0.082015835	4.357348	5.1917872	1
14236	HILPDA	0.58308613	0.20301096	-1.5175345	20.081514	1
15027	STC1	0.31712857	0.107044816	-1.55798	11.554433	1
15065	CLU	0.15865932	0.050601766	-1.6295046	5.97536	1
15459	AC083967.1	0.0063303523	0.22281565	4.9322844	12.834612	1
15552	TPD52	0.17960261	0.03906376	-2.172449	10.682457	1
15874	CCN3	0.09230881	0.02217382	-2.0095174	5.2234693	1
16007	NDRG1	0.36605984	0.10374804	-1.809092	15.091811	1
16715	GNA14	0.01009405	0.06577904	2.5896091	6.636305	1
16829	ASPN	0.12529609	0.03741482	-1.7170752	5.2196946	1
17217	SH2D3C	0.013172143	0.098598726	2.8130693	9.076573	1
17316	ASS1	0.11469658	0.030064369	-1.8970135	6.247698	1
17395	OLFM1	0.14520359	0.03774335	-1.9159582	6.90552	1
17462	PTGDS	0.6557873	0.20859039	-1.6478536	17.88096	1
17500	NRARP	0.020827854	0.13159133	2.6027443	9.9394865	1
17630	GATA3	0.010552627	0.1294345	3.4970326	9.148485	1
18130	TSPAN15	0.0514113	0.18115646	1.7972285	10.209416	1
18157	UNC5B-AS1	0.3657191	0.065915816	-2.4542563	16.092825	1
19245	ADM	0.2446	0.047431655	-2.3422885	14.475026	1
20317	LRRC32	0.051534172	0.16893825	1.6936827	9.155816	1
20393	SYTL2	0.0060136826	0.05173297	2.9104612	5.665383	1
20540	GRIA4	0.012310577	0.11190925	3.0845187	10.264225	1
20549	GUCY1A2	0.086406186	0.24723703	1.505911	11.422366	1
20682	TAGLN	0.6361123	1.8052399	1.5033702	42.511047	1
20752	MCAM	0.094647944	0.42112944	2.1418796	21.617798	1
20840	ESAM	0.065927744	0.21546456	1.6934545	9.637299	1
21795	AMHR2	0.13021642	0.02915262	-2.121593	8.432499	1
21820	HOXC9	0.0019571087	0.045344967	3.9701533	5.6663337	1
23568	EFNB2	0.11358987	0.46142676	2.0127454	24.832796	1
24294	LINC00520	0.19433177	0.056138102	-1.7734016	7.436038	1
24365	HIF1A-AS3	0.08224414	0.019674785	-2.0094764	5.2976418	1
24426	ARG2	0.500195	0.16132894	-1.6264517	19.233744	1
24866	MEG3	0.0010651114	0.2673622	7.021818	15.905743	1
24869	MEG8	0.0035199062	0.099284925	4.4716682	9.391564	1
26220	ACAN	-4.307367e-09	0.089550205	6.5006523	7.6368194	1
26253	SEMA4B	0.30119878	0.097237654	-1.6211498	12.795148	1
26342	NR2F2	0.20521624	0.5870437	1.5117654	26.937996	1
