	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
1	FAM138A	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
2	OR4F5	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
3	AL627309.1	0.00368834	0.0024132873	-0.45791548	0.14271908	0
4	AL627309.3	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
5	AL627309.2	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
6	AL627309.5	0.054292914	0.036666874	-0.5537984	0.64758915	0
7	AL627309.4	0.006234202	0.0050715487	-0.25276932	0.085823044	0
8	AP006222.2	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
9	AL732372.1	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
10	OR4F29	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
11	AC114498.1	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
12	OR4F16	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
13	AL669831.2	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
14	LINC01409	0.056494564	0.06287607	0.15185007	0.14815103	0
15	FAM87B	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
16	LINC01128	0.08745794	0.080306046	-0.121629	0.14403059	0
17	LINC00115	0.016203646	0.007411803	-1.0322273	0.68885237	0
18	FAM41C	0.006097264	0.0070527857	0.1822249	0.05761787	0
19	AL645608.6	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
20	AL645608.2	0.0011801542	0.012637202	2.6450455	1.1174135	0
21	AL645608.4	0.001841216	-1.9790605e-09	-1.5065113	0.4977101	0
22	LINC02593	0.008436002	-1.9790605e-09	-3.2381785	1.3057714	0
23	SAMD11	0.06973694	0.06335638	-0.13638075	0.14758341	0
24	NOC2L	0.23897934	0.19176659	-0.31605524	0.9324149	0
25	KLHL17	0.026258029	0.014324815	-0.83081156	0.6791267	0
26	PLEKHN1	0.0036445586	0.0046192477	0.27483553	0.08265358	0
27	PERM1	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
28	AL645608.7	0.0016474914	0.011898351	2.2844887	0.98517674	0
29	HES4	0.47524282	0.4084769	-0.21791531	0.9197286	0
30	ISG15	0.259348	0.15927482	-0.69989353	2.8544903	0
31	AL645608.1	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
32	AGRN	0.12897335	0.15980235	0.30707264	0.64691246	0
33	AL645608.5	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
34	AL645608.8	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
35	RNF223	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
36	C1orf159	0.016428512	0.019046588	0.20190734	0.10814725	0
37	AL390719.3	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
38	LINC01342	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
39	AL390719.2	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
40	TTLL10-AS1	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
41	TTLL10	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
42	TNFRSF18	0.0067236214	0.013889177	0.9469147	0.3690134	0
43	TNFRSF4	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
44	SDF4	0.959409	0.7656497	-0.3250815	4.2404385	0
45	B3GALT6	0.17095092	0.17564036	0.038818207	0.0644725	0
46	C1QTNF12	0.013114254	0.014893031	0.1712414	0.08297528	0
47	AL162741.1	0.0017196973	-1.9790605e-09	-1.4434489	0.49771115	0
48	UBE2J2	0.31337628	0.2103565	-0.57281375	2.779039	0
49	LINC01786	0.0013014496	-1.9790605e-09	-1.2025456	0.49769896	0
50	SCNN1D	0.00033167924	0.009484384	2.9769235	1.0100437	0
51	ACAP3	0.09013429	0.10105128	0.1632283	0.21845616	0
52	PUSL1	0.1327884	0.12355489	-0.103171416	0.15442511	0
53	INTS11	0.22659603	0.15928069	-0.5058748	1.7733626	0
54	AL139287.1	0.0015760405	-1.9790605e-09	-1.3651581	0.49770862	0
55	CPTP	0.09648511	0.054928448	-0.8015996	1.6794963	0
56	TAS1R3	0.0017759831	-1.9790605e-09	-1.4730016	0.49770525	0
57	DVL1	0.07272099	0.08609379	0.24049439	0.3034557	0
58	MXRA8	0.19041905	0.18901323	-0.01063452	0.016928855	0
59	AURKAIP1	0.8867197	0.65436304	-0.43780988	6.1178017	0
60	CCNL2	0.31055	0.29566133	-0.07064686	0.17879085	0
61	MRPL20-AS1	0.033595487	0.04492741	0.40877157	0.38739824	0
62	MRPL20	0.79056	0.75893414	-0.058824304	0.2954428	0
63	AL391244.2	0.0028941366	0.009342009	1.4091411	0.45391276	0
64	ANKRD65	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
65	AL391244.1	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
66	TMEM88B	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
67	LINC01770	-4.307367e-09	-1.9790605e-09	3.439649e-06	20.032381	0
68	VWA1	0.19352622	0.1045145	-0.88252336	3.4809432	0
69	ATAD3C	-4.307367e-09	0.003985745	2.3178153	0.4974974	0
70	ATAD3B	0.03996785	0.027000772	-0.54902554	0.53209573	0
