	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
30	ISG15	0.3202926	0.15927482	-1.0033399	7.011946	1
173	ICMT	0.20392695	0.07298552	-1.4697948	8.528366	1
180	ESPN	0.004778	0.083280966	3.8665648	5.36408	1
211	ERRFI1	0.32366	0.14789446	-1.1246395	7.5759706	1
367	FBLIM1	0.50589865	0.17015593	-1.566386	23.414968	1
374	HSPB7	0.078730695	0.34434077	2.1148133	12.868572	1
416	RCC2	0.22258493	0.1088786	-1.0249126	5.33445	1
464	CAMK2N1	0.2767795	0.10420251	-1.400771	8.2519455	1
774	SFPQ	1.1047883	0.5106636	-1.1118077	34.26374	1
854	HEYL	0.2506925	0.07558945	-1.7164445	10.687416	1
896	CTPS1	0.120300256	0.03818309	-1.6302797	5.7166533	1
930	SLC2A1	0.29507467	0.7900269	1.4177657	20.943863	1
943	ELOVL1	0.36197773	0.14349078	-1.3289036	12.665875	1
1052	BEND5	0.07105589	0.24431196	1.7674294	8.2126465	1
1096	COA7	0.08345287	0.021950092	-1.8796467	5.3450947	1
1149	DHCR24	0.15688336	0.04373995	-1.8192236	9.575526	1
1247	PDE4B	0.09148576	0.23879026	1.3744699	5.95733	1
1345	NEXN	0.3177645	0.07627043	-2.0445025	17.00017	1
1401	DDAH1	0.089181446	0.0110795945	-2.9002585	8.624268	1
1403	AC092807.3	0.07751014	0.01281611	-2.5065277	5.972952	1
1405	CCN1	0.91475433	0.22647862	-2.0092297	43.70734	1
1423	LMO4	0.45057586	1.0768269	1.2550853	25.676636	1
1432	GBP1	0.13507922	0.03855298	-1.7825885	7.0550985	1
1481	CCDC18-AS1	0.18589494	0.3873438	1.0551068	7.4238257	1
1568	RNPC3	0.14498177	0.32259682	1.1484091	6.8434825	1
1822	LINC02802	0.43297794	0.18825638	-1.1972797	13.017902	1
1844	ITGA10	0.0371782	0.18476284	2.282641	7.659656	1
1872	GJA5	0.10698293	0.0050351666	-4.161266	11.669382	1
2068	S100A4	0.678931	0.29840988	-1.1832665	13.31917	1
2069	S100A3	0.085329376	0.019649075	-2.0637743	6.044182	1
2150	FDPS	0.8031027	0.36114898	-1.1507964	25.03412	1
2279	TAGLN2	1.2607304	0.60338765	-1.0618577	34.881027	1
2416	RCSD1	0.24676897	0.11786737	-1.0596427	5.806744	1
2422	GPR161	0.18861696	0.082719	-1.1794611	5.472829	1
2670	RGS2	0.13603802	0.36265683	1.4080014	8.333873	1
2693	ASPM	0.19240053	0.051210128	-1.8891902	5.3059154	1
2737	TNNI1	0.18134499	0.5769449	1.6642613	15.685322	1
2740	CSRP1	0.40728268	0.10500464	-1.9454409	21.722248	1
2766	PCAT6	0.04716934	0.19953738	2.0576842	8.371942	1
2838	RAB7B	0.1346402	0.043718494	-1.6008414	6.210485	1
2899	G0S2	0.14035428	0.3209263	1.1874149	6.207726	1
2916	TRAF5	0.26331958	0.09008502	-1.5369974	11.5264845	1
2971	CENPF	0.3081048	0.1085618	-1.4963512	5.6410694	1
3066	LBR	0.35594738	0.17565185	-1.0148025	8.808158	1
3463	ADI1	0.44290245	0.14860341	-1.5690995	20.950718	1
3520	ASAP2	0.2129607	0.09234278	-1.1967355	6.9200554	1
3614	KCNS3	0.15083596	0.050876744	-1.5493538	6.6410418	1
3638	RHOB	0.4911443	0.2088841	-1.2294885	15.103744	1
3675	TP53I3	0.4594072	0.19738302	-1.2146219	14.976677	1
3796	EHD3	0.2747824	0.09105993	-1.5828849	11.658316	1
3833	CRIM1	0.18737113	0.05545461	-1.7384146	8.878588	1
3898	EML4	0.3781913	0.1537969	-1.2925493	12.804027	1
3940	EPAS1	0.39499307	0.18753892	-1.0706127	9.687935	1
4021	EFEMP1	0.08728616	0.0068464736	-3.492071	8.712247	1
4217	ACTG2	0.075668395	-1.9790605e-09	-6.260563	6.403651	1
4257	HK2	0.06435877	0.20449972	1.6526836	6.35638	1
4361	CYTOR	0.6740939	0.15688828	-2.096184	37.607166	1
4587	IL1R1	0.3823162	0.16715522	-1.1887413	10.372423	1
4647	ST6GAL2	0.1437095	0.05580937	-1.3489588	5.0802584	1
4692	MIR4435-2HG	0.404312	0.12893826	-1.6412066	16.848692	1
4696	AC108463.3	0.08314436	0.0126359	-2.6254566	7.6253705	1
4712	ZC3H6	0.10878366	0.2700964	1.3041424	6.8107243	1
4714	TTL	0.29096958	0.11956788	-1.2759724	9.823036	1
4771	INSIG2	0.19542737	0.48328024	1.3018461	11.952698	1
5052	TANC1	0.28280503	0.11873522	-1.2450525	9.241197	1
5105	SCN9A	0.11159115	0.030963896	-1.8165783	6.23009	1
5260	ITGA4	0.5275108	0.14886448	-1.8182745	27.86219	1
5327	NAB1	0.22561294	0.10491168	-1.0973686	5.8124256	1
5361	HECW2	0.68864167	0.24714746	-1.4746492	23.178589	1
5420	TRAK2	0.20432913	0.09951733	-1.030494	5.2217135	1
5469	ADAM23	0.2267771	0.073178284	-1.618554	10.457757	1
5591	GPBAR1	0.12522861	0.041633435	-1.565982	5.400709	1
5642	PTPRN	0.05275852	0.20203291	1.9171484	7.0980997	1
5753	PSMD1	0.8185841	0.39650762	-1.0439094	22.880812	1
5770	DIS3L2	0.12720835	0.036090348	-1.7893746	7.4689236	1
5852	RAMP1	0.046068918	0.20538686	2.1325047	6.99147	1
6000	LMCD1	0.15708569	0.055201344	-1.4920303	6.2878165	1
6022	CAMK1	0.0975822	0.025706293	-1.8841475	6.0840774	1
6125	RFTN1	0.123796105	0.04010554	-1.6021682	6.373946	1
6243	ITGA9	0.22080593	0.07731552	-1.5019279	8.546036	1
6330	ANO10	0.15489282	0.057484515	-1.4144279	6.6730514	1
6420	PFKFB4	0.0566428	0.23556924	2.0370502	9.814103	1
6470	IP6K1	0.16748083	0.06860046	-1.2754155	5.674945	1
6740	ROBO2	0.16030127	0.036436293	-2.1072483	10.925514	1
6788	MTRNR2L12	0.473476	0.22462727	-1.0723935	12.393208	1
6818	DCBLD2	0.48085687	0.17799085	-1.4287187	16.234251	1
6824	COL8A1	0.3395388	0.058916565	-2.5067923	18.012625	1
6827	FILIP1L	0.3752549	0.03868485	-3.2450502	30.090124	1
6833	TMEM45A	0.27652326	0.59539217	1.1036526	12.996254	1
6896	PHLDB2	0.29588547	0.046795003	-2.6349747	24.064346	1
7017	FAM162A	0.7229564	1.8636765	1.3649507	44.55244	1
7025	PARP14	0.2781397	0.11344492	-1.2863339	9.886979	1
7029	SEMA5B	0.16000803	0.053771384	-1.5556384	6.2633066	1
7037	MYLK	0.23718067	0.039309423	-2.5628674	12.276559	1
7042	KALRN	0.18170272	0.06899031	-1.3842709	7.004221	1
7048	HEG1	0.35509175	0.17513111	-1.0155991	8.872586	1
7094	PODXL2	0.043523703	0.14141497	1.6774553	5.1033945	1
7183	AMOTL2	0.08909245	0.02098126	-2.0351322	6.4325233	1
7288	PLSCR4	0.18191193	0.04882249	-1.8762802	9.507791	1
7418	PTX3	0.19408715	0.040768895	-2.2236178	8.645385	1
7446	SMC4	0.42922947	0.16608793	-1.3644989	13.35123	1
7477	SERPINI1	0.029762203	0.2942726	3.2628167	13.067902	1
7576	USP13	0.0980079	0.03028969	-1.6618564	5.2635064	1
7612	B3GNT5	0.08811741	0.016615748	-2.3388417	7.1936083	1
7791	TFRC	0.12533385	0.31572965	1.3260107	8.110321	1
7795	PCYT1A	0.32724828	0.13638543	-1.2565584	10.67465	1
7885	MAEA	0.24243274	0.1112867	-1.1163362	6.797158	1
7900	NSD2	0.17650212	0.0671341	-1.3813875	6.3670077	1
8031	WDR1	0.6125332	0.2883276	-1.0844375	18.014383	1
8098	SLIT2	0.4060381	0.10868881	-1.8917474	18.722494	1
8462	ALB	0.114050895	0.0087563135	-3.5597923	10.753967	1
8505	NAAA	0.1125034	0.037862644	-1.5462798	5.8108597	1
8525	CCNG2	0.20636861	0.4495955	1.1196353	9.9613905	1
8585	ARHGAP24	0.14727908	0.032713093	-2.1369343	9.739679	1
8800	ARSJ	0.1625974	0.018743804	-3.050678	13.840149	1
8871	ANKRD50	0.4453279	0.19251934	-1.2056262	13.066282	1
9110	GUCY1A1	0.24689859	0.082313	-1.5731366	9.293821	1
9183	PALLD	0.76254815	0.31246296	-1.2844242	25.530993	1
9216	AC097534.2	0.06672146	0.1913054	1.5057142	5.558951	1
9217	SAP30	0.25187916	0.54053855	1.0986159	11.574144	1
9218	SCRG1	0.23515783	0.6055458	1.3608651	14.575134	1
9224	HAND2-AS1	0.20113403	0.4248741	1.0751148	8.171801	1
9225	LINC02269	0.058951486	0.22625835	1.922466	5.999376	1
9324	ANKRD37	0.1241941	0.5653538	2.177537	22.906275	1
9329	PDLIM3	1.2302979	0.6046248	-1.0236838	26.962267	1
9657	NPR3	0.07081262	0.2251929	1.6552444	5.0355406	1
9666	ADAMTS12	0.21572888	0.10180514	-1.075979	5.7722516	1
9674	RAI14	0.60989773	0.23568913	-1.3679373	23.968203	1
9746	OXCT1	0.1369802	0.033533197	-1.9984056	8.719518	1
9768	HMGCS1	0.45718658	0.1896547	-1.2649732	14.420181	1
10024	HMGCR	0.38485762	0.15519862	-1.3046868	12.7928295	1
10136	TMEM161B-AS1	0.21190077	0.44059625	1.0525466	8.613046	1
10164	ARRDC3	0.20893405	0.63120544	1.5904572	20.006155	1
10176	NR2F1	0.2468105	0.09104704	-1.428794	6.896134	1
10283	CAMK4	0.09185707	0.024697123	-1.8534049	5.5242114	1
10291	EPB41L4A-AS1	0.2891416	0.6902096	1.2523662	17.58077	1
10304	YTHDC2	0.23796518	0.115890905	-1.0316378	5.6606393	1
10461	SEPTIN8	0.21349871	0.09673475	-1.1340256	6.2136836	1
10526	TGFBI	0.61089694	0.2571664	-1.2449876	13.981874	1
10557	EGR1	0.43523648	0.9752855	1.1621926	21.764326	1
10597	HBEGF	0.2059899	0.058911487	-1.7886559	9.525206	1
10699	PCDH1	0.05556247	0.006831998	-2.8523927	5.566588	1
10748	DPYSL3	0.48389566	0.10568778	-2.1842792	30.797073	1
10784	CARMN	0.5674206	0.21459337	-1.398646	17.537968	1
10806	SYNPO	0.45026052	0.21603136	-1.056057	10.882382	1
10813	SMIM3	0.20109096	0.508285	1.3334683	12.781701	1
10876	ADAM19	0.1581508	0.045484092	-1.7755855	8.360694	1
11089	PDLIM7	0.73432386	0.31077358	-1.2378812	24.901604	1
11112	HNRNPAB	0.958758	0.45860812	-1.0622663	26.560545	1
11238	TUBB2A	0.49158394	0.15767846	-1.6342634	22.763742	1
11240	TUBB2B	0.2181823	0.09980151	-1.120614	5.756434	1
11298	AL031058.1	0.112902395	0.040365256	-1.4613067	5.07685	1
11299	DSP	0.58631	0.20075053	-1.5415497	22.708048	1
11347	EDN1	0.2906999	0.021800993	-3.6773162	16.472265	1
11447	RIPOR2	0.1580601	0.3758331	1.2443535	7.588408	1
11714	VARS	0.16355799	0.07525044	-1.1097785	5.078462	1
11794	DAXX	0.22892442	0.112097986	-1.0235865	5.76834	1
11949	UBR2	0.24172187	0.11579424	-1.0553349	6.162085	1
11997	VEGFA	0.42095315	1.3760208	1.7063956	44.55244	1
12204	COL12A1	0.14972717	0.04506651	-1.7101494	6.328113	1
12305	RRAGD	0.12606014	0.32003817	1.3372332	8.053023	1
12309	MDN1	0.1481193	0.059968937	-1.2903208	5.0207267	1
12484	DSE	0.29019713	0.14104506	-1.0356474	7.020311	1
12490	CALHM5	0.04293935	0.003924665	-3.1574159	5.4669204	1
12522	PKIB	0.16800128	0.057486575	-1.5308568	6.361025	1
12544	HEY2	0.42617592	0.15629533	-1.4413545	15.255349	1
12551	RSPO3	0.09070561	0.2916227	1.6739596	6.3193316	1
12582	CCN2	0.85122097	0.1446808	-2.5484166	38.330864	1
12694	ADGRG6	0.1306101	0.045026667	-1.5157282	5.5009365	1
12794	SYNE1	0.44863155	0.2191698	-1.0301267	10.892828	1
12801	FBXO5	0.120273866	0.038909353	-1.60347	5.0807333	1
12835	SYNJ2	0.27895245	0.091434136	-1.598684	12.282204	1
