	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
1	FAM138A	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
2	OR4F5	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
3	AL627309.1	0.0028789137	0.0024132873	-0.18449083	0.0539284	0
4	AL627309.3	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
5	AL627309.2	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
6	AL627309.5	0.0266262	0.036666874	0.44725907	0.38989547	0
7	AL627309.4	0.0014098029	0.0050715487	1.3331493	0.46610856	0
8	AP006222.2	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
9	AL732372.1	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
10	OR4F29	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
11	AC114498.1	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
12	OR4F16	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
13	AL669831.2	0.0011522443	-1.9790605e-09	-1.1058446	0.4979041	0
14	LINC01409	0.03792977	0.06287607	0.7144018	0.9487251	0
15	FAM87B	0.00079549546	-1.9790605e-09	-0.84438485	0.4978961	0
16	LINC01128	0.0867025	0.080306046	-0.10925535	0.13654658	0
17	LINC00115	0.0077215135	0.007411803	-0.052163426	0.019372677	0
18	FAM41C	0.009606604	0.0070527857	-0.39740306	0.17520313	0
19	AL645608.6	0.0031908941	-1.9790605e-09	-2.067261	0.8027365	0
20	AL645608.2	0.002332435	0.012637202	2.032899	0.93329465	0
21	AL645608.4	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
22	LINC02593	0.0077976547	-1.9790605e-09	-3.1371217	1.7138654	0
23	SAMD11	0.08023821	0.06335638	-0.33607528	0.4632644	0
24	NOC2L	0.22815548	0.19176659	-0.2494718	0.67117417	0
25	KLHL17	0.03011423	0.014324815	-1.0217048	1.0349026	0
26	PLEKHN1	0.0076895533	0.0046192477	-0.62890494	0.26311573	0
27	PERM1	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
28	AL645608.7	0.029851034	0.011898351	-1.2581322	1.1782995	0
29	HES4	0.7764205	0.4084769	-0.9249131	15.7947645	0
30	ISG15	0.32037106	0.15927482	-1.0036922	7.045352	0
31	AL645608.1	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
32	AGRN	0.17049496	0.15980235	-0.09287773	0.1705693	0
33	AL645608.5	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
34	AL645608.8	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
35	RNF223	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
36	C1orf159	0.02577051	0.019046588	-0.41728786	0.30974466	0
37	AL390719.3	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
38	LINC01342	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
39	AL390719.2	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
40	TTLL10-AS1	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
41	TTLL10	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
42	TNFRSF18	0.0014021188	0.013889177	2.6318846	0.88494587	0
43	TNFRSF4	0.0030902163	-1.9790605e-09	-2.03218	0.8019446	0
44	SDF4	0.85581726	0.7656497	-0.1604201	1.3313947	0
45	B3GALT6	0.21042746	0.17564036	-0.25934777	0.6753135	0
46	C1QTNF12	0.011733907	0.014893031	0.3197191	0.1686647	0
47	AL162741.1	0.0011914783	-1.9790605e-09	-1.1319072	0.49790075	0
48	UBE2J2	0.32978994	0.2103565	-0.6462368	3.8449621	0
49	LINC01786	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
50	SCNN1D	-6.2864274e-09	0.009484384	3.3901792	1.0673143	0
51	ACAP3	0.16218683	0.10105128	-0.6772304	2.1045923	0
52	PUSL1	0.1449949	0.12355489	-0.22913621	0.44833633	0
53	INTS11	0.20453446	0.15928069	-0.3587796	1.0691706	0
54	AL139287.1	0.0014099231	-1.9790605e-09	-1.2689899	0.49791515	0
55	CPTP	0.092689775	0.054928448	-0.74430937	1.7008843	0
56	TAS1R3	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
57	DVL1	0.07320065	0.08609379	0.23113796	0.30876827	0
58	MXRA8	0.12935543	0.18901323	0.54364914	1.5580937	0
59	AURKAIP1	1.0148319	0.65436304	-0.6322956	14.2038355	0
60	CCNL2	0.42515066	0.29566133	-0.5225467	3.7160187	0
61	MRPL20-AS1	0.050258193	0.04492741	-0.15842721	0.15120119	0
62	MRPL20	0.9054282	0.75893414	-0.2543183	2.849334	0
63	AL391244.2	0.005093437	0.009342009	0.76318836	0.25330368	0
64	ANKRD65	0.0007811616	-1.9790605e-09	-0.83282125	0.4978888	0
65	AL391244.1	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
66	TMEM88B	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
67	LINC01770	0.0012405586	-1.9790605e-09	-1.1638613	0.4978972	0
68	VWA1	0.12734228	0.1045145	-0.28255522	0.53400713	0
69	ATAD3C	0.004210682	0.003985745	-0.063663185	0.017514704	0
70	ATAD3B	0.056676622	0.027000772	-1.04252	1.640511	0
71	ATAD3A	0.15146556	0.068226375	-1.1390897	4.6424284	0
72	TMEM240	0.06819298	0.06658082	-0.03401188	0.033733606	0
73	SSU72	0.7893115	0.67274106	-0.23022722	1.9605136	0
74	AL645728.1	0.0142414775	0.011003437	-0.3445551	0.18766151	0
75	FNDC10	0.11599886	0.051505484	-1.1559545	3.8413985	0
76	AL691432.4	0.002225394	-1.9790605e-09	-1.689478	0.49790433	0
77	AL691432.2	0.021427693	0.037555043	0.78163826	0.68680394	0
78	MIB2	0.091199614	0.11963007	0.3877569	0.72575283	0
79	MMP23B	0.35339248	0.24901207	-0.50335026	2.6110027	0
80	CDK11B	0.21329848	0.13348892	-0.6721342	2.8817503	0
81	FO704657.1	0.0013739673	-1.9790605e-09	-1.2473029	0.49790716	0
82	SLC35E2B	0.103324674	0.12146264	0.23126133	0.38057005	0
83	CDK11A	0.1495579	0.10443411	-0.5139768	1.4230382	0
84	SLC35E2A	0.03410277	0.026804537	-0.3362646	0.29589805	0
85	NADK	0.13107939	0.10584709	-0.30585778	0.6065522	0
86	GNB1	1.0225329	0.7405463	-0.46494892	8.678889	0
87	AL109917.1	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
88	CALML6	-6.2864274e-09	-1.9790605e-09	6.191362e-06	42.058285	0
