	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
29	HES4	0.46430734	1.2140406	1.3847488	34.6043	1
142	SMIM1	0.19657412	0.043749087	-2.142464	6.719125	1
177	ACOT7	0.04320592	0.16557573	1.9138668	6.3520975	1
180	ESPN	0.14229551	-1.8626451e-09	-7.1628523	7.1948924	1
228	SPSB1	0.028391454	0.16529912	2.5003119	7.817408	1
280	MAD2L2	0.26555645	0.08929957	-1.56165	7.830528	1
291	PLOD1	1.4662297	0.48761362	-1.5863289	44.55244	1
367	FBLIM1	0.19550921	0.6349791	1.6943824	20.775663	1
403	MFAP2	1.3089321	0.4268706	-1.6142455	41.558563	1
470	DDOST	1.1429026	0.56662846	-1.0109454	24.202745	1
477	ECE1	0.8659554	0.30088046	-1.5219804	23.942614	1
531	FUCA1	0.1923147	0.025937099	-2.843285	8.667907	1
570	MAN1C1	0.1281571	0.007264939	-3.9659789	7.487583	1
631	IFI6	0.3602595	0.11772597	-1.6054	8.798287	1
655	SNHG3	0.13245553	0.2908794	1.1290132	5.101292	1
687	SDC3	0.46330258	0.09050978	-2.3430674	18.961279	1
697	TINAGL1	1.0477379e-09	0.17478444	7.457662	11.671515	1
767	GJA4	0.0020896583	0.16190334	5.720425	10.681204	1
854	HEYL	0.08160467	0.6473868	2.9725595	35.440647	1
871	RLF	0.46635163	0.22584857	-1.0427788	8.08515	1
875	COL9A2	0.195967	-1.8626451e-09	-7.621813	10.834338	1
905	HIVEP3	0.018310461	0.16872664	3.1357584	9.741068	1
922	P3H1	0.7823264	0.3774749	-1.049416	12.792884	1
930	SLC2A1	0.7099382	0.19989029	-1.8233165	17.15837	1
1052	BEND5	0.2655198	0.025435673	-3.3336847	12.743151	1
1094	GPX7	0.5492839	0.2642761	-1.0526816	8.642576	1
1149	DHCR24	0.03349881	0.19205587	2.4844	8.896578	1
1205	TM2D1	0.55683726	0.25800163	-1.1068832	10.755771	1
1209	KANK4	0.0108027775	0.09610309	3.0403907	5.024449	1
1230	PGM1	0.42991203	0.21054946	-1.0263983	6.5581193	1
1231	ROR1	0.024166737	0.1408457	2.4947324	6.869776	1
1240	AK4	0.55363715	0.058191504	-3.2280822	29.711107	1
1247	PDE4B	0.2806995	0.007038856	-5.131023	14.458138	1
1263	GADD45A	0.74007124	0.20866312	-1.821539	21.784908	1
1268	RPE65	1.0477379e-09	0.07856252	6.3140154	5.6225104	1
1336	PIGK	0.29915595	0.12634619	-1.2369565	6.004753	1
1345	NEXN	0.13128316	1.0527371	2.9938138	44.55244	1
1353	IFI44L	0.10026561	0.005213427	-4.0266113	5.663464	1
1365	ADGRL2	0.5211838	0.2507582	-1.052519	8.409342	1
1391	SSX2IP	0.1556497	0.043220796	-1.8247453	5.216139	1
1401	DDAH1	0.010253242	0.23648243	4.399408	15.461852	1
1403	AC092807.3	0.0040248567	0.3517047	6.1332345	22.322681	1
1405	CCN1	0.18700908	1.1715007	2.6407146	44.55244	1
1423	LMO4	1.1995467	0.25278333	-2.2420225	35.613358	1
1432	GBP1	0.010627912	0.43616945	5.2325287	26.474567	1
1433	GBP2	0.32503408	0.068142444	-2.2373793	10.315975	1
1436	GBP4	0.4799003	0.002110221	-7.272577	22.699957	1
1464	TGFBR3	0.12276337	0.011383957	-3.3210402	7.3760333	1
1484	BCAR3	0.18225193	0.051014148	-1.8168525	5.292798	1
1491	ARHGAP29	0.39719838	0.18101414	-1.1294369	5.681374	1
1568	RNPC3	0.37038046	0.07568318	-2.2759159	14.056342	1
1612	SORT1	0.08843052	0.2850445	1.6774004	8.97909	1
1708	SLC16A1	0.45202026	0.09488668	-2.240173	15.812924	1
1737	TSPAN2	0.017859137	0.13636275	2.8646553	6.92085	1
1741	NGF	0.020974308	0.2345521	3.4221566	11.954416	1
1752	ATP1A1	0.7918499	0.3912414	-1.015306	12.412759	1
1759	IGSF3	0.21185815	0.027499504	-2.9008834	11.24712	1
1844	ITGA10	0.21591754	0.0059848996	-4.9567637	10.436936	1
1853	TXNIP	1.6091897	0.39401117	-2.0272655	44.55244	1
1935	ECM1	0.78591007	0.10490364	-2.8934467	37.66692	1
2068	S100A4	0.33008358	1.1274539	1.7690803	23.34092	1
2072	S100A16	0.64782643	0.0748418	-3.0967674	29.52975	1
2080	NPR1	0.2553017	0.015855813	-3.9265249	11.779798	1
2084	SLC27A3	0.6467449	0.054413263	-3.5471225	24.181835	1
2132	EFNA4	0.17268477	0.052528623	-1.6980889	5.7450867	1
2133	EFNA3	0.106837235	0.013317896	-2.912964	5.2710443	1
2150	FDPS	0.35766265	0.8750593	1.288401	20.281992	1
2196	GPATCH4	0.101301014	0.32062873	1.6525757	9.215919	1
2203	NES	0.51477015	1.1202761	1.1203415	22.45749	1
2258	IFI16	1.0292063	0.36734092	-1.4838198	31.116596	1
2287	IGSF8	0.20021294	0.053825274	-1.8758101	6.8391466	1
2292	PEA15	0.24780369	0.5094626	1.0367974	8.738005	1
