	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
79	MMP23B	0.35496116	0.10952174	-1.6873895	15.578611	1
228	SPSB1	0.031675033	0.16529912	2.34752	8.062732	1
291	PLOD1	1.0712295	0.48761362	-1.1338478	33.668785	1
374	HSPB7	0.078730695	0.2084429	1.3933498	5.938134	1
403	MFAP2	0.9093737	0.4268706	-1.0892843	24.978096	1
477	ECE1	1.1182834	0.30088046	-1.8905262	44.55244	1
572	SELENON	0.18914226	0.08293262	-1.1797756	5.88412	1
687	SDC3	0.43838763	0.09050978	-2.2634964	31.137812	1
697	TINAGL1	0.020141825	0.17478444	3.0556355	9.029425	1
729	FAM229A	0.09043809	0.024264008	-1.8557118	5.2849813	1
854	HEYL	0.2506925	0.6473868	1.3651925	18.401155	1
905	HIVEP3	0.04873025	0.16872664	1.7710174	6.464006	1
950	PTPRF	0.24490294	0.120815285	-1.0133938	5.7688503	1
1140	ACOT11	0.08358659	0.019673655	-2.0326355	5.36332	1
1209	KANK4	0.010743556	0.09610309	3.0476477	5.1865063	1
1240	AK4	0.32233354	0.058191504	-2.449561	24.811932	1
1247	PDE4B	0.09148576	0.007038856	-3.5241692	10.142428	1
1292	PTGER3	0.10071107	0.0084185805	-3.4328232	9.216236	1
1345	NEXN	0.3177645	1.0527371	1.7249523	38.648968	1
1401	DDAH1	0.089181446	0.23648243	1.3969182	6.574943	1
1403	AC092807.3	0.07751014	0.3517047	2.1675098	13.903777	1
1432	GBP1	0.13507922	0.43616945	1.6837457	13.442037	1
1433	GBP2	0.2685246	0.068142444	-1.9627733	13.972679	1
1436	GBP4	0.63623774	0.002110221	-7.678671	44.55244	1
1484	BCAR3	0.13614957	0.051014148	-1.3987741	5.467416	1
1491	ARHGAP29	0.42179385	0.18101414	-1.2159039	11.978525	1
1531	PALMD	0.08009777	0.009259285	-2.982732	7.7532773	1
1565	COL11A1	0.39086446	0.8882947	1.1823069	20.666729	1
1612	SORT1	0.11110612	0.2850445	1.3513744	7.8043175	1
1708	SLC16A1	0.28448007	0.09488668	-1.5739875	11.952553	1
1737	TSPAN2	0.017489571	0.13636275	2.893207	7.4348707	1
1741	NGF	0.040727645	0.2345521	2.496971	9.985311	1
1759	IGSF3	0.14672993	0.027499504	-2.3739536	10.649891	1
1853	TXNIP	1.1337222	0.39401117	-1.5223739	44.55244	1
1872	GJA5	0.10698293	0.014068632	-2.841183	8.244351	1
1935	ECM1	0.6804595	0.10490364	-2.6858757	44.55244	1
1945	CTSK	0.08346999	0.016598172	-2.2630131	5.938071	1
2072	S100A16	0.86596864	0.0748418	-3.5149148	44.55244	1
2080	NPR1	0.15641147	0.015855813	-3.2232225	14.333898	1
2084	SLC27A3	0.4484454	0.054413263	-3.0198426	36.862827	1
2258	IFI16	0.87700826	0.36734092	-1.2531928	29.490942	1
2313	F11R	0.092064	0.0066613737	-3.6025481	10.828722	1
2331	APOA2	0.06888676	-1.8626451e-09	-6.12695	5.5762033	1
2354	OLFML2B	0.051436562	0.6416841	3.615465	41.346966	1
2437	ATP1B1	0.53410625	0.20409472	-1.3835349	17.43488	1
2475	DNM3	0.01047852	0.12468521	3.4528065	7.489	1
2477	DNM3OS	0.19927248	0.4011038	1.0056037	7.7075143	1
2505	RABGAP1L	0.17587297	0.07732993	-1.1750779	5.236114	1
2532	RASAL2	0.17141937	0.39337325	1.1936398	9.195426	1
2539	RALGPS2	0.06239989	0.19332442	1.6159151	6.1395802	1
2561	QSOX1	0.40479618	0.10709379	-1.9084716	22.98418	1
2589	RGS16	0.112421386	0.33116677	1.550215	8.257701	1
2608	RGL1	0.39299482	0.079098634	-2.298327	27.950777	1
2640	PTGS2	0.25521654	0.019764945	-3.6251416	22.738964	1
2734	TNNT2	0.30995637	-1.8626451e-09	-8.280571	31.970684	1
2737	TNNI1	0.18134499	0.036346775	-2.287615	11.634397	1
2740	CSRP1	0.40728268	1.1299894	1.4699452	38.57063	1
2749	LMOD1	0.033919223	0.31858203	3.194093	17.340698	1
2846	SRGAP2	0.20941588	0.09412749	-1.1453093	6.1372695	1
2870	CD55	0.31141564	0.100931324	-1.615869	11.207091	1
2907	SERTAD4-AS1	0.09078532	0.29118207	1.6705323	9.656532	1
3010	MARK1	0.033603277	0.12886532	1.9080356	5.0423594	1
3012	MARC2	0.083074346	0.018515252	-2.1070635	5.7382092	1
3079	LEFTY2	0.004943653	0.09311462	3.984997	5.0695696	1
3136	RHOU	0.10579735	0.022114726	-2.2079916	7.103182	1
3167	C1orf198	0.12840527	0.44668326	1.7905818	16.439531	1
3173	FAM89A	0.19171748	0.43206564	1.1680982	9.8821	1
3470	COLEC11	0.7038583	0.01632457	-5.3464417	44.55244	1
3513	ID2	0.3897924	0.13219611	-1.5528504	14.115141	1
3726	EMILIN1	0.9075274	0.3956226	-1.1957631	28.910824	1
3751	FNDC4	0.12590192	0.02856831	-2.1015902	8.708604	1
3787	LBH	0.1904567	0.49950033	1.3863529	13.110324	1
3793	GALNT14	0.045789894	0.003682936	-3.3207116	5.3360987	1
3796	EHD3	0.2747824	0.072483756	-1.908033	15.500465	1
3833	CRIM1	0.18737113	0.47462067	1.3362335	11.559137	1
3842	CEBPZOS	0.24305901	0.118163235	-1.0342908	5.7395	1
3849	QPCT	0.110650845	0.03430908	-1.6608831	5.3798428	1
3886	SLC8A1	0.14033394	0.3564103	1.3384732	9.45619	1
3896	PKDCC	0.17379239	0.070270635	-1.2942626	5.7440114	1
3910	ZFP36L2	0.22780265	0.5052125	1.1456393	10.294048	1
4080	PELI1	0.13241732	0.28506806	1.1004124	5.4426017	1
4111	MEIS1	0.09725364	0.33532038	1.7752533	12.116895	1
4129	PPP3R1	0.12736449	0.28492576	1.1553943	6.6812434	1
4217	ACTG2	0.075668395	1.2722362	4.0537243	44.55244	1
4233	WDR54	0.29113537	0.12621848	-1.1993287	8.505061	1
4250	LOXL3	0.28035063	0.11179921	-1.3186121	9.732978	1
4337	ST3GAL5	0.14369689	0.019973563	-2.78639	13.385123	1
4347	KDM3A	0.27280316	0.115846865	-1.22852	7.9833612	1
4361	CYTOR	0.6740939	1.5061868	1.1586983	40.67993	1
4377	IGKC	0.09054855	-1.8626451e-09	-6.516468	9.7594	1
4557	AFF3	0.030662065	0.14895338	2.243687	6.597926	1
4587	IL1R1	0.3823162	0.030741984	-3.5940707	38.690166	1
4591	IL18R1	0.1096215	0.01978019	-2.4123511	8.517169	1
4692	MIR4435-2HG	0.404312	0.9936069	1.2950937	28.590889	1
4696	AC108463.3	0.08314436	0.26942754	1.6843034	9.477418	1
4698	AC068491.3	0.058582224	0.19101708	1.6882808	6.785922	1
4720	SLC20A1	0.26406536	0.116700925	-1.1712223	7.4095416	1
4840	LIMS2	0.040854815	0.34729984	3.0568643	20.668184	1
5029	NR4A2	0.06867588	-1.8626451e-09	-6.12259	10.625774	1
5035	GALNT5	0.10391419	0.011067818	-3.1199732	9.808862	1
5090	COBLL1	0.042458415	0.15737478	1.8656353	5.9729223	1
5105	SCN9A	0.11159115	0.018214399	-2.5508337	9.425042	1
5115	NOSTRIN	0.12697275	0.043279	-1.5311422	5.31602	1
5128	KLHL23	0.09281948	0.22713727	1.2819426	5.53319	1
5163	PDK1	0.20369585	0.07726482	-1.387046	7.6501093	1
5196	HOXD11	0.015775312	0.15633467	3.2294252	9.410074	1
5198	HOXD-AS2	0.03436993	0.19812416	2.493073	9.678297	1
