	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
1	FAM138A	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
2	OR4F5	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
3	AL627309.1	0.0028789137	-1.8626451e-09	-1.9556552	0.79160345	0
4	AL627309.3	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
5	AL627309.2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
6	AL627309.5	0.0266262	0.009531442	-1.3913342	1.3851898	0
7	AL627309.4	0.0014098029	-1.8626451e-09	-1.2689178	0.4979089	0
8	AP006222.2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
9	AL732372.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
10	OR4F29	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
11	AC114498.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
12	OR4F16	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
13	AL669831.2	0.0011522443	-1.8626451e-09	-1.1058445	0.497904	0
14	LINC01409	0.03792977	0.047396556	0.31403053	0.29997927	0
15	FAM87B	0.00079549546	-1.8626451e-09	-0.8443847	0.49789602	0
16	LINC01128	0.0867025	0.09125901	0.07307182	0.09144724	0
17	LINC00115	0.0077215135	0.0026324699	-1.2636276	0.60208046	0
18	FAM41C	0.009606604	0.015102537	0.6023252	0.33077377	0
19	AL645608.6	0.0031908941	-1.8626451e-09	-2.0672607	0.80273646	0
20	AL645608.2	0.002332435	-1.8626451e-09	-1.7365795	0.7884579	0
21	AL645608.4	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
22	LINC02593	0.0077976547	0.024025582	1.5082127	1.1115637	0
23	SAMD11	0.08023821	0.05101158	-0.64332557	1.0145787	0
24	NOC2L	0.22815548	0.21629208	-0.076691195	0.1572574	0
25	KLHL17	0.03011423	0.023308914	-0.35608912	0.2619931	0
26	PLEKHN1	0.0076895533	0.0021534553	-1.4623486	0.7247173	0
27	PERM1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
28	AL645608.7	0.029851034	0.019834692	-0.56633115	0.4492262	0
29	HES4	0.7764205	1.2140406	0.64423764	16.642487	0
30	ISG15	0.32037106	0.34626824	0.1118105	0.3236894	0
31	AL645608.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
32	AGRN	0.17049496	0.12974721	-0.391386	1.034671	0
33	AL645608.5	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
34	AL645608.8	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
35	RNF223	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
36	C1orf159	0.02577051	0.04325654	0.725246	0.7434181	0
37	AL390719.3	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
38	LINC01342	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
39	AL390719.2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
40	TTLL10-AS1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
41	TTLL10	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
42	TNFRSF18	0.0014021188	-1.8626451e-09	-1.2643101	0.4979041	0
43	TNFRSF4	0.0030902163	0.0035955966	0.16807497	0.043625284	0
44	SDF4	0.85581726	0.5512239	-0.63373435	11.70006	0
45	B3GALT6	0.21042746	0.18029384	-0.22183281	0.53788495	0
46	C1QTNF12	0.011733907	0.0051399875	-1.0523676	0.6671981	0
47	AL162741.1	0.0011914783	-1.8626451e-09	-1.131907	0.49790075	0
48	UBE2J2	0.32978994	0.3088862	-0.09417683	0.26722685	0
49	LINC01786	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
50	SCNN1D	-6.2864274e-09	0.005136708	2.617474	0.8013131	0
51	ACAP3	0.16218683	0.12500273	-0.3730697	0.8834676	0
52	PUSL1	0.1449949	0.10689695	-0.43626386	1.0935922	0
53	INTS11	0.20453446	0.14965817	-0.44810134	1.4427936	0
54	AL139287.1	0.0014099231	0.0033412562	0.8491255	0.22576568	0
55	CPTP	0.092689775	0.050965816	-0.85032886	1.946746	0
56	TAS1R3	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
57	DVL1	0.07320065	0.07860117	0.10135779	0.116345845	0
58	MXRA8	0.12935543	0.263821	1.0225668	4.891047	0
59	AURKAIP1	1.0148319	1.0290082	0.01999413	0.11932932	0
60	CCNL2	0.42515066	0.3809535	-0.15796661	0.6139452	0
61	MRPL20-AS1	0.050258193	0.023079105	-1.0900009	1.7221351	0
62	MRPL20	0.9054282	0.97014874	0.09949951	0.7815845	0
63	AL391244.2	0.005093437	0.0024803863	-0.80800885	0.30016184	0
64	ANKRD65	0.0007811616	-1.8626451e-09	-0.8328211	0.49788877	0
65	AL391244.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
66	TMEM88B	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
67	LINC01770	0.0012405586	-1.8626451e-09	-1.1638612	0.49789715	0
68	VWA1	0.12734228	0.06409175	-0.97945	3.0041072	0
69	ATAD3C	0.004210682	0.0034658494	-0.22253758	0.06779685	0
70	ATAD3B	0.056676622	0.072122365	0.3423262	0.45021588	0
71	ATAD3A	0.15146556	0.1381356	-0.13199183	0.22871579	0
72	TMEM240	0.06819298	0.02082873	-1.6643976	3.573838	0
73	SSU72	0.7893115	0.8811631	0.15862402	1.3537272	0
74	AL645728.1	0.0142414775	0.0094731115	-0.54131263	0.30697295	0
75	FNDC10	0.11599886	0.06928811	-0.7351418	1.8724232	0
76	AL691432.4	0.002225394	-1.8626451e-09	-1.6894779	0.49790433	0
77	AL691432.2	0.021427693	0.038450047	0.8147458	0.7472507	0
78	MIB2	0.091199614	0.11633803	0.347838	0.6313252	0
79	MMP23B	0.35339248	0.10952174	-1.6810178	15.538126	1
80	CDK11B	0.21329848	0.1329664	-0.6777504	2.814881	0
81	FO704657.1	0.0013739673	0.00369165	0.98279536	0.254459	0
82	SLC35E2B	0.103324674	0.0856493	-0.26782045	0.43263116	0
83	CDK11A	0.1495579	0.14417112	-0.052563976	0.082133636	0
84	SLC35E2A	0.03410277	0.037301235	0.125806	0.09868468	0
85	NADK	0.13107939	0.14767082	0.17071621	0.29793504	0
86	GNB1	1.0225329	1.1294712	0.14336671	1.7115185	0
87	AL109917.1	-6.2864274e-09	0.0026037227	1.8494971	0.497478	0
88	CALML6	-6.2864274e-09	0.0018458244	1.5088556	0.49747792	0
89	TMEM52	0.00569929	-1.8626451e-09	-2.7440107	1.2491446	0
90	CFAP74	0.0032488112	0.00299381	-0.0892935	0.024026763	0
91	AL391845.2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
92	GABRD	0.0025439602	0.0025177654	-0.010703217	0.0029273739	0
93	AL391845.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
94	PRKCZ	0.0036856239	0.0037053921	0.0060738344	0.0015786741	0
95	AL590822.2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
96	PRKCZ-AS1	0.0043521114	0.008173539	0.77737033	0.31168148	0
97	FAAP20	0.8358901	0.6284356	-0.4109794	5.438975	0
98	AL590822.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
99	SKI	0.2522298	0.24878168	-0.019779518	0.04031471	0
100	AL590822.3	0.006736765	0.010092871	0.51983047	0.2175431	0
101	MORN1	0.014457819	0.0054153963	-1.2687265	0.928231	0
102	AL589739.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
103	AL513477.2	0.002183564	-1.8626451e-09	-1.6706455	0.79174125	0
104	RER1	0.74520504	0.7083761	-0.07302135	0.3987535	0
105	PEX10	0.08617916	0.059973054	-0.5158115	0.9179997	0
106	PLCH2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
107	AL139246.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
108	AL139246.4	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
109	PANK4	0.012447169	0.05588909	2.0808494	2.6579666	0
110	HES5	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
111	AL139246.5	0.010621824	0.011988162	0.1603608	0.06949715	0
112	TNFRSF14-AS1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
113	TNFRSF14	-6.2864274e-09	0.0027067917	1.8901801	0.49747807	0
114	AL139246.3	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
115	PRXL2B	0.0842617	0.064634115	-0.3774519	0.5604166	0
116	MMEL1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
117	AL831784.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
118	TTC34	0.00422107	-1.8626451e-09	-2.3843482	1.0567244	0
119	AC242022.2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
120	AC242022.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
121	AL592464.2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
122	AL592464.3	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
123	AL592464.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
124	AL589702.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
125	ACTRT2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
126	PRDM16-DT	0.0022430895	0.021047292	2.7651608	1.6828763	0
127	PRDM16	0.009755883	0.0037895194	-1.1671731	0.5938831	0
128	AL008733.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
129	AL590438.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
130	AL354743.2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
131	AL354743.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
132	ARHGEF16	0.010021871	0.00418134	-1.088972	0.6164158	0
133	AL512413.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
134	MEGF6	0.008626878	0.022238657	1.2713866	0.82071656	0
135	AL513320.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
136	TPRG1L	0.15726136	0.1026081	-0.6111722	1.8109702	0
137	WRAP73	0.0905299	0.057609092	-0.6431186	1.2752261	0
138	TP73	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
139	AL136528.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
140	AL136528.2	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
141	CCDC27	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
142	SMIM1	0.07426	0.043749087	-0.7500251	1.2683271	0
143	LRRC47	0.11237177	0.09609832	-0.22354327	0.36025053	0
144	AL365330.1	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
145	CEP104	0.16620356	0.13635962	-0.28364763	0.64637536	0
146	DFFB	0.028655838	0.02733304	-0.0658308	0.04034959	0
147	C1orf174	0.15937619	0.1634816	0.036466263	0.058503136	0
148	LINC01134	0.0025438978	-1.8626451e-09	-1.8253396	0.8021352	0
149	LINC01346	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
150	LINC01345	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
151	LINC02780	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
152	AL805961.1	0.0015125988	-1.8626451e-09	-1.329183	0.49791363	0
153	LINC01777	-6.2864274e-09	-1.8626451e-09	6.363344e-06	44.55244	0
