,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0ACAB1835---RSPO3-LGR4---CM-CM,RSPO3-LGR4,CM-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by R-spondin
CPI-SS0B9B3870A---VEGFA-FLT1---CM-EN,VEGFA-FLT1,CM-EN,0.8691860465116279,0.001,,0.8691860465116279,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-EN,VEGFA-KDR,CM-EN,0.7826784282277465,0.001,,0.7826784282277465,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-EN,VEGFA-FLT1-complex,CM-EN,0.7830264211369095,0.001,,0.7830264211369095,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-EN,VEGFA-NRP2,CM-EN,0.8019075568598679,0.001,,0.8019075568598679,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS032AD1183---NPPA-NPR1---CM-EN,NPPA-NPR1,CM-EN,0.9454976303317535,0.001,,0.9454976303317535,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuropeptide precursor
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-EN,CXCL12-CXCR4,CM-EN,0.9150943396226415,0.001,,0.9150943396226415,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS04829AC68---GJA1-GJA1---CM-EN,GJA1-GJA1,CM-EN,0.6188925081433224,0.001,,0.6188925081433224,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS052119104---AREG-EGFR---CM-EP,AREG-EGFR,CM-EP,0.5845070422535211,0.001,,0.5845070422535211,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM-FB,VEGFA-FLT1,CM-FB,0.20930232558139536,0.001,,0.20930232558139536,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS052119104---AREG-EGFR---CM-FB,AREG-EGFR,CM-FB,0.4530516431924883,0.001,,0.4530516431924883,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
