gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	UN
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.0	1.596	0.007	0.008
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.019	0.373	0.147	0.569	0.023
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS0F3C15BCC	AKR1C3	0.144	0.0	0.731	0.031	0.042
PTGDS	P41222	True	PTGDS_HUMAN	PGD2_byPTGDS	CPI-CS0FADCFDB9	PTGDS	0.293	0.015	0.086	0.656	0.124
CDH3	P22223	False	CADH3_HUMAN		CPI-SS0DA0F5556	CDH3	0.009	0.0	0.0	0.003	0.01
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.001	1.069	0.008	0.008	0.014
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.001	0.0	0.026	0.043	0.01
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.097	0.0	0.0
SELPLG	Q14242	False	SELPL_HUMAN		CPI-SS085C6A191	SELPLG	0.007	0.0	0.009	0.0	0.009
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	CD44	0.022	0.345	0.004	0.278	0.022
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.263	0.965	0.044	0.722	0.133
ASIP	P42127	False	ASIP_HUMAN		CPI-SS019ABECEC	ASIP	0.001	0.0	0.004	0.014	0.006
POMC	P01189	False	COLI_HUMAN		CPI-SS00BD8FF72	POMC	0.001	0.0	0.0	0.0	0.004
APLN	Q9ULZ1	False	APEL_HUMAN		CPI-SS086CB298F	APLN	0.008	0.76	0.0	0.017	0.0
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0E4E83C2E	BDNF	0.004	0.0	0.0	0.024	0.0
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.004	0.0	0.0	0.024	0.0
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.239	0.037	0.022	0.345	0.094
CCL21	O00585	False	CCL21_HUMAN		CPI-SS06C0074BD	CCL21	0.239	0.037	0.022	0.345	0.094
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.221	0.0	0.058	0.294	0.067
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.018	0.0	0.187	0.023	0.009
C1QL3	Q5VWW1	False	C1QL3_HUMAN		CPI-SS0348885FD	C1QL3	0.001	0.0	0.0	0.001	0.004
EDN1	P05305	False	EDN1_HUMAN		CPI-SS09B92F236	EDN1	0.003	0.084	0.069	0.137	0.01
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.136	0.053	0.491	0.074	0.089
EGF	P01133	False	EGF_HUMAN		CPI-SS09947DDD9	EGF	0.04	0.017	0.005	0.005	0.044
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	FGF1	0.022	0.0	0.0	0.031	0.019
NPPA	P01160	False	ANF_HUMAN		CPI-SS032AD1183	NPPA	0.689	0.036	0.146	0.051	0.331
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0FC612D4D	DLK1	0.031	0.481	2.078	1.587	0.165
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS0AFCA0602	DLL4	0.0	0.222	0.022	0.004	0.005
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.018	0.252	0.019	0.092	0.02
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.795	0.408	1.336	1.178	0.834
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.018	0.252	0.019	0.092	0.02
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.795	0.408	1.336	1.178	0.834
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.018	0.252	0.019	0.092	0.02
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.795	0.408	1.336	1.178	0.834
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	PDGFB	0.015	0.494	0.016	0.024	0.033
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SC00DF4C861	PDGFB	0.015	0.494	0.016	0.024	0.033
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	PDGFB	0.015	0.494	0.016	0.024	0.033
NPY	P01303	False	NPY_HUMAN		CPI-SS0D9B4021E	NPY	0.001	0.0	0.0	0.062	0.003
GNRH1	P01148	False	GON1_HUMAN		CPI-SS0D9EFC4F7	GNRH1	0.002	0.01	0.019	0.001	0.015
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0ACAB1835	RSPO3	1.171	0.018	0.094	0.264	0.467
SCT	P09683	False	SECR_HUMAN		CPI-SS021F26C73	SCT	0.234	0.008	0.08	0.049	0.059
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	TNF	0.0	0.0	0.0	0.006	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.795	0.408	1.336	1.178	0.834
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS040DBE4BA	WNT2B	0.012	0.056	0.012	0.025	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0568E47E6	WNT4	0.0	0.0	0.0	0.0	0.005
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00C692486	WNT9A	0.001	0.0	0.0	0.001	0.005
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS0786D3749	WNT2B	0.012	0.056	0.012	0.025	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.0	0.0	0.0	0.0	0.005
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0EBBBD522	WNT9A	0.001	0.0	0.0	0.001	0.005
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS05207EFF8	WNT2B	0.012	0.056	0.012	0.025	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.0	0.0	0.0	0.0	0.005
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0A93EEAEB	WNT9A	0.001	0.0	0.0	0.001	0.005
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS08643DD8A	WNT2B	0.012	0.056	0.012	0.025	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.0	0.0	0.0	0.0	0.005
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00877D499	WNT9A	0.001	0.0	0.0	0.001	0.005
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.003	1.794	0.0	0.066	0.014
SIGLEC15	Q6ZMC9	False	SIG15_HUMAN		CPI-SS07D508428	SIGLEC15	0.0	0.022	0.0	0.005	0.008
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.057	1.614	0.045	0.138	0.059
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.057	1.614	0.045	0.138	0.059
