,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0B9B3870A---VEGFA-FLT1---CM_0-CM_2,VEGFA-FLT1,CM_0-CM_2,0.2235897435897436,1.0,0.2235897435897436,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_0-CM_2,VEGFA-NRP2,CM_0-CM_2,0.46640624999999997,1.0,0.46640624999999997,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_0-CM_2,VEGFA-FLT1-complex,CM_0-CM_2,0.3253731343283582,1.0,0.3253731343283582,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_0-CM_2,VEGFA-KDR,CM_0-CM_2,0.3574626865671641,1.0,0.3574626865671641,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_1-CM_2,VEGFA-FLT1,CM_1-CM_2,0.4071794871794872,1.0,0.4071794871794872,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_1-CM_2,VEGFA-NRP2,CM_1-CM_2,0.7453124999999999,0.001,,0.7453124999999999,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_1-CM_2,VEGFA-FLT1-complex,CM_1-CM_2,0.5925373134328358,1.0,0.5925373134328358,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_1-CM_2,VEGFA-KDR,CM_1-CM_2,0.6238805970149253,0.001,,0.6238805970149253,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-CM_0,VEGFA-FLT1,CM_2-CM_0,0.20256410256410257,1.0,0.20256410256410257,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-CM_0,VEGFA-NRP2,CM_2-CM_0,0.35,1.0,0.35,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-CM_0,VEGFA-FLT1-complex,CM_2-CM_0,0.2947761194029851,1.0,0.2947761194029851,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_2-CM_0,VEGFA-KDR,CM_2-CM_0,0.46940298507462686,1.0,0.46940298507462686,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-CM_1,VEGFA-FLT1,CM_2-CM_1,0.19282051282051282,1.0,0.19282051282051282,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-CM_1,VEGFA-NRP2,CM_2-CM_1,0.41328125,1.0,0.41328125,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-CM_1,VEGFA-FLT1-complex,CM_2-CM_1,0.28059701492537314,1.0,0.28059701492537314,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_2-CM_1,VEGFA-KDR,CM_2-CM_1,0.3283582089552239,1.0,0.3283582089552239,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-CM_2,VEGFA-FLT1,CM_2-CM_2,0.19179487179487179,1.0,0.19179487179487179,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-CM_2,VEGFA-NRP2,CM_2-CM_2,0.41796875,1.0,0.41796875,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-CM_2,VEGFA-FLT1-complex,CM_2-CM_2,0.2791044776119403,1.0,0.2791044776119403,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_2-CM_2,VEGFA-KDR,CM_2-CM_2,0.31119402985074623,1.0,0.31119402985074623,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-CM_3,VEGFA-FLT1,CM_2-CM_3,0.19743589743589746,1.0,0.19743589743589746,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-CM_3,VEGFA-NRP2,CM_2-CM_3,0.35234375,1.0,0.35234375,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-CM_3,VEGFA-FLT1-complex,CM_2-CM_3,0.2873134328358209,1.0,0.2873134328358209,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_2-CM_3,VEGFA-KDR,CM_2-CM_3,0.3932835820895522,1.0,0.3932835820895522,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-CM_4,VEGFA-FLT1,CM_2-CM_4,0.8984615384615385,0.001,,0.8984615384615385,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-CM_4,VEGFA-NRP2,CM_2-CM_4,0.83125,0.004,,0.83125,1.0,2.3979400086720375,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-CM_4,VEGFA-FLT1-complex,CM_2-CM_4,0.8223880597014925,0.001,,0.8223880597014925,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_2-CM_4,VEGFA-KDR,CM_2-CM_4,0.8223880597014925,0.024,,0.8223880597014925,1.0,1.6197887582883939,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-EN_1,VEGFA-FLT1,CM_2-EN_1,0.9753846153846154,0.004,,0.9753846153846154,1.0,2.3979400086720375,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-EN_1,VEGFA-NRP2,CM_2-EN_1,0.39218749999999997,0.217,0.39218749999999997,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-EN_1,VEGFA-FLT1-complex,CM_2-EN_1,1.0,0.004,,1.0,1.0,2.3979400086720375,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_2-EN_1,VEGFA-KDR,CM_2-EN_1,1.0,0.036,,1.0,1.0,1.4436974992327127,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-EN_2,VEGFA-FLT1,CM_2-EN_2,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-EN_2,VEGFA-NRP2,CM_2-EN_2,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-EN_2,VEGFA-FLT1-complex,CM_2-EN_2,0.8783582089552239,0.001,,0.8783582089552239,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_2-EN_2,VEGFA-KDR,CM_2-EN_2,0.8783582089552239,0.001,,0.8783582089552239,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-EP,VEGFA-FLT1,CM_2-EP,0.20205128205128206,1.0,0.20205128205128206,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-EP,VEGFA-NRP2,CM_2-EP,0.29921875,1.0,0.29921875,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-EP,VEGFA-FLT1-complex,CM_2-EP,0.29402985074626864,1.0,0.29402985074626864,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_2-EP,VEGFA-KDR,CM_2-EP,0.2962686567164179,1.0,0.2962686567164179,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-MU,VEGFA-FLT1,CM_2-MU,0.3302564102564103,0.004,,0.3302564102564103,1.0,2.3979400086720375,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-MU,VEGFA-NRP2,CM_2-MU,0.34296875,1.0,0.34296875,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-MU,VEGFA-FLT1-complex,CM_2-MU,0.3335820895522388,1.0,0.3335820895522388,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM_2-MU,VEGFA-KDR,CM_2-MU,0.3335820895522388,1.0,0.3335820895522388,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM_2-UN,VEGFA-FLT1,CM_2-UN,0.21025641025641026,1.0,0.21025641025641026,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM_2-UN,VEGFA-NRP2,CM_2-UN,0.3625,1.0,0.3625,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM_2-UN,VEGFA-FLT1-complex,CM_2-UN,0.3059701492537313,1.0,0.3059701492537313,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
