,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-CS0917E42F5---DHEAsulfate-bySULT1E1-PPARG---CM-EN_H,DHEAsulfate-bySULT1E1-PPARG,CM-EN_H,0.5798611111111112,1.0,0.5798611111111112,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Dehydroepiandrosterone
CPI-SS04C672963---ESAM-ESAM---CM-EN_H,ESAM-ESAM,CM-EN_H,0.5006459948320413,1.0,0.5006459948320413,,0.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS0B9B3870A---VEGFA-FLT1---CM-EN_H,VEGFA-FLT1,CM-EN_H,0.9253403601229688,0.001,,0.9253403601229688,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-EN_H,VEGFA-NRP2,CM-EN_H,0.8941469489414694,0.001,,0.8941469489414694,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-EN_H,VEGFA-FLT1-complex,CM-EN_H,0.886968085106383,0.001,,0.886968085106383,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-EN_H,VEGFA-KDR,CM-EN_H,0.886968085106383,0.001,,0.886968085106383,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-CS0917E42F5---DHEAsulfate-bySULT1E1-PPARG---EN_H-CM,DHEAsulfate-bySULT1E1-PPARG,EN_H-CM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Dehydroepiandrosterone
CPI-SS04C672963---ESAM-ESAM---EN_H-CM,ESAM-ESAM,EN_H-CM,0.5006459948320413,1.0,0.5006459948320413,,0.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS0B9B3870A---VEGFA-FLT1---EN_H-CM,VEGFA-FLT1,EN_H-CM,0.14756258234519104,1.0,0.14756258234519104,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---EN_H-CM,VEGFA-NRP2,EN_H-CM,0.273972602739726,1.0,0.273972602739726,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---EN_H-CM,VEGFA-FLT1-complex,EN_H-CM,0.22340425531914895,1.0,0.22340425531914895,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---EN_H-CM,VEGFA-KDR,EN_H-CM,0.3171542553191489,1.0,0.3171542553191489,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-CS0917E42F5---DHEAsulfate-bySULT1E1-PPARG---EN_H-EN_H,DHEAsulfate-bySULT1E1-PPARG,EN_H-EN_H,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Dehydroepiandrosterone
CPI-SS04C672963---ESAM-ESAM---EN_H-EN_H,ESAM-ESAM,EN_H-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,
CPI-SS0B9B3870A---VEGFA-FLT1---EN_H-EN_H,VEGFA-FLT1,EN_H-EN_H,0.8353096179183135,0.001,,0.8353096179183135,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---EN_H-EN_H,VEGFA-NRP2,EN_H-EN_H,0.7665006226650063,0.001,,0.7665006226650063,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---EN_H-EN_H,VEGFA-FLT1-complex,EN_H-EN_H,0.7506648936170213,0.001,,0.7506648936170213,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
