,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0C3906934---RSPO3-LGR5---CM-EP,RSPO3-LGR5,CM-EP,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by R-spondin
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---CM-EP,Cholesterol-byLIPA-RORA,CM-EP,0.013245033112582792,1.0,0.013245033112582792,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS052119104---AREG-EGFR---CM-EP,AREG-EGFR,CM-EP,0.16888888888888892,0.001,,0.16888888888888892,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS08BFFB96E---FLRT3-ADGRL2---CM-EP,FLRT3-ADGRL2,CM-EP,0.006651884700665187,1.0,0.006651884700665187,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS034083FFA---SEMA3A-NRP1---CM-EP,SEMA3A-NRP1,CM-EP,0.24557956777996068,1.0,0.24557956777996068,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0B99F22A2---JAG1-NOTCH3---CM-EP,JAG1-NOTCH3,CM-EP,0.22051282051282048,1.0,0.22051282051282048,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0837E9F59---JAG1-NOTCH4---CM-EP,JAG1-NOTCH4,CM-EP,0.17837837837837836,1.0,0.17837837837837836,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-CS0215886EA---LTC4-byLTC4S-CYSLTR1---CM-EP,LTC4-byLTC4S-CYSLTR1,CM-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Lipoxin/Leukotriene
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-EP,CXCL12-CXCR4,CM-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0669CC233---CXCL14-CXCR4---CM-EP,CXCL14-CXCR4,CM-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0B1B18F2D---CXCL12-DPP4---CM-EP,CXCL12-DPP4,CM-EP,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS052641D5A---FLRT3-ADGRL3---CM-EP,FLRT3-ADGRL3,CM-EP,0.10526315789473684,1.0,0.10526315789473684,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS05996C8FD---AGT-AGTR1---CM-EP,AGT-AGTR1,CM-EP,0.40519480519480516,1.0,0.40519480519480516,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Angiotensinogen
CPI-SS058209EC7---F2-F2R---CM-EP,F2-F2R,CM-EP,0.03741935483870968,1.0,0.03741935483870968,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS0F1E79A03---WNT5A-SFRP1---CM-EP,WNT5A-SFRP1,CM-EP,0.01944444444444444,1.0,0.01944444444444444,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS007AA9FDE---DLK1-NOTCH3---CM-EP,DLK1-NOTCH3,CM-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D37C7C70---DLK1-NOTCH4---CM-EP,DLK1-NOTCH4,CM-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B9B3870A---VEGFA-FLT1---CM-EP,VEGFA-FLT1,CM-EP,0.10660426417056686,1.0,0.10660426417056686,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---CM-EP,VEGFA-NRP1,CM-EP,0.237054085155351,1.0,0.237054085155351,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-EP,VEGFA-FLT1-complex,CM-EP,0.17826086956521747,1.0,0.17826086956521747,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-EP,VEGFA-NRP2,CM-EP,0.16218354430379747,1.0,0.16218354430379747,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-EP,VEGFA-KDR,CM-EP,0.17872711421098525,1.0,0.17872711421098525,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C3906934---RSPO3-LGR5---EN_H-EP,RSPO3-LGR5,EN_H-EP,0.04327666151468315,1.0,0.04327666151468315,,0.0,0.0,no,False,Ligand-Receptor,Signaling by R-spondin
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---EN_H-EP,Cholesterol-byLIPA-RORA,EN_H-EP,0.4867549668874171,0.001,,0.4867549668874171,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS052119104---AREG-EGFR---EN_H-EP,AREG-EGFR,EN_H-EP,0.2044444444444444,0.001,,0.2044444444444444,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS08BFFB96E---FLRT3-ADGRL2---EN_H-EP,FLRT3-ADGRL2,EN_H-EP,0.04212860310421287,1.0,0.04212860310421287,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS034083FFA---SEMA3A-NRP1---EN_H-EP,SEMA3A-NRP1,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0B99F22A2---JAG1-NOTCH3---EN_H-EP,JAG1-NOTCH3,EN_H-EP,1.0,1.0,1.0,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0837E9F59---JAG1-NOTCH4---EN_H-EP,JAG1-NOTCH4,EN_H-EP,1.0,1.0,1.0,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-CS0215886EA---LTC4-byLTC4S-CYSLTR1---EN_H-EP,LTC4-byLTC4S-CYSLTR1,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Lipoxin/Leukotriene
CPI-SS0A28DCA72---CXCL12-CXCR4---EN_H-EP,CXCL12-CXCR4,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0669CC233---CXCL14-CXCR4---EN_H-EP,CXCL14-CXCR4,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0B1B18F2D---CXCL12-DPP4---EN_H-EP,CXCL12-DPP4,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS052641D5A---FLRT3-ADGRL3---EN_H-EP,FLRT3-ADGRL3,EN_H-EP,0.24561403508771928,1.0,0.24561403508771928,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS05996C8FD---AGT-AGTR1---EN_H-EP,AGT-AGTR1,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Angiotensinogen
CPI-SS058209EC7---F2-F2R---EN_H-EP,F2-F2R,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS0F1E79A03---WNT5A-SFRP1---EN_H-EP,WNT5A-SFRP1,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS007AA9FDE---DLK1-NOTCH3---EN_H-EP,DLK1-NOTCH3,EN_H-EP,0.3208041958041958,1.0,0.3208041958041958,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D37C7C70---DLK1-NOTCH4---EN_H-EP,DLK1-NOTCH4,EN_H-EP,0.30840336134453783,1.0,0.30840336134453783,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B9B3870A---VEGFA-FLT1---EN_H-EP,VEGFA-FLT1,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---EN_H-EP,VEGFA-NRP1,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---EN_H-EP,VEGFA-FLT1-complex,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---EN_H-EP,VEGFA-NRP2,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---EN_H-EP,VEGFA-KDR,EN_H-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C3906934---RSPO3-LGR5---EP-CM,RSPO3-LGR5,EP-CM,0.11746522411128284,1.0,0.11746522411128284,,0.0,0.0,no,False,Ligand-Receptor,Signaling by R-spondin
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---EP-CM,Cholesterol-byLIPA-RORA,EP-CM,0.3278145695364238,0.001,,0.3278145695364238,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS052119104---AREG-EGFR---EP-CM,AREG-EGFR,EP-CM,0.39111111111111124,1.0,0.39111111111111124,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS08BFFB96E---FLRT3-ADGRL2---EP-CM,FLRT3-ADGRL2,EP-CM,0.2039911308203991,1.0,0.2039911308203991,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS034083FFA---SEMA3A-NRP1---EP-CM,SEMA3A-NRP1,EP-CM,0.3261296660117878,1.0,0.3261296660117878,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0B99F22A2---JAG1-NOTCH3---EP-CM,JAG1-NOTCH3,EP-CM,0.07179487179487179,1.0,0.07179487179487179,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0837E9F59---JAG1-NOTCH4---EP-CM,JAG1-NOTCH4,EP-CM,0.02162162162162164,1.0,0.02162162162162164,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-CS0215886EA---LTC4-byLTC4S-CYSLTR1---EP-CM,LTC4-byLTC4S-CYSLTR1,EP-CM,0.13015873015873017,1.0,0.13015873015873017,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Lipoxin/Leukotriene
CPI-SS0A28DCA72---CXCL12-CXCR4---EP-CM,CXCL12-CXCR4,EP-CM,0.3085714285714286,1.0,0.3085714285714286,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0669CC233---CXCL14-CXCR4---EP-CM,CXCL14-CXCR4,EP-CM,0.3333333333333333,1.0,0.3333333333333333,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0B1B18F2D---CXCL12-DPP4---EP-CM,CXCL12-DPP4,EP-CM,0.35211267605633806,1.0,0.35211267605633806,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS052641D5A---FLRT3-ADGRL3---EP-CM,FLRT3-ADGRL3,EP-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS05996C8FD---AGT-AGTR1---EP-CM,AGT-AGTR1,EP-CM,0.6207792207792208,1.0,0.6207792207792208,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Angiotensinogen
CPI-SS058209EC7---F2-F2R---EP-CM,F2-F2R,EP-CM,0.6038709677419355,1.0,0.6038709677419355,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS0F1E79A03---WNT5A-SFRP1---EP-CM,WNT5A-SFRP1,EP-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS007AA9FDE---DLK1-NOTCH3---EP-CM,DLK1-NOTCH3,EP-CM,0.8986013986013985,1.0,0.8986013986013985,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D37C7C70---DLK1-NOTCH4---EP-CM,DLK1-NOTCH4,EP-CM,0.8630252100840335,1.0,0.8630252100840335,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B9B3870A---VEGFA-FLT1---EP-CM,VEGFA-FLT1,EP-CM,0.18616744669786792,1.0,0.18616744669786792,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---EP-CM,VEGFA-NRP1,EP-CM,0.6052934407364787,0.001,,0.6052934407364787,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---EP-CM,VEGFA-FLT1-complex,EP-CM,0.31130434782608696,1.0,0.31130434782608696,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---EP-CM,VEGFA-NRP2,EP-CM,0.3734177215189874,0.001,,0.3734177215189874,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---EP-CM,VEGFA-KDR,EP-CM,0.4324324324324324,0.001,,0.4324324324324324,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C3906934---RSPO3-LGR5---EP-EN_H,RSPO3-LGR5,EP-EN_H,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by R-spondin
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---EP-EN_H,Cholesterol-byLIPA-RORA,EP-EN_H,0.43377483443708614,0.001,,0.43377483443708614,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS052119104---AREG-EGFR---EP-EN_H,AREG-EGFR,EP-EN_H,0.3955555555555557,1.0,0.3955555555555557,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS08BFFB96E---FLRT3-ADGRL2---EP-EN_H,FLRT3-ADGRL2,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS034083FFA---SEMA3A-NRP1---EP-EN_H,SEMA3A-NRP1,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0B99F22A2---JAG1-NOTCH3---EP-EN_H,JAG1-NOTCH3,EP-EN_H,0.16923076923076924,0.788,0.16923076923076924,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0837E9F59---JAG1-NOTCH4---EP-EN_H,JAG1-NOTCH4,EP-EN_H,0.8972972972972973,0.001,,0.8972972972972973,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-CS0215886EA---LTC4-byLTC4S-CYSLTR1---EP-EN_H,LTC4-byLTC4S-CYSLTR1,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Lipoxin/Leukotriene
CPI-SS0A28DCA72---CXCL12-CXCR4---EP-EN_H,CXCL12-CXCR4,EP-EN_H,1.0,0.004,,1.0,1.0,2.3979400086720375,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0669CC233---CXCL14-CXCR4---EP-EN_H,CXCL14-CXCR4,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0B1B18F2D---CXCL12-DPP4---EP-EN_H,CXCL12-DPP4,EP-EN_H,0.42957746478873243,1.0,0.42957746478873243,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS052641D5A---FLRT3-ADGRL3---EP-EN_H,FLRT3-ADGRL3,EP-EN_H,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS05996C8FD---AGT-AGTR1---EP-EN_H,AGT-AGTR1,EP-EN_H,0.6246753246753246,1.0,0.6246753246753246,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Angiotensinogen
CPI-SS058209EC7---F2-F2R---EP-EN_H,F2-F2R,EP-EN_H,0.9393548387096774,0.001,,0.9393548387096774,1.0,3.0,yes,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS0F1E79A03---WNT5A-SFRP1---EP-EN_H,WNT5A-SFRP1,EP-EN_H,0.47361111111111104,0.992,0.47361111111111104,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS007AA9FDE---DLK1-NOTCH3---EP-EN_H,DLK1-NOTCH3,EP-EN_H,0.9143356643356643,0.001,,0.9143356643356643,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D37C7C70---DLK1-NOTCH4---EP-EN_H,DLK1-NOTCH4,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B9B3870A---VEGFA-FLT1---EP-EN_H,VEGFA-FLT1,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---EP-EN_H,VEGFA-NRP1,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---EP-EN_H,VEGFA-FLT1-complex,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---EP-EN_H,VEGFA-NRP2,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---EP-EN_H,VEGFA-KDR,EP-EN_H,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C3906934---RSPO3-LGR5---EP-EP,RSPO3-LGR5,EP-EP,0.14992272024729522,0.072,0.14992272024729522,,0.0,0.0,no,False,Ligand-Receptor,Signaling by R-spondin
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---EP-EP,Cholesterol-byLIPA-RORA,EP-EP,0.3178807947019867,0.008,,0.3178807947019867,1.0,2.0969100130080562,yes,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS052119104---AREG-EGFR---EP-EP,AREG-EGFR,EP-EP,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS08BFFB96E---FLRT3-ADGRL2---EP-EP,FLRT3-ADGRL2,EP-EP,0.15742793791574278,1.0,0.15742793791574278,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS034083FFA---SEMA3A-NRP1---EP-EP,SEMA3A-NRP1,EP-EP,0.015717092337917484,1.0,0.015717092337917484,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0B99F22A2---JAG1-NOTCH3---EP-EP,JAG1-NOTCH3,EP-EP,0.05641025641025639,1.0,0.05641025641025639,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0837E9F59---JAG1-NOTCH4---EP-EP,JAG1-NOTCH4,EP-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-CS0215886EA---LTC4-byLTC4S-CYSLTR1---EP-EP,LTC4-byLTC4S-CYSLTR1,EP-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Lipoxin/Leukotriene
CPI-SS0A28DCA72---CXCL12-CXCR4---EP-EP,CXCL12-CXCR4,EP-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0669CC233---CXCL14-CXCR4---EP-EP,CXCL14-CXCR4,EP-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0B1B18F2D---CXCL12-DPP4---EP-EP,CXCL12-DPP4,EP-EP,0.7605633802816902,0.024,,0.7605633802816902,1.0,1.6197887582883939,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS052641D5A---FLRT3-ADGRL3---EP-EP,FLRT3-ADGRL3,EP-EP,0.7105263157894737,1.0,0.7105263157894737,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS05996C8FD---AGT-AGTR1---EP-EP,AGT-AGTR1,EP-EP,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Angiotensinogen
CPI-SS058209EC7---F2-F2R---EP-EP,F2-F2R,EP-EP,0.6141935483870967,0.001,,0.6141935483870967,1.0,3.0,yes,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS0F1E79A03---WNT5A-SFRP1---EP-EP,WNT5A-SFRP1,EP-EP,0.01805555555555555,0.992,0.01805555555555555,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS007AA9FDE---DLK1-NOTCH3---EP-EP,DLK1-NOTCH3,EP-EP,0.895104895104895,1.0,0.895104895104895,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D37C7C70---DLK1-NOTCH4---EP-EP,DLK1-NOTCH4,EP-EP,0.8605042016806723,1.0,0.8605042016806723,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B9B3870A---VEGFA-FLT1---EP-EP,VEGFA-FLT1,EP-EP,0.1908476339053562,1.0,0.1908476339053562,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
