id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EP	CM|FB_H	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EP	EN_H|FB_H	EN_H|UN	EP|CM	EP|EN_H	EP|EP	EP|FB_H	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EP	FB_H|FB_H	FB_H|UN	UN|CM	UN|EN_H	UN|EP	UN|FB_H	UN|UN
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.004	0.0	0.0	0.008	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.011	0.006	0.006	0.0	0.0	0.01	0.005
CPI-SS0C0329180	LRRTM2_NRXN3	simple:O43300	simple:Q9HDB5	LRRTM2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.0	0.0	0.009	0.004	0.02	0.0	0.0	0.024	0.019	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.008	0.004	0.016	0.0	0.0	0.019	0.014
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.008	0.0	0.0	0.012	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.008	0.003	0.033	0.0	0.0	0.036	0.031
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	L1CAM	L1CAM	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by L1CAM	0.002	0.008	0.0	0.077	0.003	0.008	0.014	0.0	0.083	0.009	0.0	0.0	0.0	0.0	0.0	0.077	0.083	0.0	0.151	0.078	0.003	0.009	0.0	0.078	0.005
CPI-SS026335F55	F2_F2RL2	simple:P00734	simple:O00254	F2	F2RL2	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.001	0.058	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.0	0.448	0.505	0.0	0.45	0.45	0.0	0.0	0.0	0.0	0.0	0.002	0.059	0.0	0.004	0.004
CPI-SS0BDC2B411	F2_F2RL3	simple:P00734	simple:Q96RI0	F2	F2RL3	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.007	0.053	0.0	0.012	0.01	0.0	0.0	0.0	0.0	0.0	0.454	0.5	0.0	0.46	0.457	0.0	0.0	0.0	0.0	0.0	0.008	0.054	0.0	0.014	0.011
CPI-SS09B583B3F	F2_THBD	simple:P00734	simple:P07204	F2	THBD	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.001	0.163	0.0	0.017	0.004	0.0	0.0	0.0	0.0	0.0	0.448	0.61	0.0	0.464	0.451	0.0	0.0	0.0	0.0	0.0	0.002	0.164	0.0	0.018	0.005
CPI-CS029C8858F	Estradiol_byCYP19A1_ESR1	complex:Estradiol_byCYP19A1	simple:P03372		ESR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Steroids	0.001	0.004	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.03	0.034	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.002	0.006	0.0	0.0	0.006
CPI-CS09B8977D7	Dehydroepiandrosterone_bySTS_ESR1	complex:Dehydroepiandrosterone_bySTS	simple:P03372		ESR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.001	0.005	0.0	0.0	0.005	0.011	0.015	0.0	0.0	0.015	0.007	0.011	0.0	0.0	0.011	0.007	0.011	0.0	0.0	0.011	0.002	0.006	0.0	0.0	0.006
CPI-CS0B87D36A1	Estradiol_byCYP19A1_ESR2	complex:Estradiol_byCYP19A1	simple:Q92731		ESR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Steroids	0.002	0.0	0.0	0.001	0.008	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.03	0.037	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.003	0.01
