,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0F1E79A03---WNT5A-SFRP1---CM-CM,WNT5A-SFRP1,CM-CM,0.9295929592959297,1.0,0.9295929592959297,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-CM,CXCL12-CXCR4,CM-CM,0.27358490566037735,1.0,0.27358490566037735,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS034083FFA---SEMA3A-NRP1---CM-CM,SEMA3A-NRP1,CM-CM,0.2290209790209791,1.0,0.2290209790209791,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0837E9F59---JAG1-NOTCH4---CM-CM,JAG1-NOTCH4,CM-CM,0.22746781115879827,1.0,0.22746781115879827,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS01790830C---PGF-NRP1---CM-CM,PGF-NRP1,CM-CM,0.22767075306479861,1.0,0.22767075306479861,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS065D9259F---PGF-NRP2---CM-CM,PGF-NRP2,CM-CM,0.2968253968253968,1.0,0.2968253968253968,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---CM-CM,Cholesterol-byLIPA-RORA,CM-CM,0.09911894273127755,1.0,0.09911894273127755,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-CM,EFNB2-EPHA4,CM-CM,0.2893772893772894,1.0,0.2893772893772894,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0D8632EB4---EDN1-EDNRA---CM-CM,EDN1-EDNRA,CM-CM,0.1851851851851852,1.0,0.1851851851851852,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS0B99F22A2---JAG1-NOTCH3---CM-CM,JAG1-NOTCH3,CM-CM,0.10120481927710843,1.0,0.10120481927710843,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0E4E83C2E---BDNF-NGFR---CM-CM,BDNF-NGFR,CM-CM,0.30275229357798167,1.0,0.30275229357798167,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---CM-CM,NLGN4Y-NRXN1,CM-CM,0.5754985754985755,1.0,0.5754985754985755,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS0FC01B947---EFNA5-EPHA4---CM-CM,EFNA5-EPHA4,CM-CM,0.7695652173913042,1.0,0.7695652173913042,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS007954822---WNT5A-FRZB---CM-CM,WNT5A-FRZB,CM-CM,0.6084337349397592,1.0,0.6084337349397592,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0B9B3870A---VEGFA-FLT1---CM-CM,VEGFA-FLT1,CM-CM,0.14675174013921113,1.0,0.14675174013921113,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS04829AC68---GJA1-GJA1---CM-CM,GJA1-GJA1,CM-CM,0.2562111801242236,0.14,0.2562111801242236,,0.0,0.0,no,False,Gap-Gap,Adhesion by GAP junction
CPI-SS043E22BF5---VEGFA-NRP1---CM-CM,VEGFA-NRP1,CM-CM,0.3645533141210374,0.001,,0.3645533141210374,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-CM,VEGFA-NRP2,CM-CM,0.36298421807747494,0.001,,0.36298421807747494,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-CM,VEGFA-FLT1-complex,CM-CM,0.2665036674816626,1.0,0.2665036674816626,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-CM,VEGFA-KDR,CM-CM,0.33170334148329256,0.001,,0.33170334148329256,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0F1E79A03---WNT5A-SFRP1---CM-EN,WNT5A-SFRP1,CM-EN,0.22882288228822886,1.0,0.22882288228822886,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-EN,CXCL12-CXCR4,CM-EN,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS034083FFA---SEMA3A-NRP1---CM-EN,SEMA3A-NRP1,CM-EN,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0837E9F59---JAG1-NOTCH4---CM-EN,JAG1-NOTCH4,CM-EN,0.9849785407725322,0.001,,0.9849785407725322,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS01790830C---PGF-NRP1---CM-EN,PGF-NRP1,CM-EN,1.0,1.0,1.0,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS065D9259F---PGF-NRP2---CM-EN,PGF-NRP2,CM-EN,1.0,1.0,1.0,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---CM-EN,Cholesterol-byLIPA-RORA,CM-EN,0.11233480176211454,1.0,0.11233480176211454,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-EN,EFNB2-EPHA4,CM-EN,0.03663003663003663,1.0,0.03663003663003663,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0D8632EB4---EDN1-EDNRA---CM-EN,EDN1-EDNRA,CM-EN,0.020833333333333336,1.0,0.020833333333333336,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS0B99F22A2---JAG1-NOTCH3---CM-EN,JAG1-NOTCH3,CM-EN,0.09156626506024095,1.0,0.09156626506024095,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0E4E83C2E---BDNF-NGFR---CM-EN,BDNF-NGFR,CM-EN,0.05504587155963303,1.0,0.05504587155963303,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---CM-EN,NLGN4Y-NRXN1,CM-EN,0.03133903133903134,1.0,0.03133903133903134,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS0FC01B947---EFNA5-EPHA4---CM-EN,EFNA5-EPHA4,CM-EN,0.16956521739130434,1.0,0.16956521739130434,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS007954822---WNT5A-FRZB---CM-EN,WNT5A-FRZB,CM-EN,0.04819277108433736,1.0,0.04819277108433736,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0B9B3870A---VEGFA-FLT1---CM-EN,VEGFA-FLT1,CM-EN,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS04829AC68---GJA1-GJA1---CM-EN,GJA1-GJA1,CM-EN,1.0,0.001,,1.0,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS043E22BF5---VEGFA-NRP1---CM-EN,VEGFA-NRP1,CM-EN,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-EN,VEGFA-NRP2,CM-EN,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-EN,VEGFA-FLT1-complex,CM-EN,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-EN,VEGFA-KDR,CM-EN,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
